raw_text_row_id,proof_packet_id,cusip,source_row_type,source_row_id,source_schedule,source_page,raw_row_found,raw_row_text,raw_row_money_token_count,raw_row_date_token_count,parser_numeric_values,parser_consideration_or_fair_value_usd,parser_book_or_disposal_book_usd,parser_gain_or_income_usd,parser_interest_received_usd,packet_candidate_verdict,inspection_status,boundary,next_action
CFAASCSCRTI-001,CFAASCSCRP-002,28655*-AA-7,year_end_holding,CFAASDFR-3130,Schedule D Part 1 Section 1,5904,yes,"Eliant Invest Holding LP. B ............................ ....... C....... .. 1.G PL .. ............. 23,238,691 .............23,238,691 .............23,238,691 .............23,238,692 .................. .................. .................. .................. ......5.683 ......5.750 MON ..... ..............100,745 ..............425,099 ....12/11/2025 ... ....12/15/2041 ... ..........23,286,772",7,2,,23238691.000000,23238692.000000,425099.000000,23286772.000000,same-cusip-cashlike-row-packet-clean-cashlike-candidate,raw-row-found-inspection-ready,"raw PDF text extraction supports row inspection but does not prove column semantics, borrower cash, liability spread, or asset return","inspect statutory row columns visually or with page-specific column parsing before promoting consideration, gain/loss, and interest fields"
CFAASCSCRTI-002,CFAASCSCRP-002,28655*-AA-7,disposal_or_proceeds,CFAASDDP-01948,Schedule D Part 4,6137,yes,"Eliant Invest Holding LP. B 5.683% 12/15/41 .... ..12/24/2025 . Various ................... ..................... .......356,444,966 ........356,444,966 .......356,444,966 .......205,615,636 ................... ...............(18) ................... ................(18) ................. ......356,444,966 ................. .................. .................. ......... 6,163,732 ..12/15/2041 .",6,2,"356,444,966; 356,444,966; 356,444,966; 205,615,636; 356,444,966; 6,163,732",356444966.000000,0.000000,-18.000000,6163732.000000,same-cusip-cashlike-row-packet-clean-cashlike-candidate,raw-row-found-inspection-ready,"raw PDF text extraction supports row inspection but does not prove column semantics, borrower cash, liability spread, or asset return","inspect statutory row columns visually or with page-specific column parsing before promoting consideration, gain/loss, and interest fields"
CFAASCSCRTI-003,CFAASCSCRP-002,28655*-AA-7,disposal_or_proceeds,CFAASDDP-07047,Schedule D Part 5,6312,yes,"Eliant Invest Holding LP. B 5.683% 12/15/41 ....................................... ..02/03/2025 . Various ................................. ..12/24/2025 . Redemption 100.0000 ... ..........1,806,570 .......1,806,570 .......1,806,570 .........1,806,570 ................... ................... ................... ................... ................. ................. ................... ................... ...........43,047 ...................",5,2,"1,806,570; 1,806,570; 1,806,570; 1,806,570; 43,047",1806570.000000,1806570.000000,0.000000,43047.000000,same-cusip-cashlike-row-packet-clean-cashlike-candidate,raw-row-found-short-numeric-stream-column-hold,"raw PDF text extraction supports row inspection but does not prove column semantics, borrower cash, liability spread, or asset return","inspect statutory row columns visually or with page-specific column parsing before promoting consideration, gain/loss, and interest fields"
CFAASCSCRTI-004,CFAASCSCRP-004,02300A-AA-8,year_end_holding,CFAASDFR-8510,Schedule D Part 1 Section 2,6023,yes,"AMAPS 1 LLC AMAPS 1 LLC - Tranche A Note ............ ....... C....... .. 1.F PL .. ......... 1,917,500,000 .......1,917,500,000 .......1,917,500,000 .........1,917,500,000 .................. .................. .................. .................. ......5.859 ......5.321 JAJO .... ..........48,871,440 ....................... ....07/31/2025 ... ....07/31/2070 ... .1,943,179,102 ......100.0",6,2,,1917500000.000000,1917500000.000000,48871440.000000,1943179102.000000,same-cusip-cashlike-row-packet-clean-cashlike-candidate,raw-row-found-inspection-ready,"raw PDF text extraction supports row inspection but does not prove column semantics, borrower cash, liability spread, or asset return","inspect statutory row columns visually or with page-specific column parsing before promoting consideration, gain/loss, and interest fields"
CFAASCSCRTI-005,CFAASCSCRP-004,02300A-AA-8,disposal_or_proceeds,CFAASDDP-06062,Schedule D Part 4,6276,yes,"AMAPS 1 LLC AMAPS 1 LLC - Tranche A Note 5.859% 07/31/70 ..................................................... ..10/24/2025 . Apollo Capital Markets Partner .................... ..................... ...... 268,000,000 ........268,000,000 .......268,000,000 ..................... ................... .................. ................... .................... ................. ..... 268,000,000 ................. .................. .................. ......... 3,986,842 ..07/31/2070 .",5,2,"268,000,000; 268,000,000; 268,000,000; 268,000,000; 3,986,842",268000000.000000,0.000000,0.000000,3986842.000000,same-cusip-cashlike-row-packet-clean-cashlike-candidate,raw-row-found-short-numeric-stream-column-hold,"raw PDF text extraction supports row inspection but does not prove column semantics, borrower cash, liability spread, or asset return","inspect statutory row columns visually or with page-specific column parsing before promoting consideration, gain/loss, and interest fields"
CFAASCSCRTI-006,CFAASCSCRP-005,20633K-AN-8,year_end_holding,CFAASDFR-8571,Schedule D Part 1 Section 2,6025,yes,"Concord Music Royalties LLC TUNES 2025-3A A ........ ................ .. 1.E FE .. ............215,174,841 ..........215,000,000 ..........218,928,093 ........... 215,167,585 .................. ..........(7,256) .................. .................. ......6.311 ......6.349 JAJO .... ........... 2,676,039 ............3,313,275 ....10/29/2025 ... ....07/20/2075 ... ....218,392,163 ......100.0",8,2,,218928093.000000,215167585.000000,3313275.000000,218392163.000000,same-cusip-cashlike-row-packet-clean-cashlike-candidate,raw-row-found-inspection-ready,"raw PDF text extraction supports row inspection but does not prove column semantics, borrower cash, liability spread, or asset return","inspect statutory row columns visually or with page-specific column parsing before promoting consideration, gain/loss, and interest fields"
CFAASCSCRTI-007,CFAASCSCRP-005,20633K-AN-8,disposal_or_proceeds,CFAASDDP-07635,Schedule D Part 5,6334,yes,"Concord Music Royalties LLC TUNES 2025- 3A A 6.311% 07/20/75 ................... ..07/01/2025 . Santander US Capital Markets L ... ..11/20/2025 . AARE Surplus AAM .............. ........225,000,000 .....224,996,805 .....229,053,398 .......224,990,141 ................... ...........(6,664) ................... ...........(6,664) ................. ................. .......4,063,257 .......4,063,257 .......4,733,250 ................... 1539999999. Subtotal - asset-backed securities - non-financial asset-backed securities - practical expedient - other non- financial asset-backed securities - practical expedient (unaffiliated) 225,000,000 224,996,805 229,053,398 224,990,141 (6,664) (6,664) 4,063,257 4,063,257 4,733,250",18,2,"225,000,000; 224,996,805; 229,053,398; 224,990,141; (6,664); (6,664); 4,063,257; 4,063,257; 4,733,250; 225,000,000; 224,996,805; 229,053,398; 224,990,141; (6,664); (6,664); 4,063,257",229053398.000000,224990141.000000,0.000000,4733250.000000,same-cusip-cashlike-row-packet-clean-cashlike-candidate,raw-row-found-inspection-ready,"raw PDF text extraction supports row inspection but does not prove column semantics, borrower cash, liability spread, or asset return","inspect statutory row columns visually or with page-specific column parsing before promoting consideration, gain/loss, and interest fields"
CFAASCSCRTI-008,CFAASCSCRP-006,592918-AA-4,year_end_holding,CFAASDFR-6403,Schedule D Part 1 Section 2,5979,yes,"MF1 2025-B2 LLC MF1 2025-B2 A .......................... ................ .. 1.A FE .. ............218,271,953 ..........218,819,000 ..........220,656,467 ........... 218,271,953 .................. .................. .................. .................. ......5.362 ......5.576 MON ..... ..............456,326 ........... 8,574,715 ....04/11/2025 ... ....05/18/2040 ... .....41,322,696 ............",7,2,,220656467.000000,218271953.000000,8574715.000000,41322696.000000,same-cusip-cashlike-row-packet-clean-cashlike-candidate,raw-row-found-inspection-ready,"raw PDF text extraction supports row inspection but does not prove column semantics, borrower cash, liability spread, or asset return","inspect statutory row columns visually or with page-specific column parsing before promoting consideration, gain/loss, and interest fields"
CFAASCSCRTI-009,CFAASCSCRP-006,592918-AA-4,disposal_or_proceeds,CFAASDDP-07337,Schedule D Part 5,6323,yes,"MF1 2025-B2 LLC MF1 2025-B2 A 5.362% 05/18/40 ....................................... ..04/11/2025 . Piper Jaffray ......................... ..05/28/2025 . Various ......................... ....... 210,000,000 .... 209,475,000 .....209,559,375 .......209,475,000 ................... ................... ................... ................... ................. ................. ...........84,375 ...........84,375 .......1,302,655 ...................",7,2,"210,000,000; 209,475,000; 209,559,375; 209,475,000; 84,375; 84,375; 1,302,655",209559375.000000,209475000.000000,0.000000,1302655.000000,same-cusip-cashlike-row-packet-clean-cashlike-candidate,raw-row-found-inspection-ready,"raw PDF text extraction supports row inspection but does not prove column semantics, borrower cash, liability spread, or asset return","inspect statutory row columns visually or with page-specific column parsing before promoting consideration, gain/loss, and interest fields"
CFAASCSCRTI-010,CFAASCSCRP-007,91282C-LW-9,year_end_holding,CFAASDFR-0081,Schedule D Part 1 Section 1,5837,yes,"United States Treasury Note/Bo US TREASURY N/B .... ................ .... 1.A .... ............308,727,051 ........... 317,500,000 ........... 321,105,498 ........... 309,490,013 .................. .........753,299 .................. .................. ......4.250 ......4.598 MN ...... ........... 1,696,142 ..........13,493,750 ....02/12/2025 ... ....11/15/2034 ... .........324,246,875",8,2,,321105498.000000,309490013.000000,13493750.000000,324246875.000000,same-cusip-cashlike-row-packet-clean-cashlike-candidate,raw-row-found-inspection-ready,"raw PDF text extraction supports row inspection but does not prove column semantics, borrower cash, liability spread, or asset return","inspect statutory row columns visually or with page-specific column parsing before promoting consideration, gain/loss, and interest fields"
