section_id,section,old_html_inputs,first_principles_point,money_path,company_examples,proof_needed,safe_use
ARHCTEX-001,opening_frame,The Screening Revolution; The Gray Wave Dividend; The Trust Market,"Healthcare tools are the physical and administrative systems that turn medical need into a test, procedure, prescription, hospital stay, device use, or reimbursed claim.",patient/payer/provider need -> test/device/hospital/distributor/tool -> delivered event or product -> reimbursement/service/product payment -> working capital/cost structure -> operating cash,Abbott; Thermo Fisher; HCA; McKesson; Stryker; Exact Sciences; Labcorp; Quest; Intuitive Surgical,procedure volume; test volume; reimbursement; payer mix; receivables; inventory; device margin; hospital labor; drug-distribution working capital; cash flow,"Use as a no-background healthcare tools frame, not as proof that medical need automatically becomes cash."
ARHCTEX-002,need_to_event,all three old dynamics,"Healthcare demand matters only after it becomes an actual event: a test run, device implanted, drug delivered, admission staffed, claim coded, and payment collected.",medical need -> operational event -> bill/claim/invoice -> collection -> cash,hospitals; labs; device makers; distributors; suppliers,volume; utilization; denial; receivables; collection; payer mix; cash conversion,Safe claim: care infrastructure turns need into billable events.
ARHCTEX-003,screening_redesign,The Screening Revolution,"Screening growth often comes from lowering participation friction, not only inventing better science.",at-risk population -> easy test pathway -> test volume -> reimbursement -> lab scale and cash,Exact Sciences; Labcorp; Quest; Abbott diagnostics; Thermo Fisher,test volume; reimbursement; screening revenue; payer coverage; lab cost; receivables; FCF,"Safe claim: easier screening can increase utilization, but utilization is not outcome proof."
ARHCTEX-004,diagnostics_decision_layer,The Screening Revolution; Trust Market,"Diagnostics turn uncertainty into a care decision, so they sit before treatment, reimbursement, and follow-on spending.",symptom/risk -> diagnostic test -> result -> treatment pathway -> payment and follow-on care,Abbott; Thermo Fisher; Labcorp; Quest; Exact Sciences,test volume; revenue per test; payer mix; denial rate; lab capacity; turnaround; cash collection,Safe claim: diagnostics route care decisions; do not claim better outcomes without clinical evidence.
ARHCTEX-005,devices_repeatable_procedure,Trust Market,"Devices turn clinician skill into repeatable procedure capacity, but they depend on hospital budgets, training, approvals, and procedure volume.",procedure need -> device/implant/system -> hospital purchase/use -> payer payment or hospital budget -> manufacturer margin/cash,Stryker; Abbott; Intuitive Surgical; Medtronic as reference; Boston Scientific as reference,procedure volume; device sales; installed base; consumables; segment margin; inventory; recalls,Safe claim: devices monetize procedure infrastructure when usage and margin are visible.
ARHCTEX-006,hospital_capacity,Gray Wave Dividend; Trust Market,"A hospital is a capacity system: beds, staff, equipment, payer contracts, acuity, supply, billing, and collections must all work together.",patient need -> staffed hospital service -> payer/self-pay bill -> collection -> labor/supply/debt cost -> cash,HCA; Tenet; Universal Health Services; surgery centers,admissions; same-facility revenue; payer mix; labor cost; bad debt; acuity; OCF,"Safe claim: hospitals convert care demand into cash only when staffing, payer mix, and collections work."
ARHCTEX-007,drug_distribution,Gray Wave Dividend; Spread Machine as secondary logic,"Drug distribution is access infrastructure with huge revenue, thin margin, inventory risk, receivables/payables timing, and compliance burden.",prescription/drug demand -> wholesaler/distributor -> pharmacy/provider/customer -> invoice/payment timing -> working capital/cash,McKesson; Cencora; Cardinal Health; CVS/Caremark as reference,revenue; operating profit; inventory; receivables; payables; customer concentration; cash conversion,Safe claim: distribution revenue is not margin proof.
ARHCTEX-008,aging_utilization,Gray Wave Dividend,"Aging increases demand for procedures, monitoring, drugs, nutrition, home support, diagnostics, and chronic-care infrastructure, but payment and labor still decide cash.",aging patient need -> tool/site/distributor/provider -> service/product -> payer/reimbursement -> cost and cash,Abbott; HCA; McKesson; Stryker; home-care and senior-care references,volume; payer mix; reimbursement; labor; receivables; margin; working capital,Safe claim: demographics support demand but do not prove reimbursement or cash quality.
ARHCTEX-009,trust_and_compliance,Trust Market,"Healthcare tools sell inside a trust system: safety, quality, regulatory approval, documentation, billing accuracy, and compliance are part of the product.",clinical/regulatory risk -> approved/trusted tool or process -> provider/payer adoption -> payment -> compliance cost and cash,Abbott; Stryker; Thermo Fisher; hospitals; labs; distributors,approvals; recalls; quality issues; compliance cost; denials; retention; margin,Safe claim: trust is operational in healthcare; it must be proven through adoption and risk control.
ARHCTEX-010,working_capital,all three old dynamics,"Healthcare can have demand and still trap cash in inventory, receivables, claims, denials, and payer timing.",product/service delivered -> receivable/inventory/claim -> collection/payable timing -> operating cash,McKesson; HCA; Abbott; Stryker; Thermo Fisher,DSO; inventory; receivables; payables; denial; cash conversion; OCF vs net income,Safe claim: cash timing is central in healthcare infrastructure.
ARHCTEX-011,outcomes_boundary,Screening Revolution; Trust Market,"More tests, devices, admissions, or prescriptions do not automatically mean better health outcomes or fairer access.",medical event -> clinical result -> payer/provider economics -> cash and outcome evidence,all healthcare tools companies,clinical evidence; utilization; readmission; quality; reimbursement; patient access; cash,"Safe claim: this page studies infrastructure and cash routes, not final medical outcomes."
ARHCTEX-012,company_reading_rules,all three old dynamics,Each company must be read by the medical event it enables and the payment timing behind that event.,event type -> volume metric -> reimbursement/pricing metric -> working-capital/cost metric -> cash,Abbott; Thermo Fisher; HCA; McKesson; Stryker,organic sales; procedure/test volume; payer mix; inventory; receivables; margin; OCF; FCF,Safe claim: company examples are candidates until direct annual-report extraction upgrades them.
ARHCTEX-013,proof_ladder,all three old dynamics,The proof ladder runs from medical need to event volume to reimbursement to cash conversion.,theme claim -> event enabled -> volume/utilization proof -> payment/working-capital proof -> cash-flow proof,all target companies,annual reports; segment sales; utilization tables; payer mix; inventory; receivables; cash flow,Safe claim: most healthcare tools rows remain candidate-level.
ARHCTEX-014,writing_claim,all three old dynamics,The final article should say healthcare tools are the machinery that turns medical need into deliverable and billable care.,medical need -> infrastructure event -> payment route -> cost and working capital -> cash,Abbott; Thermo Fisher; HCA; McKesson; Stryker; Exact Sciences; Labcorp; Quest,examples plus proof boundaries,Safe claim: this is an operational and financial reading frame.
ARHCTEX-015,next_work,all three old dynamics,"The next practical step is company extraction for Abbott, Thermo Fisher, HCA, McKesson, and Stryker, with optional Exact Sciences, Labcorp, Quest, and Intuitive Surgical add-ons.",source pull -> metric table -> cash-quality bridge -> upgraded theme page,Abbott; Thermo Fisher; HCA; McKesson; Stryker; Exact Sciences; Labcorp; Quest,"10-K/annual report fields for procedure/test volume, organic sales, payer mix, reimbursement, inventory, receivables, margin, OCF, FCF",Safe claim: this page defines the next extraction path; it is not extraction itself.
