chase_id,company,target_legal_entity_or_channel,proof_gate,source_document,source_route,period,current_evidence,value_or_metric,current_status,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_test
CFILES-001,Apollo/Athene,Athene statutory filing route,public_statutory_portal,"Athene statutory filings investor-relations page","https://ir.athene.com/financial-information/statutory-filings",2025-current,"Athene publishes statutory financial statement links by quarter and legal entity, including Athene Annuity and Life Company, Athene Life Re Ltd., and Athene Annuity & Life Assurance Company of New York.",public statutory route found,source-route-visible,"The missing statutory source family is publicly locatable for Athene legal entities.","This does not mean Schedule D/BA holdings, NAIC designations, income, gains/losses, or liability costs have been extracted.","Download specific statutory statement PDFs and investment schedule files by legal entity and period.","Pass only if legal-entity statutory schedules are acquired and parsed into holdings/income/liability rows."
CFILES-002,Apollo/Athene,Athene retirement-services channel,liability_channel,"Apollo/Athene Q2 2026 local extraction and statutory source route","local extracted Apollo/Athene Q2/FY2025 artifacts",Q2 2026 / FY2025,"Local evidence shows retirement-services gross inflows, Athene-attributable inflows, net flows, gross/net invested assets, alternatives, spread-related earnings, Athene Accounts AUM, direct-origination AUM, and ABF AUM.",22.069B USD gross inflows; 17.095B USD Athene-attributable inflows; 877M USD spread-related earnings,liability-channel-spread-proxy,"Apollo/Athene has a visible liability-capital channel and spread-earnings proxy.","It does not identify which statutory entity owns which asset, which liability funded it, or which borrowers received cash.","Athene statutory statement, liability roll-forward, Schedule D/BA, investment income exhibit, and crediting-rate schedule.","Pass only if liabilities, invested assets, income, and spread are joined by legal entity."
CFILES-003,Apollo/Athene,Athene Schedule D/BA holdings,statutory_holdings,"Athene statutory annual and quarterly statements","Athene IR statutory filings; NAIC annual statement investment schedules",2025-current,"Current local evidence has not extracted Schedule D/BA holdings by issuer, CUSIP, asset type, affiliate status, book value, fair value, or NAIC designation.",not extracted,schedule-d-ba-hold,"The missing proof object is specific: legal-entity investment schedules, not another platform AUM figure.","Platform AUM and invested assets do not prove statutory ownership or asset-level income.","Annual Statement Investment Schedules PDF/data files and Schedule D/BA details.","Pass only if holdings are extracted by legal entity, issuer/CUSIP, asset class, affiliate flag, book value, fair value, and NAIC designation."
CFILES-004,Apollo/Athene,Athene asset-income and liability-cost spread,statutory_income_spread,"Athene statutory investment income and liability exhibits","Athene statutory statements; ALIRT exhibit; NAIC data files",2025-current,"Current local evidence has spread-related earnings at platform level but not statutory investment income, realized gains/losses, impairments, or policyholder liability cost by legal entity.",877M USD platform spread-related earnings,statutory-income-spread-hold,"The public company proxy identifies the economic spread question.","It does not prove risk-adjusted statutory cash spread by asset class or legal entity.","Investment income exhibits, realized gain/loss schedules, impairment schedules, liability roll-forward, crediting-rate support, and ALIRT exhibit.","Pass only if asset income, realized losses/impairments, liability cost, and spread are reconciled by legal entity."
CFILES-005,KKR/Global Atlantic,Global Atlantic statutory filing route,public_statutory_portal,"Global Atlantic financial statements investor-relations page","https://www.globalatlantic.com/investor-relations/financial-statements",2025-current,"Global Atlantic publishes U.S. statutory insurance company annual statement routes and Bermuda reinsurer financial information.",public statutory route found,source-route-visible,"The missing statutory source family is publicly locatable for Global Atlantic legal entities.","This does not extract Schedule D/BA holdings, NAIC designations, borrower-level loans, or liability-cost spread.","Download U.S. statutory insurance company annual statements and related investment schedules.","Pass only if legal-entity statutory schedules are acquired and parsed into holdings/income/liability rows."
CFILES-006,KKR/Global Atlantic,Global Atlantic insurance balance sheet,public_company_asset_income_proxy,"KKR Q2 2026 10-Q and Global Atlantic local extraction","local KKR/Global Atlantic extraction artifacts",Q2 2026,"Local evidence shows Global Atlantic AUM, credit AUM, Ivy/sponsored reinsurance AUM, insurance investments, policy liabilities, fixed maturities, mortgage/other loans, insurance net investment income, asset-class income, allowances, past-due/foreclosure loans, LTV buckets, and FHLB pledged assets.",220B USD AUM; 189.204380B USD insurance investments; 4.028186B USD six-month insurance net investment income,asset-income-credit-quality-proxy,"KKR/Global Atlantic has stronger public-company asset-income and credit-quality proxy evidence than Apollo/Athene.","The proxy does not identify statutory legal-entity holdings, Schedule D/BA issuer rows, liability cost, or borrower/facility use.","Global Atlantic statutory annual statements, Schedule D/BA, mortgage loan schedules, FHLB collateral files, and liability-cost exhibits.","Pass only if statutory holdings, income, credit quality, liability costs, and collateral/funding economics are joined."
CFILES-007,KKR/Global Atlantic,Global Atlantic Schedule D/BA and NAIC designations,statutory_holdings,"Global Atlantic statutory annual statements and NAIC investment schedules","Global Atlantic IR financial statements; NAIC statement files",2025-current,"Current local evidence has not extracted issuer-level Schedule D/BA holdings or NAIC designation distribution from Global Atlantic statutory statements.",not extracted,schedule-d-ba-hold,"The statutory legal-entity layer remains the missing bridge from public-company balance sheet to asset ownership.","AFS fixed maturities and loan balances do not prove legal-entity holdings or statutory capital quality by issuer.","Annual Statement Investment Schedules PDF/data files and NAIC designation schedules.","Pass only if issuer/CUSIP, asset class, NAIC designation, book value, fair value, income, gains/losses, and impairment rows are extracted by legal entity."
CFILES-008,KKR/Global Atlantic,Global Atlantic FHLB and pledged assets,collateral_and_funding,"KKR Q2 2026 10-Q extraction and statutory source route","local KKR 10-Q extraction plus Global Atlantic statutory route",Q2 2026,"Local evidence shows FHLB pledged assets of 9.2B USD but not pledged-asset eligibility, haircut, advance-rate, liability economics, or legal-entity collateral schedule.",9.2B USD pledged assets,collateral-proxy-hold,"The FHLB row identifies a concrete collateral/funding channel inside the insurance wrapper.","Pledged assets alone do not prove available borrowing capacity, collateral certificate, or funding spread.","FHLB collateral schedules, advance agreements, haircut/advance-rate files, funding-agreement liability terms, and statutory notes.","Pass only if pledged assets, haircut/advance rate, advances, liability cost, and investment income are joined by legal entity."
CFILES-009,Apollo/Athene and KKR/Global Atlantic,insurance-to-borrower bridge,borrower_destination,"Insurance statutory asset-income source route and borrower/facility route","local CFISAISR and CFNSAQ-004 artifacts",current,"Both channels lack borrower/facility destination proof from statutory legal entities. KKR/Global Atlantic has more public company asset-class detail; Apollo/Athene has stronger liability-channel/spread proxy scale.",two channels; zero full statutory borrower rows,borrower-destination-hold,"The missing borrower bridge is now explicitly downstream of Schedule D/BA extraction.","Insurance AUM, fixed maturities, and loans cannot be allocated to named borrowers without legal-entity holding rows and borrower documents.","Schedule D/BA issuer rows, private-placement schedules, mortgage/loan schedules, borrower credit agreements, and repayment/cash evidence.","Pass only if legal-entity holdings are matched to borrower/facility use and cash outcome."
CFILES-010,Apollo/Athene and KKR/Global Atlantic,next source decision,source_acquisition_priority,"Named cash proof source locator and public statutory portals","derived control plus public routes",current,"The next best insurance action is to acquire Athene and Global Atlantic statutory statement files before trying to map borrowers. Athene has a clear statutory filing portal; Global Atlantic has a financial-statement portal for U.S. statutory annual statements and Bermuda reinsurers.",Athene and Global Atlantic statutory routes visible,next-source-ranked,"The lane now has a public acquisition route for legal-entity proof.","This does not prove that all detailed investment schedules are free, complete, or machine-readable.","Specific statutory PDFs/data files for Athene Annuity and Life Company and Global Atlantic U.S. insurance entities.","Pass only after statutory statement files are locally acquired and Schedule D/BA/income/liability tables are extracted."
