"request_id","rank","target_case","proof_layer","likely_controller","needed_source_package","current_best_evidence","current_status","promotion_test","hold_test","next_action","safe_use"
"CFNCPDSR-001","1","FPL Distribution Inspection","customer billing and receipts","FPL; Florida PSC staff; intervenor parties","served discovery answers; POD attachments; billing determinant workpapers; category receipt ledger","Public PSC route shows petition testimony factor support amended factors aggregate SPPCRC revenue discovery route response notices and audit route","route-and-proxy-visible","Pass only if documents show billed and collected SPPCRC cash by rate class/month and allocate receipts to Distribution Inspection","Hold if evidence remains aggregate revenue projected factors certificates notices or metadata","Prepare FPL 20260010-EI records-request and party-file checklist","Use as first customer-receipt source request"
"CFNCPDSR-002","2","FPL Distribution Inspection","funding and earned return","FPL; Florida PSC staff","source-of-funds schedule; legal-entity/regulatory ledger; earned-return workpapers","Local trail shows Distribution Inspection cost recovery and capital-structure proxy fields","category-recovery-proxy-visible","Pass only if source joins category spend rate recovery funding source legal entity and earned return","Hold if source only shows WACC components aggregate capital structure or approved factors","Request source-of-funds and earned-return workpapers tied to Distribution Inspection","Use as regulated-return request"
"CFNCPDSR-003","3","Wheaton/BHP Antamina","PMPA settlement cash","Wheaton; BHP; Antamina PMPA administrator","PMPA-only delivery ledger; invoices; settlement cash; realized price support","Public evidence shows 4.300B USD payment BHP receipt delivery mechanics first delivery and combined-stream cash-back proxy","partial-two-sided-transaction-visible","Pass only if BHP PMPA-only deliveries invoices and cash settlement are separated from legacy Glencore stream","Hold if evidence remains combined-stream cash flow or production proxy","Pursue PMPA-only ledger or enough note disclosure to isolate BHP stream","Use as named-asset settlement request"
"CFNCPDSR-004","4","Wheaton Antamina","debt waterfall and lender allocation","Wheaton; Bank of Montreal administrative agent; lender syndicate","term-loan agreement; lender allocation; borrowing notices; repayment waterfall","Public route identifies 1.500B USD term facility and Bank of Montreal route","financing-channel-visible","Pass only if debt draw lender allocation PMPA use and repayment waterfall are joined","Hold if only facility size or administrative-agent role is visible","Search for term-loan filing and lender schedule; treat borrowing notices as controlled documents until surfaced","Use as lender-waterfall request"
"CFNCPDSR-005","5","Wheaton Antamina","return model","Wheaton; BHP; technical and valuation advisors","reserve-life support; tax allocation; interest allocation; DCF; IRR; NPV; payback model","Local trail has stream revenue cost depletion profit OCF assets and rough yield proxies","return-proxy-visible","Pass only if a source-backed model includes delivered units realized price tax interest debt service reserve life discount rate and payback/IRR/NPV","Hold if model uses company-level tax or interest or rough annualized proxy only","Pursue reserve model valuation inputs and debt-service-adjusted PMPA DCF","Use as asset-return request"
"CFNCPDSR-006","6","PBF refinancing","trustee settlement cash","PBF; trustee; paying agent; underwriters","redemption statement; paying-agent transfer; accrued-interest calculation; fee schedule","Public SEC filings show 500.0M USD notes 492.1M USD net proceeds 801.6M USD redemption and derived accrued-interest proxy","principal-plus-accrued-interest-proxy-visible","Pass only if settlement cash reconciles new-note proceeds available cash principal accrued interest fees and paying-agent transfer","Hold if accrued interest remains derived or available cash source remains unidentified","Pursue trustee redemption statement paying-agent confirmation and fee schedule","Use as refinancing settlement request"
"CFNCPDSR-007","7","PBF refinancing","refinancing value and liquidity","PBF; lenders; rating agencies; treasury advisors","pro forma debt-service model; fee amortization; tax treatment; ABL availability; refinery cash contribution","Public trail shows coupon relief proxy company cash support and insurance-normalized OCF proxy","value-proxy-visible","Pass only if after-tax NPV liquidity effect ABL capacity and recurring refinery cash contribution are joined","Hold if evidence remains coupon math or company-level OCF proxy","Request debt-service/NPV model and ABL availability support","Use as refinancing-return request"
"CFNCPDSR-008","8","United Rentals fleet","collateral availability","URI; ABL agent; lender group","Borrowing Base Certificate; eligible collateral schedule; NOLV; reserves; L/C schedule","Public ABL agreement defines certificate mechanics and company filings show liquidity collateral and fleet proxies","collateral-proxy-visible","Pass only if populated certificate proves legal collateral availability with eligible collateral advances reserves and L/C deductions","Hold if source only shows total availability AR pool or certificate-delivery condition","Pursue certificate availability report or rating/lender collateral schedule","Use as collateral-certificate request"
"CFNCPDSR-009","9","United Rentals fleet","fleet-class return","URI; internal fleet finance; lenders; rating agencies","fleet-class utilization; rental rate/time mix; maintenance capex; sale proceeds; lifecycle ROIC","Local URI evidence shows OEC rental revenue fleet productivity OCF/capex coverage and ROIC proxy","fleet-return-proxy-visible","Pass only if fleet-class cash inflows outflows sale proceeds and lifecycle return are joined","Hold if evidence remains company or segment proxy","Request fleet-class lifecycle return support","Use as fleet-return request"
"CFNCPDSR-010","10","Ares/Frontline","borrower facility cash","Frontline; Bain; Ares; credit agent","credit agreement; lender schedule; closing funds-flow; collateral package; borrower financials","Public and SEC holder trail shows Ares arranger role first-lien markers fair-value exposure and commitments","borrower-facility-marker-visible","Pass only if facility size Ares allocation use of proceeds borrower cash flow collateral and repayment route are joined","Hold if evidence remains holder fair value or arranger-role language","Pursue borrower credit agreement and funds-flow package","Use as borrower-facility request"
