row_id,period,company,ticker,theme,subtheme,category,metric,value,unit,source_file,source_detail,evidence_status,what_it_says,what_it_does_not_say,next_source
URICEM-001,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,category economics matrix,Source boundary,Category economics matrix,category-economics-matrix-visible,text,"analysis/company-first-principles/capital-flow-uri-specialty-category-source-boundary-pass-1.md; analysis/company-first-principles/capital-flow-uri-fleet-type-revenue-estimate-pass-1.md; analysis/company-first-principles/capital-flow-uri-ancillary-matting-margin-bridge-pass-1.md",Synthesis of URI category passes,source-boundary,"The matrix separates category revenue-scale evidence from missing category unit economics.","It does not create category margin, OEC, capex, utilization, or ROIC proof.","Product-line unit economics source"
URICEM-002,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,category revenue estimate,Power/HVAC,Approximate equipment-rental revenue,1.519,B USD,analysis/company-first-principles/capital-flow-uri-fleet-type-revenue-estimate-pass-1.md,Rows URIFTRE-013 and category table,revenue-scale-estimate-visible,"Power/HVAC can be sized at about 1.519B USD of FY2025 equipment-rental revenue using rounded fleet-type mix.","It is not source-stated product-line revenue and does not disclose margin, OEC, capex, utilization, or ROIC.","Power/HVAC product-line economics"
URICEM-003,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,category revenue estimate,Trench Safety,Approximate equipment-rental revenue,0.690,B USD,analysis/company-first-principles/capital-flow-uri-fleet-type-revenue-estimate-pass-1.md,Rows URIFTRE-016 and category table,revenue-scale-estimate-visible,"Trench Safety can be sized at about 0.690B USD of FY2025 equipment-rental revenue using rounded fleet-type mix.","It is not source-stated product-line revenue and does not disclose margin, OEC, capex, utilization, or ROIC.","Trench Safety product-line economics"
URICEM-004,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,category revenue estimate,Fluid Solutions,Approximate equipment-rental revenue,0.966,B USD,analysis/company-first-principles/capital-flow-uri-fleet-type-revenue-estimate-pass-1.md,Rows URIFTRE-019 and category table,revenue-scale-estimate-visible,"Fluid Solutions can be sized at about 0.966B USD of FY2025 equipment-rental revenue using rounded fleet-type mix.","It is not source-stated product-line revenue and does not disclose margin, OEC, capex, utilization, or ROIC.","Fluid Solutions product-line economics"
URICEM-005,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,category revenue estimate,Mobile Storage/modular,Approximate equipment-rental revenue,0.414,B USD,analysis/company-first-principles/capital-flow-uri-fleet-type-revenue-estimate-pass-1.md,Rows URIFTRE-022 and category table,revenue-scale-estimate-visible,"Mobile Storage/modular can be sized at about 0.414B USD of FY2025 equipment-rental revenue using rounded fleet-type mix.","It is not source-stated product-line revenue and does not disclose margin, OEC, capex, utilization, or ROIC.","Mobile Storage/modular product-line economics"
URICEM-006,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,category revenue estimate,Surface Protection Mats,Approximate equipment-rental revenue,0.552,B USD,analysis/company-first-principles/capital-flow-uri-fleet-type-revenue-estimate-pass-1.md,Rows URIFTRE-025 and category table,revenue-scale-estimate-visible,"Surface Protection Mats can be sized at about 0.552B USD of FY2025 equipment-rental revenue using rounded fleet-type mix.","It is not source-stated product-line revenue and does not disclose Matting margin, OEC, capex, utilization, or ROIC.","Matting/Yak product-line economics"
URICEM-007,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,category sum,Named Specialty fleet-type estimates,Approximate equipment-rental revenue sum,4.142,B USD,analysis/company-first-principles/capital-flow-uri-fleet-type-revenue-estimate-pass-1.md,Row URIFTRE-028,revenue-scale-estimate-sum-visible,"The named Specialty category estimates sum to about 4.142B USD in FY2025.","The sum does not exactly equal filed Specialty segment equipment-rentals revenue of 4.641B USD.","Segment-to-category reconciliation source"
URICEM-008,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,segment economics boundary,Specialty segment,Equipment-rentals revenue,4.641,B USD,analysis/company-first-principles/capital-flow-uri-owned-rental-segment-trend-pass-1.md,Annual segment trend table,segment-level-visible,"Filed Specialty segment equipment-rentals revenue was 4.641B USD in FY2025.","It does not split revenue by Specialty category.","Category revenue source"
URICEM-009,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,segment economics boundary,Specialty segment,Gross profit,2.024,B USD,analysis/company-first-principles/capital-flow-uri-owned-rental-segment-trend-pass-1.md,Annual segment trend table,segment-level-visible,"Filed Specialty segment gross profit was 2.024B USD in FY2025.","It does not split gross profit by Specialty category.","Category gross-profit source"
URICEM-010,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,segment economics boundary,Specialty segment,Gross margin,43.6,percent,analysis/company-first-principles/capital-flow-uri-ancillary-matting-margin-bridge-pass-1.md,Specialty margin bridge rows,segment-level-visible,"Filed Specialty segment gross margin was 43.6% in FY2025.","It cannot be allocated across Power/HVAC, Trench, Fluid, Mobile Storage/modular, or Matting from this source.","Category margin source"
URICEM-011,H1 2026,United Rentals,URI,capital-intensive real-economy buildout,segment capital allocation,Specialty segment,Capital expenditures,817,M USD,analysis/company-first-principles/data/capital-flow-uri-owned-rental-segment-economics-pass-1.csv,Row URIORSE-034,segment-level-visible,"Specialty received 817M USD of H1 2026 segment capital expenditures.","The filing does not split capex by Specialty category or growth versus replacement.","Category capex source"
URICEM-012,H1 2026,United Rentals,URI,capital-intensive real-economy buildout,segment economics boundary,Specialty segment,Gross margin,43.1,percent,analysis/company-first-principles/capital-flow-uri-ancillary-matting-margin-bridge-pass-1.md,Ancillary/Matting margin bridge,segment-level-visible,"H1 2026 Specialty margin was 43.1%, showing margin pressure continued after FY2025.","It does not quantify category-level margin pressure.","Category margin bridge"
URICEM-013,Q4 2025,United Rentals,URI,capital-intensive real-economy buildout,productivity driver boundary,Surface Protection Mats / Matting,Fleet productivity mix commentary,negative qualitative,text,analysis/company-first-principles/capital-flow-uri-transcript-rate-time-mix-commentary-pass-1.md,Q4 2025 transcript commentary,qualitative-driver-visible,"Matting project timing was a qualitative negative mix driver for Q4 2025 fleet productivity.","It does not quantify Matting revenue, margin, OEC, capex, utilization, or ROIC.","Official transcript/audio and category economics"
URICEM-014,FY/H1 2025-2026,United Rentals,URI,capital-intensive real-economy buildout,margin driver boundary,Surface Protection Mats / Matting,Margin-pressure commentary,depreciation pressure qualitative,text,analysis/company-first-principles/capital-flow-uri-ancillary-matting-margin-bridge-pass-1.md,Matting and specialty margin bridge,qualitative-driver-visible,"Matting is named in the source trail as a contributor to specialty margin/depreciation pressure.","It does not say Matting caused all margin compression or disclose Matting margin.","Matting/Yak accounting and category margin"
URICEM-015,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,category economics gap,Power/HVAC,Category margin,not disclosed,text,analysis/company-first-principles/capital-flow-uri-category-economics-matrix-pass-1.md,Matrix gap row,gap-visible,"The current source set does not disclose Power/HVAC margin.","No category return claim can be made for Power/HVAC yet.","Power/HVAC unit economics"
URICEM-016,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,category economics gap,Trench Safety,Category OEC/capex,not disclosed,text,analysis/company-first-principles/capital-flow-uri-category-economics-matrix-pass-1.md,Matrix gap row,gap-visible,"The current source set does not disclose Trench Safety OEC or capex.","No category capital-intensity or ROIC claim can be made for Trench Safety yet.","Trench OEC/capex source"
URICEM-017,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,category economics gap,Fluid Solutions,Category utilization,not disclosed,text,analysis/company-first-principles/capital-flow-uri-category-economics-matrix-pass-1.md,Matrix gap row,gap-visible,"The current source set does not disclose Fluid Solutions utilization.","No category utilization claim can be made for Fluid Solutions yet.","Fluid Solutions utilization source"
URICEM-018,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,category economics gap,Mobile Storage/modular,Category margin/OEC/capex,not disclosed,text,analysis/company-first-principles/capital-flow-uri-category-economics-matrix-pass-1.md,Matrix gap row,gap-visible,"The current source set does not disclose Mobile Storage/modular margin, OEC, or capex.","No category unit-economics claim can be made for Mobile Storage/modular yet.","Mobile Storage/modular unit economics"
URICEM-019,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,category economics gap,Surface Protection Mats,Category ROIC,not disclosed,text,analysis/company-first-principles/capital-flow-uri-category-economics-matrix-pass-1.md,Matrix gap row,gap-visible,"The current source set does not disclose Matting ROIC.","Matting revenue growth and qualitative commentary do not prove Matting return quality.","Yak/Matting acquired fleet value, capex, margin, and utilization"
URICEM-020,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,safe claim boundary,Category economics matrix,Safe claim,category-economics-matrix-visible,text,analysis/company-first-principles/capital-flow-uri-category-economics-matrix-pass-1.md,Synthesis,safe-claim-boundary,"URI now has category-economics matrix visibility: revenue scale is visible for major Specialty categories and gaps are explicit.","Do not promote this to category unit economics, category margin, category OEC, category capex, category utilization, or category ROIC.","Product-line investor day, acquisition materials, category OEC/capex/margin source"
