status_id,work_order_id,priority,source_family,artifact,row_count,partial_count,hold_count,best_current_upgrade,hardest_remaining_blocker,next_source_package,leverage_rank,safe_claim
CFSRES-001,CFRMSWO-001,1,customer receipts and billing support,capital-flow-customer-receipts-billing-source-route-pass-1.md,5,0,5,recovery backlog company-cash capacity and tariff proxies visible,named category project route or backlog-cohort customer cash receipts,billing determinants customer bills route billing project collections and collection schedules,1,"Customer-receipt work remains a hard blocker: current evidence has proxies but no named cash receipt proof."
CFSRES-002,CFRMSWO-002,2,source-to-use allocation and funds-flow priority,capital-flow-source-to-use-allocation-work-order-pass-1.md,6,3,3,Devon PBF and Liberty show aggregate or transaction source/use mechanics,specific source priority and named-use allocation,treasury ledgers borrowing notices project allocation schedules and funds-flow support,3,"Source/use allocation improved in transaction and aggregate cases, but named source-to-use funding remains incomplete."
CFSRES-003,CFRMSWO-003,3,project or asset cash contribution,capital-flow-project-asset-cash-contribution-source-route-pass-1.md,7,2,5,Devon and PBF show partial contribution proxies,standalone project asset route or backlog-cohort cash contribution,project EBITDA asset-area cash margin refinery contribution route revenue and segment cash bridges,2,"Project/asset contribution is still one of the main blockers between company cash proxy and asset return."
CFSRES-004,CFRMSWO-004,4,debt-service waterfalls and lender allocation,capital-flow-debt-service-waterfall-source-route-pass-1.md,7,3,4,PBF Liberty and Matador show partial debt/payback mechanics,lender allocation restricted-account routing and asset/project debt-service waterfall,debt-service schedules lender allocation borrowing notices indentures and repayment waterfalls,3,"Debt/payback mechanics improved, but capital-provider payback remains inferred in most asset/project rows."
CFSRES-005,CFRMSWO-005,5,borrower facility documents and lender schedules,capital-flow-borrower-facility-document-source-route-pass-1.md,4,2,2,Ares/Frontline and Matador show partial facility or lender-group evidence,full facility size lender allocation borrower use repayment and bank role,credit agreements lender schedules payoff letters borrower financials and bank residual-role support,4,"Borrower facility proof begins in selected rows but does not yet prove full borrower cash movement or bank replacement."
CFSRES-006,CFRMSWO-006,6,statutory investment schedules and asset-income detail,capital-flow-insurance-statutory-asset-income-source-route-pass-1.md,2,0,2,insurance investment base asset-class income and credit-quality proxies visible,statutory legal-entity holdings asset income NAIC risk and liability-cost spread,statutory filings Schedule D Schedule BA income schedules impairments NAIC designations and liability-cost schedules,4,"Insurance/private-credit balance-sheet proof remains blocked until statutory legal-entity schedules are acquired."
CFSRES-007,CFRMSWO-007,7,contract pricing customer obligation and tenor evidence,capital-flow-contract-pricing-obligation-source-route-pass-1.md,6,4,2,Cheniere Sterling Energy Transfer and Plains show contract durability or commercial mechanics,price economics committed customer cash non-cancellable terms and funded-award proof,SPA pricing shipper contracts customer contracts open-season results funded awards and minimum-volume terms,5,"Contract durability improved, but pricing and legally committed cash remain incomplete."
CFSRES-008,CFRMSWO-008,8,physical output and utilization attribution,capital-flow-output-utilization-attribution-source-route-pass-1.md,5,3,2,Cheniere URI and Energy Transfer show partial output or utilization attribution,asset-specific utilization cargo-to-train route throughput and asset-area production,cargo-to-train mapping fleet-class utilization route throughput terminal volumes and asset-area production schedules,5,"Output attribution improved, but output still cannot support asset-level cash-return proof where it remains aggregate."
CFSRES-009,CFRMSWO-009,9,collateral borrowing-base and availability certificates,capital-flow-collateral-availability-certificate-source-route-pass-1.md,4,2,2,Matador and Liberty show partial borrowing-base pledged-share or LTV mechanics,certificate-level legal availability eligible collateral advance rates and reserves,borrowing-base certificates collateral reports reserve reports pledged-asset files LTV certificates and availability calculations,4,"Collateral mechanics are visible in selected rows, but legal availability remains mostly unproven."
CFSRES-010,CFRMSWO-010,10,retainage receivable aging and working-capital collection,capital-flow-working-capital-collection-source-route-pass-1.md,3,1,2,FPL shows aggregate recovery collection mechanics,receivable aging retainage collection customer records and backlog-cohort cash collection,receivable aging retainage schedules customer collection records contract rollforwards and true-up collection support,1,"Working-capital collection remains a high-leverage blocker for turning backlog and recovery into cash proof."
CFSRES-011,CFRMSWO-011,11,acquisition refinancing or merger closing funds-flow,capital-flow-transaction-funds-flow-source-route-pass-1.md,5,5,0,all five affected rows show partial transaction mechanics,final closing funds-flow fee tax settlement debt treatment and final economic outcome,closing statements redemption settlements pro forma interest fee amortization tax treatment merger funds-flow and assumed-debt support,3,"Transaction mechanics are broadly visible, but final closing funds-flow and economics remain incomplete."
CFSRES-012,CFRMSWO-012,12,IRR NPV ROIC reserve-life or return-model support,capital-flow-return-model-source-route-pass-1.md,6,3,3,Wheaton FPL and URI show partial return proxies,full IRR NPV ROIC reserve-life earned-return or project-return proof,IRR models NPV support ROIC bridges reserve-life support mine plans earned-return and project-return support,5,"Return-model support remains bounded: partial proxies exist, but full investment-return proof is not established."
