"lane_id","destination_lane","main_routers","money_source","what_gets_funded","operating_beneficiaries","best_named_proof_chase","current_proof_level","missing_proof","decisive_document_family","safe_claim"
"CFBMDL-001","private credit / direct lending","Apollo; Ares; Blackstone; KKR; Carlyle; BlackRock/HPS","insurance liabilities; BDC investors; institutions; private wealth; credit allocators","sponsor-backed borrowers; acquisitions; refinancings; growth facilities; ABF","private borrowers; healthcare/services; industrial rollups; software/services","Ares/Frontline; Blackstone borrower candidates; Auctane/Stamps.com","named-borrower-marker-visible","credit agreement; lender schedule; use of proceeds; borrower cash; debt service; repayment; bank role","credit agreement; lender schedule; funds-flow memo; borrower cash; repayment proof","Private credit is a major destination lane, but current evidence is mostly route and borrower-marker proof rather than full borrower cash proof."
"CFBMDL-002","insurance and retirement yield","Apollo/Athene; KKR/Global Atlantic; Brookfield; Blackstone insurance SMAs","retirement savers; annuity policyholders; insurers; reinsurance vehicles","fixed maturities; private credit; ABF; mortgage loans; alternative investments","credit originators; infrastructure assets; private borrowers; asset managers","Athene statutory asset-income; Global Atlantic Schedule D/BA","liability-channel-proxy-visible","statutory holdings; investment income; credit quality; liability-cost spread; borrower allocation","statutory Schedule D/BA; investment income; liability-cost spread; credit quality","Insurance and retirement liabilities are key capital sources, but proof needs legal-entity statutory schedules."
"CFBMDL-003","data centers and AI power","Blackstone; Brookfield; KKR; Ares; BlackRock; comparison utilities","institutions; infrastructure funds; private credit; public debt; utility customers; hyperscalers","data centers; power generation; grid upgrades; cooling; electrical infrastructure","utilities; contractors; electrical distributors; power owners; equipment suppliers","FPL regulated recovery; AEP/Duke; Blackstone/Brookfield infrastructure case","theme-and-recovery-route-visible","project source/use; customer contracts; billing receipts; recovery; in-service output; return","PPA; interconnection; tariff; recovery filing; customer contract; in-service billing evidence","AI/data-center capital becomes real only where power, grid, cooling, and construction evidence is visible."
"CFBMDL-004","infrastructure and real assets","Brookfield; Blackstone; KKR; Ares; Carlyle; public debt markets","pensions; sovereigns; institutions; insurers; wealth clients","power; renewables; transport; real estate; operating infrastructure","utilities; construction suppliers; contractors; midstream; maintenance operators","Cheniere; Energy Transfer Nederland; Brookfield infrastructure case","project-output-proxy-visible","project/customer cash; debt waterfall; legal entity; project EBITDA/DCF; IRR/NPV","project source/use; customer cash; debt waterfall; project EBITDA/DCF; return model","Infrastructure and real assets show strong output and route evidence but still need project cash and return proof."
"CFBMDL-005","private companies and rollups","Blackstone; KKR; Apollo; Ares; Carlyle; Brookfield","private equity LPs; private credit funds; wealth alternatives; BDCs","acquisitions; sponsor buyouts; consolidation; growth capital; continuation vehicles","private operating companies; suppliers; service businesses; healthcare; industrials","Frontline; Atwell; Relation; Medallia; Guidehouse","transaction-and-holder-route-visible","total facility size; acquisition funds-flow; borrower use; bank payoff/coexistence; borrower cash","credit agreement; acquisition funds-flow; payoff letter; borrower financials","Private companies can stay private longer because platforms supply equity, credit, and liquidity, but named use/cash proof remains hard."
"CFBMDL-006","fleet and collateral systems","URI; banks/ABL lenders; public debt; Blackstone/Apollo/ABF analogs","ABL lenders; public debt buyers; equity holders; asset-backed lenders","rental equipment; receivables pools; inventory; asset-backed collateral","United Rentals; distribution/fleet operators; construction and industrial customers","URI borrowing-base certificate and fleet-class return","collateral-and-cash-proxy-visible","populated certificate; eligible collateral; NOLV/reserves; utilization; fleet-class lifecycle ROIC","borrowing-base certificate; eligible collateral; NOLV; reserves; fleet lifecycle return","Fleet and collateral lanes show strong cash and collateral proxies, but not populated certificate-grade proof."
"CFBMDL-007","secondaries and private-market liquidity","Carlyle/AlpInvest; Ares; Blackstone; KKR","institutions; private wealth; LPs needing liquidity; continuation funds","secondary fund interests; continuation vehicles; co-investments; private-market liquidity","private equity sponsors; LPs; private companies staying private longer","Carlyle/AlpInvest secondaries cash case","platform-map-visible-hold","named transaction cash flow; fund source/use; discount/realization; fees; return","fund transaction statement; purchase discount; cash distributions; realization and return support","Secondaries are a likely structural liquidity lane, but current local named-cash proof is underdeveloped."
"CFBMDL-008","wealth alternatives","Blackstone; KKR; Apollo; BlackRock; Ares; Carlyle","high-net-worth clients; advisors; retirement-adjacent wealth; private banks","semi-liquid funds; private credit; real estate; infrastructure; secondaries","asset managers; advisor platforms; private-market borrowers/assets","BCRED/BXSL/wealth product to borrower or asset cash case","capital-source-channel-visible","investor subscriptions; vehicle allocation; borrower/project cash; redemptions; liquidity stress","subscription/redemption flows; vehicle allocation; liquidity gates; borrower/asset cash","Wealth alternatives expand the source pool for private assets but require vehicle allocation and liquidity proof."
"CFBMDL-009","regulated recovery / utility rate base","FPL/NextEra; AEP; Duke; Exelon; comparison public debt and utility customers","utility customers; public debt; equity; regulated capital structures","storm protection; distribution; transmission; generation; grid reliability","utilities; contractors; equipment suppliers; rate-base owners","FPL Distribution Inspection","regulated-recovery-proxy-visible","billing determinants; collected receipts; category allocation; source-of-funds; earned return","billing determinants; collected receipts; category allocation; earned-return workpapers","Regulated recovery is the cleanest public customer-payment route, but actual receipt ledgers still control promotion."
"CFBMDL-010","refinancing and debt reshaping","PBF; Matador; Devon; Liberty Broadband; public debt buyers; banks","public note buyers; bank lenders; operating cash; restricted cash; revolvers","debt redemption; maturity extension; acquisitions; lease purchases; merger cleanup","refiners; E&P companies; holding companies; creditors; equity holders","PBF trustee settlement; Matador BLM funds-flow; Devon source priority","transaction-source-use-proxy-visible","settlement statement; paying-agent transfer; borrowing notice; treasury ledger; fee/tax/NPV model","trustee settlement; paying-agent transfer; borrowing notice; treasury source/use ledger; NPV/liquidity model","Refinancing lanes can show clean source/use mechanics, but final value proof needs settlement and return economics."
