writing_id,priority,theme,reader_hook,company_examples,evidence_to_use,best_chapter_role,proof_boundary,next_writing_or_research_step
ARTWA-001,1,power_scarcity_grid_reliability,"Electricity is becoming a constraint on economic growth not just a utility bill","Constellation; Vistra; NRG; Exelon; Duke; AEP; NextEra; FPL","GW; PPAs; ESAs; rate-base plans; tariff/rider filings; capital plans; project status; recovery mechanisms",lead broad theme for AI infrastructure and utility scarcity,"Load forecasts and capex plans are not customer cash or project returns",write power scarcity chapter with FPL/AEP/Duke/Constellation examples
ARTWA-002,2,capital_allocation_private_markets,"Giant platforms are becoming the routes through which savings reach hard-to-access assets","BlackRock; Blackstone; Apollo/Athene; KKR/Global Atlantic; Brookfield; Ares; Carlyle","AUM; FPAUM; insurance liabilities; statutory schedules; credit AUM; inflows; originations; named legal-entity holdings",proof backbone and big-money platform chapter,"Platform scale is not proof of borrower receipt settlement cash waterfall or final return",write capital routing chapter with Accordia and Apollo/Athene boundaries
ARTWA-003,3,healthcare_access_care_delivery,"The scarce thing in healthcare is organized access under cost and labor pressure","UnitedHealth; Cigna; DaVita; Option Care; Addus; BrightSpring; Enhabit","Revenue; medical-cost trend; pharmacy/service economics; patients served; admissions; census; reimbursement; labor productivity",human burden-transfer chapter,"Demand for care does not prove durable reimbursement trust quality or cash conversion",write healthcare access chapter from patient/payor/provider burden
ARTWA-004,4,industrial_access_uptime_infrastructure,"Modern physical work fails when equipment parts technical support or project supply chains fail","United Rentals; Fastenal; WESCO; Grainger; Applied Industrial; MSC; Watsco","Fleet productivity; OEC; rental revenue; vending/onsite locations; backlog; branch density; gross margin; OCF",operating bottleneck chapter,"Sales and backlog are not proof of project-level collection or asset ROIC",write uptime infrastructure chapter with URI and WESCO as anchors
ARTWA-005,5,built_environment_upkeep,"Expensive housing and aging infrastructure shift demand toward repair maintenance replacement and contractor channels","Home Depot; Lowes; Builders FirstSource; Sherwin-Williams; West Fraser; Ferguson; Core Main","RMI mix; Pro growth; waterworks demand; branch networks; coatings sales; lumber cycle data; cash conversion",physical upkeep chapter,"Housing exposure is not one thing because each sub-lane has different demand and margin risk",write built-environment upkeep chapter around shelter as ongoing burden
ARTWA-006,6,internet_software_digital_control_layers,"More digital activity creates demand for permission security routing execution and governance","Cloudflare; Akamai; Fastly; Zscaler; Fortinet; DigitalOcean; Roblox","ARR; RPO; deferred revenue; traffic/security demand; large contracts; AI workload evidence; FCF; safety/governance cost",digital trust/control chapter,"Digital growth does not automatically become operating leverage or durable control",write digital control chapter around trust as infrastructure
ARTWA-007,7,value_retail_pressured_consumer,"Pressured households split the wallet by job not just by cheapest store","Costco; Walmart; Target; Dollar General; Dollar Tree; Burlington; Ollies","Traffic; comps; basket; membership fees; ads; e-commerce; margin; shrink; inventory quality; digital growth",consumer behavior chapter,"Trade-down is too blunt because each retailer solves a different consumer anxiety",write value retail chapter around regret management
ARTWA-008,8,working_capital_inventory_stress,"Growth only matters if it turns into cash rather than getting trapped in receivables and inventory","Target; Zebra; MSC; Global Industrial; Pool; Core Main; Arrow; Synchrony","DSO; inventory turns; reserves; customer concentration; borrowing-base eligibility; gross margin; OCF",quality-of-growth proof box,"Revenue growth and balance-sheet growth are not cash realization",build working-capital proof exhibit for later draft
ARTWA-009,9,acquisition_rollup_backlog_conversion,"Buying companies customers and backlog is only useful if it converts after close","Sterling; MasTec; URI/Yak; Core Main; Relation; MAI; Frontline; Atwell","Purchase price; debt funding; acquired backlog; backlog burn; retainage; project margin; contract assets/liabilities; OCF",consolidation and execution proof box,"Transaction size is not value creation or cash collection",build acquisition/backlog conversion exhibit
ARTWA-010,10,debt_reshaping_refinancing,"Refinancing can create breathing room but can also just move risk forward","PBF; Matador; Devon; Liberty Broadband; Verizon; Wheaton","Issuance proceeds; redemption amounts; maturities; coupon changes; fees; settlement; interest cost; liquidity; NPV model",financial mechanics proof box,"Principal and coupon mechanics are not proof of value creation",build refinancing value proof exhibit
