layer,contribution,source_artifact,current_status,boundary,first_party_method_references
Social research,Affordability substitution and constrained-choice behavior signals,/home/mehtama1/git-repo/social-research/analysis/social/cross-repository-theme-evidence-matrix.md,usable-directional-context,No population prevalence or causality,NA
Inc. 5000,Private-company formation and mapped growth context,/home/mehtama1/git-repo/inc5000-analysis/README.md,discovery-layer,No verified profitability or owner cash,NA
IBIS Industries,Industry adjacency and bottleneck context,../../notes/ibis-industries-crosswalk.md,industry-map-context,No exact company-period financial proof,NA
Annual reports and SEC/IR,"Company-period facts, liabilities, cash flow, legal-entity evidence, payer maps, attached-service accounting boundaries, transaction-wrapper disclosures, and parent-balance-sheet context",analysis/company-first-principles/combined-investment-research-current-synthesis.md,primary-source-routed,Reported facts still require denominator and attribution analysis,NA
Damodaran valuation,Cash reinvestment multiples SOTP and price-implied expectation screens,analysis/company-first-principles/data/combined-investment-research-pilot-02-retail-valuation-workbench.csv,qualified-illustrative,Assumptions are not evidence that future growth occurs; the September 16 market snapshot is preserved in a companion structured CSV,https://pages.stern.nyu.edu/adamodar/New_Home_Page/lectures/approach.html; https://pages.stern.nyu.edu/~adamodar/New_Home_Page/littlebook/intrinsicvsrelative.htm; https://pages.stern.nyu.edu/adamodar/New_Home_Page/tools.html
Lyn Alden macro/liquidity,Inflation affordability rates funding policyholder liquidity and durability tests,analysis/company-first-principles/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.md,qualified-mechanism-layer,Macro transmission and regime consistency do not prove company resilience,https://www.lynalden.com/fiscal-and-monetary-policy/; https://www.lynalden.com/what-is-money/; https://www.lynalden.com/
Investments article and hard-gate bridge,Article-derived hypotheses Lyn Alden/Damodaran workflow context metric acquisition requests and pass/block decisions routed into filing tests,analysis/company-first-principles/combined-investment-research-investments-repo-bridge.md,connected-hypothesis-and-triage-layer,Article stance alignment or hard-gate status does not replace primary filing denominator cash or falsifier evidence,NA
Capital-flow and legal-entity proof,Named sources wrappers assets deliveries transfers claims statutory cash-flow denominators and return boundaries,analysis/company-first-principles/capital-flow-apollo-athene-statutory-cash-return-upgrade-2026-09-15.md,qualified-named-cash-pilots,Receipt waterfalls asset-level statutory returns unrestricted common cash and full returns remain open,NA
Quality of earnings and financial shenanigans,Accrual quality working-capital timing capitalization temporary support dilution revenue timing related-party flows and legal-entity cash-perimeter tests,analysis/company-first-principles/combined-investment-research-quality-of-earnings-financial-shenanigans-overlay-2026-09-16.md,connected-diagnostic-overlay,It flags falsifiable risk boundaries but does not establish fraud or replace period-matched cash and filing evidence,NA
Reader and confidence layer,Public route distinguishing established evidence from open tests,../../site/reader.js,route-verified,Presentation does not upgrade evidence grade,NA
Completion audit,Requirement status gap and verification method,analysis/company-first-principles/data/combined-investment-research-completion-audit.csv,checked-control,Passing arithmetic is not project completion,NA
