observation_id,period,metric,value_musd,status,what_is_proven,what_is_not_proven,source_artifact,next_upgrade
ADS-ISSUER-001,H1 FY2026,gross investment income,1153.510,issuer-level-facts-confirmed,Issuer-wide gross investment income is reported in SEC structured facts,Note-specific income Athene allocation or cash receipt,analysis/company-first-principles/capital-flow-apollo-athene-apollo-debt-solutions-issuer-cash-return-bridge-2026-09-16.md,Join issuer schedule of investments and cash-flow statement to note-level payments
ADS-ISSUER-002,H1 FY2026,net investment income,599.045,issuer-level-facts-confirmed,Issuer-wide net investment income is reported after expenses,Note-specific income cash conversion or Athene allocation,analysis/company-first-principles/capital-flow-apollo-athene-apollo-debt-solutions-issuer-cash-return-bridge-2026-09-16.md,Reconcile income components and distributions to issuer cash
ADS-ISSUER-003,H1 FY2026,interest expense on borrowings,323.289,issuer-level-facts-confirmed,Issuer-wide borrowing interest burden is reported,Funding cost attributable to the Athene note or liability-adjusted spread,analysis/company-first-principles/capital-flow-apollo-athene-apollo-debt-solutions-issuer-cash-return-bridge-2026-09-16.md,Obtain debt schedule and period-matched funding allocation
ADS-ISSUER-004,June 30 2026,cash balance,857.638,issuer-balance-visible,Quarter-end issuer cash balance is reported,Distributable cash BDC-to-Apollo transfer or Athene-funded cash,analysis/company-first-principles/capital-flow-apollo-athene-apollo-debt-solutions-issuer-cash-return-bridge-2026-09-16.md,Join cash-flow statement distributions and parent receipt
ADS-ISSUER-005,June 30 2026,debt face amount,16567.834,issuer-balance-visible,Quarter-end issuer debt face amount is reported,Debt service waterfall or asset-level liability allocation,analysis/company-first-principles/capital-flow-apollo-athene-apollo-debt-solutions-issuer-cash-return-bridge-2026-09-16.md,Join debt instruments coupons maturities and trustee payment history
ADS-ISSUER-006,H1 FY2026,cash interest paid,312.890,issuer-cash-outflow-visible,H1 cash interest paid is reported in the issuer filing,Instrument-specific cash interest or Athene liability-cost allocation,analysis/company-first-principles/capital-flow-apollo-athene-apollo-debt-solutions-issuer-cash-return-bridge-2026-09-16.md,Join issuer debt schedule and payment history to the candidate note
ADS-ISSUER-007,H1 FY2026,dividends paid,398.539,issuer-financing-outflow-visible,H1 dividends paid are reported in the issuer cash-flow statement,Apollo receipt Athene allocation or residual distributable cash,analysis/company-first-principles/capital-flow-apollo-athene-apollo-debt-solutions-issuer-cash-return-bridge-2026-09-16.md,Join dividend declaration distribution recipient and parent receipt
ADS-ISSUER-008,H1 FY2026,common-stock issuance proceeds,782.527,issuer-financing-inflow-visible,H1 common-stock issuance proceeds are reported,Source investor identity use of proceeds or Athene-linked funding,analysis/company-first-principles/capital-flow-apollo-athene-apollo-debt-solutions-issuer-cash-return-bridge-2026-09-16.md,Join issuance register and use-of-proceeds records
ADS-ISSUER-009,H1 FY2026,debt issuance proceeds,4714.695,issuer-financing-inflow-visible,H1 debt issuance proceeds are reported,Instrument-level source allocation or Athene-linked funding,analysis/company-first-principles/capital-flow-apollo-athene-apollo-debt-solutions-issuer-cash-return-bridge-2026-09-16.md,Join debt issuance notices and trustee settlement records
ADS-ISSUER-010,H1 FY2026,long-term debt repayments,2031.953,issuer-financing-outflow-visible,H1 long-term debt repayments are reported,Debt-service waterfall or candidate-note allocation,analysis/company-first-principles/capital-flow-apollo-athene-apollo-debt-solutions-issuer-cash-return-bridge-2026-09-16.md,Join debt maturity schedule and repayment notices
ADS-ISSUER-011,H1 FY2026,net financing cash flow,1617.107,issuer-financing-subtotal-visible,Issuer financing subtotal is reported,Attribution to Athene proceeds or Apollo common-owner residual,analysis/company-first-principles/capital-flow-apollo-athene-apollo-debt-solutions-issuer-cash-return-bridge-2026-09-16.md,Reconcile all financing rows and distributions to issuer cash
ADS-ISSUER-012,H1 FY2026,unattributed financing-use residual,1449.623,financing-reconciliation-gap,Visible issuance repayment and dividend lines exceed reported net financing cash flow by 1.449623B USD,Additional financing uses and any Athene or Apollo allocation,analysis/company-first-principles/capital-flow-apollo-athene-apollo-debt-solutions-issuer-cash-return-bridge-2026-09-16.md,Extract and reconcile the complete financing statement and related debt/equity/distribution notes
