row_id,period,company,ticker,theme,subtheme,metric,value,unit,source_file,source_detail,calculation_or_source,evidence_status,what_it_says,what_it_does_not_say,next_source
URIAMMB-001,FY/Q 2025-2026,United Rentals,URI,capital-intensive real-economy buildout,ancillary matting margin bridge,Source boundary,ancillary-matting-margin-bridge-visible,text,"analysis/company-first-principles/capital-flow-uri-owned-rental-segment-trend-pass-1.md; analysis/company-first-principles/capital-flow-uri-specialty-margin-driver-boundary-pass-1.md; analysis/company-first-principles/capital-flow-uri-investor-deck-fleet-productivity-pass-1.md; analysis/company-first-principles/capital-flow-uri-transcript-rate-time-mix-commentary-pass-1.md","Prior URI extraction passes","Synthesis of filed segment trend, deck bridge, and transcript commentary",source-boundary,"The bridge separates fleet-productivity mix from ancillary/re-rent margin mix.","It does not quantify product-category margins.","Specialty category revenue/margin and segment OEC"
URIAMMB-002,Q4 2025,United Rentals,URI,capital-intensive real-economy buildout,fleet productivity mix,Fleet productivity,0.5,percent,analysis/company-first-principles/capital-flow-uri-investor-deck-fleet-productivity-pass-1.md,Q4 2025 deck bridge,"Deck table shows Q4 2025 fleet productivity of 0.5%",deck-bridge-visible,"Q4 2025 aggregate fleet productivity was low versus surrounding periods.","It does not split the rate/time/mix components.","Q4 2025 official transcript/audio"
URIAMMB-003,Q4 2025,United Rentals,URI,capital-intensive real-economy buildout,matting mix commentary,Matting impact on fleet productivity,1,point,analysis/company-first-principles/capital-flow-uri-transcript-rate-time-mix-commentary-pass-1.md,Q4 2025 transcript commentary,"Management said Matting project timing was worth about one point of fleet productivity impact",qualitative-mix-driver-visible,"Matting was a material Q4 2025 fleet-productivity mix driver.","It does not prove Matting structurally hurts returns.","Matting revenue, OEC, project timing, and margin"
URIAMMB-004,Q4 2025,United Rentals,URI,capital-intensive real-economy buildout,qualitative rate time mix split,Rate/time/mix commentary,"rate positive/stable; time slightly less positive; mix negative",text,analysis/company-first-principles/capital-flow-uri-transcript-rate-time-mix-commentary-pass-1.md,Q4 2025 transcript commentary,"Transcript pass captures qualitative rate/time/mix comments",qualitative-rate-time-mix-commentary-visible,"Q4 2025 has qualitative internal productivity commentary.","It does not quantify rate or time contribution.","Official transcript/audio and management deck"
URIAMMB-005,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,ancillary revenue bridge,Ancillary/re-rent bridge contribution,3.7,percent,analysis/company-first-principles/capital-flow-uri-investor-deck-fleet-productivity-pass-1.md,Q2 2026 deck bridge,"Deck table states ancillary/re-rent contribution of 3.7 points to rental revenue growth",deck-bridge-visible,"Ancillary/re-rent was a material contributor to Q2 2026 rental revenue growth.","It is not owned-equipment utilization or rate/time/mix.","Ancillary/re-rent category split"
URIAMMB-006,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,ancillary revenue commentary,Ancillary/re-rent growth,28,approx percent,analysis/company-first-principles/capital-flow-uri-transcript-rate-time-mix-commentary-pass-1.md,Q2 2026 transcript commentary,"Transcript pass captures ancillary/re-rent growth of nearly 28% and 188M USD added revenue",transcript-driver-commentary-visible,"Ancillary/re-rent growth accelerated materially in Q2 2026.","It does not quantify margin by service category.","Ancillary and re-rent revenue dollars by category"
URIAMMB-007,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,specialty margin pressure,Specialty rental gross margin,44.4,percent,analysis/company-first-principles/capital-flow-uri-specialty-margin-driver-boundary-pass-1.md,Q2 2026 release/10-Q extraction,"Q2 2026 specialty rentals segment gross margin declined 140 bps to 44.4%",filed-source-table,"Specialty margin pressure remained visible in Q2 2026.","It does not prove a full cause bridge.","Specialty cost and revenue category bridge"
URIAMMB-008,Q2 2026,United Rentals,URI,capital-intensive real-economy buildout,specialty margin driver,Lower-margin ancillary and re-rent revenue mix,driver named,text,analysis/company-first-principles/capital-flow-uri-specialty-margin-driver-boundary-pass-1.md,Q2 2026 filed MD&A/release,"Q2 2026 source trail ties specialty margin decline primarily to changes in revenue mix driven by growth in lower-margin ancillary and re-rent revenues",driver-visible,"Ancillary/re-rent mix is a source-visible margin-pressure driver.","It does not quantify basis points by ancillary or re-rent category.","Category-level margin bridge"
URIAMMB-009,FY 2023,United Rentals,URI,capital-intensive real-economy buildout,specialty margin trend,Specialty equipment-rentals gross margin,48.9,percent,analysis/company-first-principles/capital-flow-uri-owned-rental-segment-trend-pass-1.md,FY 2025 10-K segment trend extraction,"Filed annual segment table",filed-source-table,"FY 2023 specialty margin baseline was 48.9%.","Gross margin is not ROIC.","Segment operating profit and OEC"
URIAMMB-010,FY 2025,United Rentals,URI,capital-intensive real-economy buildout,specialty margin trend,Specialty equipment-rentals gross margin,43.6,percent,analysis/company-first-principles/capital-flow-uri-owned-rental-segment-trend-pass-1.md,FY 2025 10-K segment trend extraction,"Filed annual segment table",filed-source-table,"FY 2025 specialty margin was 43.6%, down 5.3 points from FY 2023.","It does not prove the whole decline is ancillary or Matting.","Category mix and cost bridge"
