claim_id,company,period,metric,value,unit,qoq_reference_value,qoq_change_pct,yoy_reference_value,yoy_change_pct,source_file,source_location,interpretation,claim_effect,status
CF-004,Brookfield Wealth Solutions,Q2 2026,total insurance assets,190.715,USD billions,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-supplemental.pdf,official supplemental page 17 lines 792-796,Measures total insurance assets in Brookfield's Wealth Solutions business.,supports insurance-linked capital scale,manual-extracted-from-official-pdf
CF-004,Brookfield Wealth Solutions,Q2 2026,total invested insurance assets,167.297,USD billions,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-supplemental.pdf,official supplemental page 17 line 793,Measures invested insurance assets available to support investment strategy.,supports investable insurance asset base,manual-extracted-from-official-pdf
CF-004,Brookfield Wealth Solutions,Q2 2026,average invested insurance assets,165.855,USD billions,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-supplemental.pdf,official supplemental page 17 line 792,Measures average asset base producing investment income and spread metrics.,supports scale behind Wealth Solutions earnings,manual-extracted-from-official-pdf
CF-004,Brookfield Wealth Solutions,Q2 2026,quarterly sales,5,USD billions,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-supplemental.pdf,official supplemental page 17 lines 822-825,Measures sales across retail annuity pension risk transfer and funding agreement channels.,supports ongoing liability origination,manual-extracted-from-official-pdf
CF-004,Brookfield Wealth Solutions,Q2 2026,LTM gross inflows,20,USD billions,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-supplemental.pdf,official supplemental page 17 lines 822-825,Measures trailing-twelve-month gross liability inflows.,supports liability-source side of insurance/private-assets mechanism,manual-extracted-from-official-pdf
CF-004,Brookfield Wealth Solutions,Q2 2026,LTM net inflows,8,USD billions,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-supplemental.pdf,official supplemental page 17 lines 822-825,Measures retained inflows after outflows.,supports persistence of liability funding,manual-extracted-from-official-pdf
CF-004,Brookfield Wealth Solutions,Q2 2026,LTM distributable earnings,1.790,USD billions,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-supplemental.pdf,official supplemental page 17 lines 786-791,Measures Wealth Solutions distributable earnings over the last twelve months.,supports insurance-channel economics,manual-extracted-from-official-pdf
CF-004,Brookfield Wealth Solutions,Q2 2026,annualized earnings,2.0,USD billions,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-supplemental.pdf,official supplemental page 16 line 766,Measures annualized earnings from Wealth Solutions.,supports visible earnings power of insurance business,manual-extracted-from-official-pdf
CF-004,Brookfield Wealth Solutions,Q2 2026,LTM gross spread,1.94,percent,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-supplemental.pdf,official supplemental page 17 lines 797-801,Measures spread between investment income and cost of funds for total BWS.,supports spread economics from insurance-linked asset base,manual-extracted-from-official-pdf
CF-004,Brookfield Wealth Solutions,Q2 2026,LTM net yield,5.23,percent,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-supplemental.pdf,official supplemental page 17 lines 806-810,Measures investment portfolio net yield.,supports asset-yield side of insurance spread mechanism,manual-extracted-from-official-pdf
CF-004,Brookfield Wealth Solutions,Q2 2026,LTM cost of funds,3.29,percent,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-supplemental.pdf,official supplemental page 17 lines 797-801 and 806-810,Measures liability/funding cost.,supports spread mechanism denominator,manual-extracted-from-official-pdf
CF-004,Brookfield Wealth Solutions,Q2 2026,investment portfolio private credit allocation,33,percent,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-supplemental.pdf,official supplemental page 17 lines 816-820,Measures the private-credit share of the insurance investment portfolio.,supports direct private-credit allocation inside insurance asset base,manual-extracted-from-official-pdf
CF-004,Brookfield Wealth Solutions,Q2 2026,investment portfolio public credit allocation,49,percent,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-supplemental.pdf,official supplemental page 17 lines 816-820,Measures the public-credit share of the insurance investment portfolio.,supports credit-heavy insurance investment portfolio,manual-extracted-from-official-pdf
CF-004,Brookfield Wealth Solutions,Q2 2026,investment portfolio private funds allocation,5,percent,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-supplemental.pdf,official supplemental page 17 lines 816-820,Measures private-fund allocation inside the insurance investment portfolio.,supports private-asset allocation inside insurance capital,manual-extracted-from-official-pdf
CF-001,Brookfield Corporation,H1 2026,capital raised,98,USD billions,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-letter-to-shareholders.pdf,official shareholder letter page 1 lines 5-7,Measures first-half capital formation across Brookfield.,supports platform-wide capital routing scale,manual-extracted-from-official-pdf
CF-001,Brookfield Corporation,H1 2026,capital deployed,100,USD billions,,,,,raw/primary-sources/capital-flow/brookfield/q2-2026/brookfield-q2-2026-letter-to-shareholders.pdf,official shareholder letter page 1 lines 12-14,Measures capital deployed to date in 2026.,supports platform-wide deployment scale,manual-extracted-from-official-pdf
