row_id,surface,period,amount_usd,scope,safe_use,not_proven,source_url
QPCPR-001,Athene distributions to parent,Q2 2026,32000000,Athene legal-entity equity flow,Source-side upstream flow,AGM receipt account and common-owner cash,https://www.sec.gov/Archives/edgar/data/1527469/000152746926000056/ahl-20260630.htm
QPCPR-002,Athene distributions to parent,H1 2026,110000000,Athene legal-entity equity flow,Period-total upstream flow,AGM receipt attribution and unrestricted availability,https://www.sec.gov/Archives/edgar/data/1527469/000152746926000056/ahl-20260630.htm
QPCPR-003,AHL note receivable from AGM,2026-06-30,279000000,AHL creditor / AGM borrower balance,Direct financing-route balance,Dated cash draws repayments and use of proceeds,https://www.sec.gov/Archives/edgar/data/1527469/000152746926000056/ahl-20260630.htm
QPCPR-004,AHL-to-AGM note capacity,2026-06-30,500000000,Revolving facility ceiling,Facility context,Actual draw and receipt cash,https://www.sec.gov/Archives/edgar/data/1527469/000152746926000056/ahl-20260630.htm
QPCPR-005,Apollo consolidated unrestricted cash,2026-06-30,25400000000,Consolidated AGM perimeter,Broad liquidity context,Parent-only cash Athene attribution restrictions and common-owner residual,https://ir.apollo.com/sec-filings/content/0001858681-26-000040/apo-20260630.htm
QPCPR-006,Apollo HoldCo and Asset Management cash,2026-06-30,3412000000,Parent-summary presentation,HoldCo denominator context,Reconciliation to consolidated cash and unrestricted common-owner cash,https://ir.apollo.com/sec-filings/content/0001858681-26-000040/apo-20260630.htm
QPCPR-007,Apollo Asset Management segment cash,2026-06-30,3415000000,GAAP segment presentation,Cross-check of HoldCo summary,Scope difference and common-owner availability,https://ir.apollo.com/sec-filings/content/0001858681-26-000040/apo-20260630.htm
QPCPR-008,Apollo common dividends,H1 2026,654000000,Parent-level cash use,Use-side comparison,Athene funding attribution,https://ir.apollo.com/sec-filings/content/0001858681-26-000040/apo-20260630.htm
QPCPR-009,Apollo common repurchases,H1 2026,729000000,Parent-level cash use,Use-side comparison,Athene funding attribution,https://ir.apollo.com/sec-filings/content/0001858681-26-000040/apo-20260630.htm
QPCPR-010,Apollo preferred dividends,H1 2026,49000000,Parent-level senior-equity cash use,Use-side comparison,Athene funding attribution and common-owner residual,https://ir.apollo.com/sec-filings/content/0001858681-26-000040/apo-20260630.htm
