chase_id,company,target_asset_or_project,proof_gate,source_document,source_route,period,current_evidence,value_or_metric,current_status,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_test
CFEMPCP-001,Cheniere Energy,Sabine Pass and Corpus Christi LNG platform,company_cash_baseline,"Cheniere Q2 2026 results and local Cheniere train cash-waterfall source test","local SEC earnings exhibit; Cheniere investor release",Q2 2026,"Cheniere reported Q2 2026 revenue, adjusted EBITDA, DCF, and raised full-year 2026 EBITDA/DCF guidance.",5.73B USD revenue; 1.80B USD adjusted EBITDA; 1.17B USD DCF; 7.90B-8.40B USD 2026 EBITDA guidance,company-cash-visible,"Cheniere has current cash-generation evidence that can support LNG investment and debt service at company level.","It does not allocate cash to a train, terminal entity, customer contract, or project debt waterfall.","Entity EBITDA/DCF, restricted-payment bridge, debt-service schedule, and train-level contribution support.","Pass only if company cash is allocated to terminal/entity/train economics and debt service."
CFEMPCP-002,Cheniere Energy,Corpus Christi Stage 3 / Train 6,construction_and_output,"Cheniere local train source/use/return bridge and Q2 2026 public results","local SEC filings; public Cheniere Q2 release",Q2 2026,"Local evidence shows CCL Stage 3 completion context and Train 6 substantial completion; public Q2 materials cite accelerated Stage 3 train startup and improved operating guidance.",Train 6 substantial completion; Stage 3 startup context,construction-output-visible,"A named construction/use milestone is visible for the LNG buildout.","Construction status is not project EBITDA, revenue, debt draw, or return.","Train cost-to-complete, EPC spend, terminal/train revenue, and debt draw schedules.","Pass only if Train 6 or Stage 3 cash contribution is tied to investment cost and funding."
CFEMPCP-003,Cheniere Energy,SPL/CCL contracted LNG production,customer_demand,"Cheniere 2025 10-K and train cash-waterfall source test","local SEC 10-K extraction",FY 2025 / Q2 2026,"About 90% of anticipated SPL/CCL production is contracted under SPAs and IPM agreements, with about 15 years weighted-average remaining life; CPC Taiwan is a named customer with SPA volume up to 1.2 mtpa.",90% contracted; 15 years; 1.2 mtpa CPC Taiwan SPA,named-demand-visible,"Cheniere has strong customer-backed demand evidence.","Contracted production does not prove realized SPA cash, price formula, cargo assignment, or project margin.","SPA extracts, customer concentration schedules, cargo-to-contract mapping, and revenue attribution by entity.","Pass only if contracted demand is joined to billed/collected cash and terminal/train contribution."
CFEMPCP-004,Cheniere Energy,Cheniere LNG cargo output,external_output_denominator,"DOE LNG export rows and local Cheniere denominator bridge","local DOE export workbook extraction",Q2 2026 / FY 2025,"DOE vessel rows closely reconcile to company cargo disclosure, including a Q2 2026 match at 184 cargoes and Q2 DOE volume of 640991.63 MMCF.",184 Q2 2026 cargoes; 640991.63 MMCF,external-output-visible,"Physical output is externally denominator-tested, not only company narrated.","DOE cargoes do not identify train source, customer contract, recognized revenue, margin, or debt service.","Cargo-to-terminal/train/customer contract reconciliation and revenue recognition bridge.","Pass only if cargo rows are mapped to train/entity and SPA/customer cash."
CFEMPCP-005,Cheniere Energy,Corpus Christi Stage 4 / CCPL expansion,future_project_source_route,"FERC Corpus Christi Stage 4 project page","FERC project/docket route surfaced in public search",2026-2027 review schedule,"FERC accepted Cheniere's Stage 4 and CCPL expansion application into formal certificate proceeding on February 17 2026; Final EIS expected March 12 2027 and federal authorization decisions due June 10 2027.",CP26-82-000; CP26-87-000; CP18-513-000,future-source-route-visible,"Future project permitting records can become a project-level source route.","This is not approved project cash contribution or current investment return.","FERC eLibrary filings, cost estimates, precedent agreements, authorization order, and financing support.","Pass only if project cost, contracts, financing, and expected cash contribution are joined."
CFEMPCP-006,Energy Transfer,Nederland ethane/LPG export expansion,named_capacity_addition,"Energy Transfer Q2 2026 results and named project cash source test","local SEC earnings exhibit; Energy Transfer investor release",Q2 2026,"Energy Transfer disclosed Nederland expansion capacity additions of 240000 bpd ethane and 55000 bpd LPG, with related Mont Belvieu-to-Nederland pipeline expansion and two NGL ship docks in public commentary.",240000 bpd ethane; 55000 bpd LPG,named-capacity-visible,"A named asset expansion and capacity use are visible.","Capacity is not capital cost, utilization, shipper billing, project EBITDA, or debt-service proof.","Project capital schedule, shipper contracts, dock utilization, tariff/fee schedule, and project contribution bridge.","Pass only if Nederland expansion cash contribution is tied to capex, funding, utilization, and customer cash."
CFEMPCP-007,Energy Transfer,Lone Star Express / NGL takeaway,named_output_route,"Energy Transfer local named project cash source test","local SEC earnings exhibit extraction",Q2 2026,"Local evidence records more than 90000 bpd incremental Lone Star Express NGL takeaway and broader NGL transportation/export growth.",90000+ bpd incremental NGL takeaway,named-output-visible,"The expansion has named output-capacity evidence.","It does not show volumes billed on the expansion, shipper identity, fee rates, project EBITDA, or return.","Pipeline utilization, committed shipper contracts, tariff/fee support, and asset contribution schedule.","Pass only if billed volumes and cash contribution are tied to Lone Star Express."
CFEMPCP-008,Energy Transfer,y-grade transportation/fractionation agreements,contracted_demand,"Energy Transfer Q2 2026 local project cash realization artifacts","local SEC earnings exhibit extraction",Q2 2026,"Local evidence identifies about 300000 bpd of long-term y-grade transportation/fractionation agreements into the 2030s.",300000 bpd long-term agreements,contracted-demand-visible,"ET has long-duration demand markers for NGL/fractionation assets.","The evidence does not disclose customer identities, rate economics, minimum volume obligations, billings, or asset-level contribution.","Customer/shipper contracts, MVC/take-or-pay terms, billing records, and fractionation margin support.","Pass only if contracted demand is joined to named customer cash and asset-level EBITDA/DCF."
CFEMPCP-009,Energy Transfer,growth capex program,funding_and_use,"Energy Transfer Q2 2026 results and project cash source test","local SEC earnings exhibit; Energy Transfer investor release",Q2 2026 / FY 2026,"ET reported Q2 adjusted EBITDA, DCF, growth capex, maintenance capex, unused credit-facility availability, long-term debt context, senior-note refinancing, and full-year growth-capex guidance.",5.07B USD adjusted EBITDA; 2.59B USD DCF; 1.10B USD Q2 growth capex; 5.6B-5.9B USD FY2026 growth capex guidance,company-funding-use-visible,"ET has same-period funding capacity and use-of-capital evidence at partnership level.","The evidence does not allocate dollars to Nederland, Lone Star, y-grade assets, or other named projects.","Project-by-project capex table, retained-cash/revolver/note allocation, and project approval records.","Pass only if funding source and capex use are mapped to named project cash outcomes."
CFEMPCP-010,Energy Transfer,named midstream projects,project_cash_contribution,"Energy Transfer named project cash source test and public Q2 results","local derived artifacts plus public release",Q2 2026,"Current evidence shows named project context plus strong company cash, but no named-project revenue, EBITDA, DCF contribution, debt-service allocation, or return.",not found,project-cash-contribution-hold,"The remaining ET proof gap is now specific: named project cash contribution and customer billing.","Company EBITDA, DCF, growth capex, capacity additions, and long-term agreements cannot be treated as project cash proof.","Project revenue, EBITDA/DCF contribution, shipper billing, tariff/fee economics, utilization, and debt-service allocation.","Pass only if a named project joins funding, use, output, customer cash, contribution, and debt-service/return evidence."
