"metric_id","workbench_gate_id","source_id","company","proof_channel","form","period","metric_family","metric_label","metric_value","unit","current_status","source_anchor","what_it_says","what_it_does_not_say"
"CFPLPD-001","CFPGW-006","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Direct testimony","2025 final true-up","service footprint","customer accounts served","6.000000","millions","physical-denominator-visible","Page 5 testimony states FPL delivers electricity to more than 6 million customer accounts representing approximately 12 million people in 43 counties.","The SPP work sits inside a large physical service-territory denominator.","It does not allocate SPPCRC costs per customer or prove collection."
"CFPLPD-002","CFPGW-006","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Direct testimony","2025 final true-up","service footprint","distribution line miles","83000","miles","physical-denominator-visible","Page 5 testimony lists approximately 83,000 miles of distribution lines.","The storm-protection program can be compared against a physical distribution-system denominator.","It does not say how many miles were hardened in 2025."
"CFPLPD-003","CFPGW-006","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Direct testimony","2025 final true-up","service footprint","distribution poles","1400000","count","physical-denominator-visible","Page 5 testimony lists 1.4 million distribution poles.","The record provides an asset-count context for storm-hardening work.","It does not identify which poles were included in specific projects."
"CFPLPD-004","CFPGW-006","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Direct testimony","2025 final true-up","service footprint","high-voltage transmission line miles","9700","miles","physical-denominator-visible","Page 5 testimony lists 9,700 miles of high-voltage transmission lines.","The SPP work can be bounded against a transmission-system denominator.","It does not prove recovery by transmission project."
"CFPLPD-005","CFPGW-006","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Direct testimony","2025 final true-up","service footprint","transmission structures","85000","count","physical-denominator-visible","Page 5 testimony lists 85,000 transmission structures.","Transmission asset-count context is visible.","It does not identify structures modified by project."
"CFPLPD-006","CFPGW-006","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Direct testimony","2025 final true-up","service footprint","substations","932","count","physical-denominator-visible","Page 5 testimony lists 932 substations.","Substation-denominator context is visible for the SPP workbench.","It does not prove substation mitigation work or recovery."
"CFPLPD-007","CFPGW-006","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Direct testimony","January 2025 through December 2025","source purpose","final actual SPP projects and costs presented","2025","year","project-detail-source-visible","Page 6 testimony says the purpose is to present final actual SPP projects and costs for January 2025 through December 2025 and explain variances from approved actual/estimated costs.","The AP filing is the right source class for physical project and variance evidence.","It does not by itself prove earnings or customer receipts."
"CFPLPD-008","CFPGW-006","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Direct testimony","2025 final true-up","project selection","Commission-approved selection and prioritization criteria applied","2023","SPP plan year","selection-criteria-visible","Pages 7-8 state projects were selected under Commission-approved 2023 SPP criteria, including inspection date, vegetation maintenance date, reliability performance, extreme-weather impacts, and efficient resource utilization.","The physical work is tied to an approved selection method rather than ad hoc management commentary.","It does not rank every individual project in the extracted table."
"CFPLPD-009","CFPGW-006","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Exhibit AP-1","2025 final true-up","capital output","Distribution Inspection actual project count","193199","count","physical-output-visible","PDF page 34 / Exhibit AP-1 page 21 lists 193,199 actual Distribution Inspection projects versus 180,000 actual/estimated projects.","The SPPCRC evidence now has same-period physical output for Distribution Inspection.","It is not a count of feeder-hardening construction projects or project-level return."
"CFPLPD-010","CFPGW-006;CFPGW-007","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Exhibit AP-1","2025 final true-up","capital cost","Distribution Inspection actual capital costs","61.500000","USD millions","physical-output-cost-visible","PDF page 34 / Exhibit AP-1 page 21 lists Distribution Inspection actual capital costs of $61.5 million versus $62.0 million actual/estimated costs.","Distribution Inspection has same-period physical output and cost evidence.","It does not prove allowed return, cash received, or financing source."
"CFPLPD-011","CFPGW-006","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Exhibit AP-1","2025 final true-up","capital output","Transmission Inspection actual project count","84056","count","physical-output-visible","PDF page 34 / Exhibit AP-1 page 21 lists 84,056 actual Transmission Inspection projects versus 84,000 actual/estimated projects.","Transmission Inspection has same-period physical output evidence.","It is not project-level earnings evidence."
"CFPLPD-012","CFPGW-006;CFPGW-007","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Exhibit AP-1","2025 final true-up","capital cost","Transmission Inspection actual capital costs","66.300000","USD millions","physical-output-cost-visible","PDF page 34 / Exhibit AP-1 page 21 lists Transmission Inspection actual capital costs of $66.3 million versus $59.0 million actual/estimated costs.","Transmission Inspection has same-period cost and output evidence.","It does not explain realized return or financing."
"CFPLPD-013","CFPGW-006;CFPGW-007","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Exhibit AP-1","2025 final true-up","O&M output","Distribution Vegetation Management actual miles","18597","miles","physical-output-visible","PDF page 35 / Exhibit AP-1 page 22 lists 18,597 actual Distribution Vegetation Management miles versus 18,041 actual/estimated miles.","Vegetation management now has same-period physical output evidence.","O&M miles are not capital additions or project IRR."
"CFPLPD-014","CFPGW-006;CFPGW-007","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Exhibit AP-1","2025 final true-up","O&M cost","Distribution Vegetation Management actual costs","108.700000","USD millions","physical-output-cost-visible","PDF page 35 / Exhibit AP-1 page 22 lists Distribution Vegetation Management actual costs of $108.7 million versus $112.8 million actual/estimated costs.","The category has same-period O&M cost and miles evidence.","It does not prove capital return or customer receipt timing."
"CFPLPD-015","CFPGW-006;CFPGW-007","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Exhibit AP-1","2025 final true-up","O&M output","Transmission Vegetation Management actual miles","9610","miles","physical-output-visible","PDF page 35 / Exhibit AP-1 page 22 lists 9,610 actual Transmission Vegetation Management miles versus 9,410 actual/estimated miles.","Transmission vegetation management now has same-period physical output evidence.","It does not prove recovery collections or earned return."
"CFPLPD-016","CFPGW-006;CFPGW-007","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Exhibit AP-1","2025 final true-up","O&M cost","Transmission Vegetation Management actual costs","17.600000","USD millions","physical-output-cost-visible","PDF page 35 / Exhibit AP-1 page 22 lists Transmission Vegetation Management actual costs of $17.6 million versus $15.4 million actual/estimated costs.","Transmission vegetation has same-period O&M cost and output evidence.","It is not a shareholder-earnings row."
"CFPLPD-017","CFPGW-006;CFPGW-008","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Direct testimony and Exhibit AP-2","2025 final true-up","variance control","variance categories identified","3","count","variance-driver-visible","Page 10 testimony and Exhibit AP-2 identify three general variance categories: Project Acceleration, Project Delayed, and Project Estimate Change.","The AP package supplies an accountability framework for explaining cost/project variance.","It does not quantify each individual variance in this extraction row."
"CFPLPD-018","CFPGW-006;CFPGW-008","fpl-2025-sppcrc-final-trueup-pankratz-ap1-ap2-01941-2026","NextEra Energy, Inc.","regulated recovery","Direct testimony","2025 final true-up","prudence assertion","final actual SPP costs reasonable and prudent","2025","year","prudence-assertion-visible","Page 12 testimony states the final actual SPP costs incurred and projects completed during 2025 are consistent with the approved 2023 SPP and approved 2025 actual/estimated SPP projects and costs.","The filing contains management testimony supporting reasonableness, prudence, and consistency with the approved plan.","This is testimony, not a final Commission prudence order or an independent audit."
