section_id,section,old_html_inputs,first_principles_point,money_path,company_examples,proof_needed,safe_use
ARCAPEX-001,opening_frame,The Private Capital Colonization; The Spread Machine; The Cash Harvest,"A capital platform matters when it controls source capital, legal wrappers, origination, allocation, fees, spread, collateral, servicing, and claims on future cash.","saver/pension/insurer/institution/wealth client/retail investor/bank -> capital platform -> ETF/fund/insurer/BDC/SMA/private vehicle/credit facility/infrastructure fund/real-estate fund/ABS wrapper -> borrower/asset/project/security -> use of proceeds -> cash event -> waterfall -> platform and investor return",BlackRock; Blackstone; KKR; Apollo/Athene; Ares; Brookfield; Carlyle; Blue Owl,AUM; FPAUM; inflows; insurance liabilities; vehicle schedule; borrower list; collateral; debt waterfall; realizations; spread; deployment; exits,"Use as a no-background capital-routing frame, not as proof that AUM or deployment equals named-cash realization."
ARCAPEX-002,aum_is_only_the_map,Private Capital Colonization,"AUM proves routing scale, not named-cash realization.",capital source -> AUM category -> strategy or wrapper -> destination class -> named asset proof still missing,BlackRock; Blackstone; KKR; Apollo; Brookfield; Ares; Carlyle,AUM; fee-paying AUM; strategy mix; inflows; outflows; destination categories,Safe claim: AUM is a map, not a receipt.
ARCAPEX-003,source_capital,Private Capital Colonization,"Every money path starts with a source whose return, liquidity, and risk needs shape the route.",original source -> return/liquidity/risk need -> platform intake -> wrapper selection,pensions; insurers; wealth clients; retail funds; sovereigns; bank deposits; institutions,capital source; liability duration; redemption rights; commitment terms; funding cost,Safe claim: different sources carry different rights and constraints.
ARCAPEX-004,wrappers_change_money,Private Capital Colonization,"The wrapper decides liquidity, leverage, reporting, fees, redemption rights, collateral, tax treatment, and payment priority.",capital source -> legal wrapper -> permitted assets -> leverage and liquidity rules -> cash rights,ETFs; BDCs; insurer general accounts; SMAs; private-credit funds; infrastructure funds; CLOs; ABS vehicles,vehicle documents; statutory schedules; BDC filings; fund terms; leverage; redemption terms,Safe claim: the wrapper changes the legal meaning of the money.
ARCAPEX-005,insurance_float_credit_engine,Private Capital Colonization,"Insurance liabilities can become quiet funding sources for long-duration credit and real assets.",policyholder/annuity buyer -> insurer liability -> invested assets -> credit/infrastructure/structured asset -> investment income -> liability cost -> spread,Apollo/Athene; KKR/Global Atlantic; Brookfield Wealth Solutions; Prudential; MetLife; Blackstone insurance SMAs,statutory filings; Schedule D; Schedule BA; investment income; liability cost; asset quality; proceeds,Safe claim: insurance AUM needs legal-entity and liability-cost proof.
ARCAPEX-006,private_credit_borrower_route,Private Capital Colonization,"Private credit becomes real evidence when a named borrower, facility, lender role, and repayment path are visible.",institution/insurance/wealth capital -> private-credit vehicle or BDC -> named borrower/facility -> use of proceeds -> interest/repayment -> non-accrual/default/loss check,Ares; Apollo; Blackstone; KKR; Carlyle; Blue Owl; BlackRock/HPS; BDCs,borrower list; facility agreement; lender allocation; use of proceeds; cash interest; repayment; non-accruals,Safe claim: private credit is a borrower route only when borrower evidence exists.
ARCAPEX-007,origination_power,Spread Machine,"Origination is more powerful than passive ownership because it shapes the deal at birth.",borrower or asset need -> platform origination channel -> negotiated terms -> vehicle allocation -> fee/spread/carry,Apollo; Ares; KKR; Blackstone; Brookfield; BlackRock/HPS,origination volume; underwriting terms; covenants; collateral; fees; servicing; allocation,Safe claim: origination power needs term and allocation evidence.
ARCAPEX-008,platform_fees_vs_returns,Cash Harvest; Spread Machine,"Platform economics are not the same thing as end-investor returns or borrower success.",AUM or vehicle assets -> management fee/FRE/spread/carry -> platform earnings -> investor net return and borrower outcome still separate,Blackstone; KKR; Apollo; Ares; Carlyle; Blue Owl,FRE; management fees; carried interest; distributable earnings; net returns; borrower performance; losses,Safe claim: separate platform fee earnings from investor and borrower outcomes.
ARCAPEX-009,spread_machine,Spread Machine,"A spread is durable only if the route is hard to avoid and the risk cost is lower than the income.",controlled route -> fee/spread/carry -> losses/funding cost/liquidity cost -> durable or fragile margin,banks; insurers; Apollo; KKR; Blackstone; Ares; payment/servicing routes,asset yield; liability cost; management fee yield; loss cost; funding cost; margin; capital,Safe claim: spreads need route and risk-cost proof.
ARCAPEX-010,private_capital_colonization,Private Capital Colonization,"Private platforms are capturing growth in capital routing, but that does not mean banks disappeared or that every private route is safer or better.",public/institutional/insurance/retail savings -> alternative platform -> private wrapper -> private asset or borrower -> fee/spread/illiquidity/return,Blackstone; KKR; Apollo; Ares; Brookfield; BlackRock; Carlyle; Franklin; Invesco,AUM growth; inflows; private-credit deployment; insurance assets; wealth channels; redemption terms,Safe claim: private-capital growth is real but not total bank replacement proof.
ARCAPEX-011,cash_harvest,Cash Harvest,"Shareholder cash return proves platform monetization, not the final destination's cash quality.",sticky AUM/permanent capital/insurance assets -> management fees/spread/FRE -> distributable earnings -> dividends/buybacks/reinvestment,Blackstone; KKR; Apollo; Ares; BlackRock; Carlyle,dividends; buybacks; distributable earnings; FRE; reinvestment; capital ratios; fee durability,Safe claim: capital return is platform proof, not borrower cash proof.
ARCAPEX-012,legal_entity_beats_brand,Private Capital Colonization,"The legal entity is where vague platform language becomes inspectable evidence.",parent brand -> subsidiary/legal entity -> schedule or vehicle -> instrument -> cash event,Athene; Global Atlantic; Brookfield insurers; ARCC; BXSL; FSK; statutory subsidiaries,statutory schedules; BDC schedules; CUSIPs; trustee reports; credit agreements; collateral certificates,Safe claim: inspect the legal entity before making named claims.
ARCAPEX-013,servicing_data_control,Spread Machine,"Control of data and servicing can matter as much as control of capital.",asset/borrower -> servicing and monitoring -> performance data -> pricing/allocation/recovery -> platform advantage or conflict,Ares; Apollo; Blackstone; Brookfield; BlackRock Aladdin/HPS; servicers,servicing rights; borrower reporting; collateral monitoring; defaults; recoveries; allocation policies,Safe claim: data and servicing create advantage and possible conflicts.
ARCAPEX-014,liquidity_redemption_risk,Private Capital Colonization,"Liquidity terms are part of the return, not a footnote.",investor capital -> illiquid wrapper -> asset holdings -> redemption request or claim need -> gate/sale/refinancing/liquidity support,BREIT-style vehicles; private credit funds; insurers; BDCs; interval funds,redemption terms; gates; liquidity facilities; asset duration; liability duration; valuation marks,Safe claim: illiquidity can be rational but must be named.
ARCAPEX-015,named_cash_proof_ladder,all three old dynamics,"Most annual-report platform evidence reaches source, platform, wrapper, and destination levels; full proof needs named asset and cash evidence.",source -> platform -> wrapper -> destination -> named asset/borrower -> cash proof,all capital-platform examples,source capital; wrapper; asset/borrower; use of proceeds; receipts; income; collateral; waterfall; return model,Safe claim: this is the proof standard for capital platforms.
ARCAPEX-016,next_work,all three old dynamics,"The next work should create named proof stacks for Apollo/Athene, KKR/Global Atlantic, Blackstone, BlackRock/HPS, Ares, and Brookfield.",source pull -> legal wrapper -> named asset/borrower -> use/cash evidence -> return bridge,Apollo/Athene; KKR/Global Atlantic; Blackstone; BlackRock/HPS; Ares; Brookfield,statutory legal-entity schedules; BDC rows; credit agreements; borrower financials; collateral certificates; debt waterfalls; remittances; return models,Safe claim: this page defines the next proof stacks; it is not final named-cash proof.
