draft_id,section,article_role,theme_layer,safe_claim,company_or_sector_examples,proof_boundary,source_basis,next_action,status
ARIFD-001,Publication status,Editorial control,whole draft,"The integrated draft is ready for reader review with explicit boundaries.",519 company folder plus prior theme artifacts,"It is not a stock recommendation or complete named-cash proof.","final integrated theme map; undercovered industry synthesis; final publication draft",Reader review and citation polishing,ready
ARIFD-002,Opening thesis,Reader entry,whole draft,"Annual reports are maps of economic pressure points.","All sectors in the 519-company folder","Annual reports do not prove every company is a winner.","broad theme end-to-end goal; complete wrap-up synthesis",Keep opening plain and non-promotional,ready
ARIFD-003,Complete map,Exhibit,whole draft,"The article now has 15 themes: 7 core themes and 8 expansion themes.","Power; capital; industry; healthcare; built environment; digital; value retail; services; consumer goods; materials; real estate; broad tech; medical infrastructure; energy; finance","The map is a writing structure, not equal deep proof of all 519 companies.","final integrated theme map pass 1",Use as the main article map,ready
ARIFD-004,Power scarcity,Core chapter,core,"Power is a gatekeeper for growth when electricity must be delivered, approved, financed, and recovered.","Constellation; Vistra; NRG; Exelon; Duke; AEP; NextEra/FPL; Sterling; MasTec","Load, tariffs, and capex plans are not customer receipts or project returns.","power scarcity chapter polish; power/grid proof work orders",Attach citation and proof boundary,ready
ARIFD-005,Capital platforms,Core chapter,core,"Large capital platforms route savings into assets, borrowers, projects, and credit.","BlackRock; Blackstone; Apollo; KKR; Brookfield; Ares; Carlyle","AUM is not borrower receipt, legal-entity cash, collateral performance, or asset return.","capital platforms chapter polish; named-cash proof lanes",Keep AUM boundary visible,ready
ARIFD-006,Industrial uptime,Core chapter,core,"Modern physical work depends on hidden uptime systems.","United Rentals; Fastenal; WESCO; Grainger; Applied Industrial; MSC; Watsco; Sterling; MasTec","Revenue, backlog, fleet, and branches are not fleet-class ROIC or project collection proof.","industrial uptime chapter polish; URI and Sterling evidence",Use as operating bottleneck section,ready
ARIFD-007,Healthcare access,Core chapter,core,"Healthcare companies are paid to organize access under labor, reimbursement, cost, and trust constraints.","UnitedHealth; Cigna; DaVita; Option Care; Addus; BrightSpring; Enhabit","Volume and revenue do not prove outcomes, fairness, reimbursement quality, or cash collection.","healthcare access chapter polish",Use as human-capacity section,ready
ARIFD-008,Built-environment upkeep,Core chapter,core,"Expensive shelter and aging civic systems create ongoing repair and maintenance burdens.","Home Depot; Lowe's; Builders FirstSource; Sherwin-Williams; West Fraser; Ferguson; Core & Main","This is not one housing bet and not project-level receipt proof.","built-environment chapter polish",Use as shelter/civic upkeep section,ready
ARIFD-009,Digital control,Core chapter,core,"Digital companies sell control over traffic, identity, threats, workloads, and participation.","Cloudflare; Akamai; Fastly; Zscaler; Fortinet; DigitalOcean; Roblox","ARR, RPO, traffic, users, and AI exposure are not durable operating leverage proof.","digital control chapter polish",Use as control infrastructure section,ready
ARIFD-010,Value retail,Core chapter,core,"The pressured wallet splits by job, not just by income level.","Costco; Walmart; Target; Dollar General; Dollar Tree; Burlington; Ollie's","Traffic, comps, membership, and margin are not durable cohort or cash-conversion proof.","value retail chapter polish",Use as consumer pressure section,ready
ARIFD-011,Services and cultural consumption,Expansion chapter,expansion,"People spend to save time, repair mood, preserve identity, meet obligations, and buy experience.","lodging; restaurants; casinos; airlines; advertising; entertainment; staffing","Service revenue does not automatically prove consumer health.","undercovered industry synthesis",Add as cultural behavior section,ready
ARIFD-012,Consumer goods and household identity,Expansion chapter,expansion,"Households defend routines that make daily life feel manageable.","personal products; beauty; packaged food; beverages; apparel; toys; packaging","Sales do not prove brand durability or pricing power.","undercovered industry synthesis",Add as household psychology section,ready
ARIFD-013,Basic materials and input scarcity,Expansion chapter,expansion,"Material scarcity helps explain why ordinary life becomes expensive when buildout rises.","copper; steel; lumber; fertilizer; chemicals; aggregates; uranium","End-market demand does not guarantee producer returns.","undercovered industry synthesis",Add as physical-input section,ready
