row_id,company,conversion_layer,period_or_window,metric_or_evidence,value,unit,current_answer,what_it_proves,what_it_does_not_prove,source_artifact,confidence,status
OCS-001,United Rentals,fleet demand and revenue,Q1 2024 to Q2 2026,rental revenue change,31.4,percent,"Rental revenue rose across the extracted period set.","URI's fleet-access model is producing repeated revenue, not only a static asset base.","Does not prove asset-level utilization or ROIC.","capital-flow-uri-fleet-capital-durability-pass-1.md",high,operating-conversion-proxy-visible
OCS-002,United Rentals,fleet productivity,Q1 2024 to Q2 2026,fleet productivity positive in every extracted period,10 of 10,periods,"Fleet productivity stayed positive in each extracted period.","URI reports repeated productivity contribution from rate, time utilization, and mix on owned-equipment rental revenue.","Does not separately quantify rate, time utilization, or mix.","capital-flow-uri-fleet-capital-durability-pass-1.md",high,operating-conversion-proxy-visible
OCS-003,United Rentals,fleet asset growth,Q1 2024 to Q2 2026,average OEC YoY positive in every extracted period,10 of 10,periods,"Average OEC growth stayed positive in each extracted period.","The fleet capital base continued to expand during the measured window.","Does not prove all OEC growth is organic physical capacity growth.","capital-flow-uri-fleet-capital-durability-pass-1.md",high,operating-conversion-proxy-visible
OCS-004,United Rentals,cash conversion,H1 2026,H1 operating cash flow / H1 gross rental capex,112.8,percent,"Operating cash flow covered gross rental capex in H1 2026.","Fleet investment was paired with operating cash generation above gross rental capex in the period.","Does not prove each fleet purchase was self-funded or high-return.","capital-flow-uri-fleet-capital-durability-pass-1.md; capital-flow-uri-fleet-return-utilization-proxy-pass-1.md",high,cash-conversion-visible
OCS-005,United Rentals,cash conversion,H1 2026,H1 operating cash flow / H1 net fleet cash investment,162.0,percent,"Operating cash flow covered net fleet cash investment after sale proceeds.","Used-equipment recycling and operating cash flow together supported net fleet investment.","Does not prove full life-cycle fleet return.","capital-flow-uri-fleet-capital-durability-pass-1.md",high,cash-conversion-visible
OCS-006,United Rentals,fleet capital absorption,H1 2026,gross rental capex,2.931,USD billions,"URI absorbed large recurring rental-equipment capital in H1 2026.","Capital absorption into rental fleet is large and repeated.","Does not split growth versus replacement capex.","capital-flow-uri-borrowing-base-fleet-collateral-pass-1.md",high,fleet-capital-absorption-visible
OCS-007,United Rentals,owned-rental mix,H1 2026,owned equipment rentals / equipment rentals,78.1,percent,"Owned equipment rentals remained the dominant rental-revenue base.","Most equipment-rental revenue is tied to owned fleet, not only re-rent or ancillary services.","Does not provide owned-equipment revenue by asset class.","capital-flow-uri-owned-rental-segment-economics-pass-1.md",high,owned-rental-economics-visible
OCS-008,United Rentals,specialty trend,FY2023 to FY2025,specialty share of equipment-rental revenue change,27.0 to 33.6,percent,"Specialty became a larger share of equipment-rental revenue.","URI's mix is shifting toward specialty categories within the rental platform.","Does not prove specialty ROIC or capital-light economics.","capital-flow-uri-owned-rental-segment-trend-pass-1.md",high,segment-trend-visible
OCS-009,United Rentals,segment asset proxy,H1 2026,specialty annualized equipment-rentals gross profit / average segment assets,26.4,percent,"Specialty has a stronger gross-profit/assets proxy than general rentals.","The segment return proxy links gross profit to filed segment asset denominators.","This is not ROIC, ROA, or fleet-level utilization.","capital-flow-uri-segment-asset-return-proxy-pass-1.md",medium-high,segment-asset-return-proxy-visible
OCS-010,United Rentals,collateralized funding support,Q1 2024 to Q2 2026,AR collateral pool coverage above 100%,10 of 10,periods,"AR collateral-pool coverage stayed above 100% in every extracted period.","Receivables collateral support is repeatedly visible in public disclosures.","Does not prove legal availability, advance rates, reserves, or borrowing-base certificate values.","capital-flow-uri-fleet-capital-durability-pass-1.md; capital-flow-uri-abl-public-disclosure-proxy-bridge-pass-1.md",medium-high,collateral-proxy-visible
OCS-011,United Rentals,ABL funding support,Q2 2026,ABL balance / stated ABL facility size,37.0,percent,"ABL draw intensity was bounded by a simple public ratio.","The ABL facility is materially used but not near the stated facility size on a simple ratio.","Does not prove legal headroom or borrowing-base availability.","capital-flow-uri-borrowing-base-fleet-collateral-pass-1.md",medium,abl-proxy-visible
OCS-012,United Rentals,acquisition funding chain,FY2024,Yak senior notes principal / base purchase price,100.0,percent,"Yak acquisition funding is visible at instrument level.","URI tied a named operating acquisition to senior notes and ABL drawings.","Does not disclose the exact ABL draw or purchase-level source-and-use schedule.","capital-flow-uri-yak-acquisition-funding-chain-pass-1.md",high,instrument-level-acquisition-funding-visible
