theme_id,priority,theme_family,plain_english_question,current_corpus_support,best_next_dig,upgrade_evidence,writing_use,proof_boundary
ARBTM-001,1,power_scarcity_grid_reliability,"Who owns scarce power grid permission customer contracts and recovery rights as electricity becomes a growth constraint","Constellation Vistra NRG Exelon Duke AEP NextEra plus FPL and power grid recovery passes",data-center load to customer contract and rate recovery map,"Signed load ESA PPA tariff support recovery approval in-service asset and customer billing evidence",top-tier theme for AI infrastructure power scarcity and utility recovery writing,"Do not claim customer cash or project return without billing collection and asset-level return proof"
ARBTM-002,2,capital_allocation_private_markets,"Who controls the routes through which retirement wealth insurance and institutional money enter public and private markets","BlackRock Blackstone Apollo KKR Brookfield Ares Carlyle plus big-money player map",cross-platform money source wrapper destination comparison,"Named vehicle legal entity borrower or project cash receipt waterfall and return evidence",top-tier theme for big-money platform writing,"Do not claim full cash loops from AUM fee AUM or platform scale alone"
ARBTM-003,3,healthcare_access_care_delivery,"Who organizes care access reimbursement pharmacy treatment density and home or community delivery under cost pressure","UnitedHealth Cigna DaVita Option Care Addus BrightSpring Enhabit cluster synthesis",healthcare burden-transfer operating proof table,"Medical-cost trend authorization pharmacy economics admissions census reimbursement labor and cash-conversion evidence",strong human theme with clear cost access labor and trust tension,"Do not treat healthcare demand as proof that each operator has durable reimbursement or cash conversion"
ARBTM-004,4,industrial_access_uptime_infrastructure,"Who keeps physical work moving when customers need equipment parts technical support and project-channel execution","United Rentals Fastenal WESCO Grainger Applied MSC Watsco plus URI and Sterling conversion passes",uptime infrastructure scorecard,"Utilization branch density vending onsite growth backlog conversion working capital gross margin and OCF evidence",strong operating theme for physical bottlenecks behind infrastructure and AI buildout,"Do not treat sales growth or backlog as proof of project cash collection or ROIC"
ARBTM-005,5,built_environment_upkeep,"Who benefits when housing and civic infrastructure become maintenance repair replacement and contractor-channel problems","Home Depot Lowes Builders FirstSource Sherwin-Williams West Fraser Ferguson Core Main cluster synthesis",upkeep versus new-construction exposure map,"RMI mix Pro growth branch and channel density waterworks demand coatings volumes lumber cycle and cash conversion",strong theme for explaining housing pressure beyond starts and mortgage rates,"Do not generalize all housing exposed companies as winners because sub-lanes differ sharply"
ARBTM-006,6,internet_software_digital_control_layers,"Who controls identity traffic security edge execution builder infrastructure and platform participation as activity moves online","Cloudflare Akamai Fastly Zscaler Fortinet DigitalOcean Roblox cluster synthesis",digital control-point proof map,"ARR RPO traffic security demand large-customer commitments deferred revenue FCF safety or governance cost and AI workload evidence",strong conceptual theme for trust control AI traffic and digital participation,"Do not treat growth in digital activity as automatic operating leverage or durable moat"
ARBTM-007,7,value_retail_pressured_consumer,"Which retailers make consumption feel justified when households are managing inflation time trust and regret","Costco Walmart Target Dollar General Dollar Tree Burlington Ollies cluster synthesis",pressured-consumer wallet-split map,"Traffic basket membership ads e-commerce margin shrink inventory quality and comp durability evidence",strong plain-English consumer theme with clear company contrasts,"Do not reduce the theme to generic trade-down because each retailer solves a different spending anxiety"
ARBTM-008,8,working_capital_inventory_stress,"Which businesses convert growth into cash and which trap cash in receivables inventory or supplier finance","Target Zebra MSC Global Industrial Pool Core Main Arrow Synchrony and 519-company cash-realization queue",receivable inventory cash-conversion queue,"DSO inventory turns reserve movements collateral eligibility customer concentration margin and OCF evidence",useful disproof theme for growth quality and financing quality,"Do not claim cash realization from revenue or balance-sheet growth alone"
ARBTM-009,9,acquisition_rollup_backlog_conversion,"Which companies are buying scale backlog customers or capability and does that convert into operating cash","Sterling MasTec URI Yak Core Main Relation MAI Frontline Atwell and acquisition finance passes",acquisition backlog conversion proof table,"Deal funding purchase accounting acquired backlog backlog burn retainage project margin and cash collection",good theme for explaining consolidation and operating scale buildout,"Do not claim acquired backlog value without conversion margin cancellation and collection evidence"
ARBTM-010,10,debt_reshaping_refinancing,"Which companies use new money to retire old obligations and does the transaction improve future cash economics","PBF Matador Devon Liberty Broadband Verizon Wheaton comparison and debt refinancing passes",refinancing settlement and value model queue,"Indenture redemption notice trustee paying-agent settlement fees tax coupon relief liquidity and NPV evidence",mechanically strong theme for source-use-waterfall proof discipline,"Do not equate refinancing mechanics with value creation without settlement economics and forward cash model"
