source_table_id,batch_id,pilot_id,company,ticker,lane,source_status,best_local_evidence_page,evidence_metric_refs_or_rows,cash_realization_level,cash_or_proxy_metric,amount_or_status,period,what_it_says,what_it_does_not_say,next_required_source,upgrade_status,safe_claim
CF519CST-001,CF519CR-001,CF519P2-001,Kkr Co. Inc.,KKR,private_credit_direct_lending,source-stack-visible-cash-allocation-open,capital-flow-insurance-statutory-asset-quality-bridge-pass-1.md; capital-flow-ares-borrower-same-period-exposure-summary-pass-1.md,KKR/Global Atlantic extraction rows; KKR-linked Atwell and Frontline holder rows,2 - platform and vehicle channel visible,platform/insurance/credit channel metrics with borrower holder evidence,source-backed platform and holder signals visible,Q2 2026,KKR has local evidence for insurance/credit channel scale and BDC/private-credit borrower holdings.,It does not prove that KKR platform cash or insurance liabilities funded a named borrower or that borrower cash returned to KKR.,KKR statutory investment schedules and borrower facility/use documents,hold-cash-allocation-open,KKR is source-visible as a capital platform and holder-channel participant; cash realization remains unproven.
CF519CST-002,CF519CR-002,CF519P2-002,Apollo Global Management Inc.,APO,private_credit_direct_lending,source-stack-visible-cash-spread-proxy-visible,capital-flow-insurance-statutory-asset-quality-bridge-pass-1.md,Retirement-services gross inflows 22.069B; Athene inflows 17.095B; net invested assets 314.090B; gross alternative investments 20.396B; SRE 877M,3 - channel cash proxy visible,Athene inflows/invested assets/spread-related earnings,22.069B inflows; 17.095B Athene inflows; 314.090B net invested assets; 877M SRE,Q2 2026,Apollo/Athene has strong source-backed liability-to-asset channel and earnings-spread evidence.,It does not allocate statutory liabilities or investment income to a named asset or borrower cash return.,Athene statutory Schedule D/BA and asset income/impairment bridge,pass-with-boundary,"Apollo has cash/spread proxy evidence at platform-channel level, not asset-level cash-realization proof."
CF519CST-003,CF519CR-003,CF519P2-003,Ares Management Corporation,ARES,private_credit_direct_lending,borrower-holder-same-period-visible,capital-flow-ares-borrower-same-period-exposure-summary-pass-1.md; capital-flow-ares-borrower-holder-expansion-pass-1.md,AeriTek 59.6000M; Frontline 198.6750M; MAI 8.0000M; Sunvair 68.1000M; Valcourt 117.6000M same-period holder cuts where visible,2 - destination/holder visible,named borrower holder fair value and commitment rows,multiple borrower same-period fair-value rows,Q2 2026 / mixed source periods,Ares-linked evidence reaches named operating borrowers and source-taxonomized holder vehicles.,"It does not prove source of funds, facility use, borrower cash generation, or bank replacement except where separate transaction documents support it.","Credit agreements, amendments, lender allocations, borrower financial statements",hold-source-use-cash-open,Ares has the strongest borrower-destination table; it is not yet a cash-realization table.
CF519CST-004,CF519CR-004,CF519P2-004,Blackrock Inc.,BLK,private_credit_direct_lending,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-004,0 - queued,no local cash-realization extraction yet,queued,current,BlackRock is in the 35-company batch as a private-credit platform candidate.,"No local source table in this pass proves BlackRock borrower funding, vehicle source stack, or realized cash.","Platform credit disclosures, vehicle schedules, borrower facility documents, and source/use/cash evidence",queued-open,BlackRock remains a queued pilot row for cash-realization extraction.
CF519CST-005,CF519CR-005,CF519P2-005,Blackstone Inc.,BX,private_credit_direct_lending,source-stack-visible-cash-allocation-open,capital-flow-vehicle-capital-stack-decomposition-pass-1.md; capital-flow-non-traded-private-credit-funding-stack-pass-1.md,BXSL / Blackstone credit and insurance source-stack rows,2 - vehicle/channel visible,credit vehicle investments and funding-stack context,source-backed vehicle/platform evidence visible,Q2 2026,Blackstone has local credit-vehicle and platform evidence that supports channel visibility.,It does not prove that Blackstone platform capital funded a specific pilot-company use or cash return.,BX statutory/vehicle funding stack and borrower use-of-proceeds documents,hold-cash-allocation-open,Blackstone is source-visible at channel level but not cash-realization proven.
CF519CST-006,CF519CR-006,CF519P2-006,Unitedhealth Group Inc.,UNH,insurance_and_retirement_capital,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-006,0 - queued,no local cash-realization extraction yet,queued,current,Unitedhealth Group Inc. is selected for insurance/retirement capital cash-realization extraction.,"This pass does not prove liability funding, asset allocation, spread income, credit quality, or realized cash by asset.","10-Q cash-flow, statutory schedules where applicable, premium or liability roll-forward, investment income, and asset-quality disclosures",queued-open,Unitedhealth Group Inc. remains a queued pilot row.
CF519CST-007,CF519CR-007,CF519P2-007,The Cigna Group,CI,insurance_and_retirement_capital,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-007,0 - queued,no local cash-realization extraction yet,queued,current,The Cigna Group is selected for insurance/retirement capital cash-realization extraction.,"This pass does not prove liability funding, asset allocation, spread income, credit quality, or realized cash by asset.","10-Q cash-flow, statutory schedules where applicable, premium or liability roll-forward, investment income, and asset-quality disclosures",queued-open,The Cigna Group remains a queued pilot row.
CF519CST-008,CF519CR-008,CF519P2-008,Metlife Inc.,MET,insurance_and_retirement_capital,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-008,0 - queued,no local cash-realization extraction yet,queued,current,Metlife Inc. is selected for insurance/retirement capital cash-realization extraction.,"This pass does not prove liability funding, asset allocation, spread income, credit quality, or realized cash by asset.","10-Q cash-flow, statutory schedules where applicable, premium or liability roll-forward, investment income, and asset-quality disclosures",queued-open,Metlife Inc. remains a queued pilot row.
CF519CST-009,CF519CR-009,CF519P2-009,Prudential Financial Inc.,PRU,insurance_and_retirement_capital,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-009,0 - queued,no local cash-realization extraction yet,queued,current,Prudential Financial Inc. is selected for insurance/retirement capital cash-realization extraction.,"This pass does not prove liability funding, asset allocation, spread income, credit quality, or realized cash by asset.","10-Q cash-flow, statutory schedules where applicable, premium or liability roll-forward, investment income, and asset-quality disclosures",queued-open,Prudential Financial Inc. remains a queued pilot row.
CF519CST-010,CF519CR-010,CF519P2-010,Oneok Inc.,OKE,power_grid_and_project_finance,cash-proxy-and-output-proxy-visible,capital-flow-power-grid-pilot-source-table-extraction-pass-1.md; capital-flow-power-grid-pilot-priority1-metric-extraction-pass-2.md,2026 capex guidance 2.7-3.2B; Q2 capex 613M; Q2 adjusted EBITDA 2.121B; six-month capex less AFUDC 1.477B; refined-products adjusted EBITDA 627M; more than 40 counterparties / more than 5 Bcf/d potential demand,4 - source/use/output/cash proxy visible,capex plus adjusted EBITDA and operating-volume/output cues,2.121B adjusted EBITDA; 1.477B six-month capex less AFUDC,Q2 2026,"ONEOK shows current capital deployment, output/volume proxy, and cash proxy in the same period.","It does not tie a named project to exact financing, customer contract cash, or return on invested capital.","Project-level capital schedule, tariff/contract evidence, and EBITDA contribution by project",pass-with-boundary,ONEOK has same-period capex/output/cash-proxy evidence but not project-level cash-return proof.
CF519CST-011,CF519CR-011,CF519P2-011,Mastec Inc.,MTZ,power_grid_and_project_finance,backlog-revenue-cash-proxy-visible,capital-flow-power-grid-pilot-source-table-extraction-pass-1.md; capital-flow-power-grid-pilot-priority1-metric-extraction-pass-2.md,Backlog 21.4B; Q2 revenue 4.374B; adjusted EBITDA 384.2M; six-month OCF 120.322M; six-month capex 188.312M; contract liabilities 760.912M; long-term debt 2.573839B,4 - backlog/revenue/cash proxy visible,"backlog, revenue, adjusted EBITDA, operating cash flow, and contract-liability fields",21.4B backlog; 4.374B revenue; 384.2M adjusted EBITDA,Q2 2026 / six months 2026,MasTec shows backlog converting into revenue and EBITDA with working-capital and debt fields visible.,"It does not prove project-owner funding, signed/non-cancellable backlog, project margin, or cash collection by project.","Backlog aging, customer funding, retainage, project margin, and contract cash collection schedules",pass-with-boundary,"MasTec has backlog-to-revenue/cash-proxy evidence, with project-level funding and collection still open."
CF519CST-012,CF519CR-012,CF519P2-012,Plains All American Pipeline Lp,PAA,power_grid_and_project_finance,tariff-route-and-rate-visible,capital-flow-plains-commercial-durability-extraction-pass-1.md,Texas RRC tariff TX 3.6.0; effective 2026-07-01; Karnes County to Cactus III/Hobson route; 178.98 cents per barrel base rate; negotiated-rate note,3 - commercial route/rate visible,tariff route and base-rate evidence,178.98 cents per barrel base rate,2026-07-01,Plains has asset-route and tariff-rate evidence for a specific pipeline movement path.,"It does not prove committed volumes, shipper identity, realized revenue, contract duration, or asset return.","Throughput, committed shipper contracts, tariff billing volumes, and segment cash contribution",pass-with-boundary,"Plains has commercial durability evidence at tariff/route level, not cash-realization proof."
CF519CST-013,CF519CR-013,CF519P2-013,Targa Resources Corp.,TRGP,power_grid_and_project_finance,cash-proxy-and-project-output-visible,capital-flow-power-grid-pilot-source-table-extraction-pass-1.md,"Net growth capital guidance 4.5B; Train 11, Delaware Express expansion, East Driver processing plant completions; adjusted EBITDA 1.603B; liquidity 3.2B; record operating volume categories",4 - source/use/output/cash proxy visible,"growth capex, project completions, adjusted EBITDA, liquidity",4.5B growth capital guidance; 1.603B adjusted EBITDA,Q2 2026,"Targa shows capex, named project completions, volume/output cues, liquidity, and cash proxy.","It does not prove project-level sources, committed customer cash, or return by Train/plant/expansion.","Project-level capex table, commercial contract evidence, and contribution by completed project",pass-with-boundary,Targa has project-output and cash-proxy evidence but not named-project return proof.
CF519CST-014,CF519CR-014,CF519P2-014,Nextera Energy Inc.,NEE,power_grid_and_project_finance,regulated-recovery-and-customer-receipt-gap-visible,capital-flow-fpl-distribution-inspection-receipts-financing-boundary-pass-1.md; capital-flow-fpl-distribution-inspection-customer-receipt-source-pursuit-pass-1.md; capital-flow-power-grid-pilot-source-table-extraction-pass-1.md,FPL regulatory capital employed 79.7B; SPPCRC aggregate clause revenue 804.620369M; true-up collected/refunded 65.318726M; Distribution Inspection actual cost 61.5M; final expenditures 38.320627M; plant additions 22.263219M; Energy Resources backlog 29.8GW and Q2 origination 3.6GW,4 - regulated recovery proxy visible,"regulatory recovery, rate factor authority, capital-structure support, backlog/origination",804.620369M aggregate SPPCRC revenue; 38.320627M Distribution Inspection expenditures,2025 final true-up / Q2 2026,NextEra/FPL has the strongest regulated recovery bridge in the pilot: output/cost/recovery authority and aggregate clause revenue are visible.,It does not prove Distribution Inspection-specific customer receipts or source-of-funds allocation by debt/equity/cash.,"2027 SPPCRC actual/estimated filing, billing determinants, category allocation workpapers, and financing support",pass-with-boundary,NextEra/FPL has regulated recovery evidence; category cash receipts and funding source remain open.
CF519CST-015,CF519CR-015,CF519P2-015,Pbf Energy,PBF,debt_refinancing_and_facilities,sec-source-and-companyfacts-extracted,capital-flow-debt-refinancing-sec-source-denominator-pass-1.md,CFDRSD-001,2 - SEC debt/cash-flow denominator visible,"cash, debt, operating cash flow, proceeds, repayments, or capital-return denominator",Cash and cash equivalents 894.1M USD at 2026-06-30; Debt instrument carrying amount 1.800B USD and noncurrent long-term debt 1.7491B USD at 2026-06-30; YTD operating cash flow 1.2651B USD; PP&E payments 476.5M USD; debt/capital lease repayments 6.0M USD for 2026-01-01 to 2026-06-30,Q2 2026 / YTD 2026,"PBF moves from queued to SEC source-visible for debt, cash, operating cash flow, capex, and repayments.","This does not prove a named refinancing use of proceeds, debt covenant headroom, or refinery-level cash return.","Debt footnote table, credit agreement or indenture amendments, liquidity discussion, and use-of-proceeds language.",source-visible-denominator-started,PBF has Q2 2026 SEC-visible debt and cash-flow denominators; refinancing mechanism and asset-level cash return remain open.
