chapter_id,section_or_company,role,hard_evidence,what_it_proves,what_it_does_not_prove,proof_grade,needed_for_upgrade,writing_use
ARPSC-001,Opening thesis,Chapter frame,"AI, cloud computing, electrification, manufacturing reshoring, and reliability pressure make electricity a growth constraint",Annual reports can be read as maps of power bottlenecks across demand generation wires contracts recovery and construction,Named customer cash or asset-level return is not proven by the theme alone,synthesis-ready,Company-by-company evidence table and proof ladder,Use as the chapter hook and plain-English setup.
ARPSC-002,Proof ladder,Proof discipline,"Demand visibility; obligation visibility; capital deployment visibility; recovery or cash-proxy visibility; named-cash proof",The chapter can separate strong mechanism evidence from final cash-return proof,It does not upgrade any company to full receipt-waterfall-return proof by itself,writing-control,Receipts billing legal-entity waterfalls collateral certificates and return models,Use to keep the chapter honest and easy to understand.
ARPSC-003,Constellation,Clean reliable generation,"55 GW fleet; Q2 2026 guidance raised to 11.50-12.50 USD; 920 MW new long-term clean-power PPAs",Large customers are contracting for dependable clean power and clean baseload has strategic value,It does not prove customer-level receipts project margin or return by PPA,source-visible-boundary,Executed PPA economics customer invoices collections and asset contribution,Use as the clean-reliable-supply example.
ARPSC-004,Vistra,Dispatchable generation,"Q2 2026 adjusted EBITDA 1.767B USD; at least 97 percent commercial availability in extreme heat; guidance 6.8B-7.6B USD",Controllable generation can monetize reliability when the grid is stressed,It does not prove plant-level cash return fuel cost attribution or customer receipt by asset,cash-proxy-boundary,Plant-level margin dispatch price revenue and cash collection schedules,Use as the reliability scarcity example.
ARPSC-005,NRG,Retail plus generation customer access,"About 8M customers; 25 GW generation; BYOP tied to 1.2 GW Texas gas project for cloud or AI hyperscaler demand",Retail access and generation can connect large-load demand to supply arrangements,It does not prove named hyperscaler payments contract price deposit collateral or realized project return,obligation-visible-boundary,Executed customer contract billing deposit collateral and project economics,Use as the customer-access bridge.
ARPSC-006,Exelon,Regulated wires and reliability,"Almost 11M customers; 41.7B USD four-year capital plan; 12B-17B USD extra transmission opportunity",Grid delivery is itself a capital bottleneck,It does not prove project-by-project recovery collected bills or earned ROE,capital-plan-visible-boundary,Rate-case support billing determinants recovery orders in-service plant and earned-return schedules,Use as the transmission and distribution example.
ARPSC-007,Duke,Regulated load growth,"7.6 GW secured data-center ESAs; about 5 GW data-center load under construction; 103B USD 2026-2030 capital plan; 20 secured gas turbines",Large-load demand can become utility procurement and capital formation,It does not prove every GW is energized billed recoverable or earning return,approved-recovery-pathway-visible,ESA terms project approvals construction cash billing determinants and earned-return evidence,Use as the utility load-growth example.
ARPSC-008,AEP,Grid gateway and large-load tariff,"69 GW expected new load additions by 2030; 78B USD five-year capital plan; 13 GW secured turbine capacity; AEP Ohio large data-center tariff mechanics",Data-center demand can enter the grid through tariff study LOA ESA reimbursement and capital-plan channels,It does not prove signed customer agreements collected cash or earned return on specific assets,approved-recovery-pathway-visible,Executed LOAs ESAs collateral reimbursement invoices approved cost recovery and asset return schedules,Use as the clearest data-center-to-grid gateway example.
ARPSC-009,NextEra and FPL,Regulated recovery plus development backlog,"FPL SPPCRC aggregate clause revenue 804.620369M USD; true-up collected or refunded 65.318726M USD; Distribution Inspection actual cost 61.5M USD; Energy Resources backlog 29.8 GW and Q2 2026 origination 3.6 GW",Regulated recovery and renewable-development backlog are both visible power-scarcity money routes,It does not prove Distribution Inspection-specific customer receipts or project-level source/use allocation,regulated-recovery-boundary,Category allocation workpapers billing determinants collected receipts financing support and project contribution,Use as the recovery bridge and developer backlog example.
ARPSC-010,Sterling and MasTec,Contractor and implementation route,"Sterling RPO/backlog rose from 2.055081B to 4.233618B; MasTec backlog 21.4B; MasTec Q2 revenue 4.374B; MasTec adjusted EBITDA 384.2M",Power and infrastructure demand becomes contractor backlog revenue and cash-proxy evidence,It does not prove owner funding retainage collection project margin cancellation risk or bonded backlog cash conversion,backlog-cash-proxy-boundary,Owner funding records retainage schedules cash collection bonded backlog L/C usage and project margin,Use as the physical buildout beneficiary example.
ARPSC-011,Chapter verdict,Final synthesis,"Cross-company evidence links power demand to contracts tariffs capital plans procurement construction recovery and cash proxies",Power scarcity is a broad operating control point visible across annual reports,It does not prove universal named-cash receipt debt waterfall collateral certificate or project-return model,publication-ready-with-boundaries,One or two receipt-grade case studies plus capital-platform chapter,Use as the chapter close and bridge to private capital platforms.
