funding_id,linked_rows,company,ticker,theme,subtheme,source_file,source_type,period,metric,value,unit,calculation_or_source,evidence_status,what_it_says,what_it_does_not_say,next_source
STRLCF-001,FTH-004; FTH-009; CTCS-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Backlog customer funding,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,contract liabilities,802.601,M USD,Condensed balance sheet,current-liability-visible,"Sterling had customer billings or retainage-like liability balances ahead of revenue recognition at a scale larger than contract assets.","This does not identify the project owner source of funds or prove all backlog is pre-funded.","Extract contract-liability roll-forward and segment/customer detail from future 10-Qs."
STRLCF-002,FTH-004; FTH-009; CTCS-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Backlog customer funding,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,contract assets,156.295,M USD,Condensed balance sheet,current-asset-visible,"Sterling also had revenue recognized before billing, so customer/project timing still creates working-capital exposure.","This does not prove billing timing is favorable on every job.","Pull contract-asset aging and collections detail if disclosed."
STRLCF-003,STRLCF-001; STRLCF-002,Sterling Infrastructure,STRL,Capital-intensive buildout,Backlog customer funding,derived from Q2 2026 10-Q,derived metric,2026-06-30,contract liabilities less contract assets,646.306,M USD,802.601M USD minus 156.295M USD,derived-current-balance,"The balance-sheet timing position was net liability-positive by 646.306M USD, supporting the hypothesis that customer/project billing helps fund execution timing.","This is not a project-level source-and-use schedule and may include retainage and timing effects rather than unrestricted cash funding.","Reconcile to operating cash-flow working-capital bridge and segment contracts."
STRLCF-004,STRLCF-001; STRLCF-002,Sterling Infrastructure,STRL,Capital-intensive buildout,Backlog customer funding,derived from Q2 2026 10-Q,derived metric,2026-06-30,contract liability to contract asset ratio,5.1,x,802.601M USD divided by 156.295M USD,derived-current-balance,"Contract liabilities were about 5.1x contract assets at quarter end, which is consistent with favorable customer/project billing timing.","The ratio can move quarter to quarter and does not prove durable funding quality.","Track the ratio across at least eight quarters."
STRLCF-005,FTH-004; FTH-009; CTCS-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Backlog retainage,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,contract-assets retainage,72.8,M USD,Revenue note,current-retainage-visible,"Customers held back 72.8M USD inside contract assets pending completion or satisfaction of project conditions.","This is a customer withholding claim, not a customer pre-funding claim.","Track retainage collections and dispute/reserve language."
STRLCF-006,FTH-004; FTH-009; CTCS-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Backlog retainage,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,contract-liabilities retainage,197.1,M USD,Revenue note,current-retainage-visible,"Contract liabilities included 197.1M USD of retainage, showing the construction accounting bucket includes meaningful customer holdback/timing mechanics.","This still does not show the ultimate project sponsor's financing source.","Pull project-level retainage terms where customer contracts are available."
STRLCF-007,STRLCF-005; STRLCF-006,Sterling Infrastructure,STRL,Capital-intensive buildout,Backlog retainage,derived from Q2 2026 10-Q,derived metric,2026-06-30,contract-liability retainage less contract-asset retainage,124.3,M USD,197.1M USD minus 72.8M USD,derived-current-balance,"Retainage-related liability balances exceeded retainage-related asset balances by 124.3M USD.","This is an accounting-timing indicator, not a proof of project profitability.","Reconcile retainage to segment backlog and cash conversion."
STRLCF-008,FTH-004; CTCS-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Backlog quality,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,remaining performance obligations,4233.618,M USD,RPO table,filed-contract-commitment,"RPOs show 4.233618B USD of contract transaction price tied to unsatisfied or partially satisfied performance obligations.","RPOs may be cancelled or modified and do not reveal margin or funding source.","Extract RPO roll-forward, expected revenue timing, and segment margin."
STRLCF-009,FTH-004; CTCS-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Backlog quality,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,RPO expected revenue within next 12 months,74.0,percent,RPO disclosure,filed-conversion-timing,"Sterling expected to recognize about 74% of June 30 2026 RPOs as revenue during the next 12 months.","Revenue timing does not prove cash collection timing or final margin.","Tie RPO conversion to cash-flow and gross-margin results over the next four quarters."
STRLCF-010,FTH-004; CTCS-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Backlog quality,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,MSA backlog,100.0,M USD,Backlog disclosure,filed-backlog-visible,"MSAs became part of backlog after the Stone Ridge acquisition and add recurring-service-type estimated orders.","Customers are not committed to specific MSA volumes, so this is weaker than executed project backlog.","Separate MSA backlog from signed fixed project backlog."
STRLCF-011,FTH-004; CTCS-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Backlog quality,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,total backlog,4333.6,M USD,RPOs plus MSAs,filed-backlog-visible,"Backlog was 4.3336B USD, combining contractual RPOs and 100.0M USD of MSA estimated orders.","Backlog is not GAAP and methodologies may not compare with other companies.","Track backlog by RPO/MSA/segment and additions versus revenue."
STRLCF-012,FTH-004; CTCS-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Unsigned awards,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,unsigned awards,1280.0,M USD,Backlog disclosure,award-visible-not-contractual,"Unsigned awards add a large demand-visibility layer but are excluded from backlog until customer contract execution.","Unsigned awards are not equivalent to signed funded backlog.","Pull subsequent contract execution evidence and cancellation history."
STRLCF-013,STRLCF-011; STRLCF-012,Sterling Infrastructure,STRL,Capital-intensive buildout,Unsigned awards,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-06-30,combined backlog,5620.0,M USD,Backlog plus unsigned awards,filed-visibility-visible,"Combined backlog was 5.62B USD, showing a larger demand funnel than signed backlog alone.","Combined backlog mixes stronger signed backlog with weaker unsigned awards.","Separate signed, MSA, unsigned, and future-phase work in all thesis language."
STRLCF-014,STRLCF-011; STRLCF-013,Sterling Infrastructure,STRL,Capital-intensive buildout,Unsigned awards,derived from Q2 2026 10-Q,derived metric,2026-06-30,unsigned awards share of combined backlog,22.9,percent,(5.620B USD minus 4.3336B USD) divided by 5.620B USD,derived-backlog-quality,"About 22.9% of combined backlog was unsigned-award visibility rather than signed backlog.","The 22.9% bucket should not be treated as contract-grade demand.","Track conversion of unsigned awards into signed backlog."
STRLCF-015,FTH-004; CTCS-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Acquisition-enabled backlog,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-ex99-earnings-release.html,Q2 2026 earnings release,2026-06-30,CEC and Stone Ridge unsigned award contribution,1240.0,M USD,Release footnote,filed-acquisition-visible,"CEC and Stone Ridge contributed 1.24B USD of the 1.28B USD unsigned-award bucket.","This means much of the unsigned visibility came from acquisitions, not legacy organic Sterling.","Track organic/acquired backlog roll-forward after integration."
STRLCF-016,FTH-004; CTCS-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Acquisition-enabled backlog,derived from Q2 2026 release and deck,derived metric,2026-06-30,CEC and Stone Ridge signed plus unsigned contribution share of combined backlog,45.6,percent,(1.32B USD signed plus 1.24B USD unsigned) divided by 5.62B USD,derived-acquisition-quality,"About 45.6% of combined backlog was tied to CEC and Stone Ridge signed plus unsigned contribution.","This weakens a pure organic-demand story and strengthens an acquisition-platform story.","Rebuild backlog bridge excluding acquisitions each quarter."
STRLCF-017,FTH-004; CTCS-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Future-phase visibility,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-earnings-presentation.html,Q2 2026 earnings presentation,2026-06-30,future phase opportunities,1400.0,M USD,Backlog and future phase summary,company-visibility-visible,"Sterling identified 1.4B USD of high-probability future-phase opportunities on active sites not included in backlog.","Future-phase work is not signed backlog and should not be treated as funded demand.","Pull customer/site references and later conversion into signed awards."
STRLCF-018,FTH-004; CTCS-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Cash conversion,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-H1,net cash provided by operating activities,328.021,M USD,Cash-flow statement,filed-cash-visible,"H1 operating cash flow was 328.021M USD, showing backlog/revenue conversion was generating cash at the company level.","Company-level cash does not prove every backlog dollar is profitable or customer-funded.","Reconcile cash flow to contract capital and segment results."
STRLCF-019,FTH-004; CTCS-014,Sterling Infrastructure,STRL,Capital-intensive buildout,Cash conversion,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q,2026-H1,capital expenditures,69.646,M USD,Cash-flow statement,filed-cash-visible,"Company capex was modest relative to backlog and operating cash flow, consistent with Sterling as an execution platform rather than an owned-asset buildout vehicle.","This does not include customer-owned project capex or all acquisition spending.","Separate organic capex, acquisition consideration, and customer project costs."
STRLCF-020,STRLCF-018; STRLCF-019,Sterling Infrastructure,STRL,Capital-intensive buildout,Cash conversion,derived from Q2 2026 10-Q,derived metric,2026-H1,operating cash flow less capex,258.375,M USD,328.021M USD minus 69.646M USD,derived-cash-conversion,"H1 operating cash flow exceeded capex by 258.375M USD, supporting a cash-converting execution-platform hypothesis.","This is not free cash flow after acquisitions, debt repayment, buybacks, or working-capital normalization.","Build full cash source-and-use bridge including acquisitions and debt."
STRLCF-021,STRLCF-018; STRLCF-019,Sterling Infrastructure,STRL,Capital-intensive buildout,Cash conversion,derived from Q2 2026 10-Q,derived metric,2026-H1,operating cash flow to capex,471.0,percent,328.021M USD divided by 69.646M USD,derived-cash-conversion,"Operating cash flow was 471.0% of capex, reinforcing that the company is not funding the whole physical project value through its own capex line.","This can reverse if working capital normalizes or project timing changes.","Track quarterly contract-capital changes."
STRLCF-022,FTH-004; STRLCF-001; STRLCF-021,Sterling Infrastructure,STRL,Capital-intensive buildout,Why funding type differs,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm; raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,synthesis,2026-06-30,why Sterling uses flexible revolver rather than project debt,not project-source-of-funds-grade,status,"Synthesis of contract balances, backlog mix, cash conversion, L/C/bonding language, and 1.5B USD credit agreement",hypothesis-strengthened-not-proven,"The best current explanation is that Sterling needs flexible corporate liquidity for billing timing, retainage, bonding/L/C support, acquisitions, capex, and working capital while customers/project owners fund the upstream assets.","We still do not know each project owner's financing source, exact funded status, margin, or cancellation economics.","Next pass should pull customer/project source links, L/C outstanding amounts, bonding exposure, covenant cushion, and backlog conversion."
