gate_id,stage,question,entity_or_metric,evidence_value,period,source_artifact,current_status,what_is_proven,missing_upgrade
APO-001,force,What force is being tested?,Institutional retirement and private-credit capital,"Long-duration liabilities and institutional savings seek yield while borrowers need origination and distribution",2026,analysis/cross-sector/financial-intermediation-to-owner-cash-forensic-synthesis-2026-09-14.md,context-only,Macro and industry force linked to Apollo's model,Observed cross-cycle demand and risk-adjusted capital outcomes
APO-002,control_point,What does Apollo control?,Origination-to-funding workflow,Origination and underwriting route assets into third-party funds and Athene retirement liabilities,2026,analysis/deep-company-pages/apollo-global-management-inc.md,control-point-visible,Integrated financial control point described,Source-backed cash and risk allocation by channel
APO-003,scale,What platform scale exists?,Total AUM,1047000000000 USD,Q2 2026,analysis/deep-company-pages/apollo-global-management-inc.md,reported-scale,AUM scale visible,AUM-to-fee-paying and common-cash reconciliation
APO-004,scale,What fee-paying base exists?,Fee-generating AUM,858000000000 USD,Q2 2026,analysis/deep-company-pages/apollo-global-management-inc.md,reported-scale,FGAUM visible,Fee-rate and retention schedule
APO-005,capital_flow,What capital entered the platform?,Inflows,"60000000000 USD Q2; 298000000000 USD LTM",Q2 2026,analysis/deep-company-pages/apollo-global-management-inc.md,reported-flow,Capital formation visible,Collected fees and retained capital by product
APO-006,capital_flow,What was originated?,Origination,"74000000000 USD Q2; 317000000000 USD LTM",Q2 2026,analysis/deep-company-pages/apollo-global-management-inc.md,reported-flow,Origination activity visible,"Funded loans, fee receipts, defaults, and realized return"
APO-007,capital_flow,What was deployed?,Gross capital deployment,"111000000000 USD Q2; 427000000000 USD LTM",Q2 2026,analysis/deep-company-pages/apollo-global-management-inc.md,reported-flow,Deployment activity visible,Named asset-level source/use and cash-return ledger
APO-008,named_transaction,Is there a named destination?,Broadcom AI expansion financing,Approximately 35000000000 USD financing discussed by management,Q2 2026,analysis/deep-company-pages/apollo-global-management-inc.md,named-context,Named financing context visible,"Funded amount, contract terms, fees, credit performance, and cash receipts"
APO-009,fee_engine,What recurring fee layer exists?,Fee-related earnings,"785000000 USD Q2; 1513000000 USD YTD",Q2 2026,analysis/deep-company-pages/apollo-global-management-inc.md,fee-layer-visible,FRE and its revenue/cost components visible,GAAP cash/tax/NCI/dilution reconciliation
APO-010,spread_engine,What insurance-spread layer exists?,Spread-related earnings,"877000000 USD Q2; 1596000000 USD YTD",Q2 2026,analysis/deep-company-pages/apollo-global-management-inc.md,spread-layer-visible,SRE and cost-of-funds architecture visible,"Credit-loss, capital, liability, hedge, and realized-cash bridge"
