field,value,context,owner_cash_status
operating_cash_flow,"$3.911B","FY2025","observed"
recurring_capex,"$284M","company-defined FY2025 recurring capital expenditures","observed; definition-sensitive"
affo_attributable_to_common,"$3.761B","FY2025","observed; non-GAAP"
recurring_capital_screen,"$3.627B","OCF less recurring capex","diagnostic only"
total_property_equipment_capex,"$4.311B","FY2025","observed; includes growth capacity"
real_estate_acquisitions,"$994M","FY2025","observed; acquisition burden"
business_acquisitions,"$251M","FY2025","observed; acquisition burden"
full_visible_investment_bridge,"$(1.645)B","OCF less total property capex and acquisitions","diagnostic capital-allocation stress"
sbc_affo_adjustment,"$498M","FY2025 AFFO reconciliation","requires dilution/per-share treatment"
non_real_estate_depreciation_affo_adjustment,"$568M","FY2025 AFFO reconciliation","capability-refresh question"
amortization_affo_adjustment,"$200M","FY2025 AFFO reconciliation","recurrence test open"
impairment_affo_adjustment,"$68M","FY2025 AFFO reconciliation","recurrence/expansion economics test"
restructuring_affo_adjustment,"$33M","FY2025 AFFO reconciliation","recurrence test open"
transaction_cost_affo_adjustment,"$18M","FY2025 AFFO reconciliation","recurrence test open"
total_indebtedness,"$21.4B","FY2025 year-end","financing claim"
operating_lease_liabilities,"$1.5B","FY2025 year-end","attached physical claim"
cash_and_short_term_investments,"$3.2B","FY2025 year-end","liquidity context, not owner cash"
development_pipeline,"55,000+ retail cabinets and 100+ MW xScale through 2028","52 major projects; future delivery","not current cash"
future_capacity_land,"approximately 1 GW","land acquisitions","option/capital burden, not current cash"
equity_value_screen,"approximately $102.0B","September 2026 expectation screen","market-implied burden"
affo_multiple_screen,"approximately 27x","equity value / FY2025 AFFO","expectation screen only"
normalized_owner_cash,"not calculated","requires project return, power, JV/VIE, lease-up, debt, dilution, and maintenance-capital bridge","missing"
