queue_id,priority_tier,priority_rank,cash_instrument_cusip,named_family,cash_instrument_description,part_c_ledger_ids,part_c_pages,schedule_d_row_ids,schedule_d_pages,schedule_d_book_value_sum,schedule_d_fair_value_sum,schedule_d_interest_received_sum,part_c_book_candidate_sum_used,part_c_fair_candidate_sum_used,numeric_control_status,priority_reason,minimum_decisive_source_object,why_that_object_matters,current_boundary
CFAASDBNLQ-0001,A,1,02300A-AA-8,AMAPS,AMAPS 1 LLC - Tranche A Note,CFAASDBPC-0074 | CFAASDBPC-0580,467 | 484,CFAASDFR-8510,6023,"1,917,500,000","1,917,500,000",,"404,450,000","404,450,000",matched-identity-component-exposure-control,large statutory holding or received-interest control with a direct named Part C identity,"Athene custody statement, trustee/paying-agent remittance, or transaction settlement record for the exact CUSIP and period","It could connect the statutory holding and income fields to an actual legal-entity receipt, counterparty, or settlement event.","Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0002,A,2,049400-AA-2,ATLAS,"ATLAS SECURED ADVANCE FUNDING,",CFAASDBPC-0075 | CFAASDBPC-0496,467 | 481,CFAASDFR-8514,6023,"1,412,877,374","1,412,500,000","19,016,711","760,000,000","760,000,000",matched-identity-component-exposure-control,large statutory holding or received-interest control with a direct named Part C identity,"Athene custody statement, trustee/paying-agent remittance, or transaction settlement record for the exact CUSIP and period","It could connect the statutory holding and income fields to an actual legal-entity receipt, counterparty, or settlement event.","Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0003,A,3,55285H-AA-0,MF1,MF1 2022-B1 A,CFAASDBPC-0109 | CFAASDBPC-0592,468 | 485,CFAASDFR-6381,5979,"879,633,424","882,796,820","54,749,052","336,988,578",,matched-identity-component-exposure-control,large statutory holding or received-interest control with a direct named Part C identity,"Athene custody statement, trustee/paying-agent remittance, or transaction settlement record for the exact CUSIP and period","It could connect the statutory holding and income fields to an actual legal-entity receipt, counterparty, or settlement event.","Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0004,A,4,04941*-AC-8,ATLAS,ATLAS Funding 1 A1B,CFAASDBPC-0071,467,CFAASDFR-8442,6021,"766,699,097","765,707,334","30,215,182","454,132,255",,matched-identity-component-exposure-control,large statutory holding or received-interest control with a direct named Part C identity,"Athene custody statement, trustee/paying-agent remittance, or transaction settlement record for the exact CUSIP and period","It could connect the statutory holding and income fields to an actual legal-entity receipt, counterparty, or settlement event.","Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0005,A,5,04941*-AA-2,ATLAS,ATLAS Funding 1 A1A,CFAASDBPC-0076,467,CFAASDFR-8441,6021,"766,160,421","766,014,138","30,316,172",,"410,512,770",matched-identity-component-exposure-control,large statutory holding or received-interest control with a direct named Part C identity,"Athene custody statement, trustee/paying-agent remittance, or transaction settlement record for the exact CUSIP and period","It could connect the statutory holding and income fields to an actual legal-entity receipt, counterparty, or settlement event.","Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0006,A,6,91835W-AA-7,VARDE,Varde Partners Inc,CFAASDBPC-0130 | CFAASDBPC-0597 | CFAASDBPC-0598,469 | 485,CFAASDFR-6455,5981,"422,173,543","425,258,466","16,119,135","127,577,536","42,525,849",matched-identity-component-exposure-control,large statutory holding or received-interest control with a direct named Part C identity,"Athene custody statement, trustee/paying-agent remittance, or transaction settlement record for the exact CUSIP and period","It could connect the statutory holding and income fields to an actual legal-entity receipt, counterparty, or settlement event.","Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0007,A,7,02300A-AC-4,AMAPS,AMAPS 1 LLC - Tranche B Note,CFAASDBPC-0066,467,CFAASDFR-8511,6023,"367,000,000","367,000,000",,"58,950,000",,matched-identity-component-exposure-control,large statutory holding or received-interest control with a direct named Part C identity,"Athene custody statement, trustee/paying-agent remittance, or transaction settlement record for the exact CUSIP and period","It could connect the statutory holding and income fields to an actual legal-entity receipt, counterparty, or settlement event.","Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0008,B,8,592918-AC-0,MF1,MF1 2025-B2 AS,CFAASDBPC-0119,469,CFAASDFR-6404,5979,"90,000,000","91,180,395","3,762,950","60,786,930",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0009,A,9,91835W-AC-3,VARDE,Varde Partners Inc,CFAASDBPC-0131,469,CFAASDFR-6456,5981,"67,983,406","68,616,859","2,816,973",,,matched-identity-with-ambiguous-part-c-candidate,source-column ambiguity or missing row-level control must be resolved before numeric use,page-level Athene statutory Schedule DB/Schedule D custody or accounting support showing the exact columns and lot,It determines whether the apparent named component is a reliable lot-level amount before requesting settlement or remittance evidence.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0010,B,10,55287H-AC-4,MF1,MF1 2025-FL17 AS,CFAASDBPC-0594,485,CFAASDFR-6392,5979,"65,618,044","65,636,765","3,349,071","32,818,383",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0011,B,11,592918-AE-6,MF1,MF1 2025-B2 B,CFAASDBPC-0722,489,CFAASDFR-6405,5979,"57,647,000","58,493,477","2,526,028","2,882,000","2,924,319",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0012,B,12,55287E-AC-1,MF1,MF1 2024-FL16 AS,CFAASDBPC-0113 | CFAASDBPC-0711,468 | 489,CFAASDFR-6388,5979,"55,988,179","56,198,919","3,530,772","31,198,206","6,244,324",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0013,B,13,91835W-AE-9,VARDE,Varde Partners Inc,CFAASDBPC-0132,469,CFAASDFR-6457,5981,"54,035,478","54,549,509","2,353,064","5,404,046","5,455,453",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0014,B,14,55287E-AA-5,MF1,MF1 2024-FL16 A,CFAASDBPC-0593,485,CFAASDFR-6387,5979,"48,189,225","48,395,079","2,842,534","24,197,539",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0015,B,15,55416A-AC-3,MF1,MF1 2024-FL14 AS 7.82659% 19 M,CFAASDBPC-0715,489,CFAASDFR-6396,5979,"44,106,622","44,312,270","2,914,158","5,288,444","5,313,102",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0016,B,16,58003M-AA-4,MF1,MF1 2024-FL15 A,CFAASDBPC-0718,489,CFAASDFR-6399,5979,"43,884,833","44,110,057","2,654,515","5,266,179","5,293,207",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
