claim_id,source_id,reporting_entity,cik,borrower_or_credit_name,period,loan_type,industry,rate_or_coupon,maturity,funded_or_par_amount_usd_m,amortized_cost_usd_m,fair_value_usd_m,unfunded_commitment_usd_m,source_url,local_path,source_location,what_it_proves,what_it_does_not_prove,status
CF-005,sdlp-2024-annual-report-ex99-1,Senior Direct Lending Program LLC,0001784700,Valcourt Holdings II LLC and Jobs Holdings Inc.,FY2024,First lien senior secured loan,Commercial and Professional Services,10.4%,11/2029,325.9,325.9,325.9,,https://www.sec.gov/Archives/edgar/data/1784700/000095017025043295/ck0001784700-ex99_1.htm,raw/primary-sources/capital-flow/precinmac/sec/sdlp-2024-annual-report-ex99-1.html,parsed row 42,"SDLP reported a Valcourt/Jobs first-lien loan at 325.9M USD par and 325.9M USD fair value as of FY2024.","This does not prove the full facility size, use of proceeds, bank replacement, or 2026 incremental commitment.",sec-schedule-row-extracted
CF-005,sdlp-2024-annual-report-ex99-1,Senior Direct Lending Program LLC,0001784700,Valcourt Holdings II LLC,FY2023 comparative,First lien senior secured loan,Commercial and Professional Services,11.3%,11/2029,262.5,262.5,257.3,,https://www.sec.gov/Archives/edgar/data/1784700/000095017025043295/ck0001784700-ex99_1.htm,raw/primary-sources/capital-flow/precinmac/sec/sdlp-2024-annual-report-ex99-1.html,parsed row 84,"The same SDLP annual-report source includes a comparative Valcourt row at 257.3M USD fair value.","This is historical holder evidence and should not be added to FY2024 exposure as a separate current holder.",sec-schedule-comparative-row-extracted
CF-005,arcc-sdlp-2025q4-ex99-2,Senior Direct Lending Program LLC / Ares Capital exhibit,0001287750,Valcourt Holdings II LLC,Q4 2025,First lien senior secured loan,Commercial and Professional Services,9.01% (SOFR + 5.00%),11/2029,342.9,,342.9,,https://www.sec.gov/Archives/edgar/data/1287750/000128775026000006/arccq4-2025ex992xsdlpconde.htm,raw/primary-sources/capital-flow/valcourt/sec/arcc-sdlp-2025q4-ex99-2.html,parsed row 10,"The ARCC-filed SDLP Q4 2025 exhibit reports Valcourt at 342.9M USD fair value and 32.5% of members' capital.","This is still SDLP holder exposure; it does not identify the whole lender group or prove a bank takeout.",sec-schedule-row-extracted
CF-005,arcc-sdlp-2025q4-ex99-2,Senior Direct Lending Program LLC / Ares Capital exhibit,0001287750,Valcourt Holdings II LLC,FY2024 comparative,First lien senior secured loan,Commercial and Professional Services,10.4% (SOFR + 5.75%),11/2029,325.9,,325.9,,https://www.sec.gov/Archives/edgar/data/1287750/000128775026000006/arccq4-2025ex992xsdlpconde.htm,raw/primary-sources/capital-flow/valcourt/sec/arcc-sdlp-2025q4-ex99-2.html,parsed row 84,"The Q4 2025 exhibit repeats the FY2024 Valcourt comparative row at 325.9M USD fair value.","This duplicates the FY2024 SDLP observation and should not be double-counted as separate current exposure.",sec-schedule-comparative-row-extracted
CF-005,arcc-sdlp-2026q1-ex99-1,Senior Direct Lending Program LLC / Ares Capital exhibit,0001287750,Valcourt Holdings II LLC,Q1 2026,First lien senior secured loan,Commercial and Professional Services,8.81% (SOFR + 5.00%),11/2029,342.0,,342.0,,https://www.sec.gov/Archives/edgar/data/1287750/000162828026027688/arccq1-2026ex991xsdlpconde.htm,raw/primary-sources/capital-flow/valcourt/sec/arcc-sdlp-2026q1-ex99-1.html,parsed row 10,"The ARCC-filed SDLP Q1 2026 exhibit reports Valcourt at 342.0M USD fair value and 31.5% of members' capital.","This is a holder balance in SDLP, not total Valcourt debt and not bank-displacement proof.",sec-schedule-row-extracted
CF-005,arcc-sdlp-2026q1-ex99-1,Senior Direct Lending Program LLC / Ares Capital exhibit,0001287750,Valcourt Holdings II LLC,Q4 2025 comparative,First lien senior secured loan,Commercial and Professional Services,9.01% (SOFR + 5.00%),11/2029,342.9,,342.9,,https://www.sec.gov/Archives/edgar/data/1287750/000162828026027688/arccq1-2026ex991xsdlpconde.htm,raw/primary-sources/capital-flow/valcourt/sec/arcc-sdlp-2026q1-ex99-1.html,parsed row 77,"The Q1 2026 exhibit repeats the Q4 2025 Valcourt comparative row at 342.9M USD fair value.","This duplicates the Q4 2025 SDLP observation and should not be double-counted.",sec-schedule-comparative-row-extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,0001287750,Valcourt Holdings II LLC and Jobs Holdings Inc.,Q2 2026,First lien senior secured loan,Commercial and Professional Services,8.39% SOFR + 4.75%,05/2033,117.6,117.6,117.6,,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,parsed row 1036,"ARCC's own Q2 2026 schedule reports a 117.6M USD Valcourt/Jobs first-lien position with a 05/2033 maturity.","This appears to be a different/latest facility term than the SDLP 11/2029 rows; it does not by itself explain refinancing mechanics.",sec-schedule-row-extracted
CF-005,arcc-2026q2-sec-10q,Ares Capital Corporation,0001287750,Valcourt Holdings II LLC and Jobs Holdings Inc.,Q4 2025 comparative,First lien senior secured loan,Commercial and Professional Services,9.01% SOFR + 5.00%,11/2029,58.8,58.8,58.8,,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,parsed row 3535,"ARCC's Q2 2026 10-Q includes a comparative Valcourt/Jobs row at 58.8M USD fair value as of Q4 2025.","This historical ARCC comparator should not be added to the Q2 2026 position.",sec-schedule-comparative-row-extracted
CF-005,cliffwater-cclf-2024-nport,Cliffwater Corporate Lending Fund,0001735964,Valcourt Holdings II LLC,FY2023,First lien term loan,not classified in extracted row,11.267% SOFR + 5.25%,11/17/2029,41.046931,40.240896,40.287584,,https://www.sec.gov/Archives/edgar/data/1735964/000114554924012959/nport-excclfpartf.htm,raw/primary-sources/capital-flow/valcourt/sec/cliffwater-cclf-2024-nport.html,parsed row 13,"Cliffwater reported a Valcourt first-lien term-loan position with 40.287584M USD fair value.","This is FY2023 exposure and does not prove current 2026 holdings or the whole facility.",sec-schedule-row-extracted
CF-005,cliffwater-cclf-2024-nport,Cliffwater Corporate Lending Fund,0001735964,Valcourt Holdings II LLC,FY2023,Delayed draw,not classified in extracted row,1.000%,11/17/2029,13.537906,-0.268293,-0.250445,13.537906,https://www.sec.gov/Archives/edgar/data/1735964/000114554924012959/nport-excclfpartf.htm,raw/primary-sources/capital-flow/valcourt/sec/cliffwater-cclf-2024-nport.html,parsed row 11,"Cliffwater reported a Valcourt delayed-draw commitment with 13.537906M USD principal amount and a negative commitment fair value.","The negative fair value is a commitment valuation marker, not funded debt outstanding.",sec-schedule-row-extracted
