evidence_id,company,ticker,period,object,value,unit,source_anchor,what_it_proves,boundary,status
BTSG-P2-001,BrightSpring Health Services Inc.,BTSG,H1 2026,total revenue,7486.9,M USD,BrightSpring Q2 2026 Form 10-Q,Scale of continuing operations,Revenue is not owner cash,current-period-qualified
BTSG-P2-002,BrightSpring Health Services Inc.,BTSG,H1 2026,Pharmacy Solutions revenue,6578.522,M USD,BrightSpring Q2 2026 Form 10-Q,Pharmacy product route is visible,Product revenue carries drug cost,current-period-qualified
BTSG-P2-003,BrightSpring Health Services Inc.,BTSG,H1 2026,Provider Services revenue,908.339,M USD,BrightSpring Q2 2026 Form 10-Q,Provider service route is visible,Service revenue carries labor and direct costs,current-period-qualified
BTSG-P2-004,BrightSpring Health Services Inc.,BTSG,H1 2026,Pharmacy cost of drugs,5589.692,M USD,BrightSpring Q2 2026 Form 10-Q,Direct pharmacy product burden is visible,Does not include all pharmacy costs,denominator-control
BTSG-P2-005,BrightSpring Health Services Inc.,BTSG,H1 2026,Pharmacy other direct costs,389.875,M USD,BrightSpring Q2 2026 Form 10-Q,Additional pharmacy burden is visible,Does not prove normalized margin,denominator-control
BTSG-P2-006,BrightSpring Health Services Inc.,BTSG,H1 2026,Provider cost of services,532.326,M USD,BrightSpring Q2 2026 Form 10-Q,Direct provider burden is visible,Does not include all service overhead,denominator-control
BTSG-P2-007,BrightSpring Health Services Inc.,BTSG,H1 2026,Pharmacy Solutions segment EBITDA,349.117,M USD,BrightSpring Q2 2026 Form 10-Q,Pharmacy segment EBITDA is reported,Not common cash,current-period-qualified
BTSG-P2-008,BrightSpring Health Services Inc.,BTSG,H1 2026,Provider Services segment EBITDA,140.841,M USD,BrightSpring Q2 2026 Form 10-Q,Provider segment EBITDA is reported,Not common cash,current-period-qualified
BTSG-P2-009,BrightSpring Health Services Inc.,BTSG,H1 2026,Adjusted EBITDA,395.3,M USD,BrightSpring Q2 2026 results,Non-GAAP earnings are visible,Adjustments include real economic burdens,diagnostic-only
BTSG-P2-010,BrightSpring Health Services Inc.,BTSG,H1 2026,top-ten-state revenue concentration,52,percent,BrightSpring Q2 2026 Form 10-Q,Geographic concentration is visible,Does not prove payer durability,concentration-control
BTSG-P2-011,BrightSpring Health Services Inc.,BTSG,June 30 2026,accounts receivable,1139.420,M USD,BrightSpring Q2 2026 Form 10-Q,Collection funding burden is visible,No service-line collection schedule,working-capital-control
BTSG-P2-012,BrightSpring Health Services Inc.,BTSG,June 30 2026,inventory,575.009,M USD,BrightSpring Q2 2026 Form 10-Q,Inventory funding is visible,Release is not recurring margin,working-capital-control
BTSG-P2-013,BrightSpring Health Services Inc.,BTSG,H1 2026,operating cash flow,166.859,M USD,BrightSpring Q2 2026 Form 10-Q,Reported OCF is reproducible,Does not equal common residual,owner-cash-open
BTSG-P2-014,BrightSpring Health Services Inc.,BTSG,H1 2026,PP&E cash use,50.576,M USD,BrightSpring Q2 2026 Form 10-Q,Capital burden is visible,Maintenance/growth split unresolved,owner-cash-open
BTSG-P2-015,BrightSpring Health Services Inc.,BTSG,H1 2026,acquisition cash use,42.203,M USD,BrightSpring Q2 2026 Form 10-Q,Acquisition funding is visible,Acquired return is unjoined,owner-cash-open
BTSG-P2-016,BrightSpring Health Services Inc.,BTSG,H1 2026,Community Living sale proceeds,810.908,M USD,BrightSpring Q2 2026 Form 10-Q,Divestiture cash is visible,Not recurring operating cash,exceptional-item-control
BTSG-P2-017,BrightSpring Health Services Inc.,BTSG,H1 2026,long-term debt repayment,320.491,M USD,BrightSpring Q2 2026 Form 10-Q,Debt allocation is visible,Not operating cost,financing-control
BTSG-P2-018,BrightSpring Health Services Inc.,BTSG,H1 2026,share repurchases,120.000,M USD,BrightSpring Q2 2026 Form 10-Q,Common funding use is visible,Not proof of surplus cash,common-claim-control
BTSG-P2-019,BrightSpring Health Services Inc.,BTSG,H1 2026,net interest expense,75.5,M USD,BrightSpring Q2 2026 Form 10-Q,Funding burden is visible,Allocation to service lines unresolved,financing-control
BTSG-P2-020,BrightSpring Health Services Inc.,BTSG,H1 2026,share-based compensation,23.169,M USD,BrightSpring Q2 2026 Form 10-Q,Non-cash compensation burden is visible,Replacement and dilution remain open,dilution-control
BTSG-P2-021,BrightSpring Health Services Inc.,BTSG,June 30 2026,ending cash,550.381,M USD,BrightSpring Q2 2026 Form 10-Q,Company cash is visible,Legal-entity availability and claims remain open,liquidity-open
BTSG-P2-022,BrightSpring Health Services Inc.,BTSG,June 30 2026,total liquidity,1026.472,M USD,BrightSpring Q2 2026 Form 10-Q,Cash plus revolver/LC availability is visible,Availability is not owner cash,liquidity-open
BTSG-P2-023,BrightSpring Health Services Inc.,BTSG,H1 2026,OCF less PP&E and acquisitions screen,74.080,M USD,Calculated from BrightSpring Q2 2026 Form 10-Q,Pre-owner diagnostic residual,Not normalized owner cash,diagnostic-only
