claim_id,company,period,metric,value,unit,prior_year_value,change_value,change_pct,source_file,source_location,interpretation,claim_effect,status
CF-004,Brookfield Wealth Solutions,FY2025,total assets,157.181,USD billions,139.953,17.228,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F consolidated statements of financial position,Measures audited annual balance-sheet scale for Brookfield Wealth Solutions.,supports insurance-linked platform scale,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,total investments,114.833,USD billions,97.752,17.081,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F consolidated statements of financial position,Measures the investment base that can absorb insurance and annuity liabilities.,supports investable asset base,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,cash and cash equivalents,5.266,USD billions,4.495,0.771,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F consolidated statements of financial position,Measures liquid balance-sheet assets.,supports liquidity context,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,reinsurance recoverables and deposit assets,12.151,USD billions,13.195,-1.044,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F consolidated statements of financial position,Measures reinsurance-linked asset exposure.,supports reinsurance balance-sheet context,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,separate account assets,0.822,USD billions,1.343,-0.521,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F consolidated statements of financial position,Measures separate account asset scale.,supports liability-product context,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,future policy benefits,16.249,USD billions,14.088,2.161,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F consolidated statements of financial position,Measures insurance liability obligations tied to future policy benefits.,supports liability base,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,policyholders account balances,92.992,USD billions,83.079,9.913,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F consolidated statements of financial position,Measures the largest extracted policyholder liability bucket.,supports retirement and insurance liability funding channel,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,policy and contract claims,7.277,USD billions,7.659,-0.382,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F consolidated statements of financial position,Measures claims-related liabilities.,supports liability risk context,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,deposit liabilities,1.419,USD billions,1.502,-0.083,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F consolidated statements of financial position,Measures deposit liability scale.,supports liability mix context,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,market risk benefits,4.536,USD billions,3.655,0.881,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F consolidated statements of financial position,Measures market-risk-benefit liabilities.,supports market-risk context,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,funds withheld for reinsurance liabilities,3.157,USD billions,3.392,-0.235,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F consolidated statements of financial position,Measures funds-withheld reinsurance liability exposure.,supports reinsurance funding context,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,total liabilities,139.264,USD billions,126.877,12.387,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F consolidated statements of financial position,Measures total audited liabilities supporting the balance-sheet scale claim.,supports liability-funded investment system,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,total equity,17.917,USD billions,13.076,4.841,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F consolidated statements of financial position,Measures equity cushion against total assets.,supports capital base context,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,total investments increase,17.1,USD billions,,,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F management discussion,Management attributes the investment increase primarily to annuity sales deployment investment purchases and favorable fair-value movements.,supports annual investment-base growth,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,total assets increase,17.2,USD billions,,,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F management discussion,Management reports annual asset growth in line with investment-base growth.,supports balance-sheet expansion,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,total unfunded investment commitments,12.3,USD billions,10.3,2.0,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F commitments and contingencies,Measures future investment obligations expected to be recognized when funded as mortgage loans private loans investment funds investment real estate and other invested assets.,supports visible forward deployment pipeline,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,foreign exchange and cross-currency forward contract notional,11.2,USD billions,6.7,4.5,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F commitments and derivatives disclosure,Measures derivative notional used in the insurance balance-sheet risk-management stack.,supports risk-management complexity context,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,AEL acquisition consideration,4.3,USD billions,,,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F AEL Acquisition definition,Measures consideration paid for the AEL Holdings acquisition completed May 2 2024.,supports insurance-platform buildout via acquisition,extracted-from-sec-20f
CF-004,Brookfield Wealth Solutions,FY2025,AEL acquisition price per share,55.00,USD per share,,,,raw/primary-sources/capital-flow/brookfield-wealth-solutions/fy-2025/bnt-2025-20f.html,SEC Form 20-F AEL Acquisition definition,Measures the per-share consideration in the AEL Holdings acquisition.,supports acquisition economics context,extracted-from-sec-20f
