claim_id,company,period,metric,value,unit,qoq_reference_value,qoq_change_pct,yoy_reference_value,yoy_change_pct,source_file,source_location,interpretation,claim_effect,status
CF-004,Apollo / Athene,Q2 2026,retirement services total gross inflows,22069,USD millions,19747,11.8,21232,3.9,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-financial-supplement.xlsx,RS Flows and IA!K11,Measures new retirement-services liability inflow feeding the Apollo/Athene engine.,supports liability-source side of insurance/private-credit mechanism,extracted-from-primary-supplement
CF-004,Apollo / Athene,Q2 2026,retirement services net flows,11928,USD millions,8979,32.8,14002,-14.8,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-financial-supplement.xlsx,RS Flows and IA!K13,Measures net retained retirement-services flow after outflows.,supports persistence of liability funding rather than only gross sales,extracted-from-primary-supplement
CF-004,Apollo / Athene,Q2 2026,inflows attributable to Athene,17095,USD millions,15957,7.1,15838,7.9,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-financial-supplement.xlsx,RS Flows and IA!K16,Separates Athene-attributable flows from ADIP and third-party reinsurance channels.,supports Athene-specific liability funding channel,extracted-from-primary-supplement
CF-004,Apollo / Athene,Q2 2026,gross invested assets,413598,USD millions,396834,4.2,361795,14.3,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-financial-supplement.xlsx,RS Flows and IA!K48,Measures the asset base backing retirement-services liabilities.,supports scale of investable asset pool,extracted-from-primary-supplement
CF-004,Apollo / Athene,Q2 2026,net invested assets,314090,USD millions,300290,4.6,275040,14.2,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-financial-supplement.xlsx,RS Flows and IA!K50,Measures investments directly backing Athene net reserve liabilities and surplus assets.,supports durable liability-backed asset base,extracted-from-primary-supplement
CF-004,Apollo / Athene,Q2 2026,gross alternative investments,20396,USD millions,19135,6.6,16276,25.3,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-financial-supplement.xlsx,Reconciliation_NIA and Alts!K32,Measures alternative-investment exposure inside the retirement-services investment base.,supports private-assets allocation inside insurance-linked capital,extracted-from-primary-supplement
CF-004,Apollo / Athene,Q2 2026,net alternative investments,15745,USD millions,15092,4.3,12817,22.8,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-financial-supplement.xlsx,Reconciliation_NIA and Alts!K34,Measures net alternative-investment exposure after ACRA non-controlling interests.,supports private-assets allocation after ownership adjustments,extracted-from-primary-supplement
CF-004,Apollo / Athene,Q2 2026,spread related earnings,877,USD millions,719,22.0,821,6.8,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-financial-supplement.xlsx,Summary!K6,Measures earnings generated by Apollo's retirement-spread economics.,supports economic conversion from liabilities and invested assets into earnings,extracted-from-primary-supplement
CF-001,Apollo / Athene,Q2 2026,fee related earnings,785,USD millions,728,7.8,627,25.2,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-financial-supplement.xlsx,Summary!K4,Measures recurring fee economics of the asset-management platform.,supports platform monetization alongside spread economics,extracted-from-primary-supplement
CF-001,Apollo / Athene,Q2 2026,credit management fees,722,USD millions,681,6.0,605,19.3,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-financial-supplement.xlsx,Total Segment Earnings!K5,Measures management-fee contribution from Apollo's credit platform.,supports credit platform fee scale,extracted-from-primary-supplement
