"metric_id","proof_id","pilot_id","company","ticker","source_id","local_path","period","extracted_field","value","unit","evidence_result","promotion_result","what_it_proves","what_it_does_not_prove","next_gap"
"CFPGM-001","CFPGU-001","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-earnings-release-page","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-release-page.html","Q2 2026","total 2026 capital expenditure guidance","2.7 to 3.2","USD billions","aggregate capex extracted","not promoted","ONEOK has a large disclosed 2026 capex program.","It does not allocate capex to named projects or prove returns.","Resolve and parse Q2 2026 earnings tables/presentation for project capex."
"CFPGM-002","CFPGU-001","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-earnings-release-page","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-release-page.html","Q2 2026","maintenance capital","101","USD millions","maintenance capex extracted","partial pass","ONEOK splits quarterly maintenance capital from total capital expenditures.","It does not split growth capital by named project.","Extract growth capex by segment and project if available."
"CFPGM-003","CFPGU-001","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-earnings-release-page","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-release-page.html","Q2 2026","capital expenditures including maintenance","613","USD millions","quarterly capex extracted","partial pass","ONEOK discloses current-quarter total capex including maintenance.","It does not identify which assets received the spend.","Parse financial tables and capital project notes."
"CFPGM-004","CFPGU-001","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-financial-reports-page","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-financial-reports-page.html","Q2 2026","direct financial tables PDF path","/~/media/Files/O/ONEOK-IR-V3/financial-reports/2026/oke-q2-2026-earnings-release-tables.pdf","URL path","source route extracted","source route promotion","The local HTML exposes the Q2 2026 financial tables PDF route.","The PDF is not yet fetched or parsed into project tables.","Add direct ONEOK tables PDF to manifest and fetch."
"CFPGM-005","CFPGU-002","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-earnings-release-page","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-release-page.html","Q2 2026","refined products volumes shipped change","8","percent increase year over year","volume direction extracted","partial pass","ONEOK has numeric output-growth evidence for refined products shipped.","It does not provide absolute volume denominator or project utilization.","Extract segment volume table from financial tables PDF."
"CFPGM-006","CFPGU-002","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-earnings-release-page","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-release-page.html","Q2 2026","NGL raw feed throughput change","7 overall; 15 Gulf Coast / Permian","percent increase year over year","volume direction extracted","partial pass","ONEOK has numeric NGL raw-feed growth evidence, including stronger Gulf Coast/Permian growth.","It does not provide absolute volume denominator or project utilization.","Extract NGL segment volume tables."
"CFPGM-007","CFPGU-002","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-earnings-release-page","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-release-page.html","Q2 2026","natural gas volumes processed change","2","percent increase year over year","volume direction extracted","partial pass","ONEOK has numeric natural-gas processing growth evidence.","It does not link growth to a named project or plant.","Extract gas processing segment tables."
"CFPGM-008","CFPGU-002","CF519P2-010","ONEOK, Inc.","OKE","oneok-2026q2-earnings-release-page","raw/primary-sources/capital-flow/power-grid-pilot/oneok/q2-2026/oneok-2026-q2-earnings-release-page.html","Q2 2026 / early August 2026","Greater Denver refined-products pipeline expansion status","mechanically complete","project status","named project status extracted","partial pass","ONEOK names a specific refined-products pipeline expansion and reports mechanical completion.","It does not disclose project cost, capacity, customer contract, or contribution.","Find project appendix or investor presentation detail for Greater Denver expansion."
"CFPGM-009","CFPGU-005","CF519P2-011","MasTec, Inc.","MTZ","mastec-2026q2-earnings-presentation","raw/primary-sources/capital-flow/power-grid-pilot/mastec/q2-2026/mastec-2026-q2-earnings-presentation.pdf","Q2 2026","total 18-month backlog","21.4","USD billions","backlog extracted","partial pass","MasTec has a record aggregate backlog denominator for current demand.","It does not prove funded status or contract-level cancellation protection.","Parse 10-Q backlog definition and customer concentration notes."
"CFPGM-010","CFPGU-005","CF519P2-011","MasTec, Inc.","MTZ","mastec-2026q2-earnings-presentation","raw/primary-sources/capital-flow/power-grid-pilot/mastec/q2-2026/mastec-2026-q2-earnings-presentation.pdf","Q2 2026","Clean Energy and Infrastructure backlog","7.8","USD billions","segment backlog extracted","promoted to backlog-segment-visible","MasTec discloses segment-level CE&I backlog and growth.","It does not prove CE&I backlog margin, funding, or cash conversion.","Extract segment margin and contract asset/liability detail."
