field,value,context,owner_cash_status
six_month_operating_cash_flow,"$3.421B","H1 2026","observed"
six_month_construction_expenditures,"$5.606B","H1 2026","capital burden"
six_month_generation_facility_acquisitions,"$1.315B","H1 2026","acquisition burden"
six_month_nuclear_fuel_acquisitions,"$51M","H1 2026","operating/fuel burden"
construction_advances,"$425M","H1 2026 contribution in aid of construction advances","funding offset; not owner cash"
ocf_less_construction,"$(2.185)B","OCF less construction expenditures","diagnostic only"
ocf_less_construction_acquisitions_fuel,"$(3.551)B","OCF less construction, generation acquisitions, and nuclear fuel","diagnostic only"
total_debt,"$52.836B","June 30 2026","financing claim"
debt_to_total_capital,"61.4%","June 30 2026","leverage"
net_available_liquidity,"$7.25B","June 30 2026","liquidity context"
2026_capex_budget,"$12.8B","management forecast","planned capital"
2026_2030_capex_plan,"$77.937B","management forecast","planned capital"
contracted_load_growth,"69 GW","through 2030; includes hyperscalers data centers and industrials","expectation input; not receipts"
q2_incremental_signed_load,"6 GW","added in Q2 2026","expectation input; not receipts"
expected_customer_cost_offsets,"up to $16B","supported by fully executed take-or-pay agreements","customer benefit; not common-owner cash"
doe_loans_grants_customer_benefit,"approximately $1.4B","estimated lifetime customer benefits","funding/affordability claim"
atm_capacity,"$3.5B","prospectus supplement","equity funding and dilution"
normalized_owner_cash,"not calculated","requires named large-load contract billing collection recovery and diluted return bridge","missing"
