"metric_id","route_id","source_id","pilot_id","company","proof_ids","metric_family","metric_label","period_or_effective_date","metric_value","unit","source_anchor","promotion_level","what_it_says","what_it_does_not_say"
"CFPGPM-001","CFPGSR-003","plains-eagle-ford-energy-tx-3-6-0-cactus-iii-hobson","CF519P2-012","Plains All American Pipeline, L.P.","CFPGS-010","tariff record","Texas RRC tariff number","2026-07-01","TX 3.6.0","tariff id","Texas RRC PDF identifies Plains Eagle Ford Energy LLC TX 3.6.0 for the Karnes Pipeline System.","state-tariff-record-visible","The Plains commercial-durability test now has an exact regulator-hosted tariff record, not just a route.","It does not prove shipper identity, volume commitment, or contract tenor."
"CFPGPM-002","CFPGSR-003","plains-eagle-ford-energy-tx-3-6-0-cactus-iii-hobson","CF519P2-012","Plains All American Pipeline, L.P.","CFPGS-010","tariff timing","tariff effective date","2026-07-01","2026-07-01","date","Texas RRC tariff states Effective: July 1, 2026.","state-tariff-effective-date-visible","The tariff is current-period evidence aligned with the Q2 2026 pilot refresh window.","It does not prove barrels shipped under that rate."
"CFPGPM-003","CFPGSR-003","plains-eagle-ford-energy-tx-3-6-0-cactus-iii-hobson","CF519P2-012","Plains All American Pipeline, L.P.","CFPGS-010","tariff route","Karnes County to Cactus III Crude Pipeline Hobson Terminal","2026-07-01","Karnes County -> Cactus III Crude Pipeline Hobson Terminal","route","Tariff table lists Karnes County to Cactus III Crude Pipeline Hobson Terminal as a route.","cactus-iii-route-visible","The Cactus III commercial route is directly visible in a state tariff.","It does not prove Cactus III long-haul committed shippers or Corpus Christi tariff economics."
"CFPGPM-004","CFPGSR-003","plains-eagle-ford-energy-tx-3-6-0-cactus-iii-hobson","CF519P2-012","Plains All American Pipeline, L.P.","CFPGS-010","tariff rate","base rate for Karnes County to Cactus III/Hobson","2026-07-01","178.98","cents per barrel","Tariff table shows a 178.98 cents-per-barrel base rate for Karnes County to Cactus III Crude Pipeline Hobson Terminal.","state-tariff-rate-visible","Plains now has a concrete rate for one Cactus III-linked tariff movement.","It does not establish weighted average realized tariff revenue or project return."
"CFPGPM-005","CFPGSR-003","plains-eagle-ford-energy-tx-3-6-0-cactus-iii-hobson","CF519P2-012","Plains All American Pipeline, L.P.","CFPGS-010","commercial terms","negotiated-rate note","2026-07-01","negotiated rates may be given for term agreement","term-agreement note","Tariff note says negotiated rates may be given for a shipper that enters into a term agreement with the carrier.","term-agreement-mechanic-visible","The tariff contains a contract-support mechanism that points to possible term shippers.","It does not disclose any executed term agreement or shipper name."
"CFPGPM-006","CFPGSR-003","plains-eagle-ford-energy-tx-3-6-0-cactus-iii-hobson","CF519P2-012","Plains All American Pipeline, L.P.","CFPGS-010","tariff escalation","FERC oil pipeline index escalation","annual July 1","indexed to FERC oil pipeline index","method","Tariff escalation methodology ties annual July 1 rate escalation to the FERC regulated interstate oil pipeline index, with no negative-index application.","indexed-tariff-mechanic-visible","The tariff has an explicit escalation mechanic, improving durability evidence.","It does not prove tariff resets were favorable or that contract rates avoid reset risk."
"CFPGPM-007","CFPGSR-004","plains-2025-10k-sec-html","CF519P2-012","Plains All American Pipeline, L.P.","CFPGS-009;CFPGS-010","asset capacity","Cactus III pipeline capacity","FY 2025","over 600000","barrels per day","SEC 10-K says Cactus III has capacity of over 600,000 barrels per day and connects Permian/Eagle Ford production to Corpus Christi.","cactus-iii-capacity-visible","The acquired asset's physical output denominator is SEC-filed and consistent with the project-output thesis.","It does not prove utilization, tariff revenue, or return on acquisition/capex."
"CFPGPM-008","CFPGSR-004","plains-2025-10k-sec-html","CF519P2-012","Plains All American Pipeline, L.P.","CFPGS-010","commercial context","Permian long-haul commitments","FY 2025","supported by long-term commitments","qualitative","SEC 10-K says Plains' combined Permian long-haul pipelines provide over 2.8 million barrels per day of operational takeaway capacity and are supported by long-term commitments.","long-haul-commitment-context-visible","The broader long-haul system has commitment support language.","It does not isolate Cactus III shipper commitments or contract duration."
"CFPGPM-009","CFPGSR-004","plains-2025-10k-sec-html","CF519P2-012","Plains All American Pipeline, L.P.","CFPGS-009;CFPGS-011","acquisition economics","55 percent EPIC/Cactus III equity acquisition cash price and debt assumed","2025-10-31","1568 cash price; 613 debt assumed","USD million","SEC 10-K says Plains bought a 55 percent EPIC Crude Holdings interest from Diamondback/Kinetik for about 1.568 billion dollars inclusive of 613 million dollars of debt assumed.","acquisition-capital-stack-visible","The Cactus III ownership path now has transaction and assumed-debt evidence.","It does not show financing source, lender allocation, or project-level return."
"CFPGPM-010","CFPGSR-004","plains-2025-10k-sec-html","CF519P2-012","Plains All American Pipeline, L.P.","CFPGS-009;CFPGS-011","acquisition economics","55 percent EPIC/Cactus III expansion earnout","before end 2027","193","USD million","SEC 10-K says Plains agreed to a potential 193 million dollar earnout contingent on formal sanctioning of expansion capacity raising the pipeline to at least 900,000 barrels per day before the end of 2027.","expansion-earnout-visible","Expansion economics are explicitly linked to sanctioned capacity growth.","It does not prove the expansion was sanctioned, built, funded, or earning."
