diagnostic_id,metric,value,units,proof_use,boundary,next_action
CFAASCSCRTID-001,raw_text_inspection_rows,19,count,raw PDF text inspection for clean safe cash-like same-CUSIP Athene candidates,"raw text confirms row availability but not final statutory column semantics, borrower receipt, liability spread, or return proof",use found raw rows for page-specific column/image inspection and borrower/source-use matching
CFAASCSCRTID-002,clean_packet_count,8,count,raw PDF text inspection for clean safe cash-like same-CUSIP Athene candidates,"raw text confirms row availability but not final statutory column semantics, borrower receipt, liability spread, or return proof",use found raw rows for page-specific column/image inspection and borrower/source-use matching
CFAASCSCRTID-003,selected_cusips,8,count,raw PDF text inspection for clean safe cash-like same-CUSIP Athene candidates,"raw text confirms row availability but not final statutory column semantics, borrower receipt, liability spread, or return proof",use found raw rows for page-specific column/image inspection and borrower/source-use matching
CFAASCSCRTID-004,selected_pages,14,count,raw PDF text inspection for clean safe cash-like same-CUSIP Athene candidates,"raw text confirms row availability but not final statutory column semantics, borrower receipt, liability spread, or return proof",use found raw rows for page-specific column/image inspection and borrower/source-use matching
CFAASCSCRTID-005,raw_rows_found,19,count,raw PDF text inspection for clean safe cash-like same-CUSIP Athene candidates,"raw text confirms row availability but not final statutory column semantics, borrower receipt, liability spread, or return proof",use found raw rows for page-specific column/image inspection and borrower/source-use matching
CFAASCSCRTID-006,raw_rows_missing,0,count,raw PDF text inspection for clean safe cash-like same-CUSIP Athene candidates,"raw text confirms row availability but not final statutory column semantics, borrower receipt, liability spread, or return proof",use found raw rows for page-specific column/image inspection and borrower/source-use matching
CFAASCSCRTID-007,source_row_type__disposal_or_proceeds,11,count,raw PDF text inspection for clean safe cash-like same-CUSIP Athene candidates,"raw text confirms row availability but not final statutory column semantics, borrower receipt, liability spread, or return proof",use found raw rows for page-specific column/image inspection and borrower/source-use matching
CFAASCSCRTID-008,source_row_type__year_end_holding,8,count,raw PDF text inspection for clean safe cash-like same-CUSIP Athene candidates,"raw text confirms row availability but not final statutory column semantics, borrower receipt, liability spread, or return proof",use found raw rows for page-specific column/image inspection and borrower/source-use matching
CFAASCSCRTID-009,inspection_status__raw-row-found-inspection-ready,17,count,raw PDF text inspection for clean safe cash-like same-CUSIP Athene candidates,"raw text confirms row availability but not final statutory column semantics, borrower receipt, liability spread, or return proof",use found raw rows for page-specific column/image inspection and borrower/source-use matching
CFAASCSCRTID-010,inspection_status__raw-row-found-short-numeric-stream-column-hold,2,count,raw PDF text inspection for clean safe cash-like same-CUSIP Athene candidates,"raw text confirms row availability but not final statutory column semantics, borrower receipt, liability spread, or return proof",use found raw rows for page-specific column/image inspection and borrower/source-use matching
