crosswalk_id,old_html_trend,old_html_file,old_html_subpage_count,primary_new_theme,secondary_new_themes,what_old_trend_adds,what_new_theme_frame_adds,money_movement_question,evidence_status,safe_use,next_integration_step
ARHTMLX-001,The Gray Wave Dividend,gray-wave-dividend.html,9,Healthcare access,Real estate and scarce locations; Healthcare tools and medical infrastructure; Ordinary finance,"The old trend makes aging concrete: more people need care, drugs, home support, senior housing, insurance administration, and payment routing.","The new framework asks which companies turn that need into reimbursed care, rent, service revenue, pharmacy margin, or finance income, and what evidence proves the route.","Government programs, employers, insurers, patients, and families supply cash; the money moves through plans, authorizations, pharmacies, care sites, home-care providers, landlords, and service companies.",old-site-derived; new-theme-supported-with-boundaries,"Use as an aging-demand subtheme under healthcare access, not as proof that every senior-exposed company converts demand into cash.",Add old HTML examples to healthcare access and senior-location pages.
ARHTMLX-002,The AI Infrastructure Toll,ai-infrastructure-toll.html,9,Power scarcity,Broad technology beyond internet software; Industrial uptime; Basic materials and input scarcity; Built-environment upkeep,"The old trend shows AI as a physical demand shock, not just a software story: data centers need power, cooling, contractors, chips, transformers, land, fiber, backup systems, and permitting.","The new framework separates the constraint into power supply, equipment, construction, materials, and cash recovery so the AI claim does not float above the real system.","Hyperscaler and enterprise spending becomes capex, utility load growth, contractor backlog, equipment orders, chip and storage demand, and eventually bills or capacity payments.",old-site-derived; power-and-infrastructure-evidence-strong-but-bounded,"Use as the AI buildout bridge across power, technology hardware, industrial uptime, and materials.",Fold into power scarcity and broad technology chapters as the physical AI subtheme.
ARHTMLX-003,The Outage Anxiety Economy,outage-anxiety-economy.html,9,Power scarcity,Consumer goods and household identity; Built-environment upkeep; Ordinary finance,"The old trend captures a simple behavioral shift: households and businesses pay to avoid interruption because electricity, connectivity, climate control, and uptime feel less optional.","The new framework converts that fear into specific spending channels: grid investment, backup power, repair, insurance-like redundancy, monitoring, and equipment service.","Fear of outage moves money into generators, batteries, utility resilience projects, maintenance contracts, backup communications, and financing for hardened infrastructure.",old-site-derived; source-visible-for-power-but-weaker-for-consumer-backup,"Use as a reliability-demand subtheme, not as proof of customer receipts for every resilience vendor.",Add backup-power and resilience examples to power scarcity.
ARHTMLX-004,The Cash Harvest,cash-harvest.html,8,Ordinary finance,Capital platforms; Value retail; Healthcare access; Energy affordability and supply route,"The old trend names the mature-company pattern: when growth is slower or capacity is scarce, companies harvest cash from existing customers, assets, routes, and balance sheets.","The new framework forces the distinction between real customer cash, accounting earnings, debt-funded payouts, and reinvestment needs.","Customer payments, premiums, fees, fares, spreads, or tolls become operating cash; management then allocates that cash to debt reduction, buybacks, dividends, capex, or acquisitions.",old-site-derived; broad-synthesis-supported; exact-cash-allocation-varies,"Use as a capital-allocation lens across themes, not as proof that payouts are always sustainable.",Attach to the ordinary finance and capital platform theme pages.
ARHTMLX-005,The Spread Machine,spread-machine.html,8,Energy affordability and supply route,Capital platforms; Real estate and scarce locations; Healthcare access; Ordinary finance,"The old trend highlights the businesses that get paid because money, energy, patients, goods, tenants, or data must pass through them.","The new framework breaks spread economics into route control, legal wrapper, volume, price, funding cost, credit loss, and durability.","Money moves from end users or counterparties into intermediaries that own the route, balance sheet, network, lease, or contract; the intermediary keeps a fee, spread, tariff, rent, or margin.",old-site-derived; strong-as-pattern; proof-strength-depends-on-company,Use as a cross-sector toll-and-spread subtheme.,"Link it to finance, pipelines, healthcare routing, and scarce-location real estate."
ARHTMLX-006,The Vertical Integration Ratchet,vertical-integration-ratchet.html,9,Industrial uptime,Energy affordability and supply route; Basic materials and input scarcity; Built-environment upkeep,"The old trend shows companies buying or controlling more of their supply chain because interruption became expensive after shocks in labor, logistics, energy, and inputs.","The new framework asks whether integration actually improves cash conversion or merely adds debt, fixed costs, and operating complexity.","Capital moves into acquisitions, plants, logistics, fleets, terminals, suppliers, and inventory; cash is supposed to return through better availability, margin, volume, or control.",old-site-derived; needs-company-specific-source-use-proof,"Use as a supply-chain-control subtheme, not as automatic proof of better returns.",Add to industrial uptime and materials pages with explicit debt and margin checks.
ARHTMLX-007,The Trust Market,trust-market.html,8,Digital control,Consumer goods and household identity; Healthcare tools and medical infrastructure; Ordinary finance; Services and cultural consumption,"The old trend says trust itself has become scarce: verification, security, compliance, brand safety, institutional reputation, and authenticated workflow now have monetary value.","The new framework turns that into control infrastructure: identity, permission, fraud prevention, cybersecurity, regulated workflow, and trusted channels.","Customers pay platforms, banks, brands, security vendors, medical systems, and institutions to reduce uncertainty, fraud, error, reputational risk, or transaction friction.",old-site-derived; digital-control-evidence-strong; cultural-trust-evidence-mixed,Use as the trust-and-verification subtheme inside digital control.,Use old examples to deepen the digital control page beyond cybersecurity.
ARHTMLX-008,The Addiction Dividend,addiction-dividend.html,9,Services and cultural consumption,Consumer goods and household identity; Digital control; Ordinary finance,"The old trend captures repeated-behavior monetization: habit, compulsion, convenience, rewards, content loops, gaming, food routines, and subscription renewal.","The new framework separates recurring need from extractive loop and asks what the company reports: retention, bookings, deferred revenue, frequency, reward liability, margin, and churn.","Consumer attention and habit become subscriptions, in-app purchases, loyalty balances, delivery orders, media spend, gaming spend, or repeat packaged-goods purchases.",old-site-derived; new-theme-candidate-needs-more-extraction,"Use as a behavior-loop subtheme, with careful language around addiction.",Develop the services/cultural consumption and consumer identity pages with evidence examples.
ARHTMLX-009,The Presence Premium,presence-premium.html,9,Services and cultural consumption,Real estate and scarce locations; Consumer goods and household identity,"The old trend explains why physical attendance, scarce time slots, live events, travel, restaurants, lodging, sports, and venues can price differently from ordinary goods.","The new framework treats presence as capacity-constrained inventory: seats, rooms, tables, gates, venues, labor hours, and calendar slots.","Household discretionary money moves into tickets, hotel rooms, food service, venue rent, sponsorship, media rights, travel packages, and premium location spend.",old-site-derived; candidate-theme-needs-more-company-extraction,"Use as the live-experience scarcity subtheme, not as proof of durable pricing for every venue or travel company.",Create a stronger services/cultural chapter using old HTML material.
ARHTMLX-010,The Affordability Ceiling,affordability-ceiling.html,8,Value retail,Consumer goods and household identity; Services and cultural consumption; Ordinary finance,"The old trend states the household budget problem plainly: when wages, rent, food, debt, and healthcare squeeze families, the middle shelf gets weaker and value channels gain importance.","The new framework maps that pressure into traffic, basket size, private label, off-price, credit use, shrink, mix, and margin.","Household cash shifts from discretionary and mid-price goods toward value retailers, clubs, private-label goods, promotions, credit, and fewer purchases.",old-site-derived; value-retail-evidence-strong-but-bounded,Use as the consumer-pressure master subtheme.,Link it directly into value retail and consumer goods pages.
