draft_id,section,article_role,final_text_status,supporting_artifact,safe_claim,forbidden_claim,source_note,next_action,status
ARFPD-001,Publication status,Editorial control,ready,annual-report-publication-readiness-review-pass-1.md,The draft is final-publication-ready with boundaries.,The draft is complete named-cash proof.,Use publication readiness review as boundary control.,Reader review and citation polishing.,ready
ARFPD-002,Title and subtitle,Reader entry,ready,annual-report-final-article-source-note-package-pass-1.md,Annual reports can be read as bottleneck maps.,Annual reports alone prove every company is a winner.,Use final article source-note package as source handoff.,Keep title and subtitle paired.,ready
ARFPD-003,Opening thesis,Main argument,ready,annual-report-reader-facing-essay-pass-1.md,The economy rewards companies that sit at bottlenecks.,Every bottleneck position converts into durable returns.,Use reader-facing essay opening as base.,Keep burden-transfer language simple.,ready
ARFPD-004,Whole map,Exhibit,ready,annual-report-reader-exhibit-package-pass-1.md,Seven themes organize the annual-report findings.,The seven themes exhaust all possible annual-report themes.,Use exhibit package whole-map table.,Keep as guide not proof.,ready
ARFPD-005,Power scarcity,Theme section,ready,annual-report-power-scarcity-chapter-polish-pass-1.md,Power is a gatekeeper for growth.,Load growth proves named customer receipts or project return.,Use power chapter and proof table.,Preserve billing and recovery proof gap.,ready
ARFPD-006,Capital platforms,Theme section,ready,annual-report-capital-platforms-chapter-polish-pass-1.md,Large platforms route money into assets borrowers and credit markets.,AUM inflows or dry powder prove borrower receipt waterfall or return.,Use capital-platform chapter and money-flow ladder.,Preserve named-cash proof gap.,ready
ARFPD-007,Industrial uptime,Theme section,ready,annual-report-industrial-uptime-chapter-polish-pass-1.md,Physical work depends on hidden uptime systems.,Fleet size backlog or sales prove cash return.,Use industrial uptime chapter.,Keep project cash and fleet ROIC gaps visible.,ready
ARFPD-008,Healthcare access,Theme section,ready,annual-report-healthcare-access-chapter-polish-pass-1.md,Healthcare companies organize scarce access.,Patient volume proves care quality trust or collections.,Use healthcare access chapter.,Keep reimbursement outcomes and receivables gaps visible.,ready
ARFPD-009,Built-environment upkeep,Theme section,ready,annual-report-built-environment-chapter-polish-pass-1.md,Built-environment spending shifts into upkeep repair replacement and civic systems.,The theme is just generic housing beta.,Use built-environment chapter.,Keep sub-lane cash and margin gaps visible.,ready
ARFPD-010,Digital control,Theme section,ready,annual-report-digital-control-chapter-polish-pass-1.md,Digital activity creates demand for control over traffic identity threats workloads and participation.,ARR RPO traffic or bookings prove durable operating leverage.,Use digital control chapter.,Keep retention margin and safety cost gaps visible.,ready
ARFPD-011,Value retail,Theme section,ready,annual-report-value-retail-chapter-polish-pass-1.md,Pressured consumers split the wallet by job and regret reduction.,Traffic comps ticket membership or margin prove durable customer quality.,Use value retail chapter.,Keep cohort shrink inventory and margin gaps visible.,ready
ARFPD-012,Proof boxes,Claim discipline,ready,annual-report-reader-exhibit-package-pass-1.md,Growth acquisitions backlog and refinancing require cash conversion tests.,The proof boxes complete all proof themselves.,Use proof-box exhibit and source-note section.,Keep as method not evidence upgrade.,ready
ARFPD-013,Source notes,Publication apparatus,ready,capital-flow-evidence-ledger-index.md,Internal artifacts support the draft and identify boundaries.,Internal source notes replace external citation work for public release.,Use ledger and insights register for audit trail.,Prepare external citations if publishing publicly.,ready
ARFPD-014,Final boundary,Overclaim guardrail,ready,annual-report-final-publication-draft-pass-1.md,The article is a research essay and proof framework.,The article is a recommendation or completed cash-chain proof.,Keep final boundary paragraph in draft.,Use for reader review.,ready
