boundary_id,source_page,metric,value_usd,comparison_value_usd,derived_difference_usd,current_status,what_it_proves,boundary,next_proof
DERIV-001,55,gross_derivative_assets,2482135218,0,0,source-controlled,The statutory notes quantify gross derivative assets used in the legal entity.,Gross derivative assets are not hedge cost, cash settlement, or a product-level spread allocation.,Obtain derivative schedule cash flows, premiums, gains/losses, and liability/product allocation.
DERIV-002,55,nonadmitted_derivative_assets,2508168,0,0,source-controlled,The statutory notes quantify the nonadmitted portion of derivative assets.,Nonadmitted classification does not identify economic hedge effectiveness or cash cost.,Reconcile admitted/nonadmitted treatment to statutory surplus and hedge economics.
DERIV-003,55,admitted_derivative_assets,2479627050,0,0,source-controlled,The statutory notes quantify admitted derivative assets.,Admitted derivative assets are not available owner cash and may hedge policyholder guarantees or asset risks.,Join admitted derivatives to Schedule DB positions and investment-income effects.
DERIV-004,55,aggregate_deferred_interest,2623563,0,0,source-controlled,The statutory notes report aggregate deferred interest associated with the investment-income disclosure.,Deferred interest is not automatically a derivative premium or liability cost.,Reconcile deferred interest to the relevant asset and derivative schedules.
DERIV-005,55,cumulative_pik_interest_in_current_principal_balance,112792182,0,0,source-controlled,The statutory notes report cumulative PIK interest included in current principal balances.,PIK is an accrual/valuation component and not collected cash or owner cash.,Identify the affected assets and separate accrued from collected income.
DERIV-006,56,hedge_mechanism_scope,0,0,0,mechanism-visible,The notes identify options futures variance swaps swaptions and interest-rate swaps used to hedge indexed-annuity crediting and asset-liability rate mismatches.,No quantified hedge expense settlement or product-level attribution is disclosed in these pages.,Obtain Schedule DB and derivative cash-flow/gain-loss detail with product or liability allocation.
DERIV-007,464,schedule_db_part_a_prior_year_book_adjusted_carrying_value,3736226898,0,0,source-controlled,Schedule DB Part A reports the prior-year book/adjusted carrying value for options caps floors collars swaps and forwards.,This is a derivative opening balance rather than owner cash or a policyholder-cost allocation.,Reconcile Part A rows to Schedule DB verification and product/liability hedge assignment.
DERIV-008,464,schedule_db_part_a_considerations_received_on_terminations,2009384164,0,0,derivative-cash-control-visible,Schedule DB Part A reports consideration received or paid on terminated derivative contracts during the year.,The amount is a statutory derivative termination-flow control and is not automatically net cash available to policyholders, Apollo, or common owners.,Match terminated contracts, counterparties, cash-flow classification, and liability/product hedge purpose.
DERIV-009,464,schedule_db_part_a_total_gain_loss_on_termination,-491016129,0,0,derivative-gain-loss-visible,Schedule DB Part A reports total gain or loss on derivative termination recognized during the year.,This is not a complete hedge return and does not establish cash settlement net of premiums, collateral, or related asset/liability effects.,Join terminated-contract rows to realized gains/losses, premiums, collateral, and hedged-item accounting.
DERIV-010,464,schedule_db_part_a_unrealized_valuation_change,3283681900,0,0,derivative-valuation-visible,Schedule DB Part A reports current-year unrealized valuation changes across open and terminated derivative sections.,Unrealized valuation is not collected cash or distributable earnings.,Separate open-position marks from settled cash and reconcile to investment income and surplus.
DERIV-011,464,schedule_db_part_a_amortization, -2168460812,0,0,derivative-accounting-visible,Schedule DB Part A reports amortization affecting derivative book/adjusted carrying value.,Amortization is an accounting movement and not a standalone hedge cash cost or owner-cash deduction.,Map amortization to contract type and statutory income recognition.
DERIV-012,464,schedule_db_part_a_foreign_exchange_change, -1515225396,0,0,derivative-accounting-visible,Schedule DB Part A reports foreign-exchange changes affecting derivative carrying value.,FX movement is not a realized cash loss or liability-cost allocation by itself.,Separate settled FX cash from valuation movement and identify hedged assets/liabilities.
DERIV-013,464,schedule_db_part_a_ending_book_adjusted_carrying_value,3513012150,0,0,source-controlled,Schedule DB Part A reports the ending book/adjusted carrying value for options caps floors collars swaps and forwards.,The page-level value has a one-dollar difference versus the later verification control and is not owner cash.,Use the Schedule DB verification page as the controlling reconciliation.
DERIV-014,464,schedule_db_part_b_cumulative_cash_change,108756075,0,0,derivative-cash-control-visible,Schedule DB Part B reports cumulative cash change for futures contracts.,This is futures-level cash movement and not a complete derivative portfolio cash flow or policyholder funding cost.,Match broker cash, variation margin, and Summary of Operations/cash-flow classifications.
DERIV-015,464,schedule_db_part_b_ending_statement_value,188060515,0,0,source-controlled,Schedule DB Part B reports ending statement value for futures contracts.,It does not identify hedge effectiveness or cash available after liability claims.,Reconcile futures rows and variation margin to the derivative verification.
DERIV-016,491,schedule_db_verification_book_adjusted_carrying_value_difference,1,3701072667,0,near-reconciled-within-1,Schedule DB book/adjusted carrying value verification closes within one dollar.,This is a schedule-control result, not a return or cash-availability conclusion.,Preserve the one-dollar source tolerance while joining underlying rows.
DERIV-017,491,schedule_db_verification_fair_value_difference,1,6159592667,0,near-reconciled-within-1,Schedule DB fair-value verification closes within one dollar.,Fair value is not collected cash or owner cash.,Join fair-value changes to income, surplus, and settled contract rows.
DERIV-018,491,schedule_db_verification_potential_exposure_difference,0,2117304956,0,source-controlled,Schedule DB potential-exposure verification closes exactly at the displayed control.,Potential exposure is a risk measure, not a realized liability or cash payment.,Map exposure to counterparties, collateral, and liability/product hedge coverage.
