bridge_id,layer,metric_or_fact,period_or_date,value,unit,evidence_source,source_url,evidence_status,what_it_says,what_it_does_not_say,next_source
"CFABRR-001","prior bank facility","Bank of America-led senior credit facility","January 2024","200","M USD","capital-flow-atwell-bank-replacement-pursuit-log.csv","https://www.businesswire.com/news/home/20240125865095/en/Atwell-enters-into-$200-million-senior-credit-facility-with-lending-group-led-by-Bank-of-America","prior-bank-facility-visible","Atwell had a named bank-led facility before the Advent/Ares/Antares financing trail.","It does not prove the facility was outstanding immediately before the 2026 transaction.","2026 payoff letter, UCC continuation/termination, or debt agreement."
"CFABRR-002","prior bank facility","Prior lender group","January 2024","Bank of America; U.S. Bank; TD Bank; Old National Bank","lenders","capital-flow-atwell-bank-replacement-pursuit-log.csv","https://www.businesswire.com/news/home/20240125865095/en/Atwell-enters-into-$200-million-senior-credit-facility-with-lending-group-led-by-Bank-of-America","prior-bank-lender-group-visible","The prior facility involved multiple named banks, making bank-role displacement testable.","It does not prove those banks exited after Advent's 2026 investment.","New lender list and administrative-agent schedule."
"CFABRR-003","prior use case","2024 facility purpose","January 2024","organic and acquisition growth","use category","capital-flow-atwell-bank-replacement-pursuit-log.csv","https://www.abfjournal.com/bank-of-america-leads-200mm-credit-facility-for-atwell/","trade-publication-corroboration","The prior bank facility was growth-capacity financing, not only emergency liquidity.","It does not prove how much was drawn or repaid.","Borrowing history and debt schedule."
"CFABRR-004","sponsor transaction","Advent investment announced","March 27 2026","expected Q2 2026 close","status","Advent / Atwell announcements","https://www.adventinternational.com/news/atwell-partners-with-advent-international-to-accelerate-next-phase-of-growth/","sponsor-transaction-visible","Atwell entered a sponsor transaction that plausibly required acquisition financing.","It does not state the debt size, lender list, or prior debt repayment.","Closing announcement, sources-and-uses, or debt commitment letter."
"CFABRR-005","operating use case","Atwell operating markets","March 2026","community development; commercial; digital infrastructure; power; hydrocarbon","markets","Atwell announcement","https://atwell.com/news-and-insights/atwell-partners-with-advent-international-to-accelerate-next-phase-of-growth/","operating-destination-visible","Atwell is an infrastructure-services operating destination, not only a financial sponsor label.","It does not prove the financing funded new productive capex rather than ownership transfer or refinancing.","Borrower financials, capex, acquisition integration, and project backlog."
"CFABRR-006","private-credit role","Ares administrative agent, joint lead arranger, joint bookrunner","Q2 2026","senior secured facility supporting Advent acquisition","role","capital-flow-atwell-bank-replacement-pursuit-log.csv","https://ir.ares.com/news/ares-management-announces-second-quarter-2026-us-direct-lending-origination-activity/3a0619d9-6b06-4091-84af-556ab80b0f8d","private-credit-transaction-role-visible","Ares is directly tied to the 2026 acquisition-financing trail.","A role announcement does not prove Ares replaced Bank of America or the full lender group.","Final credit agreement and lender allocation schedule."
"CFABRR-007","private-credit role","Antares first-lien credit facility role","April 2026","undisclosed first-lien credit facility","facility marker","Antares public transaction list","https://www.antares.com/","private-credit-arranger-role-visible","Antares lists Advent/Atwell as an April 2026 first-lien credit facility where Antares was joint lead arranger.","It does not disclose size, use of proceeds, lender list, or bank exit.","Antares deal detail, rating report, or credit agreement."
"CFABRR-008","facility structure clue","Senior secured term loan and revolving facility","2026","term loan plus revolver","structure clue","Weil attorney profile","https://www.weil.com/people/paul-overmyer","counsel-profile-clue","The 2026 financing may include both term debt and a revolver.","The clue does not identify lenders or whether banks remained in the revolver.","Full financing agreement and revolver lender list."
"CFABRR-009","holder evidence","K-FITS funded principal","Q2 2026","4.002","M USD","capital-flow-atwell-kfits-holding-extraction.md","raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html","sec-holder-row-visible","A SEC-filing KKR-related credit vehicle held an Atwell first-lien funded position.","It is a small holder slice, not the total facility size.","Full holder base and facility-size document."
"CFABRR-010","holder evidence","K-FITS funded fair value","Q2 2026","3.986","M USD","capital-flow-atwell-kfits-holding-extraction.md","raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html","sec-holder-row-visible","The Atwell position has fair-value evidence inside a public credit vehicle schedule.","Fair value is not borrower debt outstanding or Ares exposure.","Additional BDC/private-credit schedules."
"CFABRR-011","holder evidence","K-FITS unfunded commitment","Q2 2026","0.488","M USD","capital-flow-atwell-kfits-holding-extraction.md","raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html","sec-holder-row-visible","The facility includes commitment exposure in at least one reported holder schedule.","It does not prove revolver lender group or unused facility size.","Credit agreement commitments and holder schedules."
"CFABRR-012","holder evidence","FSK funded principal","Q2 2026","3.2","M USD","capital-flow-atwell-sec-holder-crosswalk.md","raw/primary-sources/capital-flow/atwell/sec/fsk-2026q2-10q.html","sec-holder-row-visible","A second KKR-related SEC-filed vehicle reported an Atwell first-lien funded slice.","It still does not prove total facility or bank replacement.","Cross-holder dedupe and lender allocation."
"CFABRR-013","holder evidence","FSK unfunded commitment","Q2 2026","0.4","M USD","capital-flow-atwell-sec-holder-crosswalk.md","raw/primary-sources/capital-flow/atwell/sec/fsk-2026q2-10q.html","sec-holder-row-visible","Atwell unfunded commitment exposure appears across more than one filed vehicle.","It does not prove banks lacked a revolving or ancillary role.","Post-close lender list and revolver schedule."
"CFABRR-014","holder evidence","Combined disclosed funded principal","Q2 2026","7.202","M USD","capital-flow-atwell-sec-holder-crosswalk.md","derived-from-sec-holder-rows","derived-holder-total","The visible KKR-related funded slices are real but small relative to the 2024 bank facility.","The disclosed slices are not the full Atwell facility and cannot prove replacement.","Manager-family dedupe and full facility size."
"CFABRR-015","holder evidence","Combined funded principal plus unfunded commitment","Q2 2026","8.090","M USD","capital-flow-atwell-sec-holder-crosswalk.md","derived-from-sec-holder-rows","derived-holder-total","Atwell has concrete public holder-dollar evidence after the 2026 financing trail.","Holder dollars do not prove use of proceeds or bank exit.","Facility-size document, rating report, or funds-flow schedule."
"CFABRR-016","pricing/maturity","Matching first-lien terms","Q2 2026","SOFR + 5.0%; 0.8% floor; 04/2033 maturity","terms","capital-flow-atwell-sec-holder-crosswalk.md","raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html","term-consistency-visible","The KKR-related rows appear to refer to the same Atwell first-lien financing package.","Matching terms do not identify all lenders or repayment of prior debt.","Full credit agreement and tranche schedule."
"CFABRR-017","negative evidence","Payoff or termination document found","Pass 1","not found","status","capital-flow-atwell-bank-replacement-pursuit.md","local-and-web-search","decisive-proof-missing","Current evidence has not found repayment or termination of the 2024 bank-led facility.","Absence of public evidence is not evidence that the banks remained.","UCC termination, payoff letter, or closing funds flow."
"CFABRR-018","negative evidence","Amendment or coexistence document found","Pass 1","not found","status","capital-flow-atwell-bank-replacement-pursuit.md","local-and-web-search","coexistence-proof-missing","Current evidence has not found whether the 2024 facility was amended or coexisted with the private-credit package.","Absence of amendment evidence is not proof of replacement.","UCC amendment, amended credit agreement, or lender list."
"CFABRR-019","decision","Bank-role classification","Pass 1","replacement not proven","status","capital-flow-bank-role-after-private-credit-pass-1.md","claim-control-summary","Atwell should remain a live bank-replacement candidate rather than a confirmed replacement case.","It does not weaken the proven private-credit destination and holder evidence.","Search for final debt documents and rating reports."
"CFABRR-020","next gate","Resolution test","Next pass","repay, amend, replace, or coexist","decision options","capital-flow-atwell-bank-replacement-pursuit.md","work-program","answer-mechanism-visible","The next artifact should classify the 2024 bank facility outcome into one of four states.","The current bridge cannot choose among those states without a decisive document.","2026 credit agreement, debt commitment letter, rating report, UCC records, or funds-flow schedule."
