gate_id,draft_section,theme_layer,decision,citation_need,overclaim_risk,required_boundary,public_release_action,internal_reader_status,status
ARIDG-001,Title status and subtitle,whole draft,keep,"No citation needed unless factual company claims are added.",low,Frame as interpretation not universal law.,Keep title/subtitle plain.,ready,passed
ARIDG-002,Opening thesis,whole draft,keep,Optional method/source note.,low,Do not claim all annual reports prove the thesis.,Use as synthesis framing.,ready,passed
ARIDG-003,Complete 15-theme map,whole draft,keep,Cite company examples by section for public release.,medium,Do not present as exhaustive deep coverage of all 519 companies.,Add source note explaining map is synthesis.,ready,passed
ARIDG-004,Power scarcity,core,cite,"Utility reports, load disclosures, tariffs, dockets, contractor backlog, capex plans.",high,"Load, tariff, and capex are not receipts or returns.",Attach source citations and keep recovery boundary.,ready,citation-needed
ARIDG-005,Capital platforms,core,cite-and-preserve-boundary,"Asset-manager reports, AUM disclosures, statutory schedules, BDC schedules, vehicle documents.",high,AUM is not borrower receipt or asset return.,Attach source citations and keep AUM boundary.,ready,citation-needed
ARIDG-006,Industrial uptime,core,cite,"Fleet, branch, vending, backlog, revenue, margin, OCF, and execution disclosures.",medium,Scale is not fleet-class ROIC or customer collection.,Attach source citations and keep conversion boundary.,ready,citation-needed
ARIDG-007,Healthcare access,core,cite-and-preserve-boundary,"Payer, provider, pharmacy, home-care, dialysis, and service-company filings.",high,Volume is not quality fairness trust or collection.,Attach source citations and keep quality boundary.,ready,citation-needed
ARIDG-008,Built-environment upkeep,core,cite,"Home improvement, building products, coatings, lumber, distribution, waterworks, and civic infrastructure filings.",medium,Do not collapse into one generic housing-cycle claim.,Attach source citations by sub-lane.,ready,citation-needed
ARIDG-009,Digital control,core,cite,"Software, security, edge, cloud, platform, traffic, ARR, RPO, and cash-flow disclosures.",high,Demand metrics are not durable margin proof.,Attach source citations and keep durability boundary.,ready,citation-needed
ARIDG-010,Value retail,core,cite,"Retail filings for traffic, comps, ticket, membership, inventory, margin, ads, and format strategy.",medium,Traffic is not durable customer quality.,Attach source citations and keep customer-quality boundary.,ready,citation-needed
ARIDG-011,Services and cultural consumption,expansion,cite-before-public-release,"Lodging, restaurants, casinos, airlines, advertising, entertainment, and staffing filings.",medium,Revenue is not consumer health.,Attach source citations and keep cultural-interpretation framing.,ready,citation-needed
ARIDG-012,Consumer goods and household identity,expansion,cite-before-public-release,"Personal products, packaged food, beverages, apparel, toys, household goods, and packaging filings.",medium,Sales are not brand durability.,Attach source citations and keep household-routine framing.,ready,citation-needed
ARIDG-013,Basic materials and input scarcity,expansion,cite-before-public-release,"Mining, steel, chemicals, fertilizer, aggregates, lumber, uranium, and metals reports.",medium,End-market demand is not producer return.,Attach source citations and keep input-cost boundary.,ready,citation-needed
ARIDG-014,Real estate and scarce locations,expansion,cite-before-public-release,"REIT reports, occupancy, rent spreads, lease duration, debt maturities, and tenant mix.",medium,Ownership is not pricing power.,Attach source citations and keep location-value boundary.,ready,citation-needed
ARIDG-015,Broad technology beyond internet software,expansion,cite-before-public-release,"Application software, semis, networking, storage, telecom, hardware, and IT services reports.",high,AI exposure and ARR are not durable value proof.,Attach source citations and keep unit-economics boundary.,ready,citation-needed
ARIDG-016,Healthcare tools and medical infrastructure,expansion,cite-before-public-release,"Devices, labs, hospitals, distributors, diagnostics, supplies, drugstores, and biotech reports.",high,Medical volume is not outcomes or cash quality.,Attach source citations and keep outcomes/cash boundary.,ready,citation-needed
ARIDG-017,Energy affordability and supply route,expansion,cite-before-public-release,"Upstream, refining, service, equipment, midstream, margin, production, and cash-flow disclosures.",medium,Price or volume is not durable return.,Attach source citations and keep cycle-risk boundary.,ready,citation-needed
ARIDG-018,Ordinary finance,expansion,cite-before-public-release,"Bank, card, insurance broker, P&C insurance, payments, exchange, credit-quality, and deposit disclosures.",high,Scale is not customer health or credit quality.,Attach source citations and keep credit-quality boundary.,ready,citation-needed
ARIDG-019,Proof rule,whole draft,keep,No citation needed for method; cite documents when applying it.,low,Use as boundary not evidence.,Keep as final guardrail.,ready,passed
ARIDG-020,Final takeaway and safe publication claim,whole draft,keep-with-boundary,Cite the 15 section source packages before external publication.,medium,Do not convert into investment advice.,Keep final boundary paragraph.,ready,passed
