wheaton_metric_id,source_table_id,debt_refi_id,company,ticker,period,source_file,source_section,metric_family,metric_label,value,unit,evidence_status,what_it_says,what_it_does_not_say,next_required_source,safe_claim
CFWPM6K-001,CF519CST-019,CFDRSD-005,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r2.htm,Condensed Interim Consolidated Statements of Earnings,sales,Sales,929.201,USD millions,sec-rendered-xbrl-table-extracted,Q2 2026 sales are visible from the SEC-rendered income statement.,Sales do not prove stream-asset return or financing source.,"Stream-by-stream sales, cost, depletion, and cash margin schedule.","Wheaton Q2 2026 sales are visible, but stream-level return remains open."
CFWPM6K-002,CF519CST-019,CFDRSD-005,Wheaton Precious Metals Corp.,WPM,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r2.htm,Condensed Interim Consolidated Statements of Earnings,sales,Sales,1830.670,USD millions,sec-rendered-xbrl-table-extracted,YTD 2026 sales are visible from the SEC-rendered income statement.,YTD sales do not allocate cash return by PMPA or royalty.,"Stream-by-stream sales, cost, depletion, and cash margin schedule.","Wheaton YTD 2026 sales are visible, but stream-level return remains open."
CFWPM6K-003,CF519CST-019,CFDRSD-005,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r5.htm,Condensed Interim Consolidated Statements of Cash Flows,operating cash flow,Cash generated from operating activities,649.518,USD millions,sec-rendered-xbrl-table-extracted,Q2 2026 operating cash generation is visible.,Operating cash flow is company-level and does not prove a particular stream asset return.,Stream-level cash receipts and depletion/cost bridge.,Wheaton generated source-visible Q2 2026 operating cash flow.
CFWPM6K-004,CF519CST-019,CFDRSD-005,Wheaton Precious Metals Corp.,WPM,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r5.htm,Condensed Interim Consolidated Statements of Cash Flows,operating cash flow,Cash generated from operating activities,1415.340,USD millions,sec-rendered-xbrl-table-extracted,YTD 2026 operating cash generation is visible.,YTD operating cash flow does not prove whether debt-funded stream purchases have earned target returns.,Stream-level cash receipts and depletion/cost bridge.,Wheaton generated source-visible YTD 2026 operating cash flow.
CFWPM6K-005,CF519CST-019,CFDRSD-005,Wheaton Precious Metals Corp.,WPM,2026-06-30,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r100.htm,Supplemental Cash Flow Information - Summary of Cash and Cash Equivalents,cash denominator,Total cash and cash equivalents,100.192,USD millions,sec-rendered-xbrl-table-extracted,"Cash fell to 100.192M USD at June 30, 2026.",Cash balance alone does not prove liquidity sufficiency or stream funding return.,"Liquidity discussion, revolver availability, and covenant detail.",Wheaton has a source-visible Q2 2026 cash denominator.
CFWPM6K-006,CF519CST-019,CFDRSD-005,Wheaton Precious Metals Corp.,WPM,2026-06-30,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r73.htm,Credit Facilities - Summary Of Bank Debt,debt denominator,Gross bank debt outstanding,1972.000,USD millions,sec-rendered-xbrl-table-extracted,"Gross bank debt outstanding was 1.972B USD at June 30, 2026.",Gross bank debt does not prove project-level use or cash return.,"Term loan and revolver use-of-proceeds notes, debt agreement terms, and covenant detail.",Wheaton has a source-visible Q2 2026 bank-debt denominator.
CFWPM6K-007,CF519CST-019,CFDRSD-005,Wheaton Precious Metals Corp.,WPM,2026-06-30,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r73.htm,Credit Facilities - Summary Of Bank Debt,debt denominator,Revolving Credit Facility gross debt outstanding,472.000,USD millions,sec-rendered-xbrl-table-extracted,"The revolver had 472.0M USD gross debt outstanding at June 30, 2026.",Revolver balance does not allocate use among stream purchases or liquidity needs.,"Revolver agreement, draw history, and use-of-proceeds language.","Wheaton revolver debt is visible, but use allocation remains open."
CFWPM6K-008,CF519CST-019,CFDRSD-005,Wheaton Precious Metals Corp.,WPM,2026-06-30,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r73.htm,Credit Facilities - Summary Of Bank Debt,debt denominator,Term Loan gross debt outstanding,1500.000,USD millions,sec-rendered-xbrl-table-extracted,"The new term loan had 1.500B USD gross debt outstanding at June 30, 2026.",Term-loan amount alone does not prove full BHP Antamina funding economics or return.,Term loan agreement and Antamina PMPA source/use detail.,"Wheaton term-loan denominator is visible, but stream-acquisition return remains open."
CFWPM6K-009,CF519CST-019,CFDRSD-005,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r5.htm,Condensed Interim Consolidated Statements of Cash Flows,financing cash movement,Bank debt drawn; bank debt repaid,2700.000 drawn; 728.000 repaid,USD millions,sec-rendered-xbrl-table-extracted,Q2 2026 financing cash flow shows 2.700B USD of bank debt drawn and 728.0M USD repaid.,Gross draw and repayment do not prove final net project funding or lender economics.,Detailed debt draw/use schedule and credit facility terms.,Wheaton has source-visible Q2 2026 bank debt draw/repayment cash-flow evidence.
CFWPM6K-010,CF519CST-019,CFDRSD-005,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-ex99-2-mda.htm,MD&A liquidity and capital resources / highlights,stream acquisition funding,Upfront cash payments for PMPAs and royalties; BHP Antamina PMPA payment,4.5B total upfront cash payments; 4.3B BHP Antamina PMPA,USD billions,sec-mdna-extracted,"MD&A ties the quarter to 4.5B USD upfront cash payments, including 4.3B USD for BHP Antamina, funded by cash on hand, the 1.5B USD Term Loan, and a revolver draw.","This does not prove stream-level return, mine delivery timing, or debt-service waterfall.","Antamina PMPA terms, expected deliveries, pricing, depletion, cash receipts, and debt-service bridge.","Wheaton has source-visible source/use context for debt-funded stream acquisition, with return still open."
