ladder_id,meta_question,lane_or_case,current_best_evidence,current_proof_level,next_receipt_or_cash_test,upgrade_document,working_hypothesis,pass_condition,fail_or_hold_boundary,next_artifact,safe_claim
CFRL-001,"When does routed capital become realized cash rather than authorized, contracted, or balance-sheet capacity?","Cross-lane control","Evidence-backed insight memo, operating-return frontier, publication register, and FPL receipts/financing boundary separate source, use, output, authorized recovery, aggregate revenue, and realized cash.",proof-ladder-needed,"Require the document that records actual customer, borrower, tenant, shipper, purchaser, or ratepayer cash conversion for the same asset/use period.","Cash receipt ledger, billing determinant exhibit, true-up collection schedule, cash collection table, borrowing-base certificate, backlog burn/cash collection schedule, DOE/export plus SPA revenue support, statutory investment-income schedule.","The research will upgrade fastest where legal entitlement and cash receipt are both public, especially regulated utility clauses, fleet rental cash conversion, and LNG contracted output.","A same-period document links named asset/use to actual billed/collected cash, not only approval, revenue requirement, backlog, exposure, or facility capacity.","Hold if only authorization, fair value, AUM, capex, backlog, or aggregate revenue is visible.",capital-flow-cash-realization-source-targets-pass-1.md,"The current thesis is cash-realization-aware but not fully cash-realization-proven."
CFRL-002,"Can FPL Distribution Inspection move from approved recovery math to realized-return proof?","FPL Distribution Inspection","Official PSC evidence shows 193199 actual projects, 61.5M USD AP-1 actual cost, 38.320627M USD final expenditures, 22.263219M USD final plant additions, 15.942971M USD final recoverable expense, 804.620369M USD aggregate SPPCRC clause revenue, 65.318726M USD aggregate true-up collected/refunded, and Form 8A capital-structure support.",category-output-recovery-with-component-and-capital-structure-attribution-partial,"Find Distribution Inspection-specific customer receipts or billing determinant allocation and source-of-funds allocation.","SPPCRC category receipt schedule, rate-class billing determinant workpaper, category allocation workpaper, 2027 factor true-up collection schedule, treasury funding testimony, construction funding schedule, debt use-of-proceeds language.","FPL is likely to remain recovery-grade rather than realized-return-grade unless workpapers allocate aggregate SPPCRC revenue and funding to the Distribution Inspection category.","Same-period source allocates billed/collected customer cash to Distribution Inspection and identifies whether funding is general treasury, debt, equity, cash from operations, or another source.","Aggregate SPPCRC revenue and Form 8A capital structure are not category receipts or project funding proof.",capital-flow-fpl-distribution-inspection-customer-receipt-source-pursuit-pass-1.md,"FPL is the best regulated recovery bridge, but customer receipts and source-of-funds allocation remain the gating documents."
CFRL-003,"Can URI fleet investment be upgraded from output proxy to asset cash return?","URI fleet","URI has repeated rental revenue, fleet productivity, OEC growth, operating cash flow coverage, equipment-sale recovery, liquidity, AR collateral, ABL draw-intensity, and Yak acquisition funding-chain evidence.",repeated-period-capital-to-output-proxy,"Find fleet class utilization, rental margin, growth versus replacement capex, asset-level OEC, and cash yield or ROIC proxy.","Fleet utilization disclosure, segment OEC tables, rental margin bridge, used-equipment proceeds by class, capex replacement/growth split, borrowing-base certificate.","URI likely remains the strongest public cash-conversion proxy, but asset-level ROIC may stay unavailable in public sources.","Same-period source connects incremental fleet investment to rental revenue, margin, cash conversion, utilization, and recovery proceeds by fleet class.","Company-level OCF and rental revenue are not asset-class ROIC or source-to-purchase allocation proof.",capital-flow-uri-fleet-cash-yield-source-pursuit-pass-1.md,"URI supports durable fleet cash-conversion proxy language, not full asset-level return proof."
CFRL-004,"Does Sterling backlog become collectable cash or just larger RPO?","Sterling backlog","Sterling has RPO growth, contract-liability timing, repeated positive operating cash flow less capex, a 1.500B USD revolver, a 600M USD L/C sublimit, surety/bonding mechanics, and acquired-backlog evidence.",conversion-supported-backlog-platform,"Find project-owner funding, backlog burn to revenue, retainage collection, bonded backlog, L/C usage, project margin, cancellation, and covenant cushion.","Project-owner funding documents, contract schedules, retainage tables, surety/L/C schedules, backlog margin disclosures, covenant compliance certificates, acquisition backlog burn schedules.","Sterling's conversion quality depends more on owner funding, retainage, L/C/surety usage, and acquired backlog burn than on headline backlog size.","A same-period source shows backlog conversion into revenue/cash with owner funding and risk supports visible.","RPO growth and revolver capacity are not proof that backlog is funded, high-margin, non-cancellable, or collected.",capital-flow-sterling-project-cash-collection-source-pursuit-pass-1.md,"Sterling is conversion-supported with clear working-capital and guarantee boundaries."
CFRL-005,"Can Cheniere move from cargo/entity-output bridge to project cash return?","Cheniere LNG","Cheniere ties company cargoes to DOE vessel rows, contracted production, train milestones, growth capex/equity-funded growth-capex split, SPL/CQP debt, and named SPA context.",entity-output-bridge-visible,"Find train-level source/use, restricted-account waterfall, debt draw, SPA economics, project revenue, debt service, and distributable cash connection.","Project-finance indenture supplements, offering memoranda, restricted group financials, SPA pricing or revenue support, FERC filings, DOE cargo/customer link, debt-service schedule.","Cheniere may be closest to project-cash grade among energy names if entity debt and contracted output can be tied to train economics.","Named train or entity source links capital source, project use, customer contract, output, revenue/cash, and debt service.","Cargo count and entity debt are not train-level project return or waterfall proof.",capital-flow-cheniere-project-cash-waterfall-source-pursuit-pass-1.md,"Cheniere is strong on physical output and entity debt, not yet project-cash-grade."
CFRL-006,"Can private-credit holder rows become borrower cash-use and repayment evidence?","Private-credit borrowers","The Ares borrower expansion normalizes 83 holder/source-taxonomized rows and a 9 row same-period control; vehicle stacks are visible for major public BDC holders.",borrower-destination-and-vehicle-stack-visible,"Find facility size, use of proceeds, funds flow, borrower operating metrics, repayment source, lender allocation, and post-close bank role.","Credit agreements, commitment letters, rating reports, merger proxies, funds-flow memos, lender schedules, amendments, payoff letters, borrower financials.","Many visible private-credit loans will prove acquisition, refinancing, liquidity, or consolidation before they prove organic buildout or durable operating improvement.","A same-period source links holder exposure to facility, use, borrower cash generation or repayment capacity, and bank-role outcome.","BDC fair value is not facility size, total debt, use of proceeds, repayment source, or bank displacement.",capital-flow-private-credit-borrower-cash-use-source-pursuit-pass-1.md,"Private credit is destination-proven but not generally cash-use-proven."
CFRL-007,"Can public/private credit vehicles reveal ultimate source of borrower capital?","BDC and private-credit vehicles","ARCC, FSK, OBDC, GSBD, and GSPCC have source-stack visibility; ASIF and SDLP have partial non-traded/private-credit stack visibility.",vehicle-source-stack-visible,"Find liability, noteholder, shareholder, LP, subscription facility, CLO, insurance-liability, or bank-funding allocation to borrower assets.","Vehicle annual reports, leverage tables, notes payable schedules, subscription facility documents, CLO/SPV filings, shareholder/LP reports, statutory schedules.","Vehicle stack proof will upgrade source context, but borrower-specific allocation may remain impossible without internal allocation schedules.","Same-period vehicle source stack and asset schedule tie funding layers to the borrower asset pool without pretending one dollar is allocated to one loan.","Vehicle capital stack is not ultimate investor allocation to a named borrower unless the source explicitly maps it.",capital-flow-vehicle-liability-to-asset-pool-source-pursuit-pass-1.md,"Vehicle-stack proof is stronger source context, not exact borrower-dollar provenance."
CFRL-008,"Can bank replacement be upgraded from selected cases to a pattern?","Bank role after private credit","Auctane is confirmed bank-facility takeout; Medallia has strong repayment evidence but incomplete lender allocation; Guidehouse is strong secondary bank-competition evidence; Atwell remains unresolved.",selected-case-bank-replacement-visible,"Find before/after bank role, payoff, termination, replacement facility, revolver retention, treasury/hedging roles, and ancillary bank services.","Credit agreement terminations, payoff letters, UCC releases, new credit agreements, lender schedules, rating reports, bank agency/treasury disclosures.","The likely pattern is not bank disappearance; it is bank-role migration away from some term/acquisition risk while banks remain in revolvers, treasury, hedging, agent, and collateral roles.","A before/after source proves a named bank facility was repaid/terminated or retained with changed role after private-credit financing.","Bank takeout in one borrower does not prove broad bank displacement.",capital-flow-bank-role-pattern-source-pursuit-pass-1.md,"Bank replacement is real in selected cases, but the pattern still needs before/after role evidence."
CFRL-009,"Can the 519-company template become empirical rather than procedural?","519-company universe","Every company has lane, role, wrapper, source availability, proof level, denominator need, next document, safe claim, and do-not-claim boundary; 35-company pilot selected.",process-scale-visible,"Run lane-specific extraction batches that move rows from radar/template status to source-grade evidence or disproof.","Primary filings, dockets, tariff records, credit documents, project records, customer contracts, statutory filings, and extraction scripts by lane.","The process should scale, but the empirical thesis will likely vary sharply by lane and evidence availability.","A batch of rows reaches named-source, named-metric, proof-level, disproof-test, and publication-boundary fields with validation.","A populated template is not representative proof of the thesis.",capital-flow-519-company-cash-realization-batch-pass-1.md,"The system scales operationally; empirical proof still requires lane-by-lane extraction."
CFRL-010,"Which questions are ready for external writing?","Publication control","The publication-ready claim register has bounded sentences, proof levels, evidence routes, forbidden overclaims, use conditions, contrary-role checks, and next-proof fields.",publication-ready-bounded,"Retest every public sentence against the cash-realization ladder before promotion.","Publication register update, contrary-source review, rendered evidence links, claim-to-table references, and proof-level audit.","The strongest external writing should emphasize mechanisms and boundaries, not a finished universal answer.","Every sentence points to a server-visible evidence page and avoids the fail/hold boundaries in this ladder.","A compelling narrative is not enough without source-level cash, use, output, and boundary checks.",capital-flow-publication-claim-cash-realization-audit-pass-1.md,"Use bounded mechanism language until cash-realization proof is source-grade."
