lane,lane_rank,overall_rank,score,company,sector,industry,ticker,matched_signal_categories,hard_number_count,dollar_number_count,source_pointer_count,evidence_snippet,packet_path,analysis_path,proof_numbers_to_extract,lane_question,recommended_next_step,status
private_credit_direct_lending,1,1,123,Kkr Co. Inc.,Financial,Asset Management,KKR,private_credit_direct_lending; acquisition_finance; insurance_and_retirement_capital; capital_intensity_and_capex,48,48,17,"The business is not best summarized as only fee-related earnings plus realizations, and not as only a spread-and-retirement-services engine either.",extracted/financial/asset-management/kkr-co-inc/company-packet.md,analysis/company-first-principles/financial/asset-management/kkr-co-inc/company-analysis.md,"AUM/FPAUM, credit AUM, fundraising, deployment, direct-lending originations, BDC/fund schedules, borrower examples, facility-size proof.","Where does the managed private-credit capital come from, and which operating borrowers receive it?","Search SEC holder schedules, credit agreements, rating reports, and lender announcements for borrower-level facility evidence.",queued-primary-source-pass
private_credit_direct_lending,2,2,119,Apollo Global Management Inc.,Financial,Asset Management,APO,private_credit_direct_lending; insurance_and_retirement_capital; acquisition_finance; capital_intensity_and_capex,41,41,18,"The model is not just management fees plus realizations; it is management fees plus spread earnings through Athene, backed by origination, retirement services, and insurance-scale balance-sheet sourcing.",extracted/financial/asset-management/apollo-global-management-inc/company-packet.md,analysis/company-first-principles/financial/asset-management/apollo-global-management-inc/company-analysis.md,"AUM/FPAUM, credit AUM, fundraising, deployment, direct-lending originations, BDC/fund schedules, borrower examples, facility-size proof.","Where does the managed private-credit capital come from, and which operating borrowers receive it?","Search SEC holder schedules, credit agreements, rating reports, and lender announcements for borrower-level facility evidence.",queued-primary-source-pass
private_credit_direct_lending,3,3,119,Ares Management Corporation,Financial,Asset Management,ARES,private_credit_direct_lending; insurance_and_retirement_capital; acquisition_finance; capital_intensity_and_capex,51,50,15,"- Full-year `2025` closed with AUM of about `$622.5B`, FPAUM of about `$384.9B`, available capital of about `$156.0B`, gross fundraising of about `$113.2B`, net inflows of about `$107.7B`, capital deployment of about `$145.8B`, fee related earnings of about...",extracted/financial/asset-management/ares-management-corporation/company-packet.md,analysis/company-first-principles/financial/asset-management/ares-management-corporation/company-analysis.md,"AUM/FPAUM, credit AUM, fundraising, deployment, direct-lending originations, BDC/fund schedules, borrower examples, facility-size proof.","Where does the managed private-credit capital come from, and which operating borrowers receive it?","Search SEC holder schedules, credit agreements, rating reports, and lender announcements for borrower-level facility evidence.",queued-primary-source-pass
private_credit_direct_lending,4,22,102,Blackrock Inc.,Financial,Asset Management,BLK,private_credit_direct_lending; acquisition_finance; capital_intensity_and_capex,36,31,12,"- Strategic read: the quarter shows how ETF scale, systematic active, private markets, outsourcing, and acquisition-led capability expansion can all reinforce each other inside one manager.",extracted/financial/asset-management/blackrock-inc/company-packet.md,analysis/company-first-principles/financial/asset-management/blackrock-inc/company-analysis.md,"AUM/FPAUM, credit AUM, fundraising, deployment, direct-lending originations, BDC/fund schedules, borrower examples, facility-size proof.","Where does the managed private-credit capital come from, and which operating borrowers receive it?","Search SEC holder schedules, credit agreements, rating reports, and lender announcements for borrower-level facility evidence.",queued-primary-source-pass
private_credit_direct_lending,5,23,102,Blackstone Inc.,Financial,Asset Management,BX,private_credit_direct_lending; acquisition_finance; capital_intensity_and_capex,44,44,17,"Credit, insurance, infrastructure, real estate, private equity, and wealth channels all show up as earnings drivers.",extracted/financial/asset-management/blackstone-inc/company-packet.md,analysis/company-first-principles/financial/asset-management/blackstone-inc/company-analysis.md,"AUM/FPAUM, credit AUM, fundraising, deployment, direct-lending originations, BDC/fund schedules, borrower examples, facility-size proof.","Where does the managed private-credit capital come from, and which operating borrowers receive it?","Search SEC holder schedules, credit agreements, rating reports, and lender announcements for borrower-level facility evidence.",queued-primary-source-pass
private_credit_direct_lending,6,94,90,The Carlyle Group Inc.,Financial,Asset Management,CG,private_credit_direct_lending; acquisition_finance,53,53,8,"The recurring stack here is fee-related earnings, fundraising, carry monetization, and a broad segment mix across Global Private Equity, Global Credit, and Carlyle AlpInvest.",extracted/financial/asset-management/the-carlyle-group-inc/company-packet.md,analysis/company-first-principles/financial/asset-management/the-carlyle-group-inc/company-analysis.md,"AUM/FPAUM, credit AUM, fundraising, deployment, direct-lending originations, BDC/fund schedules, borrower examples, facility-size proof.","Where does the managed private-credit capital come from, and which operating borrowers receive it?","Search SEC holder schedules, credit agreements, rating reports, and lender announcements for borrower-level facility evidence.",queued-primary-source-pass
private_credit_direct_lending,7,221,78,Brookfield Corporation,Financial,Asset Management,`BN`,private_credit_direct_lending; capital_intensity_and_capex,32,28,0,"- Compared with Markel, Brookfield is the more global, capital-markets-oriented allocator; compared with the brokers, it is much more capital intensive but also more exposed to secular infrastructure, insurance-float, and private-capital growth.",extracted/financial/asset-management/brookfield-corporation/company-packet.md,analysis/company-first-principles/financial/asset-management/brookfield-corporation/company-analysis.md,"AUM/FPAUM, credit AUM, fundraising, deployment, direct-lending originations, BDC/fund schedules, borrower examples, facility-size proof.","Where does the managed private-credit capital come from, and which operating borrowers receive it?","Search SEC holder schedules, credit agreements, rating reports, and lender announcements for borrower-level facility evidence.",queued-primary-source-pass
insurance_and_retirement_capital,1,67,95,Unitedhealth Group Inc.,Healthcare,Managed Health Care,UNH,insurance_and_retirement_capital; acquisition_finance,33,29,13,"healthcare, leadership refresh, AI and cybersecurity investment, Alegeus acquisition plans, Optum UK divestiture, and more direct attention to prior authorization and transparency.",extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md,analysis/company-first-principles/healthcare/managed-health-care/unitedhealth-group-inc/company-analysis.md,"Insurance liabilities, invested assets, credit allocation, reinsurance structure, statutory schedules, credit quality, asset-manager linkage.","How do insurance or retirement liabilities become credit assets, and what quality/risk sits underneath?","Bridge insurance liabilities to investment assets using annual reports, statutory filings, reinsurance notes, and asset schedules.",queued-primary-source-pass
insurance_and_retirement_capital,2,82,93,The Cigna Group,Healthcare,Managed Health Care,`CI`,insurance_and_retirement_capital; capital_intensity_and_capex,41,31,12,The scarce position is trusted employer and pharmacy-benefit infrastructure.,extracted/healthcare/managed-health-care/the-cigna-group/company-packet.md,analysis/company-first-principles/healthcare/managed-health-care/the-cigna-group/company-analysis.md,"Insurance liabilities, invested assets, credit allocation, reinsurance structure, statutory schedules, credit quality, asset-manager linkage.","How do insurance or retirement liabilities become credit assets, and what quality/risk sits underneath?","Bridge insurance liabilities to investment assets using annual reports, statutory filings, reinsurance notes, and asset schedules.",queued-primary-source-pass
insurance_and_retirement_capital,3,138,84,Metlife Inc.,Financial,Life Insurance,`MET`,insurance_and_retirement_capital; capital_intensity_and_capex,24,21,9,"MetLife gives CLI 6 the large-scale life-insurance and retirement-risk-transfer model, where earnings depend on underwriting, spread income, investment results, longevity and morbidity assumptions, and disciplined capital return rather than on loan growth o...",extracted/financial/life-insurance/metlife-inc/company-packet.md,,"Insurance liabilities, invested assets, credit allocation, reinsurance structure, statutory schedules, credit quality, asset-manager linkage.","How do insurance or retirement liabilities become credit assets, and what quality/risk sits underneath?","Bridge insurance liabilities to investment assets using annual reports, statutory filings, reinsurance notes, and asset schedules.",queued-primary-source-pass
insurance_and_retirement_capital,4,222,78,Prudential Financial Inc.,Financial,Life Insurance,`PRU`,insurance_and_retirement_capital,34,33,13,"Prudential gives CLI 6 the missing second pure life-insurance and retirement-risk-transfer anchor against `MetLife`, which matters because it lets the archive compare the trust-and-liability-management layer across two real large-scale insurers instead of i...",extracted/financial/life-insurance/prudential-financial-inc/company-packet.md,,"Insurance liabilities, invested assets, credit allocation, reinsurance structure, statutory schedules, credit quality, asset-manager linkage.","How do insurance or retirement liabilities become credit assets, and what quality/risk sits underneath?","Bridge insurance liabilities to investment assets using annual reports, statutory filings, reinsurance notes, and asset schedules.",queued-primary-source-pass
power_grid_and_project_finance,1,4,116,Oneok Inc.,Energy,Oil Gas Pipelines,OKE,power_grid_and_project_finance; debt_refinancing_and_facilities; capital_intensity_and_capex; acquisition_finance,53,45,19,"Management describes the company as a leading midstream operator providing gathering, processing, fractionation, transportation, storage, and marine export services through an approximately `60,000-mile` pipeline network.",extracted/energy/oil-gas-pipelines/oneok-inc/company-packet.md,,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
