availability_id,proof_layer,source_route,source_document,period,evidence_found,current_status,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_test,safe_use
CFFPL2026SA-001,current docket route,Florida PSC docket API and docket page,Docket 20260010-EI,2026,current open SPPCRC docket with 138 filing records,docket-route-visible,Confirms the current public filing route for FPL SPPCRC 2026 actual/estimated and 2027 projected factor materials,Does not prove any Distribution Inspection billing or receipt cash,Full docket filing inventory plus confidential/non-confidential workpapers,Upgrade if docket filings expose billed or collected category cash by period,Use as source route not cash proof
CFFPL2026SA-002,FPL petition route,Florida PSC filing library,DN 02558-2026,2026-05-01,FPL petition for actual/estimated 2026 SPPCRC true-up and projected 2027 SPPCRC factors,petition-route-visible,Confirms FPL filed the current-year true-up/projected-factor request,Petition does not expose Distribution Inspection customer receipts or funding source allocation,Petition exhibits and supporting schedules/workpapers,Upgrade if petition package ties factor revenue to category receipts,Use as filing-family control
CFFPL2026SA-003,project/program route,Florida PSC filing library,DN 02559-2026,2026-05-01,Andrew Pankratz testimony and AP-3 through AP-5 include program and project support including Distribution Inspection references,program-support-visible,Confirms project/program filing support exists in the current docket,Does not prove customer billing cash collected for Distribution Inspection,AP exhibits plus detailed project-level cost and output workpapers,Upgrade if program support ties costs to billings collections and returns,Use as project-support route
CFFPL2026SA-004,factor/workpaper route,Florida PSC filing library,DN 02560-2026,2026-05-01,April Epperson testimony and ALE-2 through ALE-4 include Form 4P and Form 5P factor calculation materials,factor-calculation-visible,Confirms rate-class allocation and factor calculation support exists,Rate-class factors are not Distribution Inspection receipt ledgers or collected cash,Rate-class billing determinants and actual billed/collected SPPCRC revenue support,Upgrade if factors are joined to determinants and receipts by category,Use as factor route only
CFFPL2026SA-005,amended factor route,Florida PSC filing library,DN 03227-2026,2026-06-01,Amended ALE-3 and ALE-4 correct Form 4P and Form 5P allocation/factor calculations,amended-factor-visible,Confirms corrected public factor support for projected 2027 SPPCRC factors,Corrected factors still do not allocate collected cash to Distribution Inspection,Corrected billing determinant and category allocation workpapers,Upgrade if amended materials include billing determinant-to-receipt reconciliation,Use as corrected-factor route
CFFPL2026SA-006,aggregate clause revenue,Florida PSC filing library,DN 02560-2026 Form 2E,2026 actual/estimated,Form 2E shows monthly aggregate SPPCRC clause revenues net of revenue taxes and annual total 1.000979763B USD,aggregate-revenue-visible,Confirms aggregate clause revenue timing is visible for the SPPCRC as a whole,Aggregate clause revenue is not Distribution Inspection-specific billed or collected cash,Category allocation ledger and customer receipt support,Upgrade if aggregate revenue is allocated to Distribution Inspection with billed/collected support,Use as aggregate cash proxy only
CFFPL2026SA-007,billing determinant proxy,Florida PSC filing library,DN 02560-2026 and DN 03227-2026 Form 4P/Form 5P,2027 projection,Form 4P/5P expose projected sales at meter and projected billed kW by rate class with SPP factors,billing-base-proxy-visible,Confirms projected rate-class billing bases and factors are visible,Projected billing bases do not prove actual billed/collected Distribution Inspection receipts,Actual billing determinants by rate class/month and receipt ledger,Upgrade if actual billing determinants times factors reconcile to cash collected and category allocation,Use as billing-base proxy
CFFPL2026SA-008,discovery route,Florida PSC docket filings,DN 02990-2026; DN 03047-2026; DN 04149-2026; DN 04150-2026,2026,Staff and Panama City interrogatory and production-request routes to FPL are visible,discovery-route-visible,Confirms discovery channels exist that could request receipt/billing/workpaper support,Discovery notices do not provide the substantive receipt schedules,Non-confidential discovery responses or produced workpapers,Upgrade if responses include billing determinants receipts subaccounts or source allocation,Use as request-route map
CFFPL2026SA-009,response/objection route,Florida PSC docket filings,DN 03396-2026; DN 03451-2026; DN 03676-2026; DN 04505-2026; DN 04795-2026; DN 05260-2026,2026,FPL response and objection notices to discovery are visible,response-route-visible,Confirms FPL served responses/objections in the current docket,Notices do not expose the underlying data schedules or cash ledger,Underlying non-confidential responses confidential exhibits or public hearing record,Upgrade if response materials disclose category receipts or billing determinants,Use as follow-up route
CFFPL2026SA-010,named cash proof verdict,current public docket plus local FPL SPPCRC packet,FPL Distribution Inspection,2025-2027,Current public route improves source availability but does not surface Distribution Inspection-specific billing determinants receipts funding allocation or earned-return proof,hold-with-current-docket-route-visible,Confirms where named receipt proof would most likely surface next,Does not prove cash all the way through from customer billings to category recovery to funding source to earned return,Billing determinants receipt ledger subaccount ledger source-of-funds schedule and earned-return model,Upgrade only if exact category cash and source/use/return schedules are found,Use as strict proof boundary
