chapter_id,section_or_company,role,hard_evidence,what_it_proves,what_it_does_not_prove,proof_grade,needed_for_upgrade,writing_use
ARIUC-001,Opening thesis,Chapter frame,"Physical work can fail because equipment parts tools HVAC units technical support or project supplies are unavailable",The chapter can explain uptime as a hidden operating bottleneck in annual reports,It does not prove named customer receipts fleet returns or project-level cash by theme alone,synthesis-ready,Company evidence table and uptime proof ladder,Use as the plain-English chapter opening.
ARIUC-002,Uptime proof ladder,Proof discipline,"Need visibility; access visibility; conversion visibility; durability visibility; named-cash proof",The chapter can separate operating evidence from final cash-return evidence,The ladder does not upgrade sales backlog or fleet metrics into receipt-grade proof,writing-control,Customer invoices project collections retainage fleet-class ROIC borrowing-base certificates collateral reports and margin schedules,Use to keep the chapter clear and bounded.
ARIUC-003,United Rentals,Access over ownership,"FY 2025 revenue 16.099B USD; FY 2025 fleet OEC 22.48B USD; FY 2025 operating cash flow 5.190B USD; Q2 2026 rental revenue 3.849B USD; Q2 2026 OEC 23.8B USD; fleet productivity up 3.4 percent",URI shows customers renting access to equipment capacity instead of owning every asset,It does not prove fleet-class utilization margin borrowing-base collateral value or lifecycle ROIC,fleet-cash-proxy-boundary,Utilization rate mix fleet-class OEC eligible collateral NOLV appraisals and asset-class return model,Use as the strongest access-over-ownership example.
ARIUC-004,Fastenal,Embedded replenishment,"Digital Footprint was 61.4 percent of 2025 sales; Q2 2026 daily sales rose 14.7 percent; onsite vending and branch network evidence visible",Fastenal shows replenishment moving closer to customer workflow,It does not prove customer-level profitability inventory cash conversion or retention economics by installation,embedded-access-visible,Onsite cohort economics vending utilization inventory turns customer retention and cash conversion,Use as the small-parts high-consequence example.
ARIUC-005,WESCO,Project-channel coordination,"2025 data-center sales 4.3B USD up about 50 percent; Q2 2026 backlog up 60 percent year over year",WESCO shows infrastructure data-center and electrification demand entering project supply channels,It does not prove backlog funding margin collection or supplier timing by project,backlog-access-visible,Backlog aging project customer funding supplier delivery working-capital and collection schedules,Use as the data-center and electrification supply-chain example.
ARIUC-006,W.W. Grainger,Broad MRO procurement reliability,"More than 4.6M customers; 2025 net sales 17.942B USD; Q2 2026 sales rose 10.3 percent",Grainger shows broad industrial customers paying for reliable MRO access and fulfillment,It does not prove SKU-level margins customer cash receipts or service-cost economics,broadline-reliability-visible,Customer cohort margin fulfillment cost inventory productivity and cash collection evidence,Use as the procurement reliability example.
ARIUC-007,Applied Industrial,Technical uptime and engineered solutions,"Engineered Solutions about 40 percent of sales versus 18 percent ten years earlier; fiscal Q3 2026 Engineered Solutions grew 9.3 percent",Applied shows industrial distribution moving toward technical problem solving and engineered uptime,It does not prove project-level profitability or labor/expertise scalability by solution,technical-uptime-visible,Engineered-solution margins order backlog service utilization and customer renewal data,Use as the technical support example.
ARIUC-008,MSC Industrial,Plant-floor point-of-use control,"30,790 vending machines; 426 In-Plant locations; fiscal 2025 sales 3.7695B USD",MSC shows plant-floor supply control through vending In-Plant proximity and metalworking know-how,It does not prove vending cohort cash conversion plant-level retention or manufacturing-cycle insulation,point-of-use-visible,Vending cohort economics In-Plant retention inventory turns customer margin and OCF bridge,Use as the manufacturing-floor example.
ARIUC-009,Watsco,HVAC contractor channel availability,"Q2 2026 revenue 2.105B USD; 2025 gross margin affected by pricing tariffs and A2L transition",Watsco shows HVAC availability and contractor execution as a channel bottleneck,It does not prove durable margin recovery contractor-level loyalty or inventory cash conversion,contractor-channel-boundary,Inventory aging branch fill-rate contractor retention price-cost bridge and cash conversion,Use as the replacement urgency and channel-transition example.
ARIUC-010,Sterling and MasTec,Backlog to field execution,"Sterling Q2 2026 backlog 4.33B USD and combined backlog 5.62B USD; MasTec backlog 21.4B USD; MasTec Q2 2026 revenue 4.374B USD; MasTec adjusted EBITDA 384.2M USD",Large capital plans become real only if contractors convert backlog into execution revenue margin and cash,It does not prove owner funding non-cancellable backlog project margin retainage release or cash collection,backlog-cash-proxy-boundary,Owner funding records signed backlog roll-forward retainage schedules project margin and collection evidence,Use as the contractor execution bridge from power and infrastructure.
ARIUC-011,Chapter verdict,Final synthesis,"Cross-company evidence links uptime needs to fleet access replenishment project channels MRO reliability technical support plant-floor supply HVAC availability and backlog execution",Industrial uptime is a broad operating control point visible across annual reports,It does not prove named-cash receipt borrowing-base certificate collateral value or project-level return by itself,publication-ready-with-boundaries,One fleet-return proof exhibit and one project-cash collection exhibit,Use as the chapter close and bridge to healthcare access.
