hypothesis_id,theme,subtheme,funding_container,asset_or_cash_flow_logic,anchor_companies,why_this_container_may_fit,current_evidence,proof_metrics_to_pull,disproof_test,evidence_status,next_artifact
FTH-001,Capital-intensive buildout,Network infrastructure funding,Corporate revolver commercial paper and senior notes,"Diversified network assets generate recurring cash flow but project spend is spread across many assets and timing windows.","Energy Transfer","A diversified midstream network can fund at the corporate or partnership level because lenders and bondholders underwrite the whole platform, not only one pipe or terminal.","ET has a 5.00B USD Five-Year Credit Facility, 1.21B USD facility borrowings including 1.12B USD commercial paper, 3.00B USD January 2026 senior notes with refinancing use language, and 3.01x covenant-ratio clue.","Project-by-project capex schedule; note proceeds; revolver and CP draw history; covenant limit; project EBITDA; in-service timing; customer contracts.","Hypothesis weakens if most spending is maintenance/replacement, if debt proceeds only refinance old debt without freeing capacity, or if named projects depend on partners/customers instead of ET funding.",filed-term-summary,ET agreement-term and project source-and-use pass
FTH-002,Capital-intensive buildout,Contracted LNG project entity funding,Entity-level secured debt and project-like finance,"Long-lived LNG assets have legal entities, contracted capacity, and identifiable debt layers that can support entity-level borrowing.","Cheniere","LNG terminals and trains can support debt at SPL, CQP, CCH, or parent layers because contracted offtake and fixed-fee economics create underwritable cash-flow pools.","Cheniere has separable SPL debt of 5.027B USD, CQP debt of 9.550B USD, CCH debt of 4.930B USD, parent notes of 4.750B USD, 29.0B USD debt-plus-interest due under executed contracts, and 290.6B USD executed-SPA revenue denominator.","SPA fixed and variable fee schedule; entity cash waterfall; restricted accounts; debt service by issuer; train-level construction cost; completion/in-service schedule; counterparty credit.","Hypothesis weakens if revenue denominator is mostly variable commodity-linked economics, if waterfalls trap cash away from project spend, or if parent cash rather than entity debt funds expansion.",filed-term-summary,Cheniere entity waterfall and SPA-to-debt bridge
FTH-003,Capital-intensive buildout,Reusable fleet asset funding,ABL AR securitization term debt and notes,"Reusable rental equipment and receivables can be pledged or financed because collateral can be valued and recycled across customers.","United Rentals","Rental fleet is financeable because lenders can underwrite receivables, equipment collateral, used-equipment proceeds, OEC, and recurring rental cash flow.","URI has 14.230B USD total debt, 1.414B USD AR securitization borrowings, 1.779B USD AR collateral pool, 125.8% AR collateral coverage, 1.666B USD ABL balance, and 37.0% ABL draw intensity.","ABL borrowing base; advance rates; eligible fleet and receivables; utilization; fleet age; gross versus net rental capex; used-equipment proceeds; customer concentration; collateral liquidation assumptions.","Hypothesis weakens if availability is driven by corporate credit rather than collateral, if fleet utilization falls, or if collateral eligibility/reserves materially reduce apparent headroom.",filed-term-summary,URI borrowing-base and fleet-collateral pass
FTH-004,Capital-intensive buildout,Backlog and acquisition platform funding,Expanded secured corporate revolver,"Project/backlog companies need flexible liquidity because uses shift among working capital, acquisitions, letters of credit, capex, and debt repayment.","Sterling Infrastructure","Sterling's work is less about owning one financeable asset and more about executing customer-funded projects and acquisitions, so a large reborrowable corporate credit wrapper may fit better than project debt.","Sterling now has agreement-term evidence plus backlog/customer-timing/cushion evidence: 1.500B USD revolver, 600M USD L/C sublimit, 8.0x L/C sublimit increase, 10.0x revolver increase, L/C capacity equal to 40.0% of the revolver, 802.601M USD contract liabilities, 156.295M USD contract assets, 646.306M USD net contract-liability timing, 4.3336B USD backlog, 1.28B USD unsigned awards, 5.62B USD combined backlog, 258.375M USD H1 operating cash flow less capex, and 0.32x Q2 debt to FY2026 adjusted EBITDA guide midpoint.","Actual L/C outstanding amounts; bonded backlog; formal covenant calculations; project-specific JV use; funded versus unfunded backlog; customer concentration; segment cash conversion; organic versus acquired backlog conversion over time.","Hypothesis weakens if backlog is mostly unfunded or low margin, if customer advances fund work without Sterling balance-sheet need, if actual L/C/bonding usage is trivial, or if covenants materially constrain acquisition/capex use.",cushion-and-risk-boundary-visible,Sterling eight-quarter contract-capital conversion pass
FTH-005,Capital-intensive buildout,Equity-funded growth flexibility,Retained cash equity-funded capex and liquidity,"Management may use equity/cash funding when timing risk, construction risk, leverage targets, or rating constraints make debt less attractive.","Cheniere","Equity-funded growth capex can preserve balance-sheet flexibility while large LNG construction and contract obligations remain in motion.","Cheniere disclosed 2.3B USD FY2025 equity-funded growth capital and H1 2026 growth-capex split that allowed a non-equity-funded share estimate of 75.2%.","Full growth-capex funding split; cash on hand; revolver availability; rating targets; leverage targets; equity contributions by entity; construction milestone timing.","Hypothesis weakens if equity-funded label is a presentation convention rather than actual source-of-funds, or if debt proceeds indirectly replenish cash after equity-funded spend.",filed-term-summary,Cheniere funding-source reconciliation pass
FTH-006,Cross-lane capital flow,Customer-funded operating destination,Customer contract advances working capital and backlog conversion,"Some capital-intensive companies execute projects funded upstream by customers, governments, utilities, or hyperscalers rather than financing the asset themselves.","Sterling; MasTec; Dycom; AECOM; Granite; Primoris","Service and construction firms may show backlog and working-capital swings while the true capital source is the customer project sponsor.","Sterling has 5.62B USD combined backlog and credit-platform reset evidence, but customer/project funding is still unresolved.","Contract assets and liabilities; customer advances; retainage; funded backlog; contract duration; cancellation rights; project owner; customer capex budgets; cash conversion by segment.","Hypothesis weakens if companies must finance large inventory/equipment/capex before payment, or if backlog converts slowly with weak cash flow.",source-table-backed-and-open,Service backlog customer-funding pass
FTH-007,Cross-lane capital flow,Rate-base and regulated recovery funding,Utility debt equity and customer rate recovery,"Regulated assets can be funded by debt/equity up front and recovered from customers through approved rates or riders.","Duke; AEP; NextEra; Exelon; ONE Gas","Utilities can carry large capex because regulators can authorize recovery and returns, changing funding from pure merchant risk to regulated capital recovery.","Power/grid pages already identify capex plans, rate-base and docket work programs, but this hypothesis is not yet fully integrated with the capital-intensive credit map.","Capex by program; rate base; allowed ROE; rate-case order; rider recovery; debt issuance; equity issuance; customer bill impact; regulatory lag.","Hypothesis weakens if recovery is denied, delayed, disallowed, or if capex is maintenance/compliance with weak incremental return.",queued-regulatory-proof,Utility rate-base funding mechanism pass
FTH-008,Cross-lane capital flow,Asset-backed funding versus corporate funding,Collateral-specific ABS ABL receivables or inventory finance,"Cleaner collateral gets asset-backed funding; harder-to-value project risk stays in corporate facilities or customer contracts.","URI; asset-backed finance lane candidates","Funding structure may reveal asset quality: receivables and equipment can support asset-backed debt, while backlog and construction work often require corporate liquidity and guarantees.","URI has AR and ABL clues; broader asset-backed finance ledger has receivables inventory and ABS candidates.","Collateral type; advance rate; overcollateralization; delinquency; losses; reserve levels; concentration; legal isolation; lender type; pricing spread.","Hypothesis weakens if asset-backed structures price like unsecured corporate credit or if collateral data do not explain facility size and pricing.",cross-lane-hypothesis,Asset-backed versus corporate facility comparison
FTH-009,Cross-lane capital flow,Acquisition-heavy funding flexibility,Revolver incremental debt and permitted acquisition capacity,"Acquisition platforms need flexible committed capacity because targets, timing, and earn-outs are uncertain.","Sterling; private equity-backed borrowers; acquisition-finance lane candidates","A large revolver plus incremental debt capacity can be more useful than fixed project debt when capital deployment is episodic and deal-driven.","Sterling's agreement terms now show permitted acquisition use language, Material Acquisition threshold of 250M USD, max Total Net Leverage Ratio of 3.50x, acquisition holiday to 4.00x, and incremental capacity equal to the greater of 500M USD and 100% of EBITDA plus uncapped capacity if pro forma leverage is <= 2.00x.","Pro forma leverage cushion; acquisition funding source; earn-out treatment; purchase price allocation; post-close cash conversion; covenant holiday election; incremental facility usage.","Hypothesis weakens if acquisitions are funded mostly with equity/seller notes/customer cash or if covenant conditions block debt-funded deals.",agreement-term-visible,Sterling acquisition capacity and covenant cushion pass
FTH-010,Cross-lane governance,Funding-container selection model,Comparative funding mix matrix,"The funding container is a diagnostic signal about asset quality risk transfer cash-flow predictability and legal separability.","ET; Cheniere; URI; Sterling; utilities; contractors","If the hypothesis is right, the same capital-flow theme splits into predictable containers: network corporate debt, entity project debt, asset-backed fleet funding, backlog revolvers, regulated recovery, and customer-funded execution.","Current evidence supports a first model across ET Cheniere URI and Sterling, with utility and service layers queued.","Company-by-company funding mix; cost of debt; covenant tightness; collateralization; contract duration; cash conversion; output metrics; default and delay signals.","Hypothesis weakens if funding type does not correlate with asset reuse, contract predictability, legal separability, or cash-conversion pattern.",hypothesis-created,Funding-container comparative scorecard
