section_id,section,old_html_inputs,first_principles_point,money_path,company_examples,proof_needed,safe_use
ARREX-001,opening_frame,The Presence Premium; The Grids New Landlords; The Gray Wave Dividend; The Private Capital Colonization; The Spread Machine,Real estate is not space. It is a legal claim on a scarce place that someone needs to use and can keep paying for.,"tenant/customer/location need -> lease, rent, access, or usage payment -> property owner/REIT/operator -> operating cost, capex, debt service -> AFFO/cash",American Tower; Prologis; Equinix; Welltower; Realty Income; VICI; Simon Property; Digital Realty,occupancy; rent collection; leasing spreads; escalators; AFFO; tenant credit; debt maturity; cap rates; development yield; churn,"Use as a no-background real estate chapter frame, not as proof that every scarce location earns durable cash."
ARREX-002,place_vs_space,all five old dynamics,"Space is abundant in theory; usable place is scarce when activity needs that location, permit, route, power node, customer flow, or demographic catchment.",needed activity -> specific usable place -> rent/access payment -> maintenance and financing -> cash,towers; logistics warehouses; data centers; senior housing; net lease; venues,occupancy; utilization; tenant need; replacement supply; lease duration; capex,Safe claim: location value is use-case plus cash durability.
ARREX-003,presence_capacity,The Presence Premium,"Physical presence turns location and calendar capacity into scarce inventory: seats, rooms, venues, tables, gates, convention space, and destination access.","event/travel/social need -> scarce place/time slot -> ticket, room, venue, or rent payment -> operator/landlord -> cash after labor/debt/capex",VICI; Host Hotels; Disney Experiences as reference; Live Nation as reference; MGM as services link,attendance; occupancy; RevPAR; advance bookings; deferred revenue; rent coverage; capex; debt,"Safe claim: presence can create location premium, but only if usage and cash conversion support it."
ARREX-004,grid_and_power_locations,The Grids New Landlords; The AI Infrastructure Toll,"AI and electrification make some locations valuable because they have power, interconnection, gas routes, transmission rights, fiber, water, or permits.","data-center/load need -> powered land/grid route/data-center campus -> rent, colocation, tariff, or recovery payment -> owner/operator/utility -> cash",Equinix; Digital Realty; NextEra/FPL; AEP; Williams as old-site reference; utilities; midstream,power capacity; interconnection; bookings; colocation revenue; tariff/recovery; capex; customer concentration,Safe claim: grid access and power availability can become location scarcity.
ARREX-005,healthcare_demographics,The Gray Wave Dividend,"Healthcare real estate is valuable when aging demand, patient access, operator staffing, reimbursement, and local affordability support the property cash stream.","senior/patient need -> care location or senior housing -> resident payment, operator rent, or reimbursement-supported rent -> landlord/operator -> AFFO/cash",Welltower; Ventas; Healthpeak; medical office; senior housing operators,occupancy; same-store NOI; operator margin; labor cost; payer/reimbursement; rent coverage; resident affordability,"Safe claim: aging can support location demand, but operator economics must be proven."
ARREX-006,private_capital_real_estate,The Private Capital Colonization,"Real estate is a preferred private-capital destination because it can be financed, levered, leased, appraised, securitized, and sold as a cash-yielding asset.",pension/insurance/private fund capital -> property vehicle or REIT -> asset acquisition/development/debt -> rent/fee/sale/refinancing -> platform and investor cash,Blackstone; Brookfield; KKR; Apollo; Realty Income; private RE funds,AUM; deployment; debt; cap rates; NOI; realizations; fee income; tenant cash; collateral,"Safe claim: private capital routes money into property claims, but asset-level returns require schedules and cash proof."
ARREX-007,spread_and_route_real_estate,The Spread Machine; The Grids New Landlords,"Some property owners get paid because they own an unavoidable route: tower location, logistics corridor, pipeline right, grid corridor, retail node, or interconnection point.",user needs route/access -> owner controls route/location -> rent/tariff/access payment -> cost/debt/capex -> cash,American Tower; Prologis; Equinix; midstream/utility route owners; net lease landlords,tenant billings; lease escalators; tariff rates; utilization; route volume; rent collection; churn,"Safe claim: route ownership can create toll-like economics, but utilization and billing must be shown."
ARREX-008,tenant_cash_durability,all five old dynamics,The tenant is the cash engine. A location is only as valuable as the activity inside it and the payer behind it.,tenant activity -> revenue/cash -> rent payment -> landlord debt/capex/dividend -> AFFO,Realty Income; Simon Property; Prologis; Welltower; American Tower,tenant credit; rent coverage; occupancy; collections; same-store NOI; churn; bankruptcies,Safe claim: real estate analysis must start with tenant payment ability.
ARREX-009,lease_contract,Spread Machine; Private Capital Colonization,A lease is a legal wrapper that turns use of place into a scheduled claim on future cash.,use right -> lease contract -> base rent/escalator/reimbursement -> landlord cash -> debt service/AFFO,Realty Income; American Tower; Prologis; Welltower; VICI,lease duration; escalators; renewal spreads; tenant concentration; collection; straight-line rent; AFFO adjustments,Safe claim: lease terms matter as much as the property type.
ARREX-010,debt_refinancing,Private Capital Colonization,Real estate often fails through financing before it fails through physical use. Higher rates can break the spread between property yield and funding cost.,property income -> interest expense/refinancing -> residual cash -> dividend or reinvestment,all REITs; net lease; data centers; hotels; senior housing,debt maturity; fixed/floating mix; interest rate; secured debt; liquidity; AFFO payout; capex,Safe claim: debt maturity is a central real estate proof field.
ARREX-011,replacement_supply,all five old dynamics,"Scarcity only matters if replacement is hard. New supply, zoning, permits, power, labor, and capital decide whether rent power lasts.",demand -> existing asset rent -> possible new supply -> rent pressure or durability -> cash,Prologis; Equinix; American Tower; hotels; senior housing; data centers,supply pipeline; permits; development yield; construction cost; power availability; market rent; absorption,Safe claim: scarce location requires a replacement-supply test.
ARREX-012,company_reading_rules,all five old dynamics,"Each real estate company must be read by the activity the property enables, not by generic square footage.",property type -> user need -> lease/usage metric -> debt/capex metric -> AFFO/cash,American Tower; Prologis; Equinix; Welltower; Realty Income,occupancy; churn; rent growth; AFFO; debt maturity; tenant credit; capex; development yield,Safe claim: company examples are candidates until direct annual-report extraction upgrades them.
ARREX-013,proof_ladder,all five old dynamics,The proof ladder runs from location logic to lease evidence to tenant cash to debt-adjusted owner cash.,theme claim -> property use case -> lease/rent/occupancy proof -> tenant cash/debt/capex proof -> AFFO/cash,all target companies,annual reports; lease schedules; occupancy; tenant tables; debt schedules; AFFO reconciliations; capex tables,Safe claim: most real estate rows remain candidate-level.
ARREX-014,writing_claim,all five old dynamics,"The final article should say real estate is a paid claim on location-specific need, not a passive box that automatically appreciates.",location-specific need -> lease/access payment -> operating and financing claims -> owner cash,American Tower; Prologis; Equinix; Welltower; Realty Income; VICI; Digital Realty,examples plus proof boundaries,"Safe claim: this is a physical, legal, financial, and social reading frame."
