extraction_id,company,ticker,period,field,value,unit,source_anchor,what_it_proves,boundary,claim_status
ARCNMBE-001,"Core & Main, Inc.",CNM,FY2025,business definition,"water, wastewater, storm drainage, fire protection, related services",business categories,extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-packet.md; analysis/company-first-principles/industrial-goods/building-materials-wholesale/core-main-inc/company-analysis.md,Core & Main is not just a generic building-products wholesaler.,Business definition does not prove cash collection or municipal funding.,source-visible-with-boundary
ARCNMBE-002,"Core & Main, Inc.",CNM,FY2025,end markets,"municipal, private water, contractor, non-residential, residential",customer categories,extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-packet.md; extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-profile.md,The payer chain includes public and private infrastructure buyers.,End-market exposure does not prove any specific project was funded or paid.,source-visible-with-boundary
ARCNMBE-003,"Core & Main, Inc.",CNM,FY2025,maintenance and replacement use,"maintenance, repair, replacement, new construction",use cases,extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-packet.md,"Demand is tied to installed physical systems, not only new building.",Use-case language does not quantify replacement versus new construction cash.,source-visible-with-boundary
ARCNMBE-004,"Core & Main, Inc.",CNM,FY2025,fiscal-year scale,7.647,USD billions net sales,extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-packet.md; analysis/company-first-principles/industrial-goods/building-materials-wholesale/core-main-inc/company-analysis.md,The waterworks distribution channel is already large.,Sales scale does not prove working-capital cash quality or project-level receipts.,source-visible-with-boundary
ARCNMBE-005,"Core & Main, Inc.",CNM,FY2025,gross profit and gross margin,2.059 / 26.9,USD billions / percent,extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-packet.md,"The company keeps a distribution spread, not only pass-through volume.",Gross margin does not prove category-level or branch-level profitability.,source-visible-with-boundary
ARCNMBE-006,"Core & Main, Inc.",CNM,FY2025,earnings EBITDA and operating cash flow,2.31 / 931 / 650,USD EPS / USD millions adjusted EBITDA / USD millions OCF,extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-packet.md; analysis/company-first-principles/industrial-goods/building-materials-wholesale/core-main-inc/company-analysis.md,The channel had profit and operating-cash evidence.,"Adjusted EBITDA and OCF do not prove cash conversion by project, customer, or category.",source-visible-with-boundary
ARCNMBE-007,"Core & Main, Inc.",CNM,FY2025,market size and national scale,about 50 / one of two,USD billions addressable market / national distributor rank marker,extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-packet.md; extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-profile.md,Scale matters because the market remains fragmented and local.,"Addressable market does not prove growth, share gain, or cash return.",source-visible-with-boundary
ARCNMBE-008,"Core & Main, Inc.",CNM,FY2025,margin strategy,"private label, sourcing, data-driven pricing, value-added services",management strategy fields,extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-packet.md; analysis/company-first-principles/industrial-goods/building-materials-wholesale/core-main-inc/company-analysis.md,Management is trying to improve economics through mix and execution.,Stated strategy does not prove durable margin expansion or supplier-term stability.,source-visible-with-boundary
ARCNMBE-009,"Core & Main, Inc.",CNM,Q3 2025,Q3 operating evidence,2.062 / 27.2 / 274 / 271,USD billions sales / percent gross margin / USD millions adjusted EBITDA / USD millions OCF,extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-packet.md; extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-profile.md,"The quarter showed sales scale, margin, and cash generation.",One strong quarter does not prove municipal funding durability or acquisition return.,source-visible-with-boundary
ARCNMBE-010,"Core & Main, Inc.",CNM,Q4 2025,Q4 operating evidence,1.581 / 27.1 / 167 / 268,USD billions sales / percent gross margin / USD millions adjusted EBITDA / USD millions OCF,extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-packet.md; extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-profile.md,"Reported sales were softer, but daily-sales and margin evidence remained useful.",Daily-sales improvement does not prove all projects converted to collectible cash.,source-visible-with-boundary
ARCNMBE-011,"Core & Main, Inc.",CNM,Q1 2026,Q1 operating evidence,1.910 / 520 / 27.2 / 226 / 82,USD billions sales / USD millions gross profit / percent gross margin / USD millions adjusted EBITDA / USD millions OCF,extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-packet.md; extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-profile.md,The latest local quarter kept the business source-visible despite flat volume.,Flat volume offset by acquisitions does not prove organic strength or acquisition cash return.,source-visible-with-boundary
ARCNMBE-012,"Core & Main, Inc.",CNM,Q1 2026,fiscal 2026 guidance and civic categories,7.8-7.9 / 950-980 / 60-70,USD billions net sales / USD millions adjusted EBITDA / percent OCF conversion of adjusted EBITDA,extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-packet.md; analysis/company-first-principles/industrial-goods/building-materials-wholesale/core-main-inc/company-analysis.md,"Management still expected durable activity, with aging-water, treatment-plant, smart-utility, geosynthetics, and fire-protection support.",Guidance and category commentary do not prove funded receipts or future cash realization.,source-visible-with-boundary
