bridge_id,proof_gate,source_document,source_route,period,current_evidence,value_or_metric,current_status,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_test
CFAFFCW-001,operating_borrower,Frontline Road Safety public company site and local holder crosswalk,public company route plus local derived evidence,current,Frontline is a national pavement-marking and roadway/airport safety services platform.,national pavement marking and roadway/airport safety services,operating-borrower-visible,A real operating borrower destination exists.,It does not prove financing source cash use or borrower repayment.,Borrower legal entity and financial package.,Pass only if borrower entities and operating cash flows are tied to facility documents.
CFAFFCW-002,sponsor_acquisition,Bain Capital announcement and Sterling sale completion release,public sponsor and seller releases,January-March 2025,Bain agreed to acquire Frontline from Sterling and Sterling later announced sale completion.,financial terms not disclosed,sponsor-acquisition-visible,A sponsor-control transaction exists.,It does not disclose purchase price equity debt split cash consideration or proceeds movement.,Purchase agreement debt commitment letter and closing statement.,Pass only if transaction documents identify cash sources uses and recipients.
CFAFFCW-003,ares_acquisition_facility_role,Ares Q1 2025 U.S. direct-lending origination activity release,public Ares origination release,Q1 2025,Ares served as lead arranger and bookrunner for a senior secured credit facility supporting Bain Capital's acquisition of Frontline Road Safety Holdings.,lead arranger/bookrunner acquisition facility role,acquisition-facility-role-visible,Facility purpose is tied to the acquisition rather than only generic growth language.,It does not disclose facility size lender allocation proceeds recipients or debt payoff.,Credit agreement lender schedule and acquisition funds-flow memo.,Pass only if facility documents disclose amount lenders allocation and proceeds.
CFAFFCW-004,ares_continued_growth_role,Ares Q2 2026 U.S. direct-lending origination activity release,public Ares origination release,Q2 2026,Ares served as lead arranger and bookrunner for a senior secured credit facility supporting Bain's continued growth plans for Frontline.,continued-growth support language,continued-growth-facility-role-visible,Facility relationship appears to support the post-acquisition growth platform.,It does not separate add-on M&A capex working capital refinancing dividends or fees.,Use-of-proceeds schedule and borrower draw history.,Pass only if proceeds are allocated to named uses and cash recipients.
CFAFFCW-005,holder_dollar_exposure,Frontline SEC holder crosswalk and local Ares proof stack,Q2 2026,"Controlled FSK/K-FITS/GSBD lower bound is 198.675M USD; expanded crosswalk adds BXSL fair value of 32.292M USD.","198.675M USD controlled lower bound; 230.967M USD expanded same-period view",holder-dollar-proxy-visible,Public vehicles disclose broader funded exposure to Frontline-related loans.,The expanded view is not exhaustive and may include tranche or facility overlap; it does not prove total facility size Ares allocation drawn cash or borrower receipt.,Full lender schedule and Ares-managed vehicle allocation schedule.,Pass only if holder rows reconcile to total facility and lender allocations.
CFAFFCW-006,ares_managed_context,ASIF source-of-capital and Frontline holder context,local SEC-derived holder schedules,Q1 2026,ASIF shows Frontline fair value in an Ares-managed vehicle.,76.6927M USD Q1 2026 fair value,ares-managed-period-boundary-visible,Ares-managed vehicle exposure is visible in another period.,It cannot be added to Q2 exposure without same-period reconciliation.,Same-period ASIF filing or reconciled roll-forward.,Pass only if same-period Ares-managed exposure can be reconciled without double counting.
CFAFFCW-007,commitment_context,GSPCC Q1 2026 and GSBD Q2 2026 commitment disclosures,local SEC-derived holder schedules,2026,Visible unfunded commitments total 54.300M USD.,54.300M USD visible unfunded commitments,commitment-context-visible,Public commitment-capacity evidence exists.,Unfunded commitments are not drawn borrower cash or cash use.,Credit agreement availability schedule and draw history.,Pass only if commitment availability and borrower draw cash are disclosed.
CFAFFCW-008,instrument_economics,Frontline holder rows and local Ares proof stack,local SEC-derived instrument terms,Q2 2026,First-lien senior secured loan markers show SOFR plus 4.75%-5.00% pricing context selected PIK rows and March 2032 maturity cluster.,SOFR plus 4.75%-5.00%; March 2032 maturity,instrument-economics-marker-visible,Pricing and maturity markers exist.,It does not prove amortization covenants collateral fee economics or waterfall.,Credit agreement collateral agreement covenant package and amortization schedule.,Pass only if legal documents expose full terms collateral waterfall and lender economics.
CFAFFCW-009,borrower_cash_waterfall,Current local and public source route,local artifact inventory plus public search,current,No public/current local source exposes borrower EBITDA free cash flow interest receipts principal receipts payoff or debt-service coverage.,borrower cash waterfall not found,borrower-cash-waterfall-hold,The cash-return source gap is explicit.,Debt-service and repayment proof are missing.,Borrower financials rating report lender reporting package and repayment ledger.,Pass only if borrower cash flow and debt-service records tie facility debt to lender cash receipts or repayment.
CFAFFCW-010,full_facility_proof,Current local and public source route,local artifact inventory plus public search,current,No public/current local source exposes credit agreement full lender schedule collateral package use-of-proceeds funds-flow UCC/security package or prior bank payoff.,facility legal and cash package not found,facility-cash-proof-hold,The decisive legal/cash document package is named.,Full named cash proof is not available.,Credit agreement lender allocation funds-flow statement collateral agreement UCC filings payoff letter and borrower financial package.,Pass only if legal facility documents and borrower cash records tie source use collateral and repayment end to end.
