row_id,company,ticker,period,source_file,source_section,evidence_type,metric_or_term,value,unit,calculation_or_source,what_it_says,what_it_does_not_say,next_required_source,safe_claim
CFDVNDPS-001,Devon Energy Corporation,DVN,H1 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Cash-flow statement,Operating cash source,Net cash from operating activities,5329.000,USD millions,SEC 10-Q cash-flow statement,"Devon generated 5.329B USD of operating cash flow in the first half of 2026.","OCF does not prove durable free cash flow across commodity cycles or asset-level return.","Commodity sensitivity, recurring FCF bridge, and asset contribution.","Devon has strong same-period company cash generation."
CFDVNDPS-002,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Cash-flow statement,Operating cash source,Q2 net cash from operating activities,3674.000,USD millions,SEC 10-Q cash-flow statement,"Devon generated 3.674B USD of Q2 2026 operating cash flow.","Quarterly OCF includes commodity-price, merger, working-capital, and timing effects.","Quarterly adjusted FCF bridge and commodity sensitivity.","Q2 company cash generation is visible."
CFDVNDPS-003,Devon Energy Corporation,DVN,H1 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Cash-flow statement,Capital use,Capital expenditures,2157.000,USD millions,SEC 10-Q cash-flow statement,"Devon spent 2.157B USD on capital expenditures in the first half of 2026.","Capex is not allocated to wells, assets, or debt-funded uses in this row.","Asset-level capex/output/cash contribution table.","Productive-capital spending is visible."
CFDVNDPS-004,Devon Energy Corporation,DVN,H1 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Cash-flow statement,Acquisition use,Acquisitions of property and equipment,2919.000,USD millions,SEC 10-Q cash-flow statement,"Devon spent 2.919B USD on property and equipment acquisitions in the first half of 2026.","Acquisition spending is not tied to realized return or daily source priority.","Closing statements and asset contribution detail.","Acquisition cash use is visible."
CFDVNDPS-005,Devon Energy Corporation,DVN,H1 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Cash-flow statement,Debt repayment,Repayments of long-term debt,500.000,USD millions,SEC 10-Q cash-flow statement,"Devon repaid 500M USD of long-term debt in the first half of 2026.","The cash-flow line does not identify source priority or make-whole economics.","Repayment notice, make-whole calculation, and treasury cash ledger.","Debt retirement is visible."
CFDVNDPS-006,Devon Energy Corporation,DVN,H1 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Cash-flow statement,Shareholder return,Repurchases of common stock,266.000,USD millions,SEC 10-Q cash-flow statement,"Devon used 266M USD for first-half common stock repurchases.","Buybacks are discretionary shareholder return, not operating asset return.","Repurchase authorization, daily purchase detail, and payout framework.","Buyback cash use is visible."
CFDVNDPS-007,Devon Energy Corporation,DVN,H1 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Cash-flow statement,Shareholder return,Dividends paid on common stock,521.000,USD millions,SEC 10-Q cash-flow statement,"Devon paid 521M USD of common stock dividends in the first half of 2026.","Dividends alone do not prove sustainable shareholder return.","Dividend policy, recurring FCF, and commodity sensitivity.","Dividend cash use is visible."
CFDVNDPS-008,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Executive overview,Shareholder return,Q2 dividends paid,366.000,USD millions,SEC 10-Q executive overview,"Devon paid 366M USD of dividends in Q2 2026.","Q2 dividend is not a full-cycle payout test.","Board policy and post-merger payout schedule.","Recent dividend cash use is visible."
CFDVNDPS-009,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Executive overview,Shareholder return,Q2 share repurchases under new program,202.000,USD millions,SEC 10-Q executive overview,"Devon repurchased about 202M USD of common shares after the merger under the new program during Q2 2026.","This does not prove future repurchase cadence or valuation quality.","Repurchase authorization and daily purchases.","Post-merger buyback activity is visible."
CFDVNDPS-010,Devon Energy Corporation,DVN,July 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,MD&A liquidity,Shareholder return,Repurchases executed through July 2026,300.000,USD millions,SEC 10-Q MD&A,"Through July 2026 Devon had executed about 300M USD of the new repurchase authorization.","This is execution to date, not a sustainability commitment.","Subsequent repurchase schedule and cash balance rollforward.","Buyback authorization is active but discretionary."
CFDVNDPS-011,Devon Energy Corporation,DVN,2026-2029,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,MD&A liquidity,Shareholder return,New share repurchase authorization,8000.000,USD millions,SEC 10-Q MD&A,"Devon announced a new 8.0B USD share repurchase program expiring June 30 2029.","Authorization is not required spending and does not prove cash availability.","Board authorization terms and future execution reports.","A large discretionary return channel is visible."
CFDVNDPS-012,Devon Energy Corporation,DVN,Q3 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,MD&A liquidity,Shareholder return,Q3 2026 announced dividend,366.000,USD millions,SEC 10-Q MD&A,"Devon announced a 0.32 USD per share Q3 2026 dividend totaling about 366M USD.","Announced next-quarter dividend is not long-run payout proof.","Subsequent cash-flow statement and payout policy.","Near-term dividend commitment is visible."
CFDVNDPS-013,Devon Energy Corporation,DVN,Ongoing policy,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,MD&A liquidity,Payout policy,Fixed dividend target lower bound,10.000,percent of OCF,SEC 10-Q MD&A,"Devon states a general target of paying about 10% of OCF through the fixed dividend.","Target language is discretionary and depends on board decision and results.","Dividend policy history and commodity-cycle payout record.","Fixed-dividend framework is visible."
CFDVNDPS-014,Devon Energy Corporation,DVN,Ongoing policy,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,MD&A liquidity,Payout policy,Fixed dividend target upper bound,15.000,percent of OCF,SEC 10-Q MD&A,"Devon states a general target of paying about 15% of OCF through the fixed dividend at the upper bound.","Target language is not a covenant or guaranteed payout.","Dividend policy history and commodity-cycle payout record.","Fixed-dividend framework is bounded."
CFDVNDPS-015,Devon Energy Corporation,DVN,H1 2026,derived from local Devon 10-Q,Reconciliation,Derived cash-flow proxy,OCF less capital expenditures,3172.000,USD millions,5329.000 - 2157.000,"First-half OCF exceeded capex by 3.172B USD before acquisitions, debt repayment, dividends, buybacks, and other uses.","This is a simple FCF proxy, not management free cash flow or asset-level cash return.","Management FCF bridge and working-capital normalization.","Company-level cash surplus after capex is visible."
CFDVNDPS-016,Devon Energy Corporation,DVN,H1 2026,derived from local Devon 10-Q,Reconciliation,Derived cash-flow proxy,OCF less capex and acquisitions,253.000,USD millions,5329.000 - 2157.000 - 2919.000,"OCF exceeded capex plus property/equipment acquisitions by 253M USD.","This does not prove acquisition spending was fully internally funded in daily sequence.","Treasury cash ledger and closing statements.","OCF nearly covered the main productive/acquisition use envelope."
CFDVNDPS-017,Devon Energy Corporation,DVN,H1 2026,derived from local Devon 10-Q,Reconciliation,Derived payout metric,Dividends plus buybacks,787.000,USD millions,521.000 + 266.000,"First-half shareholder returns totaled 787M USD.","This does not prove recurring payout capacity.","Payout policy, commodity sensitivity, and post-merger FCF bridge.","Shareholder-return cash burden is measurable."
CFDVNDPS-018,Devon Energy Corporation,DVN,H1 2026,derived from local Devon 10-Q,Reconciliation,Derived payout metric,OCF coverage of dividends plus buybacks,677.481,percent,5329.000 / 787.000,"OCF was about 6.77x dividends plus buybacks in the first half of 2026.","OCF coverage is not full-cycle sustainability under lower commodity prices.","Commodity-price sensitivity and payout stress test.","Aggregate period payout coverage is strong."
CFDVNDPS-019,Devon Energy Corporation,DVN,H1 2026,derived from local Devon 10-Q,Reconciliation,Derived payout metric,FCF proxy coverage of dividends plus buybacks,403.049,percent,3172.000 / 787.000,"OCF less capex was about 4.03x dividends plus buybacks.","This proxy excludes acquisitions, debt repayment, working capital normalization, and commodity sensitivity.","Management FCF and capital-allocation bridge.","Payouts were covered by simple post-capex cash proxy."
CFDVNDPS-020,Devon Energy Corporation,DVN,H1 2026,derived from local Devon 10-Q,Reconciliation,Derived payout metric,OCF dividend payout ratio,9.777,percent,521.000 / 5329.000,"First-half dividends were about 9.78% of OCF, near the stated 10% to 15% fixed-dividend target range.","This does not prove future dividend policy or variable dividends.","Board payout policy and subsequent OCF.","Dividend payout is near stated policy at aggregate level."
CFDVNDPS-021,Devon Energy Corporation,DVN,H1 2026,derived from local Devon 10-Q,Reconciliation,Derived payout metric,Total shareholder-return payout ratio to OCF,14.768,percent,787.000 / 5329.000,"Dividends plus buybacks were about 14.77% of first-half OCF.","Buybacks are discretionary and not equivalent to fixed dividend policy.","Repurchase framework and cash return waterfall.","Total shareholder return sat inside the stated fixed-dividend target band only by coincidence; it is not a policy metric."
