audit_id,requirement,evidence_checked,verdict,what_is_complete,what_remains,proof_boundary,next_action,completion_state,status
ARFCA-001,Define the actual end-to-end goal,annual-report-integrated-meaty-end-to-end-goal-pass-1.md; annual-report-final-project-front-door-pass-1.md,pass,The broad synthesis and named-cash proof lanes are separated clearly.,No primary evidence is added by the goal itself.,Control artifact only.,Use the goal as the project charter.,broad_ready,ready
ARFCA-002,Cover more than cash proof,annual-report-broad-theme-end-to-end-goal-pass-1.md; annual-report-final-project-front-door-pass-1.md,pass,"The project covers social, cultural, industrial, healthcare, technology, financial, and investment themes.",Named-cash proof remains separate.,Broad theme evidence is not full cash proof.,Stop treating cash proof as the only project purpose.,broad_ready,ready
ARFCA-003,Cover the 519-company folder at theme level,annual-report-integrated-final-publication-draft-pass-1.md; annual-report-final-integrated-theme-map-pass-1.md,pass,The article and map use the 519-company folder as the synthesis base.,Not every company has equal deep-dive proof.,Theme-level coverage is not company-level proof.,Use representative examples honestly.,broad_ready,ready
ARFCA-004,Produce the 15-theme map,annual-report-final-integrated-theme-map-pass-1.md,pass,Fifteen themes are defined across core and expansion layers.,No new theme expansion is required unless scope changes.,"Theme map is synthesis, not proof of every company.",Use as the writing spine.,broad_ready,ready
ARFCA-005,Produce the reader-facing article,annual-report-integrated-final-publication-draft-pass-1.md,pass,The main no-background article exists and is organized around the 15-theme map.,Venue-specific editing may still be done.,Article is not investment advice or named-cash proof.,Use as the main writing base.,broad_ready,ready
ARFCA-006,Attach source anchors,annual-report-integrated-final-publication-draft-pass-1.md; priority citation attachment passes,pass,The article has 16 source-anchor blocks covering 15 themes plus the proof boundary.,Footnote/endnote formatting is venue-specific.,Section anchors are not full sentence-level citation format.,Convert only if needed for publication venue.,broad_ready,ready
ARFCA-007,Verify links,annual-report-integrated-release-link-check-pass-1.md,pass,The release check reports 58 of 58 unique URLs opening with HTTP 200.,Links can change and need pre-release recheck.,Link health is not source content verification for every sentence.,Recheck immediately before external release.,broad_ready,ready
ARFCA-008,Audit overclaim and metric risk,annual-report-integrated-sentence-metric-audit-pass-1.md; annual-report-integrated-draft-citation-overclaim-gate-pass-1.md,pass,"The package has explicit risk controls for named metrics, investment claims, and cash-proof overclaims.",New metrics need new checks.,Low metric risk does not equal full cash proof.,Keep proof language in final edits.,broad_ready,ready
ARFCA-009,State named-cash proof status,capital-flow-named-cash-proof-execution-status-matrix-pass-1.md; annual-report-final-project-front-door-pass-1.md,pass_with_boundary,Named-cash chases are ranked and bounded.,No full named-cash proof is promoted across major cases.,"Exact money claims need receipts, billing, waterfalls, legal schedules, collateral certificates, and return models.",Treat as optional appendix or future proof program.,cash_proof_open,open
ARFCA-010,Define the stop point,annual-report-final-project-front-door-pass-1.md; annual-report-integrated-article-final-handoff-checklist-pass-1.md,pass,"Broad expansion can stop: the integrated article, linked hub, 15 expanded theme pages, and final expanded atlas are now present.",External citation style and final link recheck remain.,"Stop point is for broad synthesis, not all possible research.",Use this audit as the broad-project stop point; choose either writing/publication formatting or one named-cash proof case.,broad_wrapped,ready
ARFCA-011,Answer what else the project found beyond named cash proof,annual-report-what-else-theme-map-pass-1.md; annual-report-what-else-theme-map-pass-1.csv,pass,"A 15-row map explains each theme as a bottleneck with a plain question, money path, company examples, evidence strength, subthemes, proof gap, and safe use.",This does not deepen every candidate company row.,Theme synthesis is not named-cash proof.,Use as the big-picture map before writing or choosing proof chases.,broad_ready,ready
ARFCA-012,Answer what the work actually tells us in simple words,annual-report-big-findings-takeaways-pass-1.md; annual-report-big-findings-takeaways-pass-1.csv,pass,"A 12-finding reader-facing takeaway layer explains demand versus supply, bottlenecks, power, capital platforms, healthcare, upkeep, industrial uptime, digital control, consumers, materials and energy, location, and ordinary finance.","It is still synthesis, not new primary evidence.","Exact money-movement claims still require receipts, billing, settlement records, debt waterfalls, legal-entity schedules, collateral certificates, borrower cash records, source/use records, and return models.",Use as the plain-English conclusion page for the wrapped project.,broad_wrapped,ready
ARFCA-013,Verify all 15 expanded theme pages exist,annual-report-theme-*-html-expanded-pass-1.md file set; annual-report-15-theme-expanded-atlas-completion-pass-1.csv,pass,"All 15 themes now have old-HTML-expanded first-principles pages, and the atlas table links each one.","Future revisions may improve prose, but no broad theme is missing an expanded page.","Expanded theme pages are synthesis artifacts; they do not prove final receipts, billing, legal-entity cash, collateral, or return models.",Use the expanded pages as the detailed theme/subtheme writing base.,broad_atlas_complete,ready
ARFCA-014,Verify final 15-theme expanded atlas wrap exists,annual-report-15-theme-expanded-atlas-completion-pass-1.md; annual-report-15-theme-expanded-atlas-completion-pass-1.csv,pass,"The final atlas wrap groups the themes into physical capacity, human access and daily life, and control/capital/rule systems while listing each core sentence, money path, proof boundary, and next proof job.","This page is a synthesis and navigation layer, not a replacement for primary evidence.",The atlas can explain where to look and what to test; it cannot prove named dollar movement by itself.,Use the atlas as the main broad wrap page before selecting a theme essay or named-cash proof chase.,broad_atlas_complete,ready
ARFCA-015,Verify reader navigation reaches the completed atlas,annual-report-final-project-front-door-pass-1.md; annual-report-linked-reading-hub-pass-1.md; scripts/company-report-server.py; rendered route checks,pass,"The completed atlas is linked from the front door, linked reading hub, server home navigation, insight register, source manifest, and evidence ledger.",Links should still be rechecked immediately before external publication.,"Navigation reachability proves usability, not evidence depth or named-cash proof.","Stop broad expansion and move to writing, venue formatting, or one selected exact-money proof case.",broad_atlas_complete,ready
