breaker_id,company,thesis_or_claim,observable_breaker,measurement_or_trigger,next_document,source_artifact,current_status
TB-NS-MCK-01,McKesson,Distribution scale and specialty mix create durable owner cash,"Revenue and adjusted EPS rise while gross profit normalized working-capital conversion or post-claim cash deteriorates","Reconcile same-period revenue gross profit receivables inventory payables rebates claims OCF capex and diluted shares",Next McKesson 10-K/10-Q and claims or settlement disclosure,analysis/company-first-principles/combined-investment-research-healthcare-distribution-first-pass-2026-09-17.md,active-qualified
TB-NS-MCK-02,McKesson,Specialty acquisitions improve economics,"Acquisition cohort fails to produce post-close cash return after integration inventory funding and legal claims","Join acquisition consideration incremental gross profit integration cash working capital debt and cash return",Next McKesson acquisition cohort disclosure,analysis/company-first-principles/combined-investment-research-healthcare-distribution-first-pass-2026-09-17.md,active-qualified
TB-NS-COR-01,Cencora,Adjusted earnings reflect durable specialty economics,"Adjusted EPS remains materially above GAAP without collected cash after impairment deal costs LIFO and integration effects","Bridge GAAP to adjusted earnings to OCF to cash after capex acquisition cash debt and dilution",Next Cencora 10-K/10-Q and non-GAAP reconciliation,analysis/company-first-principles/combined-investment-research-healthcare-distribution-first-pass-2026-09-17.md,active-qualified
TB-NS-COR-02,Cencora,Acquisition-led specialty growth earns its capital cost,"Acquisition cohort gross profit and cash fail to cover consideration integration working capital and financing burden","Measure acquired revenue gross profit integration expense working capital debt service and post-close OCF",Next Cencora acquisition cohort filing,analysis/company-first-principles/combined-investment-research-healthcare-distribution-first-pass-2026-09-17.md,active-qualified
TB-NS-CAH-01,Cardinal Health,Distribution and service adjacency support owner cash,"Acquisition-supported earnings rise while debt legal payments and post-close cash conversion consume the residual","Reconcile OCF capex acquisitions debt proceeds repayments opioid payments dividends buybacks and diluted shares",Next Cardinal 10-K/10-Q and legal-cash disclosure,analysis/company-first-principles/combined-investment-research-healthcare-distribution-first-pass-2026-09-17.md,active-qualified
TB-NS-CAH-02,Cardinal Health,Contract and segment mix are durable,"Contract loss or customer concentration causes gross profit cash and return on capital to deteriorate after working-capital normalization","Compare segment revenue gross profit contract changes inventory payables claims and collections across periods",Next Cardinal quarterly segment and contract disclosure,analysis/company-first-principles/combined-investment-research-healthcare-distribution-first-pass-2026-09-17.md,active-qualified
TB-NS-KLA-01,KLA,Installed service and process control are cycle-resilient,"Service growth decouples from installed-base economics or semiconductor capex normalization overwhelms margin and cash","Track product/service revenue installed-base proxy gross margin OCF receivables inventory deferred revenue and customer concentration",Next KLA 10-K/10-Q and service or installed-base disclosure,analysis/deep-company-pages/kla-corporation.md,active-qualified
TB-NS-KLA-02,KLA,Technical leadership creates per-share value,"R&D technical labor SBC and buybacks consume the cash needed to preserve the control point or offset dilution","Reconcile OCF PP&E R&D SBC share issuance repurchases debt commitments and diluted shares",Next KLA proxy/10-K and capital-allocation disclosure,analysis/deep-company-pages/kla-corporation.md,active-qualified
TB-NS-EQIX-01,Equinix,Interconnection density creates durable owner returns,"AFFO rises while per-share cash project returns or power and lease economics deteriorate","Bridge GAAP income FFO AFFO recurring capex total capex acquisitions power rent JV obligations SBC and diluted shares",Next Equinix 10-Q/10-K and project/JV disclosure,analysis/deep-company-pages/equinix-inc.md,active-qualified
TB-NS-EQIX-02,Equinix,Growth capacity earns its capital cost,"New powered capacity and xScale projects require debt/equity but fail to stabilize utilization and returns","Measure project capex power availability lease-up incremental EBITDA recurring capex debt and partner funding",Next Equinix development and JV disclosure,analysis/deep-company-pages/equinix-inc.md,active-qualified
TB-NS-DLR-01,Digital Realty,Backlog and hyperscale demand convert to cash,"Bookings and backlog rise while lease commencement slows stabilized yield falls or FFO/share after financing weakens","Reconcile backlog commencement occupancy bookings development capex stabilized yield Core FFO debt and dilution",Next Digital Realty 10-Q/10-K and development disclosure,analysis/deep-company-pages/digital-realty-trust-inc.md,active-qualified
TB-NS-DLR-02,Digital Realty,Private capital improves rather than hides growth economics,"JV/fund structures require unexpected guarantees partner funding or unfavorable promote economics while parent dilution and debt rise","Join ownership partner contributions debt guarantees promote distributions recurring capex preferred claims and FFO/share",Next Digital Realty JV/fund and financing disclosure,analysis/deep-company-pages/digital-realty-trust-inc.md,active-qualified
