"extraction_id","company","ticker","period","field","value","unit","source_anchor","what_it_proves","boundary","claim_status"
"ARDVA2-001","DaVita Inc.","DVA","H1 2026","U.S. dialysis treatments","14.256125","M treatments","DaVita Q2 2026 Form 10-Q, MD&A","Recurring treatment activity is period matched.","Treatment volume does not prove reimbursement, outcomes, or cash collection.","activity-visible-with-boundary"
"ARDVA2-002","DaVita Inc.","DVA","H1 2026","average treatments per day","92153","treatments/day","DaVita Q2 2026 Form 10-Q, MD&A","Treatment density is visible.","Density does not prove payer mix, staffing, or site margin.","density-visible-with-boundary"
"ARDVA2-003","DaVita Inc.","DVA","H1 2026","U.S. dialysis revenue","5.954","B USD","DaVita Q2 2026 Form 10-Q, MD&A","Care-site revenue perimeter is visible.","Revenue is not collected cash or common-owner residual.","revenue-visible-with-boundary"
"ARDVA2-004","DaVita Inc.","DVA","H1 2026","average patient-service revenue per treatment","416.71","USD/treatment","DaVita Q2 2026 Form 10-Q, MD&A","Revenue-per-treatment and rate/mix input is visible.","It is not reimbursement margin after labor, supplies, overhead, and risk claims.","reimbursement-input-visible"
"ARDVA2-005","DaVita Inc.","DVA","Q2 2026","patient-care costs per treatment","277.40","USD/treatment","DaVita Q2 2026 Form 10-Q, MD&A","Quarter-level direct care-cost denominator is visible.","It excludes the full corporate, tax, debt, capital, and NCI waterfall.","care-cost-input-visible"
"ARDVA2-006","DaVita Inc.","DVA","H1 2026","operating cash flow","811","M USD","DaVita Q2 2026 Form 10-Q, Statements of Cash Flows and MD&A","Consolidated operating cash starting point is visible.","It is not treatment-cohort or common-owner cash.","cash-visible-with-boundary"
"ARDVA2-007","DaVita Inc.","DVA","H1 2026","NCI distributions","-150","M USD","DaVita Q2 2026 Form 10-Q, FCF reconciliation","Senior NCI distribution claim is visible.","It does not settle future NCI put or purchase obligations.","senior-claim-visible"
"ARDVA2-008","DaVita Inc.","DVA","H1 2026","NCI contributions","4","M USD","DaVita Q2 2026 Form 10-Q, FCF reconciliation","NCI funding contribution is visible.","Contribution is not recurring operating cash or owner return.","funding-input-visible"
"ARDVA2-009","DaVita Inc.","DVA","H1 2026","maintenance capital expenditures","-197","M USD","DaVita Q2 2026 Form 10-Q, FCF reconciliation","Maintenance replacement burden is explicitly classified.","Classification is management-defined and not a site-by-site schedule.","maintenance-capital-visible"
"ARDVA2-010","DaVita Inc.","DVA","H1 2026","development capital expenditures","-75","M USD","DaVita Q2 2026 Form 10-Q, FCF reconciliation","Expansion capital burden is explicitly classified.","It does not establish project-level returns or maintenance sufficiency.","development-capital-visible"
"ARDVA2-011","DaVita Inc.","DVA","H1 2026","self-developed-property sale proceeds","2","M USD","DaVita Q2 2026 Form 10-Q, FCF reconciliation","Property-recovery addition to disclosed FCF is visible.","Sale proceeds are not recurring treatment cash.","exceptional-recovery-visible-with-boundary"
"ARDVA2-012","DaVita Inc.","DVA","H1 2026","disclosed free cash flow","396","M USD","DaVita Q2 2026 Form 10-Q, FCF reconciliation","Management-defined FCF arithmetic is reproducible.","It is not automatically common-owner cash after debt, tax, puts, leases, or dilution.","fcf-visible-with-boundary"
"ARDVA2-013","DaVita Inc.","DVA","June 30 2026","NCI subject to put provisions","1.561","B USD","DaVita Q2 2026 Form 10-Q, balance sheet","Redeemable NCI claim is visible.","Timing, exercise, settlement, and funding remain open.","put-claim-visible-with-boundary"
"ARDVA2-014","DaVita Inc.","DVA","H1 2026","incremental Term Loan B-2 tranche","500","M USD","DaVita Q2 2026 Form 10-Q, MD&A","Debt funding source is visible.","Use-of-proceeds and treatment-cohort allocation are not shown.","debt-funding-visible-with-boundary"
"ARDVA2-015","DaVita Inc.","DVA","H1 2026","revolver draws","65","M USD","DaVita Q2 2026 Form 10-Q, MD&A","Additional debt liquidity use is visible.","Draw allocation and durable debt-service capacity remain open.","liquidity-use-visible-with-boundary"
"ARDVA2-016","DaVita Inc.","DVA","H1 2026","scheduled Term Loan A-2 and B-2 principal payments","36","M USD","DaVita Q2 2026 Form 10-Q, MD&A","Debt principal service is period matched.","Total debt service, interest, and refinancing are not fully joined.","debt-service-input-visible"
