queue_id,company,linked_workbench_rows,priority,source_ids,source_period,source_documents,table_or_section_to_extract,metrics_to_capture,definition_or_footnote_risk,acceptance_rule,output_fields,next_artifact,status
ADST-001,AEP,ADLR-003,High,"AEP-T19; AEP-T20; AEP-T21; AEP-T23; AEP-T24",Q2 2026,"earnings release; earnings presentation; supplemental schedules; 10-Q; 8-K","Q2 load-growth table or slide containing 69 GW expected new load additions by 2030","expected new load additions; customer classes; states/service territories; signed vs expected wording; timing to 2030; any attrition/cancellation language","Q2 uses expected-load language, which may not be comparable to Q1/Q4 signed-load language.","Accept only if the source table/slide/page and exact wording around expected/signed/prospective load are recorded.","source_id; page_or_slide; exact_metric_label; value; unit; period; customer_class; territory; definition_footnote; caveat",capital-flow-aep-duke-source-table-extraction-pass.md,ready
ADST-002,AEP,"ADLR-001; ADLR-002; ADLR-004",High,"AEP-T9; AEP-T10; AEP-T11; AEP-T13; AEP-T14; AEP-T15",Q4 2025 and Q1 2026,"Q4 release/deck/supplement; Q1 release/deck/supplement","Q4 and Q1 signed-load tables/slides containing 56 GW and 63 GW signed incremental load by 2030","signed incremental load; net additions; state split; customer class; quarter-to-quarter bridge; definition footnotes","Need apples-to-apples bridge between Q4 56 GW, Q1 63 GW, and Q2 69 GW.","Accept only if Q4 and Q1 metric labels and footnotes are transcribed and compared side by side.","source_id; page_or_slide; exact_metric_label; value; unit; period; change_vs_prior; definition_footnote; comparability_flag",capital-flow-aep-duke-source-table-extraction-pass.md,ready
ADST-003,AEP,"ADLR-005; ADLR-006",High,"AEP-T9; AEP-T10; AEP-T11; AEP-T13; AEP-T14; AEP-T15",Q4 2025 and Q1 2026,"Q4 release/deck/supplement; Q1 release/deck/supplement","capital-plan bridge from 72B USD to 78B USD","five-year capital plan; capex categories; transmission; distribution; generation; grid; renewables; timing; incremental investment beyond plan","Capital-plan increase may reflect category mix, timing, inflation, or reclassification rather than pure load-driven growth.","Accept only if category split and plan-period definitions are captured or explicitly marked missing.","source_id; page_or_slide; plan_period; metric_label; value; category; change_vs_prior; footnote; unresolved_gap",capital-flow-aep-duke-source-table-extraction-pass.md,ready
ADST-004,AEP,"ADLR-007; ADLR-008",High,"AEP-T19; AEP-T20; AEP-T21; AEP-T23",Q2 2026,"Q2 release/deck/supplement; Q2 10-Q","gas-fired turbine procurement disclosure","13 GW secured turbine capacity; 10 GW under evaluation; delivery schedule; vendor/equipment framing; project or utility mapping; approval prerequisites","Secured turbine capacity is not the same as approved generation capacity; under-evaluation capacity is lower confidence.","Accept only if secured and under-evaluation buckets are separated and any project/utility mapping is preserved.","source_id; page_or_slide; metric_label; value; unit; status_bucket; delivery_timing; utility_or_project; approval_status; caveat",capital-flow-aep-duke-source-table-extraction-pass.md,ready
ADST-005,AEP,"ADLR-009; ADLR-010",High,"AEP-T19; AEP-T20; AEP-T21; AEP-T23; AEP-T24",Q2 2026,"Q2 release/deck/supplement; Q2 10-Q; Q2 8-K","customer affordability and offset disclosure","up to 16B USD expected customer cost offsets; 1.4B USD projected customer savings from DOE loans/grants; offset categories; customer contribution; securitization; DOE program references","Offsets may be aspirational or conditional; DOE savings may not be approved, allocated, or rate-treated yet.","Accept only if offset categories and conditional language are captured separately from headline values.","source_id; page_or_slide; metric_label; value; unit; mechanism; approval_status; customer_class; condition; caveat",capital-flow-aep-duke-source-table-extraction-pass.md,ready
ADST-006,AEP,ADLR-004,Medium,"AEP-T9; AEP-T10; AEP-T11; AEP-T13; AEP-T14; AEP-T15; AEP-T19; AEP-T20; AEP-T21",Q4 2025 to Q2 2026,"three-quarter release/deck/supplement chain","AEP load-definition bridge","consistent labels for signed, expected, prospective, under-evaluation, under-construction, and in-service load; quarter-to-quarter changes","This is derived from multiple source tables and must not smooth away definition drift.","Accept only if each quarter's source language is preserved and comparability is flagged explicitly.","period; source_id; metric_label; value; definition_bucket; change_vs_prior; comparable_to_prior; reason",capital-flow-aep-duke-source-table-extraction-pass.md,ready-after-ADST-001-002
ADST-007,Duke,"ADLR-012; ADLR-013; ADLR-014",High,"DUK-T13; DUK-T14; DUK-T16; DUK-T17",Q1 2026,"Q1 earnings release; Q1 presentation; Q1 10-Q; Q1 8-K","Q1 data-center ESA and pipeline disclosure","7.6 GW secured data-center ESAs; 15.4 GW late-stage pipeline; 5 GW under construction; customer names where disclosed; utility/service territory; definition footnotes","Secured ESA, late-stage pipeline, and under-construction load are different evidence grades.","Accept only if each status bucket is kept separate and the source wording is recorded.","source_id; page_or_slide; metric_label; value; unit; status_bucket; customer_or_class; utility_or_state; definition_footnote; caveat",capital-flow-aep-duke-source-table-extraction-pass.md,ready
ADST-008,Duke,"ADLR-011; ADLR-018",High,"DUK-T4; DUK-T8; DUK-T9; DUK-T11",FY 2025 and Q4 2025,"2025 annual report; Q4 earnings release; Q4 presentation; Q4 8-K","baseline data-center ESA disclosure","4.5 GW secured data-center ESAs; Microsoft/Amazon or customer references where disclosed; cost allocation language; baseline definition","Need to prove FY 2025/Q4 baseline is comparable to Q1 2026 secured ESA update.","Accept only if the 4.5 GW baseline source and exact definition are captured.","source_id; page_or_slide; metric_label; value; unit; customer_or_class; utility_or_state; definition_footnote; caveat",capital-flow-aep-duke-source-table-extraction-pass.md,ready
ADST-009,Duke,ADLR-015,High,"DUK-T8; DUK-T9; DUK-T13; DUK-T14; DUK-T16",2026-2030,"Q4 release/presentation; Q1 release/presentation; Q1 10-Q","103B USD capital-plan category split","capital plan; generation; grid; transmission; distribution; nuclear; renewables; storage; gas; other; plan period; utility/state allocation if shown","Capital-plan headline is not enough; category and recovery detail determine claim quality.","Accept only if the category split is captured or the absence of category split is documented.","source_id; page_or_slide; plan_period; category; value; unit; utility_or_state; definition_footnote; caveat",capital-flow-aep-duke-source-table-extraction-pass.md,ready
ADST-010,Duke,"ADLR-016; ADLR-017",High,"DUK-T9; DUK-T14; DUK-T16",Q4 2025 and Q1 2026,"Q4 presentation; Q1 presentation; Q1 10-Q","capacity-addition and gas-turbine disclosure","14 GW targeted capacity additions by 2031; 20 secured gas turbines; technology mix; COD timing; EPC/vendor references; utility/state mapping","Targeted capacity and secured turbines are not the same as approved, in-service generation.","Accept only if capacity target, turbine count, technology mix, and timing are separately captured.","source_id; page_or_slide; metric_label; value; unit; status_bucket; technology; COD_timing; utility_or_state; approval_status; caveat",capital-flow-aep-duke-source-table-extraction-pass.md,ready
