chapter_id,section_or_company,role,hard_evidence,what_it_proves,what_it_does_not_prove,proof_grade,needed_for_upgrade,writing_use
ARHAC-001,Opening thesis,Chapter frame,"Healthcare demand is obvious; scarce access depends on payer permission pharmacy routing clinician labor reimbursement care navigation and trust",The chapter can explain healthcare as organized access under cost and labor pressure,It does not prove durable reimbursement care quality or cash conversion by theme alone,synthesis-ready,Company evidence table and healthcare proof ladder,Use as the plain-English chapter opening.
ARHAC-002,Healthcare proof ladder,Proof discipline,"Demand visibility; access visibility; reimbursement visibility; operating conversion visibility; trust and cash proof",The chapter can separate patient demand from proof of reimbursement quality and cash collection,The ladder does not upgrade revenue patients served or admissions into receipt-grade proof,writing-control,Claims paid denial rates outcomes quality scores receivable aging service-line cash conversion and labor adequacy,Use to keep the chapter honest and bounded.
ARHAC-003,UnitedHealth,Healthcare control plane,"2025 revenue 447.6B USD; Q2 2026 revenue 112.0B USD; adjusted EPS guidance raised to 19.50-20.00 USD; benefits Optum pharmacy analytics and care navigation evidence visible",UnitedHealth shows benefits services pharmacy and care navigation at massive scale,It does not prove care quality denial fairness patient trust service-line cash conversion or medical-cost adequacy by segment,control-plane-visible-boundary,Medical-cost trend detail claims-payment evidence denial data quality outcomes receivables and segment cash conversion,Use as the administrative control example.
ARHAC-004,Cigna,Benefits and pharmacy-cost infrastructure,"2025 revenue about 274.9B USD; Q2 2026 adjusted income from operations about 2.054B USD; adjusted EPS guidance at least 30.45 USD; Cigna Healthcare and Evernorth evidence visible",Cigna shows employer benefits and pharmacy-services infrastructure as a cost-routing system,It does not prove PBM spread durability rebate transparency patient affordability or cash conversion by service line,benefits-pharmacy-visible-boundary,Pharmacy economics claims payment client retention rebate/regulatory exposure and operating-cash bridge,Use as the benefits and Evernorth pharmacy route.
ARHAC-005,DaVita,Recurring dialysis treatment density,"2025 revenue 13.643B USD; Q2 2026 revenue 3.554B USD; about 64,900 risk-based patients",DaVita shows mandatory recurring treatment organized through dialysis density and kidney-care pathways,It does not prove treatment-level margin commercial mix durability outcomes labor adequacy or value-based-care profitability,treatment-density-visible-boundary,Treatment counts reimbursement per treatment payer mix labor cost outcomes and risk-based care margin,Use as the chronic recurring-treatment example.
ARHAC-006,Option Care,Alternate-site specialty therapy,"Q2 2026 revenue about 1.442B USD; adjusted EBITDA about 117.5M USD; home and alternate-site infusion model visible",Option Care shows complex therapy moving away from institutional settings when pharmacy clinical labor payer authorization and support align,It does not prove therapy-level cash conversion payer durability nursing capacity or patient outcome quality,alternate-site-visible-boundary,Therapy mix payer authorization claims collection nursing capacity receivable aging and outcome data,Use as the home and alternate-site infusion example.
ARHAC-007,Addus,Aging-in-place labor infrastructure,"2025 revenue 1.42B USD; Q2 2026 revenue 377.4M USD; personal care 78.4 percent of revenue",Addus shows lower-acuity home support built around caregiver labor state rates and local density,It does not prove caregiver availability wage adequacy state-rate durability quality outcomes or cash collection,home-support-visible-boundary,State reimbursement schedules caregiver retention wage bridge quality metrics receivables and OCF conversion,Use as the aging-in-place labor example.
ARHAC-008,BrightSpring,Complex-patient service orchestration,"More than 465,000 patients served daily; Q2 2026 revenue 3.873B USD; home-health census up 54 percent",BrightSpring shows pharmacy and provider workflows coordinated around complex daily patient needs,It does not prove patient-level outcomes medication margin durability labor adequacy or service-line cash conversion,service-orchestration-visible-boundary,Script economics patient outcomes payor mix labor data service-line EBITDA receivables and cash conversion,Use as the complex-patient coordination example.
ARHAC-009,Enhabit,Skilled home-health and hospice delivery,"249 home-health and 117 hospice locations at year-end 2025; Q1 2026 admissions up 9.5 percent",Enhabit shows distributed branch-level home-health and hospice delivery,It does not prove census durability Medicare/non-Medicare profitability clinician productivity hospice quality or cash collection,skilled-home-care-visible-boundary,Admissions census revenue per patient day cost per patient day payer mix quality scores receivables and OCF,Use as the skilled home-health and hospice example.
ARHAC-010,Healthcare chapter conclusion,Chapter verdict,"Cross-company evidence links benefits pharmacy treatment density alternate-site therapy home support complex-patient services and skilled home care",Healthcare access is a broad burden-transfer control point visible across annual reports,It does not prove trust reimbursement adequacy quality outcomes or cash conversion across all service lines,publication-ready-with-boundaries,One payer medical-cost exhibit and one home-care cash-conversion exhibit,Use as the chapter close and bridge to built-environment upkeep.
ARHAC-011,Trust and reimbursement boundary,Proof standard,"Demand patients revenue and admissions are not enough; claims payment quality outcomes labor adequacy receivables and cash conversion decide proof quality",The research standard can distinguish healthcare access from healthcare trust and cash proof,It does not mean the access thesis is false; it means broad demand and proof-grade cash conversion are different,proof-standard-control,Claims data quality outcomes denial rates reimbursement collection service-line margin and labor productivity,Use as a proof box inside the chapter.
