baseline_extract_id,linked_manifest_id,linked_cipe_id,company,ticker,source_id,source_file,source_type,period,subtheme,exact_metric_label,value,unit,evidence_bucket,safe_claim,boundary,next_source
CIEAB-001,CIPSM-002,CIPE-001,Energy Transfer LP,ET,ET-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,2025 Q4,midstream cash generation,Adjusted EBITDA for the three months ended December 31 2025,4.18,B USD,cash-generation-baseline,Energy Transfer entered 2026 with Q4 adjusted EBITDA of 4.18B USD.,Adjusted EBITDA is non-GAAP and not project-level return proof.,FY2025 10-K segment and cash-flow tables
CIEAB-002,CIPSM-002,CIPE-001,Energy Transfer LP,ET,ET-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,2025 Q4,midstream cash generation,"Distributable Cash Flow attributable to partners, as adjusted, for Q4 2025",2.04,B USD,cash-generation-baseline,Energy Transfer had Q4 2025 DCF attributable to partners of 2.04B USD.,DCF is partnership-level and does not allocate cash to individual projects.,FY2025 10-K DCF definition and reconciliation
CIEAB-003,CIPSM-002,CIPE-001,Energy Transfer LP,ET,ET-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,2025 Q4,growth versus maintenance capex,Growth capital expenditures in the fourth quarter of 2025,1.40,B USD,growth-capex-baseline,Energy Transfer was already spending large expansion capital before the Q2 2026 update.,The source does not assign the full Q4 growth capex to named projects.,project-level capital schedule
CIEAB-004,CIPSM-002,CIPE-001,Energy Transfer LP,ET,ET-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,2025 Q4,growth versus maintenance capex,Maintenance capital expenditures in the fourth quarter of 2025,355,M USD,maintenance-capex-baseline,Energy Transfer separated Q4 maintenance capex from growth capex.,Definitions still need reconciliation with 10-K DCF-maintenance deductions and subsidiary adjustments.,FY2025 10-K maintenance-capex disclosure
CIEAB-005,CIPSM-002,CIPE-001,Energy Transfer LP,ET,ET-FY2025-10K,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2025-10k.html,SEC 10-K,FY 2025,growth versus maintenance capex,Total capital expenditures excluding Sunoco LP and USAC growth,5.250,B USD,growth-capex-baseline,Energy Transfer's FY2025 source table shows 5.250B USD of growth capital expenditures excluding Sunoco LP and USAC.,This is still company/segment-level capex and excludes some subsidiary investment rows.,project-by-project capex table
CIEAB-006,CIPSM-002,CIPE-001,Energy Transfer LP,ET,ET-FY2025-10K,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2025-10k.html,SEC 10-K,FY 2025,growth versus maintenance capex,Total capital expenditures excluding Sunoco LP and USAC maintenance,1.150,B USD,maintenance-capex-baseline,Energy Transfer's FY2025 source table shows 1.150B USD of maintenance capital expenditures excluding Sunoco LP and USAC.,Maintenance capital is not the same as all replacement or compliance spending without asset-purpose detail.,segment capex notes
CIEAB-007,CIPSM-002,CIPE-001,Energy Transfer LP,ET,ET-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2026 initial guide,growth-capex guide,Expected investment in growth capital for 2026,5.0-5.5,B USD,initial-growth-capex-guide,Energy Transfer initially expected 5.0B-5.5B USD of 2026 growth capital primarily for natural gas network projects.,Guidance is not spent capital and should be tracked against later 2026 filings.,FY2026 10-K and Q4 release
CIEAB-008,CIPSM-002,CIPE-001,Energy Transfer LP,ET,ET-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,2025 Q4,throughput baseline,NGL and refined product terminal volumes,12,% YoY,throughput-baseline,ET's Q4 2025 terminal volumes were up 12% year over year.,Volume growth does not prove incremental margins without segment bridge and utilization.,FY2025 10-K segment tables
CIEAB-009,CIPSM-002,CIPE-001,Energy Transfer LP,ET,ET-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,2025 Q4,throughput baseline,NGL exports,12,% YoY,throughput-baseline,ET's Q4 2025 NGL exports were up 12% year over year before the Q2 2026 25% export-growth print.,A percentage increase needs base volumes and terminal margin evidence.,FY2025 10-K NGL and refined products segment tables
CIEAB-010,CIPSM-002,CIPE-001,Energy Transfer LP,ET,ET-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,2025 Q4,capital reallocation,Lake Charles LNG export project suspended,December 2025,date,capital-reallocation,Energy Transfer suspended Lake Charles LNG to focus capital on natural gas pipeline infrastructure projects it viewed as better risk/return.,This is management allocation language and needs project economics to prove superior returns.,board materials or project detail where public
CIEAB-011,CIPSM-002,CIPE-001,Energy Transfer LP,ET,ET-FY2025-10K,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2025-10k.html,SEC 10-K,FY 2025,capital reallocation,Lake Charles LNG fixed asset impairment from project suspension,256,M USD,capital-reallocation-cost,ET recorded a 256M USD fixed-asset impairment related to suspending Lake Charles LNG.,The impairment proves accounting impact of suspension but not the economics of substitute pipeline projects.,impairment footnote and project write-off detail
CIEAB-012,CIPSM-002,CIPE-001,Energy Transfer LP,ET,ET-FY2025-10K,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2025-10k.html,SEC 10-K,FY 2025,funding and balance sheet,Cash and cash equivalents at December 31 2025,1.27,B USD,liquidity-baseline,ET had 1.27B USD of cash and equivalents at year-end 2025.,Cash availability does not identify project-level funding source.,FY2025 cash-flow and debt maturity schedule
CIEAB-013,CIPSM-002,CIPE-001,Energy Transfer LP,ET,ET-FY2025-10K,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2025-10k.html,SEC 10-K,FY 2025,funding and balance sheet,Availability under revolving credit facility at December 31 2025,2.12,B USD,liquidity-baseline,ET had 2.12B USD of revolver availability at year-end 2025.,Revolver availability is funding capacity and not proof of project draw use.,credit facility and debt maturity table
CIEAB-014,CIPSM-002,CIPE-001,Energy Transfer LP,ET,ET-FY2025-10K,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2025-10k.html,SEC 10-K,FY 2025,funding and balance sheet,Long-term debt less current maturities at December 31 2025,68.308,B USD,balance-sheet-context,ET's FY2025 buildout baseline sits on 68.308B USD of long-term debt less current maturities.,Company-level debt does not identify which projects are funded by which notes or revolver draws.,debt maturity schedule and use-of-proceeds
CIEAB-015,CIPSM-004,CIPE-002,Cheniere Energy Inc.,LNG,LNG-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,LNG cash generation,Revenues for the twelve months ended December 31 2025,19.98,B USD,cash-generation-baseline,Cheniere generated FY2025 revenue of 19.98B USD.,Revenue does not prove train-level economics or contract margins.,FY2025 10-K revenue and derivative tables
CIEAB-016,CIPSM-004,CIPE-002,Cheniere Energy Inc.,LNG,LNG-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,LNG cash generation,Consolidated Adjusted EBITDA for the twelve months ended December 31 2025,6.94,B USD,cash-generation-baseline,Cheniere generated FY2025 consolidated adjusted EBITDA of 6.94B USD.,Adjusted EBITDA is non-GAAP and not project-level return proof.,FY2025 10-K reconciliation and debt service
CIEAB-017,CIPSM-004,CIPE-002,Cheniere Energy Inc.,LNG,LNG-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,LNG cash generation,Distributable Cash Flow for the twelve months ended December 31 2025,5.29,B USD,cash-generation-baseline,Cheniere generated FY2025 distributable cash flow of 5.29B USD.,DCF is not train-level return or source-of-funds proof.,DCF reconciliation and facility payment schedule
CIEAB-018,CIPSM-004,CIPE-002,Cheniere Energy Inc.,LNG,LNG-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,LNG cargo throughput,LNG exported number of cargoes for FY2025,670,cargoes,throughput-baseline,Cheniere exported 670 LNG cargoes in 2025.,Cargo count must be connected to volumes and contract/customer mix for destination proof.,shipping and SPA disclosure
CIEAB-019,CIPSM-004,CIPE-002,Cheniere Energy Inc.,LNG,LNG-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,LNG cargo throughput,LNG exported volumes for FY2025,2424,TBtu,throughput-baseline,Cheniere exported 2424 TBtu of LNG in 2025.,Volume does not by itself separate long-term SPA volumes from spot or marketing volumes.,contract mix tables
CIEAB-020,CIPSM-004,CIPE-002,Cheniere Energy Inc.,LNG,LNG-FY2025-10K,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-10k.html,SEC 10-K,FY 2025,LNG contracted production,Total anticipated production contracted under SPAs and IPM agreements,90,% contracted,contracted-production-baseline,Cheniere had about 90% of anticipated SPL and CCL production contracted through the mid-2030s under SPAs and IPM agreements.,The metric excludes shorter contracts and some conditional capacity and does not disclose all customer-level economics.,SPA maturity and customer tables
CIEAB-021,CIPSM-004,CIPE-002,Cheniere Energy Inc.,LNG,LNG-FY2025-10K,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-10k.html,SEC 10-K,FY 2025,LNG contracted production,Weighted average remaining life of SPAs and IPM agreements at December 31 2025,15,years,contract-duration-baseline,Cheniere's contracted-production base had about 15 years of weighted-average remaining life at year-end 2025.,Weighted-average contract life does not show counterparty concentration or repricing risk.,contract maturity schedule
CIEAB-022,CIPSM-004,CIPE-002,Cheniere Energy Inc.,LNG,LNG-FY2025-10K,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-10k.html,SEC 10-K,FY 2025,LNG platform scale,Expected total liquefaction production capacity,>60,mtpa,capacity-baseline,Cheniere expected over 60 mtpa of LNG production capacity inclusive of debottlenecking opportunities at year-end 2025.,Expected capacity includes under-construction capacity and should not be treated as fully in-service.,capacity project status table
CIEAB-023,CIPSM-004,CIPE-002,Cheniere Energy Inc.,LNG,LNG-FY2025-10K,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-10k.html,SEC 10-K,FY 2025,LNG platform scale,Production capacity under construction at December 31 2025,>9,mtpa,under-construction-capacity,More than 9 mtpa of Cheniere's expected capacity was under construction at year-end 2025.,Under construction is not in service and needs later filings for completion status.,Q2/Q3 2026 10-Qs
CIEAB-024,CIPSM-004,CIPE-002,Cheniere Energy Inc.,LNG,LNG-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,2025 Q4,Corpus Christi Stage 3,CCL Stage 3 Trains 1 through 4 substantial completion,March August October and December 2025,dates,in-service-milestones,Cheniere achieved substantial completion of the first four CCL Stage 3 trains during 2025.,Completion milestones need train-level cost and contract support to prove returns.,completion certificates and project finance schedules
CIEAB-025,CIPSM-004,CIPE-002,Cheniere Energy Inc.,LNG,LNG-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,2025 Q4,Corpus Christi Stage 3,CCL Stage 3 project completion percentage at December 31 2025,94.1,%,construction-progress,CCL Stage 3 was 94.1% complete at year-end 2025 with Trains 5-7 under construction or commissioning.,Percent complete still needs remaining spend and completion confirmation.,2026 Q2 10-Q project table
CIEAB-026,CIPSM-004,CIPE-002,Cheniere Energy Inc.,LNG,LNG-FY2025-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,2025 Q4,CCL Midscale Trains 8 and 9,CCL Midscale Trains 8 and 9 project completion percentage at December 31 2025,31.8,%,construction-progress,CCL Midscale Trains 8 and 9 were 31.8% complete at year-end 2025 after FID and notice to proceed in June 2025.,Percent complete does not prove cost-to-complete or final returns.,project finance and Bechtel EPC details
