claim_id,source_id,company,period,metric_name,metric_value,units,local_path,source_location,source_basis,claim_effect,next_needed,status
CF-004,apollo-2026q2-earnings-release,Apollo,Q2 2026,AUM,1.047,T USD,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-earnings-release.pdf,page 5 financial highlights,PDF table shows total AUM in billions as 1047 for 2Q26.,Supports Apollo trillion-dollar capital-routing scale.,Tie AUM to segment-level credit and retirement-services composition.,metric-found-local-primary-source
CF-004,apollo-2026q2-earnings-release,Apollo,Q2 2026,fee-generating AUM,858,B USD,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-earnings-release.pdf,page 5 financial highlights,PDF table shows FGAUM in billions as 858 for 2Q26.,Supports monetizable capital base behind Apollo platform economics.,Reconcile to supplement detail and segment fee-generation.,metric-found-local-primary-source
CF-004,apollo-2026q2-earnings-release,Apollo,Q2 2026,fee related earnings,785,M USD,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-earnings-release.pdf,page 5 financial highlights,PDF table shows FRE in millions as 785 for 2Q26.,Supports recurring fee earnings from managed capital.,Compare with management fee growth and FGAUM bridge.,metric-found-local-primary-source
CF-004,apollo-2026q2-financial-supplement,Apollo,Q2 2026,fee related earnings,785,M USD,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-financial-supplement.xlsx,Summary!K4,Workbook Summary row 4 and 2Q26 column show FRE of 785.,Confirms the PDF FRE number in a tabular extractable source.,Use workbook as preferred extraction source for future automation.,metric-found-local-primary-source
CF-004,apollo-2026q2-earnings-release,Apollo,Q2 2026,spread related earnings,877,M USD,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-earnings-release.pdf,page 5 financial highlights,PDF table shows SRE in millions as 877 for 2Q26.,Supports Apollo as both asset manager and retirement-spread engine.,Add Athene asset allocation and net spread bridge metrics.,metric-found-local-primary-source
CF-004,apollo-2026q2-financial-supplement,Apollo,Q2 2026,spread related earnings,877,M USD,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-financial-supplement.xlsx,Summary!K6,Workbook Summary row 6 and 2Q26 column show SRE of 877.,Confirms the PDF SRE number in a tabular extractable source.,Use workbook row history to track SRE trend across quarters.,metric-found-local-primary-source
CF-004,apollo-2026q2-earnings-release,Apollo,Q2 2026,inflows,60,B USD,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-earnings-release.pdf,page 5 financial highlights,PDF business-driver table shows inflows in billions as 60 for 2Q26.,Supports current capital formation into Apollo.,Split between asset management and retirement services.,metric-found-local-primary-source
CF-004,apollo-2026q2-earnings-release,Apollo,LTM 2Q 2026,inflows,298,B USD,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-earnings-release.pdf,page 5 financial highlights,PDF business-driver table shows LTM inflows in billions as 298.,Supports sustained capital gathering rather than one quarter only.,Separate organic and inorganic inflow effects.,metric-found-local-primary-source
CF-004,apollo-2026q2-earnings-release,Apollo,Q2 2026,originations,74,B USD,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-earnings-release.pdf,page 5 financial highlights,PDF business-driver table shows origination in billions as 74 for 2Q26.,Supports credit-manufacturing activity in the quarter.,Break out origination by core credit and platforms.,metric-found-local-primary-source
CF-004,apollo-2026q2-earnings-release,Apollo,LTM 2Q 2026,originations,317,B USD,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-earnings-release.pdf,page 5 financial highlights,PDF business-driver table shows LTM origination in billions as 317.,Supports large-scale credit manufacturing over a full-year window.,Compare to FY2025 originations and asset quality.,metric-found-local-primary-source
