work_order_id,synthesis_id,queue_id,priority,case_name,action_type,decisive_source_package,source_route_or_local_base,fields_to_extract,upgrade_target,pass_test,hold_or_disproof_test,next_artifact,safe_claim
CFCRSWO-001,CFEMMS-001,CFE2EGUQ-001,1,Wheaton Antamina,parse-local-and-search,"Antamina delivered ounces, cash receipts, tax/interest allocation, debt-service waterfall, lender allocation, reserve-life and IRR/NPV support","Wheaton quarterly/annual filings, PMPA notes, 6-K exhibits, credit facility documents, Antamina reserve/mine-life disclosures","delivered ounces; ounces sold; cash receipts; cash cost; depletion; Antamina-specific tax; Antamina-specific interest; debt service; lender allocation; reserves; mine life; IRR; NPV",asset-level PMPA cash-return proof,"Pass if Antamina source/use, production deliveries, cash receipts, cost, tax/interest or explicit non-allocation, debt-service support, reserve life, and return model can be joined without unsupported allocation.","Hold if evidence remains revenue/OCF/profit proxy only; disprove full-return claim if cash receipts or reserve-life economics cannot be separated.",capital-flow-wheaton-antamina-full-return-source-test-pass-1.md,Wheaton is the first proof hunt because it is closest to named asset cash-return proof.
CFCRSWO-002,CFEMMS-002,CFE2EGUQ-002,2,FPL Distribution Inspection,wait-fetch-and-parse,"2027 SPPCRC actual/estimated filing, billing determinants, category allocation workpapers, customer receipts, and financing support","Florida PSC Docket 20250010-EI, FPL SPPCRC filings/workpapers/discovery, SEC utility financing disclosures","actual billed revenue; collected/refunded true-up; rate class; billing determinant; category allocation; Distribution Inspection revenue requirement; debt/equity/cash funding source; construction funding language",category customer-receipt and funding-allocation proof,"Pass if Distribution Inspection can be tied to billed/collected customer revenue or a defensible allocation from approved factors, plus source-of-funds support.","Hold if only aggregate SPPCRC recovery is visible; disprove category-cash claim if category allocation is unavailable or contradictory.",capital-flow-fpl-distribution-inspection-customer-receipt-source-test-pass-1.md,FPL is the strongest regulated recovery bridge but the decisive customer-receipt source is partly time-gated.
CFCRSWO-003,CFEMMS-003,CFE2EGUQ-007,3,Cheniere LNG,search-fetch-and-parse,"Train/entity project waterfall, SPA economics, cargo mapping, capex, restricted cash, debt draw, EBITDA and debt-service support","Cheniere SEC filings, SPL/CQP/CCH indentures, offering memoranda, FERC dockets, DOE cargo records, customer filings and SPA summaries","train; entity; capex; debt draw; restricted cash; SPA volume; price formula; customer; cargo; revenue; EBITDA; distributions; debt service; waterfall",train-level customer-cash and project-waterfall proof,"Pass if one train or entity joins funding source, project cost, customer/cargo output, revenue/cash, distributions, and debt-service coverage.","Hold if evidence remains company-level revenue, DCF, cargo count, or entity debt only; disprove train-return claim if cash cannot be attributed.",capital-flow-cheniere-train-cash-waterfall-source-test-pass-1.md,Cheniere is the best energy infrastructure candidate for a true project waterfall test.
CFCRSWO-004,CFEMMS-004,CFE2EGUQ-006,4,United Rentals fleet,parse-local-and-search,"Fleet-class OEC, utilization, growth/replacement capex, rental cash, sale proceeds, segment profit, borrowing-base certificates and collateral reports","URI 10-Q/10-K, earnings supplements, ABL/AR securitization documents, fleet category disclosures, used-equipment sales tables","fleet class; beginning OEC; ending OEC; utilization; rental revenue; gross margin; growth capex; replacement capex; sale proceeds; eligible collateral; reserves; advance rate; segment operating profit; ROIC",fleet-class cash-yield and collateral proof,"Pass if fleet-class capital invested can be tied to utilization/output, rental cash/margin, sale recovery, collateral availability and ROIC-like denominator.","Hold if only company-level OEC, OCF, revenue or segment margin is available; disprove fleet-class cash-yield claim if class-level denominator is absent.",capital-flow-uri-fleet-class-cash-yield-source-test-pass-1.md,URI is a high-quality cash-yield proxy that needs fleet-class granularity before ROIC claims.
CFCRSWO-005,CFEMMS-005,CFE2EGUQ-004,5,Sterling backlog,parse-local-and-search,"Owner funding, retainage/receivable aging, bonded backlog, actual L/C/surety usage, project margin and collection schedules","Sterling 10-Q/10-K, July 2026 credit agreement, project awards, owner budget records, receivable/retainage notes, surety and L/C disclosures","project; owner; funded award; RPO; signed backlog; unsigned awards; backlog burn; billed receivables; retainage; contract assets; contract liabilities; L/C outstanding; surety; margin; cash collection",project-owner funding and cash-collection proof,"Pass if backlog conversion can be tied to funded owner support, billing/retainage/collection, risk wrapper and project margin.","Hold if only aggregate RPO and company OCF are visible; disprove cash-collection claim if backlog is mostly unsigned, cancellable, or uncollected.",capital-flow-sterling-project-cash-collection-source-test-pass-1.md,Sterling is close to project cash proof but needs owner and collection evidence.
CFCRSWO-006,CFEMMS-006,CFE2EGUQ-005,6,Energy Transfer projects,search-fetch-and-parse,"Named-project capital schedules, shipper/customer contracts, tariff billing volumes, utilization, project EBITDA, DCF contribution and debt-service allocation","Energy Transfer 10-Q/10-K, project disclosures, pipeline tariff records, FERC/state filings, shipper agreements where public, credit agreement draw/use records","project; capex; debt/cash source; shipper; committed volume; tariff/rate; billing volume; utilization; in-service date; revenue; EBITDA; DCF contribution; debt service",named-project cash-realization proof,"Pass if one named project links funding, capex, customer/shipper economics, utilization, cash contribution and debt-service.","Hold if evidence remains company-level EBITDA, DCF, capex or refinancing only.",capital-flow-energy-transfer-named-project-cash-source-test-pass-1.md,Energy Transfer needs project-level records before company cash proxy can become project cash proof.
CFCRSWO-007,CFEMMS-007,CFE2EGUQ-013,7,Apollo/Athene insurance channel,search-fetch-and-parse,"Athene statutory filings, Schedule D/BA, investment income, realized gains/losses, impairments, NAIC designations, liability cost and borrower-level holdings","State insurance statutory annual statements, NAIC schedules, Apollo/Athene supplements, rating-agency reports, investment income notes","statutory entity; liability source; asset class; Schedule D/BA holding; book value; fair value; investment income; realized gain/loss; impairment; NAIC designation; liability cost; spread; cash receipt",statutory asset-income and credit-quality proof,"Pass if liability-funded assets can be tied to statutory holdings, income/spread, credit quality and cash/realization evidence in the same period.","Hold if evidence remains AUM, inflows, invested assets or spread proxy; disprove statutory-cash claim if legal-entity schedules cannot support it.",capital-flow-apollo-athene-statutory-income-source-test-pass-1.md,Apollo/Athene needs statutory asset-income proof before liability-channel claims can become cash-return claims.
CFCRSWO-008,CFEMMS-008,CFE2EGUQ-014,8,KKR / Global Atlantic channel,search-fetch-and-parse,"Global Atlantic statutory schedules, Schedule D/BA, NAIC designations, borrower/facility schedules, FHLB collateral files and liability-cost spread schedules","State statutory filings, KKR/Global Atlantic supplements, BDC/N-PORT schedules, borrower credit agreements and rating reports","legal entity; liability source; statutory holding; vehicle; borrower; facility; use; investment income; repayment/cash; credit quality; FHLB collateral; liability cost; allocation method",statutory vehicle-to-borrower allocation proof,"Pass if Global Atlantic liability/asset sources can be mapped to statutory holdings, income/cash and borrower/facility allocation without overclaiming.","Hold if only consolidated insurance investment categories are visible; disprove borrower allocation if schedules do not identify borrower/facility routes.",capital-flow-kkr-global-atlantic-statutory-borrower-source-test-pass-1.md,KKR/Global Atlantic needs statutory and borrower schedules to move past insurance balance-sheet proxy.
CFCRSWO-009,CFEMMS-009,CFE2EGUQ-003,9,Ares borrower exposure,search-fetch-and-parse,"Frontline Road Safety borrower credit agreement, lender schedule, use-of-proceeds, payoff/bank-role evidence, borrower financials and repayment support","SEC/proxy filings, sponsor releases, rating reports, UCC/payoff searches, BDC footnotes, lender administrative-agent records","borrower; facility size; tranche; lender; Ares vehicle; funded amount; use of proceeds; old lender payoff; EBITDA; cash flow; debt service; repayment; covenant; maturity; residual bank role",borrower facility/use/cash and bank-role proof,"Pass if Ares holder exposure maps to facility size, use, funded allocation, borrower cash generation, debt service and before/after bank role.","Hold if evidence remains BDC fair value/commitment only; disprove bank-displacement claim if banks retain material facility roles.",capital-flow-ares-frontline-facility-cash-source-test-pass-1.md,Ares has named borrower destination evidence but needs facility/use/cash proof.
CFCRSWO-010,CFEMMS-010,CFE2EGUQ-015,10,Blackstone credit channel,search-fetch-and-parse,"BXSL/BCRED schedules, N-PORT, insurance SMA holdings, borrower credit agreements, lender allocations, payoff letters, borrower financials and repayment evidence","BXSL filings, BCRED filings, Blackstone credit/insurance disclosures, N-PORT schedules, borrower agreements, rating reports, statutory schedules","vehicle; investor/source channel; borrower; facility; lender allocation; funded amount; use of proceeds; interest income; repayment; non-accrual; credit quality; allocation method; bank role",vehicle funding to borrower-use and cash proof,"Pass if a Blackstone vehicle or SMA can be tied to a borrower facility, use of proceeds, income/repayment and credit-quality status.","Hold if evidence remains platform AUM, inflow, deployment, industry exposure or borrower-candidate only.",capital-flow-blackstone-borrower-cash-source-test-pass-1.md,Blackstone needs vehicle and borrower documents before channel evidence becomes cash-return proof.
