bridge_id,company,mechanism,row_type,money_path,current_evidence,missing_proof,why_it_matters,claim_status
ARDCCQB-001,Cloudflare,protected internet edge,money_path,"enterprise/developer need -> edge security/runtime/AI Gateway contract -> revenue/RPO -> operating cash flow -> free cash flow if infrastructure cost, sales cost, capex, retention, and product attachment hold",,,Cloudflare proves edge-control demand but not clean software-like cash conversion.,source-visible-with-boundary-cash-quality-open
ARDCCQB-002,Akamai,delivery-to-security and distributed-cloud transition,money_path,"legacy delivery customer base -> security/CIS contracts -> revenue/profit/OCF -> free cash if delivery decline, capex, deployment cost, and CIS margins stay controlled",,,Akamai proves the transition is real but not that the transition has already won.,source-visible-with-boundary-cash-quality-open
ARDCCQB-003,Zscaler,Zero Trust access policy,money_path,"distributed users/devices/workloads/data/agents -> Zero Trust modules -> ARR/RPO/deferred revenue -> OCF -> FCF if retention, integration, infrastructure cost, and bundling pressure stay controlled",,,Zscaler proves access-policy monetization but not permanent access control or GAAP-quality economics.,source-visible-with-boundary-cash-quality-open
ARDCCQB-004,Fortinet,hardware-attached security enforcement,money_path,"product sale/deployment -> services/support/SASE/SecOps/OT/FortiGuard -> billings/deferred revenue -> revenue/cash if renewals, channel health, product cycles, and attachment hold",,,"Fortinet proves strong cash and recurring services, but hardware/channel cycles can change cash quality.",source-visible-with-boundary-cash-quality-open
ARDCCQB-005,Roblox,governed digital participation and virtual economy,money_path,"user engagement -> Robux purchases/bookings -> deferred revenue/revenue -> creator payouts, infrastructure, safety, moderation, payment fees, development cost -> cash if monetization and trust balance",,,"Roblox proves participation scale, but engagement can fail to become durable cash after governance and creator-economy costs.",source-visible-with-boundary-cash-quality-open
ARDCCQB-006,Cloudflare,protected internet edge,current_evidence,,"FY2025 revenue, RPO, gross margin, OCF, FCF, Q4/Q1/Q2 revenue growth, current RPO growth, Q2 non-GAAP income, Q2 GAAP loss, Agentic Internet framing",,Cloudflare proves edge-control demand but not clean software-like cash conversion.,source-visible-with-boundary-cash-quality-open
ARDCCQB-007,Akamai,delivery-to-security and distributed-cloud transition,current_evidence,,"FY2025 revenue, GAAP profit, security revenue, delivery revenue, compute/CIS revenue, OCF, capex, Guardicore/API growth, Q1/Q2 revenue and cash flow, liquidity, multi-year CIS contracts",,Akamai proves the transition is real but not that the transition has already won.,source-visible-with-boundary-cash-quality-open
ARDCCQB-008,Zscaler,Zero Trust access policy,current_evidence,,"FY2025 revenue and cash flow; FY2026 Q1/Q2/Q3 revenue, ARR, RPO, deferred revenue, OCF, FCF, non-GAAP margin, large customers, AI transactions",,Zscaler proves access-policy monetization but not permanent access control or GAAP-quality economics.,source-visible-with-boundary-cash-quality-open
ARDCCQB-009,Fortinet,hardware-attached security enforcement,current_evidence,,"FY2025 revenue, product revenue, service revenue, billings, deferred revenue, GAAP profit, OCF, FCF, Q4/Q1/Q2 billings and cash flow, SASE, OT-security, AI-security evidence",,"Fortinet proves strong cash and recurring services, but hardware/channel cycles can change cash quality.",source-visible-with-boundary-cash-quality-open
ARDCCQB-010,Roblox,governed digital participation and virtual economy,current_evidence,,"FY2025 revenue, bookings, DAUs, hours, developer exchange fees, OCF, Q4/Q1/Q2 revenue, bookings, DAUs, hours, FCF, monetization-pressure evidence",,"Roblox proves participation scale, but engagement can fail to become durable cash after governance and creator-economy costs.",source-visible-with-boundary-cash-quality-open
ARDCCQB-011,Cloudflare,protected internet edge,missing_proof,,,dollar-based net retention; large-customer cohorts; current RPO dollars; deferred revenue; Workers/AI Gateway/Zero Trust attachment; infrastructure cost; stock compensation; capex; OCF-to-FCF bridge,Cloudflare proves edge-control demand but not clean software-like cash conversion.,cash-quality-proof-missing
ARDCCQB-012,Akamai,delivery-to-security and distributed-cloud transition,missing_proof,,,delivery decline rate; security product growth; CIS backlog; contract ramp; cash collection timing; capacity utilization; customer concentration; capex split; segment margins; FCF bridge,Akamai proves the transition is real but not that the transition has already won.,cash-quality-proof-missing
ARDCCQB-013,Zscaler,Zero Trust access policy,missing_proof,,,gross retention; net retention; billings; current RPO; deferred-revenue aging; ARR by product; GAAP loss bridge; stock compensation; acquisition costs; hosting cost; FCF bridge,Zscaler proves access-policy monetization but not permanent access control or GAAP-quality economics.,cash-quality-proof-missing
ARDCCQB-014,Fortinet,hardware-attached security enforcement,missing_proof,,,renewal rates; billings split; deferred-revenue roll-forward; distributor concentration; channel inventory; product/service gross margin; attachment; customer concentration; stock compensation; FCF bridge,"Fortinet proves strong cash and recurring services, but hardware/channel cycles can change cash quality.",cash-quality-proof-missing
ARDCCQB-015,Roblox,governed digital participation and virtual economy,missing_proof,,,deferred revenue roll-forward; Robux recognition; bookings by cohort; average bookings per DAU; monetization per hour; developer payout ratio; infrastructure cost; trust-and-safety cost; payment fees; stock compensation; safety outcomes,"Roblox proves participation scale, but engagement can fail to become durable cash after governance and creator-economy costs.",cash-quality-proof-missing
