row_id,claim_id,company,subtheme,period,metric_name,metric_value,units,source_basis,source_path,derived_claim,claim_level,status,missing_primary_source_step,disproof_test
PGP-001,CF-008,Constellation,scarce_clean_generation,Q2 2026,total_generation_fleet,55,GW,analysis-derived,analysis/company-first-principles/utilities/diversified-utilities/constellation-energy-corporation/company-analysis.md,Constellation has large-scale clean and dispatchable generation capacity that can become a strategic input for large-load customers.,2,analysis-derived-needs-primary-source,Re-pull fleet capacity from Constellation 10-K or Q2 2026 supplement.,Fleet capacity is less useful if availability declines or capacity cannot be contracted at attractive economics.
PGP-002,CF-008,Constellation,scarce_clean_generation,Q2 2026,new_long_term_clean_power_ppas,920,MW,analysis-derived,analysis/company-first-principles/utilities/diversified-utilities/constellation-energy-corporation/company-analysis.md,Constellation has specific new long-term clean-power contracting evidence rather than only generic demand commentary.,2,analysis-derived-needs-primary-source,Pull PPA disclosure from Q2 2026 earnings release/deck and tag counterparties if disclosed.,Claim weakens if PPAs are nonbinding or margin economics are not durable.
PGP-003,CF-008,Constellation,data_center_power_contracting,Q1 2026,cyrusone_agreement_phase_1,380,MW,analysis-derived,analysis/company-first-principles/utilities/diversified-utilities/constellation-energy-corporation/company-analysis.md,Generation sites are being converted into customer-specific data-center power infrastructure.,2,analysis-derived-needs-primary-source,Verify CyrusOne agreement terms in company release or filing.,Claim weakens if contract approval or delivery path is uncertain.
PGP-004,CF-009,NextEra,hybrid_utility_development,Q2 2026,FPL_regulatory_capital_employed,79.7,B USD,analysis-derived,analysis/company-first-principles/utilities/electric-utilities/nextera-energy-inc/company-analysis.md,FPL gives NextEra a regulated capital base that can compound as load and infrastructure needs grow.,2,analysis-derived-needs-primary-source,Pull FPL regulatory capital employed from NextEra Q2 2026 supplement.,Claim weakens if rate outcomes or affordability pressure prevent recovery.
PGP-005,CF-009,NextEra,hybrid_utility_development,Q2 2026,FPL_regulatory_capital_employed_growth,9.3,%,analysis-derived,analysis/company-first-principles/utilities/electric-utilities/nextera-energy-inc/company-analysis.md,NextEra's regulated layer is already converting capital deployment into a larger rate-base-like measure.,2,analysis-derived-needs-primary-source,Reconcile growth from 72.9B USD to 79.7B USD in Q2 2026 source table.,Claim weakens if growth is temporary or not recoverable through rates.
PGP-006,CF-009,NextEra,renewables_storage_origination,Q2 2026,energy_resources_new_origination,3.6,GW,analysis-derived,analysis/company-first-principles/utilities/electric-utilities/nextera-energy-inc/company-analysis.md,NextEra's development platform is still adding new renewables and storage backlog at multi-GW scale.,2,analysis-derived-needs-primary-source,Pull origination figure and mix from Q2 2026 supplement.,Claim weakens if backlog fails to convert into operating assets.
PGP-007,CF-009,NextEra,renewables_storage_backlog,FY 2025,energy_resources_backlog,29.8,GW,analysis-derived,analysis/company-first-principles/utilities/electric-utilities/nextera-energy-inc/company-analysis.md,NextEra has a large development queue linking capital demand to future generation/storage assets.,2,analysis-derived-needs-primary-source,Pull backlog bridge from FY2025 annual or Q4 2025 supplement.,Claim weakens if interconnection or project economics degrade.
PGP-008,CF-010,Duke,regulated_load_conversion,Q1 2026,secured_data_center_ESAs,7.6,GW,analysis-derived,analysis/company-first-principles/utilities/electric-utilities/duke-energy-corporation/company-analysis.md,Duke has concrete large-load service-agreement evidence tying data-center demand to utility planning.,2,analysis-derived-needs-primary-source,Pull ESA disclosure from Duke Q1 2026 materials and identify service territories.,Claim weakens if customers cancel delay or fail to reach construction milestones.
PGP-009,CF-010,Duke,regulated_load_conversion,2026-2030,capital_plan,103,B USD,analysis-derived,analysis/company-first-principles/utilities/electric-utilities/duke-energy-corporation/company-analysis.md,Duke is turning load growth into one of the largest regulated utility capital plans in the lane.,2,analysis-derived-needs-primary-source,Pull capital plan detail by generation grid transmission and other categories.,Claim weakens if regulators disallow recovery or turbine/project bottlenecks delay spend.
PGP-010,CF-007,Duke,regulated_load_conversion,2031,targeted_capacity_additions,14,GW,analysis-derived,analysis/company-first-principles/utilities/electric-utilities/duke-energy-corporation/company-analysis.md,Duke's capex plan has a physical capacity target, not only a spending target.,2,analysis-derived-needs-primary-source,Verify capacity target and generation mix from investor deck or IR source.,Claim weakens if planned capacity is not approved or not deliverable on schedule.
PGP-011,CF-007,Vistra,merchant_dispatchable_power,Q2 2026,ongoing_operations_adjusted_EBITDA,1.767,B USD,analysis-derived,analysis/company-first-principles/utilities/other-utilities/vistra-energy-corp/company-analysis.md,Vistra shows that scarce dispatchable power can produce large merchant/contracted earnings outside the regulated rate-base model.,2,analysis-derived-needs-primary-source,Pull adjusted EBITDA bridge and segment detail from Q2 2026 release.,Claim weakens if earnings are one-off commodity or hedge effects rather than durable scarcity economics.
PGP-012,CF-007,Vistra,merchant_dispatchable_power,Q2 2026,commercial_availability_extreme_heat,97,%,analysis-derived,analysis/company-first-principles/utilities/other-utilities/vistra-energy-corp/company-analysis.md,For merchant power owners availability is the product; the key operating proof is whether the fleet can show up during stress.,2,analysis-derived-needs-primary-source,Verify availability metric and fleet scope from Q2 2026 release/deck.,Claim weakens if outages or derates rise.
PGP-013,CF-007,Vistra,merchant_dispatchable_power,Q1 2026,pending_cogentrix_acquisition,5500,MW,analysis-derived,analysis/company-first-principles/utilities/other-utilities/vistra-energy-corp/company-analysis.md,Vistra is adding dispatchable capacity and contracting nuclear sites into data-center-adjacent demand.,2,analysis-derived-needs-primary-source,Pull Cogentrix transaction details and Meta PPA disclosure from Q1 2026 materials.,Claim weakens if acquisition terms dilute returns or PPAs fail to close/perform.
PGP-014,CF-007,NRG,customer_backed_power,Q2 2026,customers,8,M,analysis-derived,analysis/company-first-principles/utilities/other-utilities/nrg-energy-inc/company-analysis.md,NRG's retail customer base gives it a customer-backed route to monetize power scarcity.,2,analysis-derived-needs-primary-source,Pull customer count from NRG 10-K or Q2 2026 release.,Claim weakens if churn margin pressure or affordability risk rises.
PGP-015,CF-007,NRG,customer_backed_power,Q2 2026,generation_capacity,25,GW,analysis-derived,analysis/company-first-principles/utilities/other-utilities/nrg-energy-inc/company-analysis.md,NRG has enough owned/controlled generation scale to pair customer demand with supply assets.,2,analysis-derived-needs-primary-source,Pull generation capacity by asset type from NRG filing or deck.,Claim weakens if capacity is unavailable uneconomic or not matched to growth load.
PGP-016,CF-007,NRG,customer_backed_power,Q2 2026,BYOP_texas_gas_project,1.2,GW,analysis-derived,analysis/company-first-principles/utilities/other-utilities/nrg-energy-inc/company-analysis.md,NRG gives a concrete example of large-load growth being structured around customer-backed new generation.,2,analysis-derived-needs-primary-source,Pull Bring Your Own Power project language and counterparty disclosure from Q2 2026 materials.,Claim weakens if project financing permitting or customer commitment is not binding.
PGP-017,CF-007,ONEOK,midstream_growth_projects,Q2 2026,capital_expenditure_guidance_low,2.7,B USD,packet-derived,extracted/energy/oil-gas-pipelines/oneok-inc/company-packet.md,ONEOK shows that power/infrastructure capital flows also include hydrocarbon logistics and NGL/refined-products networks.,2,packet-derived-needs-primary-source,Pull capex guidance from Q2 2026 10-Q or earnings release.,Claim weakens if spend is mostly maintenance or acquisition integration without incremental throughput.
PGP-018,CF-007,ONEOK,midstream_growth_projects,Q2 2026,capital_expenditure_guidance_high,3.2,B USD,packet-derived,extracted/energy/oil-gas-pipelines/oneok-inc/company-packet.md,ONEOK has a multi-billion-dollar 2026 capital program tied to an integrated logistics network.,2,packet-derived-needs-primary-source,Reconcile total capex guidance and maintenance component from source tables.,Claim weakens if project completions do not increase volumes or fee-based earnings.
PGP-019,CF-007,Targa,midstream_growth_projects,Q2 2026,net_growth_capital,4.5,B USD,packet-derived,extracted/energy/oil-gas-pipelines/targa-resources-corp/company-packet.md,Targa is a growth-heavy midstream buildout platform with a visible NGL/fractionation/export project queue.,2,packet-derived-needs-primary-source,Pull net growth capital guidance and project list from Q2 2026 release/deck.,Claim weakens if project delays outages or producer curtailments prevent throughput growth.
PGP-020,CF-007,Targa,midstream_growth_projects,Q2 2026,total_consolidated_debt,19.578,B USD,packet-derived,extracted/energy/oil-gas-pipelines/targa-resources-corp/company-packet.md,Targa's growth program is materially capital-structure dependent and should be analyzed with leverage/liquidity not just EBITDA.,2,packet-derived-needs-primary-source,Pull debt breakdown from Q2 2026 10-Q.,Claim weakens if leverage crowds out growth capital or refinancing costs rise materially.
PGP-021,CF-007,MasTec,buildout_service_backlog,Q2 2026,backlog,21.4,B USD,packet-derived,extracted/industrial-goods/engineering-construction/mastec-inc/company-packet.md,MasTec shows funded infrastructure demand becoming contractor backlog across power telecom pipeline and clean energy work.,2,packet-derived-needs-primary-source,Pull backlog table from Q2 2026 earnings release/deck.,Claim weakens if backlog margin quality or conversion deteriorates.
PGP-022,CF-007,MasTec,buildout_service_backlog,FY 2025,telecom_network_miles_built,15000,miles,packet-derived,extracted/industrial-goods/engineering-construction/mastec-inc/company-packet.md,MasTec provides physical-output evidence that digital/AI demand requires field construction, not only software or chips.,2,packet-derived-needs-primary-source,Verify annual letter physical-output metrics from 2025 annual report.,Claim weakens if output was replacement or maintenance rather than growth.
PGP-023,CF-007,MasTec,buildout_service_backlog,FY 2025,power_transmission_distribution_miles,14000,miles,packet-derived,extracted/industrial-goods/engineering-construction/mastec-inc/company-packet.md,Power-grid buildout is visible in miles of transmission and distribution installed by field contractors.,2,packet-derived-needs-primary-source,Verify annual letter physical-output metrics from 2025 annual report.,Claim weakens if miles are low-margin or not tied to funded growth projects.
PGP-024,CF-007,Dycom,digital_infrastructure_execution,Q1 FY2027,backlog,11.906,B USD,packet-derived,extracted/industrial-goods/heavy-construction/dycom-industries-inc/company-packet.md,Dycom shows AI/data-center demand spilling into fiber and building-systems construction backlog.,2,packet-derived-needs-primary-source,Pull backlog and book-to-bill from Q1 FY2027 release.,Claim weakens if customer concentration or BEAD timing causes backlog not to convert.
PGP-025,CF-007,Dycom,digital_infrastructure_execution,Q1 FY2027,book_to_bill,2.2,x,packet-derived,extracted/industrial-goods/heavy-construction/dycom-industries-inc/company-packet.md,Dycom's demand inflow exceeded near-term revenue conversion at a scale consistent with a build-cycle ramp.,2,packet-derived-needs-primary-source,Verify book-to-bill calculation and period from Q1 FY2027 source.,Claim weakens if acquisitions rather than organic demand explain most of the bookings.
PGP-026,CF-007,Primoris,buildout_service_backlog,Q2 2026,total_backlog,13.9,B USD,packet-derived,extracted/industrial-goods/heavy-construction/primoris-services-corporation/company-packet.md,Primoris confirms that power/gas/communications demand can create record contractor bookings even when margins are stressed.,2,packet-derived-needs-primary-source,Pull backlog table from Q2 2026 release/deck.,Claim weakens if execution losses persist and backlog cannot be converted profitably.
PGP-027,CF-007,Primoris,buildout_service_backlog,Q2 2026,natural_gas_power_generation_awards,1.4,B USD,packet-derived,extracted/industrial-goods/heavy-construction/primoris-services-corporation/company-packet.md,Gas generation is re-entering the infrastructure buildout through contractor awards alongside renewables and grid hardening.,2,packet-derived-needs-primary-source,Verify award disclosure and project timing from Q2 2026 materials.,Claim weakens if awards are delayed cancelled or repriced.
PGP-028,CF-007,Granite,civil_site_infrastructure,Q2 2026,CAP,7.4,B USD,packet-derived,extracted/industrial-goods/general-contractors/granite-construction-incorporated/company-packet.md,Granite shows that public infrastructure and mission-critical site preparation are another destination for funded buildout.,2,packet-derived-needs-primary-source,Pull CAP definition and period from Q2 2026 release.,Claim weakens if CAP is not funded or if weather/execution prevents cash conversion.
PGP-029,CF-010,AEP,regulated_grid_gateway,Q2 2026,expected_new_load_additions_by_2030,69,GW,packet-derived,extracted/utilities/electric-utilities/american-electric-power-company-inc/company-packet.md,AEP shows that hyperscaler and industrial demand are becoming a grid planning and interconnection queue measured in tens of gigawatts.,2,packet-derived-needs-primary-source,Pull load-addition disclosure from AEP Q2 2026 release deck supplemental and 10-Q.,Claim weakens if signed load fails to convert because of customer delay interconnection generation or regulatory limits.
PGP-030,CF-010,AEP,regulated_grid_gateway,Q1 2026,signed_incremental_load_by_2030,63,GW,packet-derived,extracted/utilities/electric-utilities/american-electric-power-company-inc/company-packet.md,AEP's load queue was already very large in Q1 2026 before rising again in Q2.,2,packet-derived-needs-primary-source,Reconcile Q1 signed-load disclosure against Q2 expected-load disclosure.,Claim weakens if the metric definition changes between signed load and expected new load additions.
PGP-031,CF-010,AEP,regulated_grid_gateway,Q4 2025,signed_incremental_load_by_2030,56,GW,packet-derived,extracted/utilities/electric-utilities/american-electric-power-company-inc/company-packet.md,AEP's load-growth signal increased from 56 GW to 63 GW to 69 GW across Q4 2025 Q1 2026 and Q2 2026.,2,packet-derived-needs-primary-source,Build a time-series row from AEP Q4 Q1 and Q2 releases/decks.,Claim weakens if load additions are prospects rather than signed commitments or if attrition is high.
PGP-032,CF-010,AEP,regulated_capital_plan,Q1 2026,five_year_capital_plan,78,B USD,packet-derived,extracted/utilities/electric-utilities/american-electric-power-company-inc/company-packet.md,AEP is converting load growth into a larger regulated capital plan.,2,packet-derived-needs-primary-source,Pull capital plan increase from AEP Q1 2026 release presentation and supplemental schedules.,Claim weakens if regulators do not approve recovery or if the plan shifts away from growth capex.
PGP-033,CF-010,AEP,regulated_capital_plan,Q4 2025,prior_five_year_capital_plan,72,B USD,packet-derived,extracted/utilities/electric-utilities/american-electric-power-company-inc/company-packet.md,AEP's capital plan expanded by 6B USD from year-end 2025 to Q1 2026 as load-growth evidence strengthened.,2,packet-derived-needs-primary-source,Verify the 72B USD baseline from Q4 2025 release/deck and compare with Q1 2026.,Claim weakens if the increase reflects timing reclassification rather than incremental investment need.
PGP-034,CF-010,AEP,regulated_generation_procurement,Q2 2026,gas_fired_turbine_capacity_secured,13,GW,packet-derived,extracted/utilities/electric-utilities/american-electric-power-company-inc/company-packet.md,AEP is responding to load growth with physical generation-procurement evidence, not only financial planning.,2,packet-derived-needs-primary-source,Pull turbine-capacity disclosure and delivery schedule from AEP Q2 2026 materials.,Claim weakens if turbine access is nonbinding delayed or not matched to approved projects.
PGP-035,CF-010,AEP,affordability_and_customer_offsets,Q2 2026,expected_customer_cost_offsets,16,B USD,packet-derived,extracted/utilities/electric-utilities/american-electric-power-company-inc/company-packet.md,AEP's growth case includes affordability engineering; management is trying to pair large-load growth with cost offsets and customer savings.,2,packet-derived-needs-primary-source,Pull customer-offset and DOE financing disclosures from AEP Q2 2026 release deck supplemental and 10-Q.,Claim weakens if offsets are aspirational unavailable or insufficient to prevent bill pressure.
PGP-036,CF-010,Exelon,regulated_wires_reliability,FY 2025,customers_served,11,M,analysis-derived,analysis/company-first-principles/utilities/electric-utilities/exelon-corporation/company-analysis.md,Exelon is a large regulated transmission-and-distribution platform where electricity access is experienced through local grid quality.,2,analysis-derived-needs-primary-source,Pull customer count and utility footprint from Exelon annual report or investor facts source.,Claim weakens if customer scale does not translate into recoverable capital investment.
PGP-037,CF-010,Exelon,regulated_wires_reliability,Q1 2026,four_year_capital_plan,41.7,B USD,analysis-derived,analysis/company-first-principles/utilities/electric-utilities/exelon-corporation/company-analysis.md,Exelon shows that power/grid capital flow is not only generation; regulated wires and modernization plans absorb large capital.,2,analysis-derived-needs-primary-source,Pull capital-plan table from Exelon Q1 2026 earnings presentation and 10-Q.,Claim weakens if regulators disallow recovery or capital is pushed out.
PGP-038,CF-010,Exelon,regulated_wires_reliability,Q1 2026,expected_rate_base_growth,7.9,%,analysis-derived,analysis/company-first-principles/utilities/electric-utilities/exelon-corporation/company-analysis.md,Exelon connects capital spend to expected regulated rate-base growth rather than only reported capex.,2,analysis-derived-needs-primary-source,Pull rate-base growth definition and period from Exelon Q1 2026 presentation.,Claim weakens if actual earned returns lag expected rate-base growth.
