theme_id,theme,force_or_pressure,control_point,payer_or_funder,burden_carrier,operating_denominator,qoe_financial_shenanigans_control,owner_cash_valuation_object,macro_liquidity_route,current_grade,decisive_breaker,source_artifact
ARCSIM-001,Services and cultural consumption,"Time scarcity, relief, status, travel, attention and escape","Repeatable capture of time, place, habit and convenience","Households, employers, advertisers and travelers","Labor, leases, food/input costs, franchisees and integration","Same-unit demand, labor hours, occupancy/traffic, maintenance and lease burden","Price versus volume, promotions, franchise economics, capitalized pre-opening or one-time costs","Common-owner cash after maintenance, leases, taxes and dilution; normalized service cash multiple","Employment, real wages, credit, travel and discretionary liquidity","article-ready / cash open","Multi-period traffic and collections weaken after normalized labor and occupancy cost","annual-report-services-cultural-consumption-deep-dive-pass-1.md"
ARCSIM-002,Consumer goods and household identity,"Need for normalcy, cleanliness, safety, identity and small control","Brand trust, shelf availability, assortment and repeat routine","Households, retailers, distributors and supplier credit","Input costs, inventory, trade spend, private label and advertising","Units, price/mix, repeat purchase, inventory turns, gross-to-net and working capital","Price/mix masking volume decline, channel stuffing, inventory build, promotional capitalization and acquisition mix","Diluted cash after sustaining brand investment, inventory funding, taxes and buyback/SBC effects; normalized brand cash","Inflation, real income, household credit and retailer inventory cycles","article-ready / cash open","Volume or market share loss, inventory unwind or gross-margin reversal is not explained by mix","annual-report-consumer-goods-household-identity-deep-dive-pass-1.md"
ARCSIM-003,Basic materials and input scarcity,"Buildout demand and physical bottlenecks","Low-cost reserve, processing asset, logistics or scarce capacity","Industrial buyers, builders, farmers and distributors","Energy, sustaining capex, geology, permitting, transport and environmental obligations","Realized price net of freight, cost curve, sustaining volume, reserve life and working capital","Spot-price peak mistaken for durable economics, reserve/cost revisions, capitalized stripping or project costs and working-capital reversal","Through-cycle cash after sustaining capex, reclamation, taxes, debt and dilution; reserve/project NPV","Manufacturing cycle, construction, food costs, rates, inventory and commodity liquidity","article-ready / through-cycle open","Cost-curve migration, reserve deterioration or cash failure after sustaining spend","annual-report-basic-materials-input-scarcity-deep-dive-pass-1.md"
ARCSIM-004,Real estate and scarce locations,"Shelter, care, delivery, connectivity, travel and site scarcity","Irreplaceable site, zoning, power, tower, lease or logistics node","Tenants, guests, operators, partners, debt and equity capital","Property capex, power, taxes, insurance, vacancy, debt and partners","Occupancy/lease-up, rent spread, same-property NOI, recurring capex and debt service","AFFO/FFO perimeter, straight-line rent, development capitalization, JV/VIE and partner claims and dilution","Property/project cash after recurring capex, debt, partner/preferred claims and taxes; project NPV/IRR","Rates, credit spreads, refinancing, construction finance and power availability","article-ready / project cash open","Lease-up delay, rent loss, capex escalation or funding dilution overwhelms project return","annual-report-real-estate-scarce-locations-deep-dive-pass-1.md"
ARCSIM-005,Broad technology control points,"Digital dependence, identity, security, compute, storage and workflow complexity","Permissioning, network enforcement, process control and installed software/hardware","Enterprises, governments, developers and network/semiconductor customers","R&D, support, compute/power, channel, cybersecurity, SBC and obsolescence","Retention, utilization, service attach, backlog conversion, gross margin, R&D and capex intensity","ARR/RPO/bookings versus recognized cash, deferred revenue, factoring, capitalization, SBC, acquisition and restructuring normalization","Diluted owner cash after R&D, true maintenance capex, SBC, working capital and debt; cycle-normalized FCF/earnings","Enterprise budgets, semiconductor capex, rates, AI infrastructure financing and risk appetite","article-ready / cycle-normalized cash open","Retention/utilization decay, factoring unwind or reinvestment/SBC consumes distributable cash","annual-report-broad-technology-control-points-deep-dive-pass-1.md"
ARCSIM-006,Healthcare care infrastructure,"Aging, chronic disease, access friction, staffing and reimbursement constraint","Device, site, lab, distributor, drug route or care-coordination workflow","Patients, payers, government programs, providers and manufacturers","Clinicians/caregivers, inventory, receivables, regulation, litigation, capital and labor","Procedures/visits, utilization, reimbursement, payer mix, staffing, inventory and collections","Acquired revenue versus acquired return, adjusted charges, lease/securitization perimeter, payer timing, legal and restructuring cash","Common-owner cash after labor, working capital, maintenance capex, legal cash, leases, taxes and dilution; cohort/provider return","Employment and wages, public reimbursement, medical inflation, credit and demographic demand","article-ready / entity and cohort cash open","Reimbursement compression, labor failure, cohort losses or receivable deterioration","annual-report-healthcare-care-infrastructure-deep-dive-pass-1.md"
ARCSIM-007,Energy affordability and supply route,"Energy cost flowing into transport, food, rent, goods and industry","Production, decline management, refining, storage, pipeline/LNG route or service capacity","Households, utilities, industrial users, exporters, counterparties and lenders","Commodity volatility, depletion, sustaining capex, turnaround, inventory, debt and environmental obligations","Realized price, throughput, crack/spread, decline rate, utilization, maintenance capex and working capital","Hedging/perimeter, inventory timing, peak margin, reserve depletion, capitalized costs, non-GAAP cash and acquisition mix","Cash after maintenance capex, hedges, taxes, debt, abandonment and dilution; through-cycle asset/project return","Inflation, rates, dollar/liquidity, commodity inventories, trade and capex cycle","article-ready / through-cycle open","Decline/turnaround cost, spread normalization or maintenance spend erases cash","annual-report-energy-affordability-supply-route-deep-dive-pass-1.md"
ARCSIM-008,Ordinary finance and credit,"Household/business need for liquidity, payment, savings, insurance and risk transfer","Deposit franchise, payment rail, underwriting, distribution or capital allocation","Depositors, card users, borrowers, policyholders and institutional funders","Credit losses, funding cost, capital requirements, fraud, duration, regulation and policyholders","Net interest income after losses/funding, fee retention, delinquencies, deposits, capital and reserve adequacy","Reserve releases, charge-off timing, receivable securitization, fair value, capitalization, deposit mix and one-time gains","Unrestricted common earnings/cash after losses, capital, funding, claims and dilution; normalized ROE/FCFE","Central-bank liquidity, yield curve, unemployment, household leverage and credit spreads","article-ready / loss-normalized open","Worsening vintages, deposit runoff, funding-cost pressure or capital need exceeds distributions","annual-report-ordinary-finance-promises-and-credit-deep-dive-pass-1.md"
ARCSIM-009,Affordability and substitution,"Inflation and household trade-down without abandoning all routines","Assortment, price architecture, inventory discovery and channel access","Households, vendors, consumer credit, advertisers and members","Inventory, markdowns, labor, leases, supplier finance, services and taxes","Comparable sales, units/transactions, inventory turns, gross margin, OCF-to-capex and dilution","Support reversal, supplier-finance normalization, attached-service perimeter, lease/tax burden and adjusted EPS","Common-owner cash after normalized working capital, maintenance capex, leases, taxes, support and dilution; expectation-based equity value","Real wages, CPI, consumer credit, employment, retailer inventory and rates","qualified pilot / cash gate open","Normalized demand and cash fail across common periods","combined-investment-research-pilot-02-affordability-value.md"
ARCSIM-010,Scarce physical assets and contractual control,"Long-lived production, permitting and reserve scarcity","Contractual entitlement to a named output or receipt","Operator, stream/royalty buyer, industrial purchaser and lender","Operator labor/capex/permitting; buyer funding, taxes and counterparty settlement","Payable/attributable output, sold volume, price, reserve-backed delivery and funding cost","Production versus sales, reserve proxy versus payable curve, acquisition funding, debt allocation, receipt and tax perimeter","Contract-level cash after funding, taxes, debt and dilution; asset NPV/IRR","Metals cycle, real rates, dollar, mine capex and counterparty liquidity","qualified pilot / settlement open","Named credit issuance, sale/receivable, bank receipt or reserve-backed delivery fails","combined-investment-research-pilot-01-wheaton-antamina.md"
