field,value,context,owner_cash_status
six_month_operating_cash_flow,"$4.272B","H1 2026","observed"
six_month_capex,"$8.240B","H1 2026","capital burden"
ocf_less_capex,"$(3.968)B","H1 2026 mechanical bridge","diagnostic only"
piedmont_tennessee_sale_proceeds,"$2.501B","H1 2026","portfolio proceeds; not recurring OCF"
long_term_debt_issued,"$6.464B","H1 2026","financing"
long_term_debt_redeemed,"$4.831B","H1 2026","financing"
nci_contributions,"$2.827B","H1 2026","shared-owner funding; not common-owner cash"
dividends_paid,"$1.693B","H1 2026","common-owner distribution"
accrued_capex,"$2.574B","June 30 2026","cost-to-complete and timing claim"
eu_and_i_capex,"$8.024B","H1 2026 segment table","regulated-platform capital"
duke_energy_carolinas_anderson_ownership,"approximately 1170 MW","subject to final contractual terms","shared ownership"
ncemc_anderson_ownership,"100 MW","subject to final contractual terms","shared ownership"
cepc_anderson_ownership,"95 MW","subject to final contractual terms","shared ownership"
normalized_owner_cash,"not calculated","requires paid capex recovery billing collection ownership and diluted return bridge","missing"
