"extraction_id","company","ticker","period","field","value","unit","source_anchor","what_it_proves","boundary","claim_status"
"ARBOPVE-001","Burlington Stores, Inc.","BURL","FY2025","store count","1212","stores","consumer-goods/discount-variety-stores/burlington-stores-inc/company-analysis.md; extracted/consumer-goods/discount-variety-stores/burlington-stores-inc/company-packet.md","Burlington is a scaled physical-store off-price operator.","Store count proves reach, not store productivity or durable customer loyalty.","store-scale-visible"
"ARBOPVE-002","Burlington Stores, Inc.","BURL","FY2025","net sales from stores",">99","percent","consumer-goods/discount-variety-stores/burlington-stores-inc/company-analysis.md; extracted/consumer-goods/discount-variety-stores/burlington-stores-inc/company-packet.md","The model is overwhelmingly store-native, not digital-led.","Store-native sales do not prove traffic quality or cash conversion by themselves.","physical-store-model-visible"
"ARBOPVE-003","Burlington Stores, Inc.","BURL","FY2025","gross square feet","52.8","M square feet","extracted/consumer-goods/discount-variety-stores/burlington-stores-inc/company-packet.md","The company has a large physical operating footprint.","Square footage does not prove sales density, margin, or return on new stores.","physical-footprint-visible-with-boundary"
"ARBOPVE-004","Burlington Stores, Inc.","BURL","FY2025","selling square feet","33.9","M square feet","extracted/consumer-goods/discount-variety-stores/burlington-stores-inc/company-packet.md","The customer-facing store base is large enough to matter nationally.","Selling space needs productivity, inventory turn, and traffic support to become durable cash.","selling-footprint-visible-with-boundary"
"ARBOPVE-005","Burlington Stores, Inc.","BURL","FY2025","distribution centers","6","centers","extracted/consumer-goods/discount-variety-stores/burlington-stores-inc/company-packet.md","The bargain model requires physical distribution capacity.","Distribution capacity does not prove merchandise quality or margin durability.","distribution-capacity-visible"
"ARBOPVE-006","Burlington Stores, Inc.","BURL","FY2025 amendment","ABL commitment","1.0","B USD","extracted/consumer-goods/discount-variety-stores/burlington-stores-inc/company-packet.md","Liquidity and inventory funding capacity are visible.","ABL size is not a populated borrowing-base certificate or collateral performance proof.","liquidity-wrapper-visible-with-boundary"
"ARBOPVE-007","Burlington Stores, Inc.","BURL","FY2025","remaining borrowing capacity","934.5","M USD","extracted/consumer-goods/discount-variety-stores/burlington-stores-inc/company-packet.md","The company had substantial unused borrowing capacity.","Unused capacity does not prove inventory eligibility, cash receipts, or return on capital.","liquidity-capacity-visible-with-boundary"
"ARBOPVE-008","Burlington Stores, Inc.","BURL","Q3 2025","total sales growth","7","percent","consumer-goods/discount-variety-stores/burlington-stores-inc/company-analysis.md; extracted/consumer-goods/discount-variety-stores/burlington-stores-inc/company-packet.md","The growth sequence started before the strongest quarters.","Sales growth does not separate traffic, ticket, new stores, or pricing effects.","sales-growth-visible"
"ARBOPVE-009","Burlington Stores, Inc.","BURL","Q3 2025","comparable-store sales growth","1","percent","consumer-goods/discount-variety-stores/burlington-stores-inc/company-analysis.md; extracted/consumer-goods/discount-variety-stores/burlington-stores-inc/company-packet.md","Existing stores were already positive.","A low positive comp does not prove durable consumer demand or merchandise quality.","early-comp-growth-visible-with-boundary"
"ARBOPVE-010","Burlington Stores, Inc.","BURL","Q4 2025","total sales growth","11","percent","consumer-goods/discount-variety-stores/burlington-stores-inc/company-analysis.md; extracted/consumer-goods/discount-variety-stores/burlington-stores-inc/company-packet.md","Sales momentum strengthened into year-end.","Momentum can reverse if merchandise availability, traffic, or consumer budgets weaken.","sales-momentum-visible"
"ARBOPVE-011","Burlington Stores, Inc.","BURL","Q4 2025","comparable-store sales growth","4","percent","consumer-goods/discount-variety-stores/burlington-stores-inc/company-analysis.md; extracted/consumer-goods/discount-variety-stores/burlington-stores-inc/company-packet.md","Existing-store demand improved further.","Comp growth does not prove cash quality without margin, inventory turn, shrink, and working-capital support.","comp-momentum-visible-with-boundary"
"ARBOPVE-012","Burlington Stores, Inc.","BURL","Q1 2026","total sales and comp growth","14 sales / 6 comps","percent","consumer-goods/discount-variety-stores/burlington-stores-inc/company-analysis.md; extracted/consumer-goods/discount-variety-stores/burlington-stores-inc/company-packet.md","Off-price demand accelerated while the store base expanded.","One strong quarter does not prove permanent trade-down, store productivity, or inventory-to-cash quality.","off-price-acceleration-visible-with-boundary"
