metric_id,workbench_gate_id,source_id,company,proof_channel,category,form,period,metric_label,metric_value,unit,current_status,source_anchor,what_it_says,what_it_does_not_say
CFPLSP-001,CFPGW-001,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Distribution Feeder Hardening,Form 6E,2025 actual/estimated,annual capital investment cost / jurisdictional revenue requirement,334.058644,USD millions,category-recovery-row-visible,"Page 17 Form 6E lists Distribution Feeder Hardening Program actual/estimated amount of $334,058,644 versus projection of $317,412,173.","FPL storm-protection recovery can be tested at a named program-category level, not only at aggregate SPPCRC level.","It is not project-level IRR or actual collected customer cash."
CFPLSP-002,CFPGW-001,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Distribution Feeder Hardening,Form 6E,2025 projection,projected annual capital investment cost / jurisdictional revenue requirement,317.412173,USD millions,category-recovery-row-visible,"Page 17 Form 6E lists Distribution Feeder Hardening Program projected amount of $317,412,173.","The category has both projected and actual/estimated recovery-dollar rows.","It does not identify each feeder project or physical hardening unit."
CFPLSP-003,CFPGW-001,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Distribution Feeder Hardening,Form 6E,2025 variance,variance to projection,16.646471,USD millions,category-variance-visible,"Page 17 Form 6E lists a $16,646,471 variance and 5.2 percent variance for Distribution Feeder Hardening.","The filing supports variance analysis by program category.","It does not explain causation or realized return."
CFPLSP-004,CFPGW-001,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Overhead Hardening Capital Investment Programs,Form 6E,2025 actual/estimated,subtotal annual capital investment cost / jurisdictional revenue requirement,397.926574,USD millions,category-subtotal-visible,"Page 17 Form 6E lists Subtotal Overhead Hardening Capital Investment Programs actual/estimated amount of $397,926,574.","The category rows roll into an overhead hardening subtotal.","It is still a storm-protection recovery category, not all FPL capital spending."
CFPLSP-005,CFPGW-002,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Distribution Inspection,Form 7E,2025 actual/estimated,expenditures,38.500000,USD millions,capital-use-visible,"Page 19 Form 7E Capital for 601 Distribution Inspection Program lists annual expenditures of $38,500,000.","The filing exposes category-level capital use for the selected recovery program.","It does not prove the financing source for those expenditures."
CFPLSP-006,CFPGW-002,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Distribution Inspection,Form 7E,2025 actual/estimated,additions to plant,58.131189,USD millions,plant-addition-visible,"Page 19 Form 7E Capital for 601 Distribution Inspection Program lists annual additions to plant of $58,131,189.","Capital spending can be connected to plant additions for the category.","It does not provide asset-by-asset in-service detail."
CFPLSP-007,CFPGW-007,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Distribution Inspection,Form 7E,2025 actual/estimated,total system recoverable expenses,16.835584,USD millions,recoverable-expense-visible,"Page 19 Form 7E lists total system recoverable expenses of $16,835,584 for Distribution Inspection.","The category has recoverable expense math tied to the capital schedule.","It is not actual cash collected from customers or earned return."
CFPLSP-008,CFPGW-002,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Transmission Inspection,Form 7E,2025 actual/estimated,expenditures,48.373799,USD millions,capital-use-visible,"Page 20 Form 7E Capital for 602 Transmission Inspection Program lists annual expenditures of $48,373,799.","The filing exposes transmission-category capital use.","It does not identify project-level funding."
CFPLSP-009,CFPGW-002,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Transmission Inspection,Form 7E,2025 actual/estimated,additions to plant,54.672380,USD millions,plant-addition-visible,"Page 20 Form 7E Capital for 602 Transmission Inspection Program lists additions to plant of $54,672,380.","Transmission inspection capital can be tied to plant additions.","It does not prove realized return or customer collections."
CFPLSP-010,CFPGW-007,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Transmission Inspection,Form 7E,2025 actual/estimated,total system recoverable expenses,22.954303,USD millions,recoverable-expense-visible,"Page 20 Form 7E lists total system recoverable expenses of $22,954,303 for Transmission Inspection.","The category has recoverable expense evidence.","It is not realized earnings or project IRR."
CFPLSP-011,CFPGW-002,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Distribution Inspection,Form 3P,2026 projection,expenditures,45.400000,USD millions,projected-capital-use-visible,"Page 33 Form 3P Capital for 601 Distribution Inspection Program lists projected annual expenditures of $45,400,000.","The category has forward capital-use evidence for 2026.","It does not prove actual 2026 spend or recovered cash."
CFPLSP-012,CFPGW-002,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Distribution Inspection,Form 3P,2026 projection,additions to plant,44.634260,USD millions,projected-plant-addition-visible,"Page 33 Form 3P Capital for 601 Distribution Inspection Program lists projected additions to plant of $44,634,260.","The filing links projected capital use to plant additions.","It does not reconcile each asset to a tariff rate factor."
CFPLSP-013,CFPGW-007,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Distribution Inspection,Form 3P,2026 projection,total system recoverable expenses,21.638259,USD millions,projected-recoverable-expense-visible,"Page 33 Form 3P lists projected total system recoverable expenses of $21,638,259 for Distribution Inspection.","The category has projected recoverable expense evidence.","It is not actual recovered revenue."
CFPLSP-014,CFPGW-002,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Transmission Inspection,Form 3P,2026 projection,expenditures,49.524332,USD millions,projected-capital-use-visible,"Page 34 Form 3P Capital for 602 Transmission Inspection Program lists projected annual expenditures of $49,524,332.","Transmission inspection has projected capital-use evidence.","It does not prove actual 2026 spend or financing source."
CFPLSP-015,CFPGW-002,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Transmission Inspection,Form 3P,2026 projection,additions to plant,50.304709,USD millions,projected-plant-addition-visible,"Page 34 Form 3P Capital for 602 Transmission Inspection Program lists projected additions to plant of $50,304,709.","Transmission inspection projected additions to plant are visible.","It does not establish customer cash collections."
CFPLSP-016,CFPGW-007,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Transmission Inspection,Form 3P,2026 projection,total system recoverable expenses,28.255747,USD millions,projected-recoverable-expense-visible,"Page 34 Form 3P lists projected total system recoverable expenses of $28,255,747 for Transmission Inspection.","The projected recoverable-expense bridge is visible by category.","It is not realized earnings."
CFPLSP-017,CFPGW-005,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Distribution Vegetation Management,Form 2P,2026 projection,O&M program total,116.592072,USD millions,recovery-category-om-visible,"Page 30 Form 2P lists Distribution Vegetation Management O&M total of $116,592,072.","The SPPCRC source also exposes O&M recovery categories, not only capital investment rows.","It does not prove customer-class bill recovery or cash collection timing."
CFPLSP-018,CFPGW-005,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Transmission Vegetation Management,Form 2P,2026 projection,jurisdictional O&M amount,14.911735,USD millions,recovery-category-om-visible,"Page 30 Form 2P lists Transmission Vegetation Management transmission/jurisdictional amount of $14,911,735.","Transmission vegetation O&M recovery is visible by category.","It does not prove realized collected revenue or margin."
