extraction_id,page,statutory_section,metric_name,metric_value,units,current_status,proof_use,boundary,next_action
CFAASCE-001,3,assets,bonds_schedule_d_net_admitted_assets,158.852395199,B USD,summary-extracted,legal entity owns large Schedule D bond base,not issuer-level holdings or borrower cash,extract Schedule D detail
CFAASCE-002,3,assets,first_lien_mortgage_loans,84.664838463,B USD,summary-extracted,legal entity owns very large mortgage-loan book,not borrower-level loan schedule or repayment proof,extract mortgage loan schedules if available
CFAASCE-003,3,assets,schedule_ba_net_admitted_assets,17.387119006,B USD,summary-extracted,legal entity owns material other long-term invested assets,not Schedule BA issuer/GP-level detail,extract Schedule BA detail
CFAASCE-004,3,assets,cash_cash_equivalents_short_term_investments,9.357351729,B USD,summary-extracted,legal entity had material cash/liquid investment balance,not source/use allocation,extract cash flow and investment purchase/use rows
CFAASCE-005,4,liabilities,aggregate_reserve_for_life_contracts,110.615749220,B USD,summary-extracted,liability base visible at legal-entity level,not product-level liability cost,extract liability cost/reserve bridge
CFAASCE-006,4,liabilities,liability_for_deposit_type_contracts,64.259784362,B USD,summary-extracted,funding/liability channel visible at legal-entity level,not spread cost or surrender behavior,extract deposit-type contract and surrender/liability cost support
CFAASCE-007,5,summary_operations,net_investment_income,12.732699320,B USD,summary-extracted,legal entity investment income visible,not holding-level income,extract net investment income exhibit detail
CFAASCE-008,6,cash_flow,cash_flow_net_investment_income,12.281980822,B USD,summary-extracted,investment income has cash-flow support,not allocated to asset class/holding,normalize with page 18 income exhibit
CFAASCE-009,6,cash_flow,net_cash_from_operations,20.789852294,B USD,summary-extracted,legal entity generated positive statutory operating cash flow,not asset-level cash return,build legal-entity cash bridge
CFAASCE-010,6,cash_flow,bond_proceeds_sold_matured_repaid,54.035221430,B USD,summary-extracted,cash from bond investment turnover visible,not tied to specific disposals,match to Schedule D Part 4 disposals
CFAASCE-011,6,cash_flow,mortgage_loan_proceeds_sold_matured_repaid,12.676073505,B USD,summary-extracted,mortgage-loan repayment/disposition cash visible,not loan-level payback proof,extract mortgage and loan detail
CFAASCE-012,18,net_investment_income,other_unaffiliated_bond_income_collected,5.948433327,B USD,summary-extracted,large unaffiliated bond income bucket visible,not issuer-level income,extract Schedule D income fields
CFAASCE-013,18,net_investment_income,other_unaffiliated_bond_income_earned,5.926174946,B USD,summary-extracted,large unaffiliated bond earned-income bucket visible,not issuer-level income,extract Schedule D income fields
CFAASCE-014,18,net_investment_income,affiliated_bond_income_collected,1.910570987,B USD,summary-extracted,affiliated bond income visible,needs affiliate/issuer detail,extract affiliated Schedule D rows
CFAASCE-015,18,net_investment_income,affiliated_bond_income_earned,1.983603713,B USD,summary-extracted,affiliated bond earned income visible,needs affiliate/issuer detail,extract affiliated Schedule D rows
CFAASCE-016,18,net_investment_income,mortgage_loan_income_collected,4.557162846,B USD,summary-extracted,mortgage-loan income visible,not borrower-level cash receipt,extract loan schedules if available
CFAASCE-017,18,net_investment_income,mortgage_loan_income_earned,4.736361962,B USD,summary-extracted,mortgage-loan earned income visible,not borrower-level cash receipt,extract loan schedules if available
CFAASCE-018,18,net_investment_income,total_gross_investment_income_collected,13.601183683,B USD,summary-extracted,gross collected investment income denominator extracted,deductions and holding attribution still needed,normalize page 18 exhibit
CFAASCE-019,18,net_investment_income,total_gross_investment_income_earned,14.010808604,B USD,summary-extracted,gross earned investment income denominator extracted,deductions and holding attribution still needed,normalize page 18 exhibit
CFAASCE-020,18,net_investment_income,net_investment_income_after_deductions,12.732699320,B USD,summary-extracted,ties income exhibit to summary operations,not spread after liability cost,build liability-cost spread bridge
CFAASCE-021,99,interest_maintenance_reserve,current_year_end_imr,219.835675,M USD,summary-extracted,realized gain/loss smoothing reserve visible,not tied to individual disposals,match to gains/losses and disposals
CFAASCE-022,100,asset_valuation_reserve,avr_accumulated_balance,6.291800508,B USD,summary-extracted,statutory asset-risk reserve pressure visible,not issuer-level NAIC designation proof,extract AVR default component and Schedule D NAIC fields
CFAASCE-023,450,schedule_ba_verification,schedule_ba_statement_value_current_period_end,17.387119006,B USD,summary-extracted,BA roll-forward ties to assets page,not detail extraction,extract Schedule BA Part 1 and Part 2
CFAASCE-024,451,schedule_d_verification,schedule_d_statement_value_current_period_end,161.896884148,B USD,summary-extracted,Schedule D roll-forward ties bond/stock base,not issuer-level detail,extract Schedule D detail
CFAASCE-025,451,schedule_d_verification,issuer_credit_obligations_book_adjusted_carrying_value,85.388493720,B USD,summary-extracted,issuer-credit bucket quantified,not issuer-level holdings,extract Schedule D Part 1 Section 1
CFAASCE-026,451,schedule_d_verification,asset_backed_securities_book_adjusted_carrying_value,73.463901477,B USD,summary-extracted,ABF/ABS bucket quantified at statutory level,not originator/borrower-level detail,extract Schedule D Part 1 Section 2
CFAASCE-027,451,schedule_d_verification,consideration_for_bonds_and_stocks_disposed,72.140293824,B USD,summary-extracted,statutory disposal cash/proceeds visible,not matched to individual realized return rows,extract Schedule D Part 4
CFAASCE-028,451,schedule_d_verification,current_year_otti_recognized,110.227270,M USD,summary-extracted,credit/impairment pressure visible,not issuer-level impairment detail,extract issuer-level impairment fields
CFAASCE-029,452,schedule_d_summary_by_country,total_bonds_book_adjusted_carrying_value,158.852395201,B USD,summary-extracted,country summary confirms total bond base,rounding differs by 2 USD from assets page,normalize Schedule D country summary
CFAASCE-030,current,decision,statutory_compact_extraction_status,summary_statutory_bridge_visible,text,summary-extracted-hold-detail-pending,supports insurance liability to asset income bridge,not full named cash proof,run Schedule D/BA detail extraction
