question_id,meta_question,current_answer,current_confidence,open_question,working_hypothesis,evidence_needed,next_artifact,overclaim_boundary,status
CFMQ-001,Where is capital actually flowing?,"Capital is visibly flowing into private-credit borrowers, power/grid assets, energy infrastructure, fleet and collateral pools, backlog execution, acquisition finance, and sponsor-backed operating platforms.",medium-high,"Which dollars fund productive capacity versus acquisition, refinancing, liquidity, or control transfer?","The cycle is a mix of real buildout and balance-sheet rerouting, not one clean growth-capex wave.","Sources-and-uses tables, credit agreements, merger proxies, rating reports, capex schedules, project budgets, and borrower operating KPIs.",capital-flow-use-of-proceeds-classification-pass-1.md,Do not turn every funded exposure into new productive capacity.,working
CFMQ-002,Who is the source of capital?,"Platform and vehicle evidence is visible for BDCs, insurers, retirement-linked platforms, public debt, ABLs, AR securitizations, private-credit funds, and bank facilities.",medium,Can ultimate money source be tied to a named borrower in the same period?,"The ultimate source differs by wrapper: BDC equity and debt, insurer liabilities, private fund LPs, bank or conduit funding, 144A buyers, collateral-facility lenders, or ratepayers/customers.","BDC debt notes, insurer statutory Schedule D and Schedule BA, fund prospectuses, SPV and CLO funding notes, lender lists, and vehicle annual reports.",capital-flow-capital-source-to-vehicle-bridge-pass-1.md,Do not say a holder vehicle proves the ultimate source of funds.,working
CFMQ-003,What vehicle carries the capital?,"The Ares borrower pass classifies holder and source vehicles across public BDCs, non-traded BDC/private-credit funds, direct-lending programs, registered funds, private funds, transaction sources, and financing context sources.",high,Which liabilities or investor base fund each vehicle's assets?,Vehicle identity is the bridge; capital-stack decomposition is the next source-of-funds layer.,"Vehicle annual reports, leverage tables, credit facilities, adviser agreements, prospectuses, shareholder and LP disclosures, and funding notes.",capital-flow-vehicle-capital-stack-decomposition-pass-1.md,Do not equate vehicle exposure with full source-of-capital proof.,active
CFMQ-004,What does the capital fund in the real economy?,"Named destinations are visible across roadway safety, aerospace MRO, wealth-management consolidation, insurance brokerage, refrigeration/foodservice equipment, precision manufacturing, building maintenance, automotive services, rental fleet, LNG/midstream, and utility/grid assets.",medium-high,Which flows are new capacity versus consolidation or refinancing?,"Power/grid, LNG, fleet, and backlog lanes lean more toward physical output; several private-credit borrower lanes may primarily support sponsor acquisitions and consolidation.","Use-of-proceeds language, acquisition timelines, operating metrics after financing, capex/fleet/project schedules, and debt-purpose disclosures.",capital-flow-use-of-proceeds-classification-pass-1.md,Do not imply all borrower financing funds organic growth.,working
CFMQ-005,Does the capital convert into output and realized cash?,"URI, Sterling, power/grid, and energy lanes have partial output-conversion proof through fleet productivity, OEC, backlog, cash conversion, dockets, tariffs, ESAs, cargo/export, project evidence, and the FPL cash-realization stress test.",medium,"Does the capital create same-period asset/category/project cash allocation and durable return, or only larger balance sheets, authorized recovery, backlog, or aggregate revenue?","Operating bottleneck companies matter most where capital meets scarce assets, regulated recovery, fleet density, project control, or recurring service demand, but final promotion needs cash-realization proof.","Multi-quarter revenue, EBITDA, cash conversion, ROIC proxies, utilization, MW in service, cargo volumes, rate-base additions, backlog burn, project milestones, customer receipts, billing determinants, funds-flow records, and source-of-funds allocation.",capital-flow-cash-realization-proof-ladder-pass-1.md,"Do not treat capex, backlog, AUM, authorized recovery, holder fair value, or aggregate revenue as asset/category/project cash realization without same-period allocation evidence.",active
CFMQ-006,Is private credit replacing banks or sitting beside them?,"Isolated bank takeout can be proven, but broad bank disappearance is not supported. Auctane/Stamps.com is confirmed, Medallia is strong but incomplete, and Atwell remains plausible but unproven.",medium,"Do banks retain revolver, agent, treasury, hedging, collateral-facility, or ancillary roles after private-credit term debt appears?",Private credit often replaces or supplements bank term loans while banks may remain elsewhere in the capital stack.,"Payoff notices, credit-agreement terminations, UCC amendments, new credit agreements, lender allocation schedules, agent names, rating reports, and bank denominator data.",capital-flow-bank-role-after-private-credit-pass-1.md,Do not use broad bank-displacement language from partial borrower evidence.,active-high-priority
CFMQ-007,Is the evidence borrower-specific or only platform-scale?,"Both exist, but they are different levels. Ares, Apollo, KKR, Brookfield, and Blackstone prove platform scale; BDC schedules and borrower crosswalks prove named exposure.",high,Can platform pools be tied to named borrower assets without unsupported allocation claims?,The defensible chain is platform scale -> vehicle capital stack -> holder row -> borrower -> facility/use -> output.,"Same-period vehicle reports, borrower schedules, facility documents, transaction documents, and source-of-capital notes.",capital-flow-platform-to-borrower-evidence-bridge-pass-1.md,Do not use AUM or deployment as borrower allocation proof.,active
CFMQ-008,Can false aggregation be avoided?,"Yes. The Ares borrower lane separates row-level audit sums, master-rollup promoted totals, and a 9 row same-period borrower control.",high,Which number should be used in external writing?,"Use row-level sums only for audit coverage, same-period summaries for conservative borrower snapshots, and master rollup for promoted latest-visible borrower exposure.","Separate generated tables, period labels, duplicate rules, same-period filters, and claim-specific permitted-use notes.",capital-flow-aggregation-control-standard-pass-1.md,"Do not sum mixed-period, comparative, locator, transaction-only, and derived rows as current exposure.",working
CFMQ-009,What are the limits of every claim?,"The promoted-claims register captures safe claims and overclaims: BDC fair value is not total borrower debt, transaction value is not debt size, AUM is not allocation, commitments are not drawn debt, and one quarter is not durability.",high,Which claims are ready for publication versus internal research?,Level 4 claims can be used with boundaries; Level 5 claims can use stronger mechanism language; Level 2-3 claims should remain leads.,"Claim scorecard, promotion tests, contrary-source checks, and explicit what-it-says and what-it-does-not-say fields.",capital-flow-publication-ready-claim-register-pass-1.md,Do not promote hypotheses into conclusions before the evidence level changes.,working
CFMQ-010,Can this scale across the 519 company universe?,"Yes at the process layer: every company now has a role/wrapper/proof extraction-template row with lane, capital-flow role, source availability, proof level, denominator need, next document, safe claim, and do-not-claim fields.","medium-high for process; low-medium for proof",Can lane-specific primary-source extraction upgrade the template rows into empirical proof?,The scalable row is company -> role -> funding wrapper -> source document -> metric -> claim strength -> missing proof.,"Lane-specific primary-source extraction batches, source availability scoring, denominator maps, and repeatable extraction scripts.",capital-flow-all-company-extraction-template-pass-1.md,Do not treat the template as source-grade proof or representative thesis proof until extraction upgrades the rows.,working
